0 CP,Net Runner,Fallout: Mutants,"A young woman who was once part of an Enclave experiment, one meant to artificially induce psyker abilities into people. She possesses a potent ability, that of technopathy, allowing her to mentally link to and manipulate technology. She dreams of one day traveling to the moon. Will you make her dream a reality?"
0 CP,Psychic Nullifier,Fallout: Mutants,"A strange headpiece with a chin strap to hold it in place. When wearing this, you will find your psychic abilities weakened or nullified, depending on what you need at the moment. It’s quite useful for those who have difficulty with controlling their abilities."
0 CP,Expanded Mind,Fallout: Mutants,"Radiation has unlocked something within you, opened your mind to the cosmic energies of the universe. You are now a psyker, someone who possesses psychic powers. Among your new abilities, you are capable of seeing a person's psychic aura, or their soul, should you be more of the spiritual kind. This perk is also helpful in that it will allow you to improve your psychic abilities through training and constant use."
0 CP,Mutated Vitality,Fallout: Mutants,"Radiation is more likely to slowly kill you in a mess of tumors than it is to actually heal you, though the possibility of such a thing is never zero. Much like ghouls, at least as far as anyone knows, at least, you are biologically immortal, never aging past your prime. Though it may seem like a gracious gift, do not overestimate it, as a stray bullet is still just as likely to be your end as it was before."
100 CP,Aqua Boy ,Fallout Series (Imaged),"A strange ability, this one. Sure, the vast majority of the water you find will probably be irradiated to hell and back, but that doesn't mean there aren't treasures under the waves for you to find. That's right, you can now breathe underwater as easily as if you were on land. In order to make this a bit more useful, you can see underwater perfectly, and are immune to the crushing pressure of being down in the depths."
100 CP,Mutated,Fallout TV Show Jump,"Given the radiation, it's really no surprise that some folks received some mutations, and that’s before we get into the FEV and mad scientists running about. You are one such person, having received a minor mutation which serves as an advantage. This could be something as simple as the ability to see in the dark, or as complicated as a third arm. The visibility of said mutation is also up to you, though be aware that some communities might discriminate against the visibility mutated."
100 CP,Psychic Master ,Fallout: Mutants,"A beautiful woman who wouldn’t be too out of place on one of those Old World holovids, she is by far one of the most potent and versatile psykers around. Not only can she lift Super Mutants into the air with ease, but her telepathy allows her to read the minds of anyone nearby. Her most useful power, though, is her ability to teleport within line of sight, offering her unparalleled mobility."
100 CP,Forced Immunity,Fallout: Mutants,"When the FEV changed you, all the way down to your DNA, it ensured that it would be the very last virus that would ever affect you. Your immune system is exceptional, making you, well, immune to all forms of diseases, illnesses, and viruses that you may come across. It doesn’t matter if it’s some biological weapon that was just recently created or an eldritch curse, it won’t mean anything to you."
100 CP,Forecast,Fallout: Mutants,"One of the more common abilities that Psykers possess, should such a term be used for them, is that known as the Sight. With this, you are capable of getting glimpses into the future, often in vague yet helpful forms. You could improve this for a time through the use of chems, but then you'd run the risk of addiction. Still, that would be but a small price to pay to gaze upon the currents of time."
100 CP,Rad Regeneration ,Fallout: Mutants,"It is a strange duality, one where those twisted by radiation can also be healed by it. A curious ability, one that you now share with many others. You are capable of regenerating when in the presence of radiation, an effect that gets more powerful the more radiation you absorb, being used up in order to keep you on your feet long after you should have bit the dust."
