0 CP,Children’s Area ,Fallout Series (Imaged),"There aren't exactly a lot of places to safely raise a child, but your base would definitely be one of them. You now have dedicated areas specifically designed for children to have fun and be entertained and educated, be it their bedrooms and a playroom, or entire buildings for larger settlements."
0 CP,Dog House ,Fallout Series (Imaged),"Despite its name, it doesn't have to house a dog, but rather any pet that isn't big enough to be ridden. Any animal that stays in here will be faster and stronger than before, as well as being more resistant to damage and disease. It's also filled with numerous toys and food bowls that are refilled each day and self cleans."
0 CP,Exhaustive Pantry ,Fallout Series (Imaged),"There are two things that humans desperately need. Water, and food. Thankfully, it seems as though your base won't run out of the latter. That's right, you've got a stockpile of healthy Pre-War food ready for your consumption. This isn't just the pre-packaged stuff, but also fresh greens and red meats, as well as a large number of other ingredients."
0 CP,Green Garden,Fallout Series (Imaged),"Though the Wasteland isn't exactly known for healthy plant growth, there's still some out there who like utilizing their green thumb. A large garden where you can plant near any vegetation, and watch it bloom within a few days. You won't find any weeds, and so long as you put in some amount of effort in taking care of them, any ingredients you harvest from here will be of higher quality than normal."
0 CP,Indoor Plumbing,Fallout Series (Imaged),"Well hallelujah and praise Jesus, you've got working plumbing! Though it may not seem like much, this is a massive deal, seeing as now you can use actual toilets and even take hot showers. You would not believe how difficult any of these are to find out in the Wasteland."
0 CP,Lights,Fallout Series (Imaged),"Let there be light! No longer will you be living under candle light and lanterns, but actual light bulbs and lamps. You can even set the level of light, from dim to UV light that simulates the effects of the sun, but without all that nasty sunburn. Useful if you've got any indoor plants."
0 CP,Nuclear Entertainment,Fallout: The Resource Wars,"It may be a bit morbid, but the state of this world after nuclear armageddon is quite popular, and has quite the amount of merchandise. Not only do you now own all of the Fallout games, playable on any system, but also various merchandise like jackets, mugs, and lunch boxes. But best of all are the patented Vault-Tec Bobbleheads made in the likeness of you and all your companions. You will also get a new bobblehead for each future companion you pick up."
0 CP,Storage Area,Fallout Series (Imaged),"While wandering the Wasteland, you'll no doubt run into so many neat little toys and valuable supplies, but it can be a bit hard finding a place to store it all. No longer, as you've got areas dedicated towards nothing but storing as much loot as physically possible, which will automatically organize itself."
0 CP,Terminal Access,Fallout Series (Imaged),"Well, it looks like you believe in PC superiority, or couldn't go without computers for very long. Either way, you've got a number of terminals scattered around your settlement, all of them connected to a single server that won't ever run into any issues. As the admin, you gain full access to all of them, even the private files and histories. Use this wisely."
0 CP,Vault Suit ,Out of Context: Fallout Supplement,This iconic blue-and-yellow coloured Jumpsuit is the iconic gear of Vault dwellers and by and large the symbol of Vault-Tec Corporation.
0 CP,Water Purifier,Fallout Series (Imaged),"Clean water is hard to come by in the Wasteland, and something you never have to worry about. Your base will benefit from an unlimited amount of fresh, clean water. It's such a vital resource, so you could probably bottle some up and sell them to get a good deal of profits."
100 CP,Crafting Stations ,Fallout Series (Imaged),"For those who are feeling particularly crafty, this purchase might just help with that creative itch. This workshop connected to your Warehouse or part of your vault is filled with all sorts of crafting stations, along with the materials needed to actually craft, which replenishes weekly. Anything created or improved here will be of a higher quality. A reloading workbench in order to create new ammunition. An armor station in order to improve any armor you have, along with its weapon variants. There's also a chemistry set equipped with everything you need to whip up some chems."
