Cost,Perk Name,Source,Description
0,Parautilitarian,Control,"You are now a ‘parautilitarian’, a person with sufficient mental power to be able to link to Objects of Power and utilize their abilities. Even without linking, you will gain a vague empathic sense for the emotions of those around you, and strong but unfocused telekinetics, which can mainly be used to execute a force telekinetic shove or push. Your main ability will be the ability to link to Objects of Power, forming a connection that can allow you to borrow their abilities, which can range from levitation to mind control and more. In future Jumps, objects with strong supernatural powers or links to the combined human subconscious can be treated as Objects of Power and bound for abilities as well. Upon binding an object, you can be transported to a temporary mental space, where you can go through a brief ‘tutorial’ on how to use the object’s power."
0,Force Sensitive,Star Wars - Darth Bane Trilogy,"The Force is what gives a Jedi, or a Sith, his power. It's an energy field created by all living things. It surrounds us and penetrates us. It binds the galaxy together.
You are a member of a small percentage of the galactic population that can tap into and utilise the Force to effect the world around you.
Drop-Ins and Soldiers can be Force sensitive, but will begin with no training or awareness of the powers to which they have access."
0,Natural Potential,Lyrical Nanoha,"But at any rate, to help you get a head start in this world, we’re going to grant you a natural A-rank potential. For your purposes, this is going to be virtually identical to your Mage Rank at first, unless you put the training in to improve your prowess. You may purchase to the indicated rank for the point cost listed below. Remember, raw power isn’t everything, skill is just as much the name of the game as anything, but raw power will certainly give you a leg up."
0,Telepathy,Lyrical Nanoha,"Your own magical chat network! You can communicate mentally with a willing subject, even if they otherwise lack the capability and range of this particular magic. You can’t really force them to do anything except listen to you, but this mind-to-mind communication network has a range across dimensions, though you obviously can’t communicate with past jumps or other continuities until you get your Spark. Note that your mental communication can be intercepted like radio transmissions would, and you can be shut out by someone unwilling to listen to you."
0,Shooting-type Spells,Lyrical Nanoha,"The simplest and most common spell used in combat. You focus mana into a sphere or ‘bullet’ and fire it at your opponent. Can be used in various forms - homing bullets, rapid-fire, and so on. The ‘big’ spells tend to fall under Bombardment, so take note of those as well. These can be ‘aimed’ by hand, or ‘guided’ by the right calculations in the spell."
0,Bombardment-type Spells,Lyrical Nanoha,"When someone or something absolutely needs to be blown the hell up befriended. Accept not substitutes. By focusing a large amount of mana into a single point, you may fire a large blast at a target, designed to completely overwhelm them via a show of raw power. These are almost always aimed, but if you can get a bit of skill and power for it, you might find a way to make such destructive spells guided..."
0,Magic-Enhanced Attacks,Lyrical Nanoha,"Need a weapon to hit harder? Need your fist to absolutely break through something? Want to show off to someone? This is where you’ll look. By enhancing your blows or weapon with mana, you can make the blows or strikes inflict more damage, and letting you strike with more force than before."
0,Barriers and Shields,Lyrical Nanoha,"But you can’t just keep slinging offensive spells left and right all day without any kind of defense, right? You can create barriers and shields to reinforce your own defenses, letting you block spells and attacks so long as you utilize them properly. This can be especially draining or fragile against powerful Bombardment spells or worse, though...you might want to consider dodging instead."
0,Capture-type Spells,Lyrical Nanoha,"Finally, there’s these. You can physically restrain a foe with binding spells that inhibit their movement and prevent them from maneuvering, or even create intricate cages of mana that lock said foe in place completely and allow you to capture or interrogate them while they’re stuck in an immobile prison."
0,Attuned,Senki Zesshou Symphogear,"Well, not just anyone can start singing and activate a relic! While there are ways to artificially gain attunement – the LiNKER drug and Human-Relic fusion coming to mind – you're going to gain a high natural level of attunement, allowing you to activate and use a Symphogear without artificially increasing your synchronization coefficient. Be warned though, your synchronization still isn't high enough to completely prevent the backlash from singing your Swan Song."
0,The Song of Your Heart,Senki Zesshou Symphogear,"In addition to an improvement to your singing skills and ability to compose songs you are no longer reliant on your mouth to deliver your songs. You may freely sing and speak simultaneously, as your heart broadcasts your song (plus appropriate musical accompaniment) without necessity for such things as atmosphere, breathing, or instruments. This can be freely toggled but doesn't require further concentration once activated unless you wish to use non-Relic based singing abilities alongside it."
0,Calling Card,Senki Zesshou Symphogear,"You spent a lot of time coming up with your combat techniques. It's only fair to name them! When you make an attack that's above par, time almost seems to freeze for a second, and all those onlooking instinctively recognize the name and intended theme of the technique. This effect can be toggled."
0,The Light of My Soul,Nexusverse - Nexus,"The primary and most utilized source of power in Nexus is the very Light of the Soul itself, appropriately called Light, represented as pinpoints of Light with tiny threads of holding them together spread evenly throughout the body. This power naturally strengthens the body and its functions in its base state. A person is limited to the Light they have on reaching full maturity, around the human equivalent of 25, with the powerconstantly growing at a slow rate up to that point, with it slowing further after puberty. However, this alone would not make Light particularly useful.
There are two ways to manipulate Light. The first focuses the pinpoints into a smaller area to add more power to that area or be able to shift how it manifests. While this shifting takes a bit of concentration and time, it is fairly easy to train to the point where it's near instinctive to shift the pinpoints of Light around.
The second method is the most potent, but also the most time consuming. By looping the strands connecting pinpoints together around a series of pinpoints, it's possible to create a Seed. A Seed will continuously grow brighter over time, creating a small well of power. This is the basis of Seed Sorcery (see below). However, even those that do not use Seed Sorcery will find this useful, as cracking open one of these Seeds gives a boost to the effects of the user's Light based on how strong the Seed is.
Post Jump, you may awaken Light in others, complete a capacity to form Mistlight Manifestations."
0,Mist Collector,Nexusverse - Nexus,"When any creature with Light dies, they leave behind a small echo, a wisp of glittering Mist, colored similarly to the Lenses the individual possessed in life. These wisps are also touched by the memories and emotions of the being's life, altering its properties somewhat. The collection and manipulation of these wisps of Mist are the basis on which Mistlight Manifestations come into existence.
Collecting a wisp of Mist is easy, simply touching it will stabilize it and allow it to be stored indefinitely. But utilizing a single wisp of Mist to create a Mistlight Manifestation will result in a lackluster Manifestation, weak enough that even humans, who lack the reserves of light necessary to become proper hunters, prefer to make at least a few modifications before doing so. To that end, there are three methods of strengthening a wisp.
First is smelting or fusing. Taking two or more wisps of Mist and combining them into a single, new one with the traits of both. This is by far the easiest and fastest method of empowering a wisp of Mist. However, unless you know exactly what your wisps of Mist are and how they'll react, combining them in this way may lead to complications, such as opposing traits canceling out or mutating into a new trait that has a negative impact on the whole.
Second is cultivation. By 'feeding' a wisp of Mist, it is allowed to grow organically and produce new qualities and traits over time. Allowing a wisp of Mist to grow in this way is fairly simple, and with its organic growth it's unlikely to have any complications, but this process is time consuming, potentially taking weeks or months to yield the results on par with smelting or refinement.
Lastly is refinement. This is a rather difficult process that removes unwanted traits from a wisp of Mist, much like cutting and polishing a gem. This process has you excise traits and qualities from a wisp of Mist, allowing the other aspects to grow in strength as a result. This is a quick process and is unlikely to cause any real trouble, but you must be very precise and careful during the process or you may leave behind bits of what you wanted removed.
Additionally, wisps of Mist are useful for another purpose. By binding a wisp to a Seed, it can act as an artificial Lens in the use of Seed Sorcery. Seeds formed with a wisp are, however, slower to grow than those that use your own Lenses. Cracking a Seed with a wisp will often cause the wisp to dissipate, though some Seed Sorcerer's have learned how to reclaim the wisp used for this prior to cracking the Seed."
0,The Spark of Genius,Nexusverse – Betwixt,"Sparks are spiritual seeds of the World Tree, planted within the minds of the people of Betwixt and enhancing the mind of those who benefit from it. The Spark on its own is a form of mental magic that grants you, and anyone else with a Spark, an enhanced ability to learn new things through improving memory, comprehension, and thought speed, equalling roughly three times the norm of someone without a Spark. Thissteadily improves over time as the Spark is nourished and allowed to grow, which is sped up further by actively learning new things and meditating on what you already know.
Additionally, the Spark acts as a buffer against mental influences, protecting the mind and will against any form of mental attack. While not a perfect defense, this buffer is like armor for the mind and takes a concentrated effort to bypass. Combined with other mental defense techniques, it becomes significantly harder for mental influences to take hold on the mind.
Like the World Tree they come from, Sparks produce an energy that can be harnessed. The energy produced by the spark cannot truly affect the world in its raw state, but it can be used as a fuel source for the various technologies of Betwixt and can act as a catalyst to initiate or speed chemical reactions that would otherwise never occur or take a long time to run their course. The stronger the Spark is, the more of this energy is produced.
Post-Jump, you’ll be able to grant a basic form of Spark to others. This also results in them.obtaining a functional biotemplate."
0,Biotemplate,Nexusverse – Betwixt,"An exceedingly useful trait of the Spark is that it, when mixed with natural energy, generates a spiritual structure known as the biotemplate, a sort of blueprint for the physical body represented in spirit. This biotemplate eases body altering techniques and makes enhancements to the body more efficient as it integrates the effects more thoroughly into the body and spirit. The presence of the biotemplate and the development of methods to observe and interact with it after its initial discovery drove the advent of bioenhancement in Betwixt.
Additionally, it was found that the biotemplate could be ‘extended’ into grafted structures, such as cybernetics or artificial organs, to make them a part of the body, to the point that cybernetics will repair themselves if damaged after being incorporated into the biotemplate. This does, however, take upwards of a decade to fully integrate.
While technically the result of possessing a Spark, this structure can be created within someone simply by exposing them to the energy of a Spark without needing to possess their own Spark, thus, you can use this perk to grant someone a biotemplate."
0,Phased,Nexusverse – Betwixt,"A commonly acquired technique that temporarily improves on the Spark in a more direct fashion than simply passive growth, this technique works by focusing the energies of your Spark inward, which then improves on the Spark’s effects, forcing it to enter what is known as a Phase. Phases improve on the benefits the Spark provides and can unlock new abilities within the Spark with each increase in Phase. It is possible to perform this multiple times, gaining additional Phases that further improve on the Spark, however, the cost to enter higher
Phases increases exponentially. Basic Sparks, those provided by the The Spark of Genius perk, are the easiest to increase in phase, with others being more difficult."
0,Weapon Training,The Elder Scrolls - Warriors,"You would be a poor warrior if you were without the proper skills. Not only are you fairly adept with your chosen combat style and in peak physical condition, but you know how to properly maintain your weaponry and armor."
