Cost,Perk Name,Source,Description
0,Mica’s Training,Outer Wilds,"You know your way around piloting a spaceship. Nothing special, really — don’t expect to be pulling any high-speed maneuvers, but you can navigate in three dimensional space well enough to travel between planets with relative ease and grace, or use your thruster pack to move around."
0,Gossan’s Training,Outer Wilds,"You’re well-trained in the proper maintenance of the equipment you can acquire here, be it space suits, thruster packs, or even your own spaceship. It’s not going to save you any seats at an engineering college or anything, but you won’t be stranded if your suit tears or your fuel line ruptures."
0,Explain And Identify,Outer Wilds,"The tenets of Nomai philosophy: to seek out and understand. You are granted special insight into the fields of study the Nomai investigated so many years ago, allowing you to eventually replicate the various scientific wonders seen across the planets in this solar system and in the rewards here. Your ability to comprehend, analyze, and extrapolate on data, observations, and scientific knowledge is improved drastically, and the laws of physics that govern the technology from this Jump will remain functional for you and those you teach, seamlessly incorporating into the laws of physics of any future universe you visit."
0,A Stranger Field Of Science,Outer Wilds,"You gain special insight into the unique field of science pioneered by the inhabitants of the Stranger, allowing you to eventually replicate the seemingly miraculous technological developments you will find over the course of your stay in this world. In addition, you will be given a head start by knowing the rough design philosophies behind the foundational pieces of their technology."
0,Prolong,Honor Harrington,"A simple, perfectly medical treatment performed in this world, prolong extends a person’s lifespan dramatically, easily adding multiple centuries. You get a full treatment for free, as well all the knowledge and information you need to start doing it yourself elsewhere.
While in this jump you cannot give prolong treatments to people who are already too old to receive them normally (unless you solve that particular scientific breakthrough yourself, which no one in-setting has), but post-jump you may give them to anyone you like. Note that prolong is designed to work with human and mostly-human genetics, so you’ll still need the relevant scientific chops of your own to adapt it to alien races."
0,"Class & Specializations: Engineer, Mechanic",Mass Effect,"Some races have it better than others in terms of how many options they have available to them. You are permitted to take one class and one specialization for free. You will get enough training in your class to be considered an asset to any team. Not to the point of being a keystone.
You are considered to be to a similar level when it comes to your specialization. Classes are systems in which an individual can have one or two focuses in combat, technology, or biotic talents.
Specializations are various apexes that can be reached. For an additional specialization it will be 100CP if they are in your class, and 200CP if they are not or for a different race. If you take a specialization that doesn't correspond to your class, you will be trained in it, but not have a talent for it. Almost all classes and specializations give you some level of implants. You may forgo these, but that will weaken what you can do. You also get a set of gear per your two choices. You get more depending on further classes or specializations.
Classes have a brief overview but are considered to possess a tested understanding and ability to use all their basic abilities that they'd have access to. Specializations are mostly, if not entirely, covered in the descriptions provided. Your wank may get you some less or more from the fluff in either case. Just get the listed otherwise.
Engineer (Focus: Tech):
Engineers are pure technology specialists. Although they lack the implants that most other classes wield, they make up for it with their high-spec military grade omni-tools, capable of bypassing shields and armor or incapacitating robotic targets and some synthetics. They can deploy combat drones to harass enemies.
Mechanic – A more purely focus Engineer. From fighters and frigates to Mass Effect fields and automated machines, you know your way around and are aside fairly versed in mechanical theory. You might not know how to build something, but you can almost certainly figure it out with time."
0,Single Style: Kalaripayit,GUNNM,"Solid theoretical and practical experience of a single form of personal combat. In the wasteland, what martial arts survive are pragmatic descendants of old world teachings. In the Scrapyard however, there are genuine schools of combat, though they are often overlooked – most human styles are ineffective against the crudest cyborg brawler, and the emphasis is to strike fast and run away faster.
From India, and almost certainly the oldest art still in use. Kalaripayit begins with meditation, massage and yoga to build strength and clear the mind, before progressing to weapons and finally unarmed combat. The most distinctive weapon in use today is the whip-sword, as used by the Grand Champion in the form of his Grind-Cutters. Advanced unarmed techniques focus on striking vital points for healing and killing. Cyborgs who follow this style usually dispense with the boring philosophy and skip to the good stuff."
0,Valkyrie Skill,Battle Action Harem Highschool Side Character Quest,"You have the training and knowledge in the operation of a Valkyrie frame. This includes basic skills such as synching and desynching with a Core, storing items and later expressing them, expressing your Valkyrie Frame and individual components, to more advance skills such as aiming and firing weapons, flying, shaping your Impeller Field, and other essential skills. Your level of skill and knowledge depends on your origin. First years only have relatively basic level knowledge and skills, while Aces have more advance levels reflective of you being a third-year and having actual battlefield experience rather than simulations. Instructors have expert and mastery level knowledge and skill which comes from being a veteran Valkyrie pilot and is required to properly teach cadets."
0,Serene Sinatra,Macross,"You're no slouch in the singing department, that's for sure. You may not be popular idol material, but no one's going to complain if you decide to sing along to a song or randomly bust out a tune with a voice like this. Who knows, maybe you could practice and get a little better?"
0,Basic Training,Macross,"Piloting a Variable Fighter can be pretty complex. There's all kinds of modes and maneuvers to worry about... with this, you won't have to worry so much. You'll know which button does what, and you won't end up turning into a mech when you need a jet. ...but I reserve the right to laugh if you mess up anyway."
0,Guardian Training,Warhammer 40k - Craftworld Eldar,"Everyone serves the military at one point or another. However, Guardians are civilian militia called to put on their war masks for the Craftworld. Basic training includes instruction on how to move and shoot with great accuracy, how to read maps, set up ambushes, and basics of hand to hand combat. Compared to the average Imperial conscript, your basic training is of far better quality, as individuals are valued more alive than dead."
0,Psychic Race,Warhammer 40k - Craftworld Eldar,"All Eldar are psychic, putting them in the low psychic ratings naturally. The benefits include telepathy, limited clairvoyance, and limited telekinesis. Their minds glow bright within the Warp; if a Human Psyker is a flashlight in the dark, an Eldar is a strobe light in the dark. The Path system and their spirit stones keep their souls safe from prying monsters of the warp."
0,Eldar Physiology,Warhammer 40k - Craftworld Eldar,"A quick glance will tell you that an Eldar is much like a human. However they are a genetically engineered race of beings, created to be near perfection. Such must be the case for those forged by the Old Ones to destroy the Necrontyr. Their bodies seem to be stretched, and wiry muscles do not lose tone from lack of use. Their eyes are almond shaped and glimmer like jewels, capturing every available light beam and reflecting it back - not unlike a cat's eyes, which grants them superior senses in low light conditions. Additionally, their ears are incredibly sensitive to sound, vibrations, and temperature changes. Lastly, their reflexes and speed are unmatched by anything the Imperium of Man can muster, save for Officio Assassinorum killers."
0,Call me Mr. Necron,Warhammer 40k - Necrons SB Edition,"One thing you have to admit about the Necrons is, the names are pretty damned cool. Trazyn the Infinite, Imotekh the Stormlord... there’s a panache to them. Now you get your own Necron name, complete with epithet. You may insist everyone use it whenever they address you or refer to you in the future, and people will do so regardless of what it may exactly be. If you ever get tired of it, you can select a new name and epithet and people will start referring to you by that instead. Your name also invokes an emotion of your choice in people, such as awe or fear."
0,Necron Physiology ​,Warhammer 40k - Necrons SB Edition,"The Necrodermis shell that serves as your body may be regarded as a curse by many, but it is not without its upsides. Perhaps the most obvious benefit is that you do not age. Your once pathetic lifespan is now immeasurable. Just as it resists the ravages of time, it is remarkably resilient against damage. Your immaculately constructed shell can take damage comparable to the Artificer Armor of an Astartes, and what few wounds you sustain will be regenerated by Living Metal."
0,Homo Sapiens Rotundus,Warhammer 40k - Squats,"You are a Squat, the most successful  and widespread of the abhuman races. You are short, the average Squat is 1.4 meters tall (4.5 feet) and stocky. Coming from heavy gravity worlds, you are quite strong and resilient and can drink even Space Marines under the table. Unless they’re Space Wolves, then it’s anyone’s game. Also long-lived (2-3 centuries is common) and have a very keen memory and surprisingly nimble fingers on those proportionally huge hands. Your hair is also tougher and faster-growing than baseline humanity. Finally, you have an inborn psychic potential that grows, very slowly, with age."
0,Primarch Physiology,Warhammer 40K - Horus Heresy: The Primarchs,"All the Emperor’s sons have been forged out of both physical matter and pure psychic force. In some, this manifests as incredible psychic talents, in others more esoteric gifts, but all have some things in common. You are to Astartes what Astartes are to children, standing head and shoulders over your fellows and obviously superior in every measurable way. You can hurl around Terminator armoured Astartes like they were children or punch straight through their plating, move far faster than even Astartes sight can follow, and even briefly lift a small Titan under your own power. A breathing apparatus is largely useless for Primarchs, for excepting a few chemical weapons and hellish worlds, a Primarch can breathe just fine in nearly any environment and even fight for hours without air amid the void of space. Not only that, you possess a fairly quick regeneration ability; you will heal from bruises in mere seconds and fully recover cuts down to the bone in minutes for a regular cut to hours for having the flesh entirely stripped off. But it is already extremely difficult to actually wound a Primarch, who is capable of surviving shots from tank cannons, bathing in molten rock, and being shot through the eye with sniper rounds. The average Primarch is also notably extremely resistant to psychic powers – capable of largely shrugging off all but attacks from extremely rare, extremely powerful psykers, though you may lower your resistance if you wish to be easier to affect with psychic powers such as healing and buffs from your allies."
0,Primarch Mentality,Warhammer 40K - Horus Heresy: The Primarchs,"Your mind is every bit as honed as your body. Your towering intellect would be considered genius among the greatest of men, though naturally inferior to the Emperor Himself. At the least, you have perfect eidetic memory (though there are ways to make you forget) and can memorise vast quantities of information far faster than any living human has or ever will. Furthermore, all Primarchs seem remarkably resistant to Chaos corruption and possession; short of directly clutching a Daemon weapon, being wounded by a specific weapon meant to corrupt you personally, or willingly letting the power of Chaos into you, you do not fear the gradual insanity and corruption into darkness lesser men might face. A Primarch naturally has the kind of towering willpower to resist Chaos in general, even the Ruinous Powers must put some serious effort and elaborate plans into luring one over to their side."
0,Psychic Abilities,Warhammer 40K - Horus Heresy: The Primarchs,"You are, even before any other purchases, a very strong psyker. However, your powers most likely manifest as latent abilities you have no particular influence over, and many Primarchs showed an... aversion to psychic powers that further limited their ability to develop them. If you were to deliberately apply yourself, learn to unlock your psychic potential and learn to safely use it, you could easily become an Alpha psyker at the very least. This is your raw potential and barring any other purchases in jump will begin entirely latent and untapped by yourself though it remains entirely possible you can awaken your gifts and reclaim your birthright as a mighty psychic demigod. Constant exposure to the Warp or the gifts of the Dark Gods may even empower you further..."
0,Lingua-Technis,Warhammer 40K - Adeptus Mechanicus,"Known only to the devotees of the Machine God despite the best efforts of outsiders over millennia, the adepts of Mars speak to each other in bursts of binaric code. This allows for a great deal of information to be communicated quickly and discreetly. Even if somehow translated, it is a complex language thick with ancient and arcane terminology that few outsiders could ever hope to make any sense of. This language and your implants allow you to communicate quickly with other adepts, transferring messages and code many times faster than ordinary speech."
100,Weapons,Star Trek: TNG,Knowledge in the operation and repair of personal and mounted weaponry.
