Cost,Perk Name,Source,Description
0,Aura,RWBY,"Aura is the manifestation of a person’s soul. Now that yours has been unlocked, you can call upon it to protect you, summoning it as a forcefield that cloaks your body. This must be activated manually, but once sufficiently trained, you can keep it on with almost no concentration. It can also heal minor wounds and is used to power your semblance. Your aura grows in proportion to your soul, and your soul grows as you become more powerful. Aura passively increases the physical ability of those who have it, placing them at low superhuman levels. You can channel your aura into weapons and armor to increase their durability and offensive capabilities. With some experimentation, you might even learn to directly enhance your strikes with your aura. Aura is also used to activate Dust, the main energy propellant of Remnant. Lastly, those with aura can also unlock the auras of others with a bit of self-reflection on the nature of their own soul."
0,Basic Training,RWBY,"You have the bare minimum fitness and training to be a student at a combat academy. This isn’t anything super special, but you’ll know how to use dust based weapons as well as dust in it’s basic forms. You also gain training with the weapon that you build in the module below."
0,Spiral Energy,Gurren Lagann,"A mysterious but incredibly powerful evolutionary force that can be harnessed and manipulated by living beings. Spiral Energy can allow an individual to achieve virtually anything imaginable, but in order to keep things from getting too crazy you’ll have to slowly unlock your Spiral powers over time. Initially you’ll only have enough power to pilot a Gunmen but with enough time and the right circumstances you can figure out how to generate large powerful drill weapons from your mech that are capable of easily destroying other Gunmen and can cause massive explosions. After a few years of continued use you could potentially learn how to increase your physical abilities, Intelligence, and natural lifespan to superhuman levels. Once you’ve fully unlocked your Spiral power you’ll be able to live for over a thousand years, punch apart small Gunmen with your bare hands, discover and forge incredible technological wonders, and generate drills and other constructs from Spiral Energy without the assistance of a mech."
0,"This Is, Actually, Rocket Science",Kerbal Space Program,You gain an instinctive grasp and understanding of Delta V and orbital mechanics.
0,Outside Context Problem,Worm,"It’d be boring if you were to just die right at the start so for free you'll have a selective immunity to the powers of a few rather nasty plot device level opponents that by all rights would probably want to kill you right out of the gate. Contessa, Ziz, and Zion's precog doesn't seem to be able to pick you up, instead returning a zero-sum error whenever they try to force the issue. They won't notice this until you garner enough attention for them to try and then they might take further measures to see what the problem is. But at the moment you'll be safe from being instantly killed due to the threat you pose to their plans. This works on all shard/entity derived precog. Your peculiar inter-dimensional nature just messes up their ability to predict you. Coil is an exception due to the weird nature of his power."
100,Mechanic,The Fast and the Furious,"Machines, especially ones that go fast, just speak to you. You have no problem fixing up and tuning any motor vehicle, and can rebuild them after the most devastating crashes. You can keep anything in top condition with just a few simple tools. Of course, you also need to understand the electronics, so hotwiring cars (and sometimes, alarm systems) is not a problem either."
100,Hands Off!,Starcraft II - Nova Covert Ops,"When one is at the forefront of technological development, one sometimes has to watch out for espionage. Why bother developing a revolutionary new weapon system when a Ghost with sticky fingers walks in and takes it? You are able to design, and seamlessly implement security protocols into any technology or equipment you have access to that would limit use to only authorized personnel. You don't even have to go to the extreme of half-breaking it either, that's for neanderthals and inferior scientists."
100,Consummate Knowledge,Ring of Red,"You know everything there is to know about repairing, maintaining, and fueling AFWs. This includes a working knowledge of diesel engines, pneumatic systems, ranged and melee weapon systems, among others."
100,Stylish Mechanic,Gurren Lagann,"In addition to knowing how to repair and create mechanical devices you also have quite a knack at making anything you work on look good. Any time you fix something it'll end up clean and pleasant to look at, and you can easily come up with humorous or awe-inspiring designs for vehicles and devices."
100,Aerospace Engineering Makes Things Go Fast,Kerbal Space Program,"You have an intuitive grasp on the mechanics of wind-flow, material sciences, atmospheric drag, tensile strengths, rocketry, so on and so forth, and how it applies to the art of designing vehicles that traverse the sky and space."
100,Nanite Sciences,Generator Rex,"You possess in depth knowledge of nanite technologies. With sufficient equipment and resources you could produce and control nanite machines, possibly even recreate the nanite event or maybe figure out how to reverse its effects. But that would take a long time of additional study of nanites out in the world, still you might be one of the few who could attempt this endeavor. You possess no knowledge of the meta-nanites, and understanding how they work is beyond your grasp."
100,Chemist,Fallout 4,"Groovy! Knowledge of chemistry has given you the ability to recite the entire periodic table, as well as knowledge of many exciting compounds such as dipotassium phosphate! Oh, and you can also make less exciting things like Stimpacks and Psycho, but why would you do that?"
100,Biocare,Half-Life,"Understanding the nature and health of various animals and plants is second nature to you, even exotic ones. You now have considerable skill in the care of flora and fauna."
100,Efficient Electricity,Generic Video Game Developer,"Energy. Computers, being devices able to calculate AI paths while simultaneously rendering graphics for players to see, use a decent amount of it. Thankfully, you seem to be extra skilled in the area of computer electronics, able to make devices that not only use smaller amounts of energy for the same work, but are also more resilient than the average gaming device, able to handle electrical surges far better than most."
200,Mecha-Shift Engineer,RWBY,"You possess all the engineering knowledge needed to create, maintain, and upgrade the mecha-shift weapons that are used by Huntsmen and Huntresses, and how to apply these design principles to other projects.This translates to the mechanical knowledge to fit large complex machinery into very small forms, as well as machinery that transforms into different shapes like a sniper rifle shifting into a scythe."
200,Insightful Analysis,Freefall,"Whenever you build, invent, scan, design, or perform a major repair on something, you have a clear and accurate understanding of it several decades in advance. The errors, issues, bugs, problems and so on that would be discovered with mass production and mass use of whatever item are clearly understood by you, alongside the fixes and preventative measures that would come into play."
200,"They're Like Legos, Right?",Kerbal Space Program,"There's robust engineering, and then there's modularity. Pick one. Except for you - you seem to have the gift of designing methods that allow for seamless mixing and matching of modular technology that lack none of the parts incompatibility and fragility you'd except from such a design paradigm. While this seems focused on Kerbin technology in specific, a little work should have you applying such a paradigm to all sorts of technologies..."
200,The Conveyors Will Run On Time,Factorio,"Or you could let a computer do all the work. You have the programming skills needed to automate a massive assembly complex, having dozens, even hundreds of disparate machines working smoothly together. Your skill is enough to program 'fuzzy' logic into your machines. This is far from actual sapience, but they will know not to waste energy or compound problems by blindly following irrelevant, contradictory or self-destructive programming. Your defensive systems also work more intelligently, leading targets, prioritizing more dangerous enemies based on the current situation, and not being distracted by decoys."
200,No capes,The Incredibles,"They snag on things, get caught in turbines, generally get in the way, and not many people can even pull the caped look off... Too much trouble to be worth it. And likewise, you can pick up on the weaknesses in designs extremely quickly, able to remove them or simply attempt to cover all your bases when you create something. Never again shall you create a suit that will fall short or hinder the wearer."
200,ARTIFICER,PREY,"Any monkey with a wrench can look up the technical manual and do a repair. Well, maybe not any monkey, but you're certainly a cut above the rest. Any technology you come across that you understand the principles behind can be drastically improved. Either simplifying it to make it easier to fabricate or improving its durability or power output. Weapons, turrets, tools and vehicles can all be improved beyond their base specs."
200,MEDICAL DOCTORATE,PREY,"Talos has no shortage of medical assistance, keeping the crew in top physical condition and studying the effects of Neuromods on the human psyche. Almost everyone in the Neuromod department has some medical background. Now you do too, either through your own education or through Neuromod injection. Basic medical supplies work better in your hands, sutures are guaranteed to hold through everything but the harshest of abuse and wounds cleaned by you never get infected. With more advanced supplies you're on par with the world's best heart surgeons. As a bonus, you can also identify and remove organs from the Typhon that a rich in the exotic material used in making Neuromods."
200,Schematics to Time,Generic Video Game Developer,"Wasted time is a serious problem for just about any company. And while most managers might think it's because John took an extra 5 minutes for lunch, the real time sink is the direction a project ends up going, as sometimes you go down a rabbit hole trying to fix a problem and take a while to get on the right track, such as looking for a bug in the wrong part of the code. But for you, it's different. For you, every time you settle down to work you get on the right track. From looking for bugs in the right section of code to researching the right function for a problem, your work is now more of a straight line, taking no detours and going down no rabbit holes. If you have a problem, you'll always start in the right place."
200,Short Development Time,Generic Video Game Developer,"Working at a smaller game company means that sometimes you get contracted out by a bigger corporation to make a game, and they want it ASAP. Well, at least now you can work fast enough to keep up with the deadlines. Usually, anyway. Either way, expect to do half again as much work as you would normally get done in the same span of time, all without losing any quality to your work!"
250,Techy,Code Geass,"From Knightmares to guns, you know how to build and improve Geass tech."
300,Bio-science,Generic City of Adventure,"You are a medical professional, trained to provide life-saving first-aid and even perform surgery. In less-than-ideal conditions, if you must. You can diagnose common issues, and can keep up with and assist the super-geniuses when they need an extra hand in the lab to help cure the space plague. Your actual qualifications are rather broad and ill-defined, but mainly focus on keeping your fellow heroes in top shape both physically and mentally.
You are the one heroes consult with when it comes to alien parasites, biotechnology, mysterious diseases, biological weapons, and helping new mutants understand their altered bodies. You have several degrees in assorted biochemical fields, and a few more in fields that haven't been named yet. This is enough know-how to make inroads into organic power armor or vast improvements to the human body, but expect concerns that you've turned evil if you start doing so."
300,Panzerkampf,Sabaton,"When it comes to building war machines, yours are top-notch! A gun made by your own hand will never jam, and a tank built by you will never bog down in mud or take damage from an IED. If they want to destroy what you've built, they'd best bring their A-game."
300,Mechanist,Fallout 4,"You know what makes robots tick or beep. Not only can you repair and create them from scratch, but you can also cobble them together, creating some sort of robotic Frankenstein's Monster that's loyal to you and you alone while also incorporating all of the best components of the robots it's made of."
300,Structural Biology,Half-Life,"The anatomy of specimens, both exotic and usual, is key to understanding how they work. You have an instinctive understanding of how living things work, how tough they are, and how interactions between biochemical reactions work."
400,Most Holy Order of the Socket Wrench,The Fast and the Furious,"You are a master mechanic. Repair and upkeep is nice, but you can go beyond the impossible and improve any vehicle. Take a van and make it beat a supercar? Put NOS injectors on a bicycle (and make it work)? How about something challenging? And anything you can build up you can tear down, too. You're a one-man chop shop and wiring a car to explode takes but a few moments and some chicken wire."
400,Info Processing,Starcraft II - Nova Covert Ops,"You are not always stuck in a lab, you are useful in more areas than just that. You can process information, sensor readouts, intercepted communications, and more importantly, you can apply such knowledge. While others would use such data for tactics, you see opportunity for scientific advancement. The more information you have access to, the better opportunities you see for salvageable materials, technologies, or data. And you can use those to relatively quickly implemenopt a usable and useful technology."
400,Making Do With Less,Freefall,"Is your last name Ambrose or perhaps MacGyver? Any time you use materials, they always seem to just work better than they should. Utterly useless scraps become usable if makeshift repairs and construction. Decent stuff is spun into great, great to esoteric, esoteric to outright absurd results. If used on the same thing twice, it won't enhance previously affected pieces further, though newly added bits would be. So long as you already had the skills, you could get a ship space worthy using only the random stuff that a none too knowledgeable thief happened to scrounge together. If you already had a perk that improved the effective quality/usefulness of materials, this would be added on top of that."
400,Super-Max,Generic City of Adventure,"There's not a single revolving door or scrap of cardboard in the defences you construct. Prisons, team headquarters, space outposts...wherever they are, whatever they're for, you can seamlessly integrate magical or super-tech materials into architecture without compromising function, style or habitability. Marble flooring pressure plates? Electronics mixed with clockwork backups to stymie technopaths? Getting the right mix of anti-demon salt mixed with cement to both look good and still keep them out? Easy. Of course, this perk includes enough architectural skill and artistic flair to make your own jumper-buildings look good, even with a giant glowing insignia on one side."
400,This Is How I Want It,Kerbal Space Program,"Your capability of mentally designing items is vastly boosted. It's almost as if you have a mental idea space in the fashion of a construction bay with a lists of parts you have on hand that gives you an idea of what you can build at that moment... actually, that's pretty much what you have. As a bonus, you can mix and match parts in a manner roughly akin to legos, and giving you an idea of what would work and what wouldn't (and how much resources it would take to build). Mind, this doesn't mean that your mental creation will perform successfully, but it will function."
400,Box-tech,Metal Gear Solid,Cardboard boxes that can produce a smoke cloud? Check. Poison Cigars? Check. A mine-detector the size of a Walkman? Check. Building the sort of gadgets that MGS protagonists rely on is your thing.
400,upgrades! Upgrades!! UPGRADES!!!,Red Faction,"You can make it all better. By studying a piece of technology for a short while, you can come up with ways to improve its functions or fix design flaws, though you'll still need the related technical skills to figure out details. In addition, you can use salvaged materials in lieu of fresh parts for this task."
400,Data Compression,Hive Queen Quest,"As an artificial intelligence being able to move, alter, and compress data is something more than a hobby for you, it is a way of life. As such you are so good at compressing data without harming its function that you could fit an entire artificial intelligence onto a pocket calculator if you had too and it would still work! Copying an entire database to fit onto a usb stick? SIMPLE. Be careful however the internal memory basically works as the life span of an AI, when it runs out the AI dies. Besides you never know when someone may catch on to your little tricks..."
400,We Can Copy Nature,Hive Queen Quest,"Nature is a test bed for amazing adaptations, from birds that explode in bone shrapnel upon death to crablike spiders with webs strong enough to capture and contain sea creatures the size of whales. Learning from nature just makes sense! As a scientist it is your job to learn from nature and apply this knowledge for other purposes, via dissection you can find out how a creature works biologically and create a mechanical proxy to do the same. A creature evolved chitinous spines that fire when startled? That could go great on your tanks, this underwater creature has an organ that causes nausea and blackouts? Put that sucker on a gun. Nature is full of innovations, use them well."
400,Miniaturization/Efficiency,Worm,"You can miniaturize anything down to levels that any sane man would consider impossible. A fusion reactor the size of a watch battery would be the absolute minimum of what you are capable of, and you'd be able to make it far smaller than that. Your power also makes you a master of technological efficiency, anything you make needing barely any energy to run compared to what it should and continue to do so for a very long time. These specialties also make you a master of nanotechnology and similar pursuits. Of course you aren't barred from building something big like a giant robot, just that it'll be impossibly efficient and crammed full of more weapons and subsystems then should be possible"
400,Programming and Computer Science,Worm,"Supercomputers are your bread and butter, and Artificial Intelligence is your idea of a PDA. Data, programs, and digital devices are your playthings, not to mention that your understanding of such systems means you can hack anything that could possibly be hacked. There isn't really any limit on the extent you could push computing hardware, and any kind of software you can imagine is within your grasp. Please do note that flaunting this is likely to attract some attention from a few major players in particular. Then again that might not be a bad thing depending on your disposition and plans."
400,Medical and Biological Science,Worm,"You know how to cure cancer, AIDS, and pretty much everything else. The working of flesh and bone is casual to you, with even the most difficult procedures capable of being performed half asleep and blind in one eye as easily as you breath. You're the perfect medic and doctor, but your skills and knowledge extend much further then that. You could create some truly incredible monsters if you wanted to, whether out of whole cloth or test subjects. Lets not even get started on biological warfare. Biology and anything to manipulate or interact with it are all within your capabilities. From genetic engineering, to human enhancement, to even cloning with the proper samples and resources."
400,Reverse Engineering,Worm,"While you still possess an amount of scientific knowledge beyond the curve of modern society, your base technical knowledge is far less than other Tinkers. This is however because your power lets you reverse engineer the principles and workings of anything you can get your hands on, and then apply that knowledge and understanding to your own work. Just seeing a device and watching it function gives you a vague idea as to how it works, and examining something means you can derive the hows and whys as to its functions. This requires time and effort on your part, in addition to the time and resources it'll take to actually implement this new knowledge, but as long as you put in the necessary investment you can always understand virtually any new technology. Your Tinker abilities will continue to expand as you gain access to new technology and knowledge, with potentially no upper limit as long as you can keep gaining samples to work with."
400,Green Machine,Factorio,"You have a knack for wringing every little bit of efficiency out of a system as possible. Your machines produce less pollution, consume less energy, and work just a little bit faster. On a larger scale, you know how to create a well-organized factory complex that makes efficient use of space, your conveyor system minimizes transport time and is free of bottlenecks, and you easily account for future expansion."
400,I used to design for GODS,The Incredibles,"And your skill is a testament to that lofty ideal. Designing things to be bold, dramatic, heroic, and just plain look good is as easy as breathing to you. Now the equal of Edna Mode herself, you'll most likely be asked to design for ""super""models in Milan on a regular basis... but it's just not the same, Dahling. Your real skill lies with the Super fashion after all, and Super Suits is what you excel in. To the point that you could even make people look good in spandex."
400,OVER CLOCKED NEUROLOGY,PREY,"Professor William James of Harvard used to say that the average man develops only ten percent of his latent mental ability. What if you could flip a switch and develop the rest of it in a moment? It's not as simple as a switch, but with the neural reprogramming ability of Neuromods it will feel like it. With this modification you can instead go days without sleep, operating at your peak, which is now far above your baseline. Better still, with this your Psi threshold is increased, meaning that special abilities can be maintained for longer and used more often before you need an injection."
400,Ultra-High Settings,Generic Video Game Developer,"While many may wish they had the beastly computers needed to run games on max settings, many don't. But why should we limit the beauty of your art for such a mundane reason? Your art and animations are such that no matter how hi-res the models or complex the animation it will have a minimal, if any, impact on how well your game runs. This also applies to other items and products you help create, meaning even the shittiest of computers or consoles can run your game at the highest resolution without suffering too much, while products like swords can have designs might seem to hinder a user's ability to swing it when in fact it's just as usable as a normal one."
