Cost,Perk Name,Source,Description
0,A Memory Of The Face Of Creation,Lords of the Night - Liches,"The power of the Arcane, and the necromantic forces that bolt it to a human soul... the mind was not built to cope with such things. Well, other people's minds might not be. You deal with it fine. In fact, you'll find that you deal with everything fine. Madness just doesn't 'take' when it's you. Your mind refuses to warp, your personality stays stable, and your view of reality matches what you sense and perceive."
0,An Age of Gods,Fate/Legends: Oasis of Fantasy,"The Age of Gods is certainly a time to be alive. Humanity is far from as weak as it will become in the modern era, so you will require a suitable body to these early times. Should you be born later in this world’s life, after the Age of Gods has ended, you will be quite the anomaly. A human with a body from the Age of Gods yet born in the latter ages. You have the physical and mental capabilities that any modern human would believe you are superhuman.
You can tear through the stone or metal of the modern day without much exertion, perhaps even lift a tonne of weight over your head, and certainly outrun any horse. You have magical power unlike what appears to those who use magecraft, as you do not have magic circuits. Instead, through your body runs pure magical energy, allowing you to much more easily manipulate your own energy and that of the world around you. Of course, such a thing requires training to utilise to any real effect but once you have that training, there is no modern mage not considered a freakish prodigy that could level with you. As befits a time of myths and heroes, you will be assured to be at least somewhat attractive and it is possible for your body to grow to somewhat inhuman degrees, though whether that manifests as being eight feet tall and bulging with muscles or the sort of beauty normally seen only in the depictions of fertility goddesses in the temples of Babylon...that’s still to be decided. to deal with them, and makes it easy to see through dishonesty or even martial techniques."
0,Basic Training,Fate/Stay Night,"Everyone has to start somewhere. No matter who you started as in this place, you've got the basic knowledge any magic user has. You know the core arts of Reinforcement, Gradation Air, Hypnosis and Formalcraft at an average level. Reinforcement is the enhancement of the functions of beings or objects through magical energy. You could make yourself as strong and fast as an Olympic athlete or enhance your senses to the best of human ability and so on, or you could increase the sharpness of a sword to cut through steel or the durability of a shield to endure small calibre firearms with ease. Things can only be reinforced so much at a particular skill level before they simply explode from overstuffing. Gradation Air is shaping magical energy into the form of an item, which temporarily becomes real. You could make a sturdy but mundane sword or shield with this, though they would not last more than a few minutes at a time. Hypnosis is the basic form of mind control all Magi learn to use. It can be easily shrugged off by any supernatural being or magic user at this level but manipulating ordinary humans is quite easy and only those with exceptional willpower be able to resist the use of this without magic to back them up. Formalcraft, generally considered magecraft for dummies, is a way for Magi to use the mana in the air, along with sacrifices or ritual preparation, to make casting spells easier or possible at all for those with little personal magical energy. All of these can be improved with time, sometimes to terrifying levels, but it will take effort and time."
0,Basic Training,Fate/Zero,"All magi, all competent magi at least, know the fundamentals of magecraft. Formalcraft, Reinforcement, Gradation Air and Hypnosis. These basic skills are known by all Magi to some level, though only a few make a serious study of any of them, as opposed to focusing on more complicated, more ‘sophisticated’ disciplines. You are skilled in the use of all four basic disciplines for no cost, the equal of an adult magus who completed their training in each area and was notably skilled."
0,Blossoming Sun,Fate/Legends: Land of the Rising Sun,"You had a fortunate birth, whatever you end up being, and find yourself above average for these lands. Japan is not particularly a bastion of mystical heroes in the way of Greece or Britain. Indeed, many of the legends to be found following are made from incredible skill or the command of many soldiers instead of personal feats of might and magic. But even these skillful heroes do tend to stand above the other poppies.
Your body is naturally on the higher end for human fitness, ably competing in modern athletics without any training required. Magically, you possess a number of high quality circuits, equal to the much later coming Tohsaka heir. A prodigy in those times but still notable even a thousand years prior. You lack training for now but magic is not so hidden as it becomes in the modern day, with the presence of spiritual temples and Onmyouji practitioners.
As a quirk of this land, you also have the ability to summon a wide range of aesthetic effects, even when they make no sense. A flurry of cherry blossoms on the wind as you make an entrance, the sun shining down the red rays of a sunset even mid-morning to dramatise your battles. One might claim you’re in some sort of samurai movie, with how many dramatic effects tend to occur around you. As part of this national style, you also have the unique trait of never struggling to draw or sheathe your weapons, no matter how impractically sized they are. The katana and sheath longer than your entire body won’t take anymore time to draw than a reasonably sized weapon. Not that you’re any better at using the weapons, you just won’t look like a tool taking them out."
0,Customer Service,Ravenwood,"You are an exceptionally patient and steady individual, as well as a fair orator. You are also a skilled negotiator, possessed of a natural charisma that makes it easier for you to garner trust. You are completely immune to stage fright and can hold your own in a social environment with large crowds even if you are naturally an introvert, should you need to."
0,Divine Magic/Hieroglyphic Magic,Riordanverse - Kane Chronicles,"Divine words is another term for Egyptian Magic commands. These are also called hieroglyphic spells or Words of Power. They are called 'divine' because they enable the magicians using the commands to wield godly strength and powers. Magicians speak them to create or tweak reality. To use them, no papyrus or other equipment, such as amulets, potions, shabti, and statues are needed."
0,Force of Personality,Ravenwood,"Your core personality is reinforced and you gain an awareness of any influence on your mind beyond completely natural methods, making it difficult for anything to change you from who you are without your consent or desire. This also provides an awareness that gives you insights into others."
0,Ki,Ravenwood,"One of the most overlooked powers in the Demiplane is that of Ki, a power that all living beings possess. Ki is a manifestation of vital essence and stamina that anyone can harness with the right training. For no cost, you have the potential to learn how to utilize Ki, but have no knowledge of how to use it to begin with."
0,Magic Circuits,Fate/Stay Night,"Magic Circuits are the spiritual circuits within the souls of any Magi, though they also form a nervous system-like physical representation on the body. These not only generate prana, the basic magical unit made through the combination of Mana and Od, but are also what allows any Magus to manipulate their energies to cast magic. They vary greatly in number and quality between individuals. Strenuous use of them can cause pain and numbness, whilst any use at all will heat the physical body up.
You begin with an average amount of circuits, 20 in total, but each circuit is of exceedingly high quality, equal to the Circuits of Tohsaka Rin. They will not naturally grow but artificial means to increase them do exist."
