100 CP,Oils & Potions,Witcher ,"​So many bottles with strange colored liquids! Before you succumb to all hyperactive children’s natural curiosity and try to determine if your favorite color has good taste, I warn you that potions have toxicity, lesser than normal versions, but it still here, besides the fact that some of this isn’t intended for drinking. Not like I discourage you from trying. While you clearly not understand depth of such generosity this is most superior quality set of all known potions and oils necessary for more than adequate performance of trained witcher. Each bottle signed in big letters so even baby not confuse them by drinking an oil for a sword instead of a healing potion, accidentally at least. Glass of these bottles is special and not break even if troll hit you in the bag with elixirs, you on other hand... Once in week you find that someone kindly refill all used or spoiled elixirs, oils and even give you new bottles, because you definitely going to lose them or break them anyway."
100 CP,Holy Oil,Supernatural ,A refilling jug of hoily oil. Should a fire be lit with this oil no angel may step over the fire. It can also be used to burn other supenatural creatures in a way far more effective than normal fire.Glasses touched by fire made with holy oil will be able to see normally invisible creatures such as hellhounds.
100 CP,Staff Creator,Skyrim,"Staves are extremely useful tools for mages, able to hold charges
of spells, and even be used to focus and empower a user’s spells. But if you want to create your own staves, then this is the option for you. A specialized workstation, this will allow you to create and customize your own magical staves."
100 CP,School Pills ,Oz,"This curious collection of bottles are clearly labeled with various
subjects of differing complexity. Consuming an entire regimen will grant the equivalent of four years of dedicated study leading toward a broad knowledge base with no clear focus. Advanced maths, geography, history, languages, philosophy, elocution, and the sciences as they were known in the 19-teens. According to the instructions each pill is the equivalent of four hours of study. They are used to great effect by the students of Royal Athletic College of Oz. In addition to a full set, you have the recipe to make more, the information imparted by the pills can be adjusted through careful selection of textbooks during the creation process."
100 CP,Dwarven Brew ,Overlord ,"Dwarves are known for many things, but one of their most
famous is their brews. This replenishing stock of alcohol is of the highest quality, able to make even Gods of Debauchery nod their heads in approval."
100 CP,Coin ,Lucifer ,"You possess a coin. At any time you can choose to destroy the coin in order to enter another realm, even if you do not naturally possess this ability. The original version of this coin only allows travel to Hell, but you may choose to go anywhere you like. You get another coin every month."
100 CP,Mirror Polish ,Legend of Zelda: Hero of Worlds,"Upgrade for one of your weapons or a shield, making them capable of reflecting projectile spells back upon the caster. "
100 CP,Tent,Kingdom Hearts," A comfortable four-person tent. Anyone who sleeps in or near this tent will find themselves fully healed by morning. Note that fully healed if you’ve just lost a limb will mean the nub healing over, unless you have something that causes you to naturally regenerate missing limbs. Although possessing a subtle effect that wards off hostiles you can still be located here, and the
healing effect is interrupted if someone is attacked in or near the tent. If this happens you’ll have to set the tent up elsewhere to restore the healing effect."
100 CP,Potion Reagents,Harry Potter ,A small case with compartments that has a replenishing store of potion reagents. 
100 CP,Pepper UP Potion ,Harry Potter,A Potion made to cure the common cold and invigorates the user for a few hours. Consuming more than one in a small time frame can have negative effects. Consult a healer for safe use. Refills upon use.
