500, Dragonbinder ,ASOIAF,"A priceless relic of Old Valyria, this horn has the unique ability to bind dragons and their kin. Whenever blown any draconic creatures within earshot will be forced to kneel to you, completely incapable of going against you and will become entirely submissive. "
50,Beliar’s Rib,Bloodrayne,"Arguably the least spectacular of Beliar’s relics, and likely the most numerous, these bones appear to be made of a crystalline material that glows with an eerie red light. They do not bestow any unique abilities or esoteric powers... instead, they simply make the bearer more resilient. A single pair of ribs would be sufficient to make an average, somewhat unfit individual tough enough to endure punches and kicks from an ordinary human without difficulty. Should you acquire more your toughness will increase to supernatural levels."
200,The Left Eye of Beliar: ,Bloodrayne,"This red eye, when fused with a host, grants the bearer the ability to magnify their vision in a telescopic manner. Any abilities that the left eye previously had or will have, are augmented by the eye."
200,The Teeth of Beliar,Bloodrayne,"These teeth, when fused with a host, grants the bearer the ability to
breath hellfire without threatening their own lives."
400,Crystal Skull,Bloodrayne,"A skull made out of pure crystal. It’s not extraterrestrial in origins though. With this, you can place an item of supreme importance to you within and nobody will think to look for it. Instead they will focus only on the skull and discard the true item hidden inside without a second thought which can later be recovered by you."
400,Beliar’s Black Heart,Bloodrayne,"The literal heart of the original devil, this seemingly petrified organ grants its bearer a number of terrifying powers. Most importantly, it grants the bearer a form of physical and spiritual shapeshifting. The physical aspect essentially grants you the benefits of all other relics (if at a much weaker level than the relics themselves do), such as allowing you to shift your hand into a taloned firm similar to Beliar's Hands above.

In a similar manner, you can also alter your spiritual form, drawing your lifeforce away into a single part of yourself (usually the heart, obviously). As a result, you can essentially survive any injury that doesn't destroy your metaphysical core... though regaining your former strength may take additional work."
100,Skull of the Master,BTVS,While of no value on its own the skull of the vampire known as the Master could be used as part of a ritual or a spell. It might even work as the top of a wizard's staff. 
100,The Orb of Ramjarin ,BTVS,An ancient conjuring orb with the power of priests of Ramjarin. It can be used as part of a ritual to make a spirtual creature physical enough to kill. Such as Thesulac Demons.
100,Crystal Trap,Charmed,"These three crystals when placed in a circle erect a trap made of electricity that confines a single supernatural creature, two if they're friendly within the enclosed space.  Used primarily for interrogation, this form of trap is capable but fragile, requiring only a single crystal to be shifted to break the cage.  The cage interferes with teleportation and allows things to be flung in from the outside, similarly the target may freely be spellcast against while imprisoned.  Beings sufficiently more powerful than the erector of the cage may break free through sheer power, also a being with sufficient guile or the right power can break free on their own, especially in unsupervised. "
100,Ouijia Board,Charmed,"Through this Oujia board, you may commune with the unusually powerful undead of this world.  It can also help calm the often-times violent spirits sufficiently to talk them down from their fury.  You can also communicate with them normally, including asking them how to help them move on or how to resolve their affairs from when they were alive.  "
300,Crystal Ball ,Conan,"This is a mostly spherical chunk of crystal similar to the one used by Thoth-Amon. By concentrating on an individual or location, and focusing on the ball you can cause it to display that individual or location, showing you what is happening to them in real time."
100,Cross of Isteria,Constantine,"Well now, this is a find. One of the two crosses of Isteria, this cross can be used by anyone,well, in this case anyone you allow, to create Holy Water of the very highest, purest potency. The merest touch of the water causes horrible burns and pain to all demons, vampires, dark spirits and similar beings, regardless of whether or not they would normally be affected. In addition, the cross itself is an extraordinarily powerful Holy Artefact, and the mere sight of it pains and hurts the fallen hideously."
