1000,Scroll of Warlock's Bargain,N/A,"A small scroll that rolls out to be larger than it should containing an interesting list of warlock patrons, boons, powers, knowledge, curses, contracts and abilities. All laid out with a small description next to each, and each with its own check-mark. At the bottom is a blank place to sign a name, with a note stating ""it must be blood, and a bloody fingerprint works too"". You start off with a decent amount of magic potential and boons to use. Using it causes it to burn to nothingness once signed, and granting the powers you checked off. Choose wisely."
800,Death Note,Death Note,A simplied version of the Death Note. Simply write the name of the person you want to die and they will die within the week and you can write one name a week. If you don't specify a kind of death they will have a heart attack. Killing people with the Death Note will add years to own life within the limits of your race. So for a human you could from 70 odd years to a century of life. 
700,The Book of the Iron Fist,Marvel,"Written and expanded by every Iron Fist throughout history. This book made from dragon hide is the most complete document on chi ever created. Holding every technique known the limits of what you can gain from it are decided by the book itself. The more at one with yourself and zen you are the more the book reveals to you, most wouldn't even be able to read a single word."
600,Book of the Dead ,The Mummy,"The counterpart to the Book of Amun-Ra, the Black Book of the Dead restores life, while the Book of the Living is said to take it away. The Book of the Dead has the ability to restore the deceased to life- though the corpse is needed, as are fresh organs from a ritual sacrifice if the ones belonging to the one meant to be revived have withered away- and can also be used to create mummies, both the mindless undead type and the more intelligent versions. Its not in English so good look learning how to read it."
600,Book of Amun-Ra,The Mummy,"Also called “The Book of the Living”, this golden tome has power over the living and the undead, containing spells that can take control over non-sapient undead creatures, and even removing the immortality or invincibility of them if they posses it- allowing them to be killed like any other mortal. Spells that end or drain life are also most likely found within its pages. Good luck learning to read it."
600,Eye of Shangri-La,The Mummy,"The Eye of Shangri-La; a magnificent artifact that is said to lead to the fabled location. Although it could normally only be opened by the blood of the pure of heart, you can open this one yourself- the stone unfolding to reveal a diamond. Somehow, the diamond can be used to find Shangri-La, wherever you find yourself- a valley that can only be called a paradise to those who see it. By drinking the waters of Shangri-La, one can heal all wounds; those who bath in it become free of the ravages of time, becoming immortal, as well as becoming immune to disease."
600,Oghma Infinium ,The Elder Scrolls,"The Daedric Artifact of Hermaeus Mora, Daedric Prince of Knowledge, this is an ancient tome of knowledge written by Xarxes, the wizard sage and scribe also known as ""The Ageless One."" Upon reading it, you gain the eldritch knowledge of one of the three paths of Magic, Might, or Shadows. Each person may only be affected by this artifact once, as more than that can and have driven men to madness."
600,A Guide to the Mysteries of Magic,Runescape,"A step by step guide on how to create rune altars, rune essence, and talismans. In addition to allowing you to rebuild the entire Runescape magic system in other jumps, it is also an incredible guide for creating other magic systems and spells."
600,The Mark of Cain,Lucifer,"Somewhere of your choice on your body appears a circular mark. You are completely immortal and unable to die so long as the mark remains on your body, simply reviving moments later in the event that you are killed. This immortality is not subject to the normal rules of immortality in this setting. Even being killed with magical weapons, or even weapons specifically made to kill immortals, will not prevent the mark from taking effect. So long as you possess it, nothing can stop you from coming back. Additionally, you possess a minor form of regeneration, ensuring you will always return to peak condition without scarring no matter the damage. With time, you could even return from complete bodily destruction. However, though you can come back from anything, the mark cannot. With sufficient magical ability, far beyond even the strongest of Angels, this mark can be permanently removed. If this happens, and it is against your will the mark will return sometime later.  The original version of this mark could not be removed by its user, but since you’re buying it with CP, you may disable the mark at will, either permanently or temporarily."
600,Occult Texts ,Hellboy,"You have a set of occult texts, two of which were in the possession of the BPRD and third belonging to Rasputin; the first contains a ritual that can temporarily resurrect dead beings, and forces them to aid you. The second is the List of Avignon; a list of all demons that the Catholic church has uncovered or discovered, which will update with the true names of many demons in future worlds you visit- especially the higher profile ones. The last is the Des Vermiis Mysteriis, a book that is said to contain every prophecy ever told within its pages."
