500,Hind-blood dagger,Xena/Herculus ,"This dagger can kill nearly anything, even immortals and gods with a physical form you can stab. It's a dagger so you'll have get close and make sure it isn't taken from you. It doesn't bypass armour, thick skin, magical defences or hides, as it is the blood that does the damage so make sure you stab a weakspot."
400,Witcher Blades​:,Witcher,"This is most traditional weapons of witchers, many monsters can confirm their effectivity...if said monsters was still alive then (among many curses and profanities) they totally agree how well this swords in killing them. The silver sword used against most kinds of monsters and other supernatural foes. The steel sword is used for creatures not sensitive to silver or shelled so heavily that only the hard steel can harm them. Unlike its name silver sword made from meteoric iron, which is then coated in silver, otherwise, it will be too soft, and you probably try to sell it at first opportunity. These particular swords not only better than average, being sharper and stronger than a sword has any right being, don’t require any maintenance, but also perfectly fit you  they like your own extensions of your body. The stereotypical description being that you are moving like storm of steel (forgetting to mention silver) cutting opponents to ribbons. Well you are not just that, for with them flowing grace of your movements in fight is not unlike the captivating song, where every word is the sound of another felled foe, converging into choir of melodious magnificence, this can’t be named battle, but a woven poetry which turn participants into audience blessed to witness artist in dazzling work that last only for a few heartbeats and end in inevitability of your victory. This how well they suited to you, like perfect partners not mere tools of witcher."
600,Warpsword of Khaine,Warhammer: Dark Elves,"What a foul weapon, seething with heat at all times. Double edged, slightly too wide to be attributed to Khaine’s faith as certain deceptive entities might insinuate, the blade infuses the wielder with great strength, might and endurance in battle-sufficient to slaughter battalions singlehandedly. Quasi-sentient, it can commune with its wielder to know when enemies are nearby, “remember” the taste of creatures it has touched before and perhaps tell you more as it learns alongside you. Yet it’s power to siphon blood is truly formidable. Even titanic foes such as the eldest Dragon Ogres, beasts like living mountains, can be killed with a single slash from it. And due to your investment here, the murderous frenzy it sends you into never quite subsumes your higher reasoning-only adding to your skill and might in battle, and letting you retain most of your judgement and strategy-potentially all of it, with a strong enough will."
300,Tomb Blade ,Warhammer Fantasy: Tomb Kings,"A cursed, fell weapon made magical by its centuries of steeping in the foul dark magics that swirl and coalesce in long forgotten tombs this blade hates now, the spirit of its once wielder trapped inside the rusted iron shard, hungry to tear away the warmth and life of the living, its bite leaving terrible unhealing wounds."
400,Starfang ,Warhammer Fantasy: High Elves,"*Ahem* Because ‘Sunfang’ was already taken. This hitherto unknown sister-sword to Tyrion’s sword is that legendary weapon’s equal in every way. It can cleave all but the strongest armor with ease, automatically will adjust its weight and balance to be your perfect blade, and on top of all that can periodically fling gouts of terrible flame literally as hot as the heart of a volcano. In terms of this world specifically, it can harm ethereal entities as easily as if they were flesh. Also, as what may be intuited by the name, the blade is always on fire. And the fire will never harm you.
"
100,Slavemaster’s Daughter,Warhammer - Tomb Kings,"A particularly nasty kind of whip. Nine ropes attached to a sturdy, comfortable to grip handle, and each rope has a heady, barbed lead weight attached to the end. The whip seems to almost come alive in your hands, it is so eager to punish and split open any who anger you. It’d never harm you, seemingly to have a sort of affection for you that you can feel when you hold it, and it unerringly seeks out the tenderest spots on those you strike with it. Any slave struck with this would be very unlikely indeed to risk another stroke."
400,Rats Eyes ,Thundercats 80s,"Two sai daggers capable of shooting energy beams and deflecting enemy fire, they also grant their user a powerful telekinetic ability, allowing him to grab an throw opponents. "
600,All-Black the Necrosword,Thor: Love and Thunder,"This is probably what you’ve been waiting for. The Necrosword. This god-slaying blade of legend has chosen you as its next wielder. Firstly, being a sword, this thing is sharp enough to cut through even the hardiest of gods like hot butter. Like Mjølnir, the Necrosword will empower you to godly levels, so you may fight on equal terms with the gods it was forged to destroy, as well as granting you a healing factor so you may recover to kill another day. The blade also has a plethora of shadow-related abilities as befitting of its name. It lets the holder teleport through shadows in the same way Shadow Monsters do. Those said monsters may be created from the gloom to serve as your army of darkness. You may also make constructs of darkness, such as tentacles, cages, and claws to aid you in your pursuits. The blade negates any immortality its prey has, so you may cut down what would normally be an invincible god. Nothing is unkillable to this blade. Now go forth and slaughter. Lastly, this blade is entirely loyal to you and will not corrupt you whatsoever, in body or in mind.
"
600,Spear of Osiris,The Mummy,"The Spear of Osiris is a magical artifact used against the Scorpion King; it has the ability to kill creatures that are normally immortal or invincible, and is especially effective against the creatures of myth and legend."
100,Sting,The Hobbit,​Sting is an ancient Elvish blade made by weapon-smiths in Gondolin. The blade will glow when anyone who wishes to hurt you enters a 300 yard radius.
