600,"
Final Trump ",Final Fantasy.,"This deck of cards has no equal and likely never will in this world. Each card is a work of art with intricately painted designs depicting figures both lovely and frightening. One would never expect such lovely creations of having a far more sinister and deadly use. Created by a Magi with a flair for the dramatic, these cards can be imbued with touches of mana to turn them into terrifying thrown weapons. The edges each become as sharp as obsidian and the wielder can even control their flight through that touch of magic. Do not worry about losing one of these priceless cards. They will always return to their box a day after they leave it."
200, Head of Medusa,Greek Mythology,This is the severed head of the gorgon Medusa which has the power to turn those who look upon it into stone. It is still in the bag that Perseus stores it in. The point count would be higher if the potential for collateral damage was lower and only you are immune to the glare.
150,Ace of Winchesters ,Hellblazer,"This rifle won’t break or jam, it’s bearer is deadly accurate, and it can harm supernatural creatures - especially demons - as though they are mortal."
400,Amber Bow,Warhammer Fanasty ,"You’ve stumbled across what seems to be a copy of the Huntmarshal’s very own Amber Bow. The original Amber Bow was carved from a Drakwald Oak, with enchantments laid upon it by a powerful Amber Wizard. Through these its shots are guided by magic to strike the weakest points of the fiercest monsters, making it highly potent against large, single targets. As a magical weapon, it also bypasses mundane methods of protection to strike true."
300,Andruil's Gift,Dragon Age,"This exquisitely crafted elven bow seems to crackle with electricity, and any arrows fired from it seem to turn into a lightning strike mid-flight. "
600,Big Baby ,Hellboy,"The Samaritan’s bigger, meaner older brother; the Big Baby is essentially a shotgun that fires kaiju-killing rockets. Like the Samaritan it requires superhuman strength to wield,"
200,Bow & Arrow of Apollon,MCU,"Some relics are dangerous because their wielders know exactly how to use them. But then there are relics which are dangerous because of people who don’t know how to use them. This elegantly crafted bow is one such relic, firing an arrow which soon explodes into several powerful bolts of energy which strike and incinerate its surroundings before the arrow is restored next to the bow. More concerningly, the arrow itself is capable of piercing most mundane defenses which requires a more magical defense against it. It would be quite the nasty surprise."
600,Bow of Light,The Legend of Zelda,"Another holy weapon, this time one that is a gift from the Spirits of Light themselves. Their blessing allows the bow to conjure the legendary Arrows of Light from nothingness, which are powerful weapons that can kill lesser evils with a glancing blow. Even the greatest ones will feel pain, and will be temporarily stunned and bound by the holy light, even if their protections are too much for the Arrows to truly overcome."
400,Calamity Cannon,Bastion,"This large, bazooka-shaped weapon channels the same raw force of nature that powered the Calamity Device in fact, this cannon is, essentially, a tiny prototype of that selfsame weapon. Of course, it has nowhere near that level of destructive power, but, given a second or so to charge, it will fire a fastmoving ball of energy that can obliterate most anything you point it out. "
300,Caster,Outlaw Star,A gun capable of firing prepackaged Tao Magic Spells. Comes with 10 low level shells and five more over the year.
