50 CP,Treasure Chamber,The Mummy,"A large, empty room has been added to your Warehouse. While it’s empty right now, when you put valuables inside it the room will expand to hold them, and will even display them in a way that is aesthetically pleasing to you."
100 CP,Library,BTVS,"You have an extensive library of books focused on demonology and the occult, as well as records of prophecies, magic and spellcasting. This library will update if travel to more worlds. The library as a whole is superbly organized, you will have no trouble finding what you need in it."
100 CP,Requip Magic ,Fairy Tale,A small hammer space connected to your soul. In its starter phase its size is 1 cubic meter and it grows in size alongside your maximum Magical Capacity. It can not store organic living beings inside. The speed of removing or storing an item in this hammer space depends on the size and magical potency of the item involved as well as the skill of the user.
100 CP,Golden Fruit Trees,Generic Divinity,"Mortals are so obsessed with eternal life, what with them only existing for a century if strife or illness does not catch up to them first. But, seeing as how your life is directly connected to them, perhaps it would be a good option to give them some assistance. You now possess an orchard of divine trees that weigh heavy with golden, divine fruit. In addition to extending their lives and youth by a thousand years for each fruit eaten, they possess a single effect, like being irresistible for mortals, or granting them increased wisdom. Alternatively, you could just double down on the life extension, making them true fruits of immortality. These have no effect on divine beings other than just tasting delicious."
100 CP,Asgardian Armory,MCU,"
When you have a collection of rare items, dangerous artifacts, or powerful
weapons you want to show off... look no further. Gilded in gold and stone, this
Warehouse Attachment has plenty of pedestals to place items of your choice up
for display to prove your superiority or power over others. As a bonus, this place
will continue to grow more resplendent and better reflect the items you place in
here and the power you wielded to get them while holding plaques that give tales
of their procurement. For an additional +200CP, items you place in here can be
summoned to your person upon mentally commanding it while the Armory itself
is protected and maintained by three Destroyer Units that are designed in a
manner of your choosing."
100 CP,Ore Vein,Skyrim,An ore vein that is added to the warehouse. Replenishes daily but varies from type of vein to type of vein. Some days you’ll only get iron but on good days you’ll be able to get a couple of chunks of Ebony or a few Soul Gems.
100 CP,Well of Magicka ,The Elder Scrolls,"All practitioners of the arcane know that magicka leaks into Nirn through the Sun and Stars, holes into Aetherius itself. Your pool of magicka is heavily bolstered, rivaling that of the greatest mages in history, as is the potency of any spells you cast. You could be throwing fireballs all day without effort, and you may pour more magicka into a spell to overcharge it to such a degree that the simple Flames spell could rout armies with great effort."
150 CP,Dragon Lair,King Arthur,An attachment to your pocket dimension that adds a large cavern. About once a month it spawns a large amount of gold coins and gems inside of it. If you have a companion has a draconic form or is a dragon themselves they may take up residence inside the cave
200,Auction House,BTVS,"You have access to a Demon Auction House, which sells all sorts of nasty and wonderful things. They are not free, of course, but it is pretty much one-stop shopping for all your Apocalyptic needs. This will include anything commonly for sale and occasionally will have one of those super-unique items."
200,Detective Agency,BTVS,"You have a detective agency of your own. This includes office space, a small apartment, and the necessary licenses to operate such a business."
200,Mansion,Charmed,"While comparative tall and narrow from the front, this three-story manor was built in the 1890s in the Eastlake Victorian Style and has features such as a conservatory, foyer and
expansive garden. It has 3 bedrooms, a Dining Room, living room, sitting room, kitchen, basement and attic, and also two small rooms that can be put to whatever purpose you please. But this is not just a pretty house, this is a place that has steeped in magic over a long period of time, thanks to a confluence of local leylines and has gained some unusual traits thanks to it. No matter how damaged the building any effort to repair or maintain it goes supernaturally easily, quickly and consuming far less resources in terms of material and money than it should. No-one including those doing the work will notice anything unusual about this. The power of the house also shields, protects and enables your own Magic slightly, giving you a home field advantage against attackers. 
"
200,Gap Junction,Doctor Strange,"The gap junction is effectively one of the most secure vaults in all of Marvel. This
junction is a separate dimension sealed away from the rest of reality. The only way to access it is a unique lock created by the user. This version will be attuned to you and function as a part of your pocket dimension or as something seperate. No one will be capable of breaking into this vault and only those you allow can even find it."
200,Dalish Grove,Dragon Age,"This Warehouse Attachment is a grove full of trees such as ironbark, sylvanwood, dragonthorn, vhenadahl, and heartwood.  All of them would yield excellent materials for a dalish woodshaper.  24 hours after cutting one of these trees down, it’ll be restored to its former glory. "
200,Dwarven Mine,Dragon Age,"A mine with several large veins of high-quality lyrium and several deposits of precious metals such as veridium, silverite, volcanic aurum, etc.  Strangely enough, these veins and deposits never seem to run out, no matter how much is mined. There’s also a small compound where several dwarves seem to live, who are more than happy to mine the stuff for you. Can be attached to your pocket dimension or appear somewhere in the world"
200,Svartalf Apartment,Dresden Files,"Someone did you a serious favor getting you access to this thing - ordinarily, they can't be bought, only earned. It's in the city you wind up in, in a high-grade apartment complex under the aegis of Svaralfheim, so it's about as safe as anything in this world can be. Aside from being of stunning craftsmanship, everything inside has been hand-made by the Svartalves, and it's designed to be almost completely Hexproof. Unless you've got an unusually powerful Hex, you and any Wizards you're friends with will be able to enjoy all the luxuries the modern world can offer."
200,Hall of Vigliant ,Elder Scrolls,"Your very own base of monster hunters, this small wooden hall will always be full of a group of Vigilants who will be more than happy to assist in the purging or any Daedra undead or something similar you point them at"
200,Minor Magical Supply World,N/A,"This item gives you access to a magical world. One that has developed sapients, albeit stuck in the middle ages, and thus you will have to compete for resources, even if the plane itself is infinite in size. A magical gateway to a suitable world or plane will appear in your home or pocket dimension, giving you access to this dimension. "
