0 CP,Map,The Hobbit Jumpchain,"This map is not the most detailed guide in the world, but it does have some useful information. Whenever you set out on a quest, this map will update with your destination and mark any secret methods of entering it."
0 CP,Masterwork Armor ,Twilight of the North - A Jumpchain CYOA,"Whether made by Dwarven or Mannish hands, this armor is a work of art as well as some of the greatest protection available short of mithril. Equal even to the works of the greatest of the armor-smiths in Númenor. A helm cunningly wrought and quite strong complementing the masterfully-wrought mail for your body."
0 CP,Masterwork Weapon ,Twilight of the North - A Jumpchain CYOA,"Whether or a finely wrought composite bow of wood and horn decorated with silver and gold, or an axe forged by the dwarves. This weapon will serve you well in battle and last for generations, perfect for an heirloom and fit for a lord of good wealth."
100 CP,Mithril Armor,Twilight of the North - A Jumpchain CYOA,"Armor forged of mithril is wondrously light and surprisingly strong, providing excellent protection in battle, and is also quite rare. This set of dwarf-wrought chainmail and helmet are fit for a mighty lord indeed."
100 CP,Dwarven Craftsmanship,Of Elves and Dwarves -- A Twilight of the North Supplement,"In the tempering of steel, and in the making of mail the children of Aulë have no equal, not even among the greatest of the Noldor. While you are no truly great craftsman, you possess that natural aptitude of your race, as well as a fair understanding and skill in working steel. Even your relatively low skill, compared with your elders and those more naturally talented than you, is still good by the standards of Men. Good enough that even here your works look like masterworks to them, and your armor serviceable to any dwarf warrior."
100 CP,Dwarf-Hoard ,Of Elves and Dwarves -- A Twilight of the North Supplement,"Gold, silver, precious gems, ornate armor, and gilded, jewel-encrusted weapons - all are to be found in any respectable Dwarf-hoard. Amassed over hundreds of years, these treasure piles bring happiness to the Dwarves who jealously guard them. Now you have one of these hoards of wealth and a place to keep them in if you do not already have one. Indeed, the wealth contained is suitable for even a very wealthy king of Men, and will restore itself should parts be spent. At least the gold and silver will. It is a hoard perhaps a twentieth the size of that which the King of Erebor would one day have amassed."
100 CP,Legendary Weapon,The Hobbit Jumpchain,"A true warrior must be in possession of a weapon named for its great deeds. Now you have just such a legendary weapon: Glamdring, Orcrist, or another blade of similar renown."
100 CP,Miner,The Hobbit Jumpchain,"As a child of the earth you are extremely strong and durable. You are able to lift far more than the average human or elf and can work long hours tirelessly. You gain special adeptness when it comes to mining, and you are exceptionally lucky when it comes to discovering valuable gems and minerals within the earth."
100 CP,Lockbox and Key,Shadow of Mordor Jumpchain,"A completely impregnable, large, dwarven-made lockbox and the only key able to open it."
100 CP,Mithril Equipment,Silmarillion Jumpchain,"Mithril is the greatest secret of the dwarves. A silvery metal, it is stronger than steel and much lighter. Mined mostly in Khazad-dum, it can be fashioned into armour that, while far lighter than anything of steel, is all but invulnerable to sword or dart. You have a mithril mail shirt and a mithril helmet."
100 CP,Stonecunning ,Silmarillion Jumpchain,"You are like the others of your kind, well at home in the deep places of the world. You always know which direction you are travelling when underground. You can easily identify most stones and metals and are excellent at finding secret passages underground and flaws in caves and stonework."
200 CP,Wealth of the Dwarves ,Of Elves and Dwarves -- A Twilight of the North Supplement,"Wealth begets wealth, or so the saying goes. This is doubly true for the Dwarves, with them having an affinity for all things of Aulë, the substances of the earth, and being naturally talented miners and workers of metals. With you this goes somewhat beyond that, and you possess a sense for where to find minerals of your choice. From copper to mithril, no mineral can evade your detection if you put yourself to looking. As well, you have a knack for gaining greater wealth from trade. If you were placed in a small frontier-town you would have a thriving mining settlement with the start of a great fortune within three years, within ten you’d have the beginnings of a true trading city home to many skilled craftsman, and by the end of your third decade you would have a hoard worthy of a dwarf-lord and a city renowned for its works and wealth, bringing more wealth to you. Lastly, you are a great worker of gemstones, able to bring out dazzling beauty from even the dullest uncut precious stone."
