0 CP,Gold Pouch ,TES: Warrior,"No matter what you do for a living, be it adventurer, bandit, or bodyguard, having gold on your person is important, if only because with it you can buy food. Now you don’t have to worry about money problems in the short term, as this enchanted pouch is filled with one hundred gold coins, and will replenish itself daily."
0 CP,Languorwine,Dark Brotherhood Jumpchain,A small vial of a unique poison that causes someone who has it enter their body to go into a short coma appearing dead for the next 24 hours
100 CP,Kyne's Token,TES: Warrior,"An ancient amulet from the days of Old Atmora, engraved with the hawk of Kyne herself, it has been passed down to many hunters of Skyrim. While wearing it, you will find that your arrows fly more true, dealing more damage to your targets than before."
100 CP,Redwave ,TES: Warrior,"A steel cutlass once used by a sailor from the Summerset Isles, it is engraved with the image of a great serpent along the blade. This enchanted weapon will drain the vitality of any opponents it strikes, using the stolen life energy to replenish it’s wielder’s own health."
100 CP,Luxurious Pelts,TES: Daedra,"No matter how civilized mortals may become, there will always be a desire for the furs of animals. From foxes to bears to mammoths to even werebeasts, there are dozens of fine furs from all manner of creatures within your Warehouse. What you do with them is up to you, though it should be noted that they will replenish themselves after a week."
100 CP,Trophy Room,TES: Werebeasts,"Part of the fun about hunting is the tale of how you defeated your prey, and with this Warehouse attachment, you’ll always have proof to back up your claims. This hall contains podiums which display your most dangerous, challenging, or interesting prey, along with a plaque detailing what they are, and how you slew them."
100 CP,Endless Quiver,TES: Werebeasts,"It is a sad thing when your quiver runs empty while your prey gets away. Yet, if you were to purchase this, that will no longer be a problem. By putting an arrowhead or bolt in a special pouch, this quiver will never run out of that kind of ammunition. You can change which arrows you are using simply by replacing the one in the pouch."
100 CP,Campfire,TES: Werebeasts,"The perfect place to be, after a good day's hunt. This summonable campfire will always possess a comforting warmth that spreads throughout the whole body, and any food cooked here will always be delicious. If you've got some friends, maybe you can gather around it and sing a few songs."
100 CP,Muffled Movement,TES: Rogue,"Sneaking around, waiting until your target lowers their guard can be a bit difficult, especially if you’re stepping on every squeaky floorboard. Thankfully, you won’t have that problem, considering the fact that you can muffle all of your sounds at will. This will certainly make your job at least a little bit easier."
100 CP,College Graduate ,TES: Rogue,"Ever since you were young, the strumming of lutes and beating of drums has captivated you, such that you went on and learned the arts of music, be it from the Bards’ College or some other institute. You are a masterful vocalist and are highly skilled with any three instruments of your choosing."
100 CP,Haggling ,TES: Rogue,"In these times, there are no set prices for any items, only general price ranges that depend on the quality of what is being sold. Thankfully, you're more than talented enough at bartering and haggling to get much better prices than you would have before. Buying items will see them being cheaper, while selling items will see them going for higher prices with little issues."
100 CP,Silver Spoon,TES: Rogue,"You grew up in the lap of luxury, with the finest of tutors who pressed upon you the importance of acting like you deserved it. You have mastered all the manners that nobility should know, to such an extent that you could put most altmeri nobility to shame. The faint, constant aura of nobility you give off also helps sell the image."
100 CP,Golden Touch ,TES: Rogue,"If there's one thing that's helped you cement your choice of career, it would be greed. That desire for more coin and treasure for less work has manifested itself in a most unusual way, not that you're complaining. Simply put, you seem to find almost three times more loot than before, be it in an ancient crypt or some poor bastard's purloined coin purse."
100 CP,Instrument,TES: Rogue,"You can't exactly be a bard of any renown without an instrument of your very own, and so taking this purchase will fix this oversight. In your possession is a well-made instrument, not only is it always perfectly in tune and ready to play, it is also durable enough to regularly be used as a makeshift weapon."
100 CP,Eye of Sithis,TES: Rogue,"An ebony amulet given to notable members of the Dark Brotherhood, it possesses an obsidian depiction of the Father of the Void, Sithis. While wearing this, you will be able to detect all life larger than a mouse around you within a relatively short distance, only around thirty feet or so."
100 CP,Twin Crows,TES: Rogue,"A pair of crows that you took on as pets, and bound to you magically, you won’t find any better messengers or spies. Though you can communicate with them telepathically no matter where they are, the greatest ability they possess is that they can share their senses with you, allowing you to gaze through their eyes and listen through their ears whenever and wherever you want."
100 CP,Shadow’s Garb ,Elder Scrolls Skyrim SB Jump,"You wouldn’t be a very good thief or assassin without the basics now would you? You’ll quickly find a set of basic leather armor, iron dagger/sword, and a bow with some arrows have been given to you on the start of your journey here. They aren’t much and don’t expect the bow’s quiver to last through a prolonged engagement, but they’re a start and they’ll keep you alive against many of the weaker dangers of Skyrim. The bow’s quiver will slowly restock given time."
100 CP,Lockpicks Galore!,Elder Scrolls Skyrim SB Jump,"Every thief or assassin needs a trusty set of picks to get where they need to go and now you’ll always have just what you need. Whenever you reach into your pockets you’ll always find that you’ve got a constantly replenishing supply of lockpicks to make use of. They aren’t infinite but should generally be enough unless you really screw up on a lock, in which case it may be time for the old-fashioned solution."
100 CP,The Deceiver's Finery,Dark Brotherhood Jumpchain,"A suit of fine and expensive clothing worn by the rich, enchanted to increase the wearers charisma an impressive amount shifts to fit in with the upper class of future jumps"
200 CP,Enhanced Crossbow,TES: Warrior,"Crafted from dwarven metal, this lever action crossbow can punch through all but the toughest armor. It comes with a stock of 100 crossbow bolts, as well as twenty-five explosive bolts of fire, frost, and shock that replenish each day. The only downside to this weapon is that it's slower to reload than a standard bow, but its power more than makes up for it."
200 CP,Treachery ,TES: Daedra,"To face your problems head on is certainly an admirable path, but it is not the only one. Yours is the path of the snake, to get close to your target before striking, unseen before it's too late. You are skilled at keeping your ambitions and motives hidden from all but the most paranoid of eyes. You could appear to be a friend to a hated king for years before stabbing him in the back, taking all completely off guard."
