100 CP,Apron of Adroitness ,TES: Warrior,"A thick apron made from troll leather with splotches of red and green paint, it was once owned by a renowned painter before it found its way to you. While you wear this apron, you will find that both the quality of your creations as well as the beauty and aesthetics of them will be improved."
100 CP,Armorer,TES: Warrior,"The path you have chosen may not be as glorious or memorable as those other paths, but every warrior needs someone to create and repair their weapons. You are a talented smith, able to repair most of the weapons and armors you could come across, as well as crafting your own."
100 CP,Blacksmith Supplies ,TES: Warrior,"No matter where you go on Tamriel, a blacksmith is fundamental, as are the materials from which he creates his crafts. In this pouch you will always find what you need for your next project."
100 CP,Dwarven Armor ,TES: The First Council,"Utilizing the special timeless metal of the metal, though it appears to be made of brass it is actually more durable than steel. Due to the metal’s properties, it will not be affected by age or time-based abilities."
100 CP,Dwarven Centurion ,The Elder Scrolls Series,"One of the deadliest Dwemer Animunculi crafted, it is a brass behemoth that stands equal to Giants, and even more deadly. It's metallic hide repels most mundane weapons, it's axe can cleave through steel easily, and when it has to, it can unleash a blast of boiling steam towards an opponent. You also get a rod, allowing you to control it's actions directly as well as force it into standby mode."
100 CP,Enchanting Table ,TES: Magic,"Being an enchanter isn't much use when you don't have the equipment to do it. Not only does this table allow you to enchant weapons and armor, but any enchantments you do place are stronger than they otherwise would have been. Does not come with soul gems."
100 CP,Heart Stones,TES: Magic,"When the Red Mountain erupted, an unusual type of ore was sent flying all across the province of Morrowind, reaching even Solstheim. This ore, known most commonly as Heartstones, still smolders with the heat of the mountain centuries later. They are imbued with an extremely small fraction of the power from the Heart of Lorkhan, and can be used for a variety of purposes. You receive a stockpile of fifty, which will replenish weekly."
100 CP,Meteoric Materials ,TES: Alessian Rebellion,"For any aspiring practitioner of Dawn Magic, the materials one can acquire from the heavens are beyond valuable. As such, if you desire to be well stocked, then you may receive a regular monthly shipment of one metric ton of both meteoric glass, which is raw crystalized starlight, as well as meteoric iron, which takes well to all magical effects placed upon it."
100 CP,Miner,TES: The First Council,"Deep beneath the earth, the dwemer made their home, but the ground is not very kind to those who force their way so far down. Thankfully, there were miners like you, knowing how and where best to dig efficiently, making sure that the earth surrounding you is as sturdy and secure as possible. The only way for their structural integrity to falter would be malicious intent or natural earthquakes."
100 CP,Orichalcum ,TES: Daedra,"A type of metal most commonly used by the Orcimer, it can hold it's shape better than almost any other metals out there, and is highly resistant to damage. You will receive a stock of one hundred orichalcum ingots that will replenish weekly."
100 CP,Plumbing ,The Elder Scrolls Series,"Taking after the Dwemer, huh? A series of pipes and pumps allow your home to have something called 'indoor plumbing.' You just turn a nozzle, and you get water pumped directly to you! You've also got an indoor bathroom, with a toilet, sink, and bath/shower. Best part is that you can even have it heated! Amazing."
100 CP,Repair Hammer,TES: Warrior,"When you use your equipment, you need to eventually do maintenance on it. This hammer is excellent at maintaining whatever gear you whack it with, hammering metal into a desirable shape, or it could just be used to bash some skulls in."
100 CP,Soul Gems,TES: Magic,"In order to enchant, one must possess both the knowledge of the enchantment they want to place, as well as a filled soul gem. The second shouldn't be a problem for you, as you possess an organized chest with fifty of all soul gems that replenish weekly. These are all filled with energy mimicking that of a soul, not an actual soul, so that should make your conscious feel better about itself when making a flaming sword."
100 CP,Timeless Metal,TES: The First Council,"The metal that the dwemer use for the vast majority of their work is a cautious thing, not being affected by the flow of time or the passing of the ages. You will receive a weekly shipment of this metal, measuring in at two dozen ingots."
100 CP,Dragon Remains ,TES: Dovah,"Though a bit morbid, there are few materials with as many uses as a dragon’s remains. The scales are extremely durable while being naturally resistant to most forms of damage, while the bones are just as durable as ebony. You will receive a stockpile of fifty that will replenish itself after a week."
100 CP,Knapsack,The Elder Scrolls - Skyrim,"A large knapsack with a wide range of popular ingredients local to Tamriel, a few of sweetrolls and a copy of the Gourmet’s cookbook. The ingredients and sweetrolls respawn daily."
1000 CP,Heart of Lorkhan ,TES: The First Council,"Do you hear it? The steady beating of the Doom Drum, the divine spark of the Dead God. And it is now in your possession. This crystalline heart has many uses, though the main one is that it constantly pumps out a stygian liquid that, when hardened, will result in what we refer to as ebony. That is the least of its uses, though, as the divine spark of Lorkhan still resides within the Heart."
200 CP,Atronach Forge,TES: Magic,"Crafted by a master of Conjuration and Enchanting, this unique altar is connected to Oblivion in a way that very few truly understand. By placing certain materials within the offering box, you can create or conjure all manner of things, ranging from hostile atronachs to spell tomes to Daedric armor to so much more. The exact limits of what you can receive from this is unknown, though it seems the results are much better when utilizing a Sigil Stone."
200 CP,Cidhna Mine,Elder Scrolls Skyrim SB Jump,"Nobody escapes Cidhna Mine, that’s how the saying goes anyways. Cidhna mine is an extensive set of tunnels snaking into Nirn which the Silver-Blood Family uses as a prison and as a source of much wealth. Yours isn’t that same dreaded mine, though it’s similar in many ways. Placed in a reasonable location of your choosing is a copy of the mine, while the original was predominately used for silver mining yours is much greater. Throughout the mines are extensive reserves of just about all of the ores found in Skyrim at the time, ranging from Ebony to Stalhrim and will produce an incredible amount. These reserves will replenish themselves once they begin to run dry and the mine will be manned by “NPC” guards and workers, though you could always appoint your own."
200 CP,Clockwork Prosthesis ,TES: The First Council,"It is inevitable that one day, someone may end up losing a limb. Thankfully, you are there to help mitigate the damage, and replace what was lost. You are a master at the creation of prosthetics, be they limbs or eyes. Though they may not be able to feel, it will move and function just as naturally as the real things. Though, they do have the added benefit of being made of metal, and could potentially have useful additions placed upon them."
200 CP,Craftsman ,TES: Werebeasts,"Not all beasts shun the advantages of civilization, their protective steel and powerful weapons, sturdy homes and riveting literature. There are some, like you, who are extremely skilled in one form of crafting, worthy of being called a master of your craft. Are you a blacksmith, a carpenter, a potter, an architect, or something else?"
200 CP,Deadly Architect ,TES: Rogue,"Who says that you need to go to your target, when you can convince them to willingly enter your pre-made deathtrap. Well, convincing them may be a problem, but actually creating a deadly gauntlet of traps is quite easy for you. Your mastery over deadly traps also leads well towards disabling the traps of others."
200 CP,Ebony Pick ,TES: The First Council,"Crafted from ebony and embedded with ancient runes, you are now the proud owner of an ancient nord pickaxe. Not only can it go through rock as easily as a knife through flesh, but it ignores any magical durability of the target. There is a reason this is one of the very few ways to get through Stahlrim."
200 CP,Enchanting Tower ,TES: Undead," If you aren’t a fan of going out and finding, buying, or looting powerful enchanted gear, then you'll probably be wanting to do it yourself. This tower is completely devoted to the art of enchanting, with a high-quality enchanting setup, many books on the subject, and a replenishing stock of soul gems. You possess fifty of each kind of soul gem, all of which restock after a week, yet none of them are filled. Additionally, any enchantments you create here will be twice as powerful."
200 CP,Eternal Enchanting,TES: Magic,"One of the limiting factors for enchanting is the need to constantly recharge them. This is especially true for weapons, forcing you to recharge them multiple times a day. Well no more, for you have discovered the secret to solve that particular annoyance. Any enchantments you apply will never run out of charge, being just as effective in a thousand years as it was the day it was made."
200 CP,Eternal Ice ,TES: The First Council,"The cold northern winds have frozen over Old Atmora, and constantly cover Skyrim with snow, so it is only natural to have learned from it. Any ice related abilities you may possess, be it magical or biological in nature, are now twice as potent and powerful, while being half as costly. Additionally, you now know the secrets to creating Stalhrim, durable magical ice that cannot be broken through conventional means, as well as how to shape it into weapons and armor."
