0 CP,Basic Set ,TES: Warriors,"It wouldn’t be fair to send you out into such a dangerous world like Tamriel with no way to protect yourself. As such, you are now in possession of a brand new set of iron armor as well as a steel weapon of your choice. You will also receive a knapsack to carry any other valuables you may find in your travels."
0 CP,Frostbane Bear,TES: The First Council,"The Bear was one of the ancient Atmoran animal tokens, associated later with the Nord god Tsun, so the Frostbane Bear has historically been one of the most prestigious mounts a tradition-loving Nord could ride."
0 CP,Mixed Unit Tactics,TES: Warriors,"Sometimes, reading does help you win in a fight, especially when the book you read covers many different battle strategies for both large and small scale conflicts. This book not only covers them, but it also has a few notes written in the margins on different uses for various formations and such."
0 CP,Training Dummy ,TES: Warriors,"An straw dummy with targets painted onto it that is strangely durable and resistant to all damage, and will repair itself when no one is looking. Any weapons and combat training you do with this will be much more effective. Alternatively, it can look like a certain person of your choice if you’re feeling spiteful."
0 CP,Housecarl ,TES: Dovah,"Having been trained as a warrior from a young age, this Nordic woman has devoted herself to you, swearing to guard you, and all you own, with her life. Stoic and fearless, she will act as both your sword and your shield, taking care of many threats before you're even aware of them."
100 CP,Armored Combatant,TES: Warriors,"One does not often expect to rush into battle wearing nothing but their bare skin, with armor being so widespread across all cultures. You believe heavily in the utilization of armor, be it simple chainmail or a full set of ebony plate. For you, armor is much easier to wear and put on, and doesn’t weigh you down, allowing you to swim as if unencumbered even while fully armored."
100 CP,Barbarian ,TES: Warriors,"When you go about wielding a battleaxe or a warhammer, you’ve probably got one thing on your mind. Dishing out as much damage as possible. As such, whenever you use one of these two-handed weapons, you will be dealing twice as much damage as before."
100 CP,Dual Flurry,TES: Warriors,"The idea behind using two weapons at the same time is that you would be capable of dealing twice as much damage as before, so long as you can actually hit your targets. While you use two weapons at the same time, your attack speed is greatly increased."
100 CP,Dual Wielding,TES: Warriors,"Despite what many would think, using two weapons at the same time is a tricky thing, especially two different kinds of weapons. Not so for you, as your ambidextrous nature allows you to effectively utilize a weapon in each hand with the same level of skill as if you were only using one."
100 CP,Energetic Barbarian,TES: Warriors,"Though she may be short for a nord, this redheaded bundle of energy is a right terror in combat. Wielding a warhammer the size of a small child with surprising grace and agility, don't be surprised when anyone who gets in your way cries out over their lost kneecaps."
100 CP,Faithful Hound,Elder Scrolls Skyrim SB Jump,"Dogs have been considered man's best friend for ages and for good reason too. They’re able to help greatly when it comes to tracking a target, they’re loyal, and generally just nice companions to have. Which is nice since you now have a faithful hound of your own. Whether you bought it or found it roaming the wilds this dog is both a loyal and surprisingly capable compatriart more than capable of killing wolves and even bringing bandits down should they not be well armored. Though perhaps you just want the dog as a pet, either works. This acts as a follower and not a companion, if killed the dog will return given a few days and should you wish it your new pet can become a companion if imported later on."
100 CP,Iron Fist ,TES: Warriors,"It takes either a brave, skilled, or foolish man to face the foes of the world with naught but your bare hands, but you seem to be the former. Not only are your fists as durable as fine steel, but you deal thrice as much unarmed damage as you could have before."
100 CP,Ring of Vitality,TES: Warriors,"A very useful ring for any questing warrior, this golden band is engraved with the image of an ox. While wearing it, it will render you immune to all but the most potent or divine diseases, poisons, and paralysis. Even those that are capable of affecting you would be highly weakened."
100 CP,Rugged Beauty ,TES: Warriors,"Though war and battle wears down all who participate, be it mentally or physically, your heroic visage is comparable to the chiseled marble of a master craftsman. Your beauty is almost unparalleled, and any attempt to mar such beauty with wounds or scars will only see it be enhanced."
