0 CP,Astartes Combat Knife ,"Warhammer 40,000 - Space Marines v1.0","A normal human would be more apt to call this weapon a sword, if it wasn’t for the too-wide grip. But in the hands of an Astartes, it is nothing more than a long knife. Issued to each Space Marine at the moment he recovers from his first gene-seed implants, and kept on their person until the day they die, this blade holds a monomolecular edge that you will never need to sharpen. Furthermore, so long as you reach for this knife, you will find it on your person, even if you left it elsewhere. There are certain variations on this knife that you may also purchase, although you can have one of the more common variants, such as the Poignard, Gladius, or the Star-Fang Knife, for free. 
"
0 CP,The Codex Astartes,Ultramarine Gauntlet,"A copy of the unabridged writings of Roboute Guilliman, revealing to you the secrets of superiority as a Space Marine."
0 CP,Shock Grenades,Adeptus Astartes DLC2: Primaris Marine,"Often used by Primaris Reivers, shock grenades are a non-lethal Imperial grenade that temporarily disorient opponents with sudden loud noises and intense flashes of light."
100 CP,Watchers in the Dark,"Warhammer 40,000 - Space Marines v1.0","The Watchers are a diminutive, robed race of creatures that now inhabit the fortress monastery of the Dark Angels, but who once lived on Caliban before its destruction. They possess a near-exclusive ability to resist Warp entities to almost the same degree as a Blank, although without nullifying the Warp around them as Blanks do. They communicate with one another through psychic means, and have been trying to guide the Dark Angels against Chaos since even before the Horus Heresy. You receive a group of 10 Watchers, who will endeavor to aid you—although they will never actively fight for you, they are more than willing to assist you in other ways, even during combat. Not to say that they can’t fight; if attacked, they will defend themselves, and quite ably at that, considering that they once engaged in battle against the Warp-twisted mosnters of Caliban.
"
100 CP,Primarch in Stasis,"Warhammer 40,000 - Space Marines v1.0","No, probably not the Primarch you’re thinking of—Thunder Warriors called the leaders of their legions Primarchs, yes, but this was only the name of their rank, not a term with the connotations a Space Marine might link to the term. This is a stasis tube containing a Thunder Warriors Primarch, perfectly preserved at the height of his skill and ability, of such incredible martial ability that anyone less than the Captain-General of the Legio Custodes himself is certain to be defeated by him. It was his hope at the time of his preservation that a cure would be found to the genetic and mental deterioration experienced by the Thunder Warriors; sadly, temporary gene treatments are the best he can find, even—or perhaps especially—in the modern era.
"
100 CP,Venerable Dreadnought,"Warhammer 40,000 - Space Marines v1.0","Normally, being interred within a Dreadnought chassis is seen as a great honor to an Astartes, but Grey Knights simply see it as a continuation of duty, and do not yearn for it. This Doomglaive Dreadnought is an old soul who felt that his duty was incomplete, and so requested to continue service after being mortally wounded. He is wise beyond even his advanced years, and contains a host of knowledge about daemons and the Warp; what’s more, his psychic powers are amongst the most devastating to ever appear in the entire Chapter.
"
100 CP,Gentle Giant,"Warhammer 40,000 - Space Marines v1.0","This surprisingly large Space Marine of the Storm Giants (a Successor Chapter to the Salamanders) has taken the compassionate nature of his Primarch to new levels, levels that might be deemed heretical if they were widely known. He has sympathy even for the alien, and tries to avoid killing people who haven’t “earned it”, regardless of their species. Considering his size and impressive strength, though, there are few he can’t defeat when he is finally roused to anger.
"
100 CP,Grey Knights Thunderhawk,"Warhammer 40,000 - Space Marines v1.0","This variant of the Thunderhawk has psycho-reactive plating fitted with an interlaced Aegis System to protect it from psychic attacks, and also has its Heavy Bolters replaced with Psycannons and its Hellstrike Missiles replaced by Mindstrike Missiles.
"
100 CP,Frost Axe ,"Warhammer 40,000 - Space Marines v1.0","These melee weapons are exclusive to the Space Wolves, and are similar to the more common Power Weapon. Its cutting edge is made from energized diamond, giving it the appearance of a blade formed of purest ice; however, you may instead opt for your axe to have been studded with the diamond-hard teeth of a Fenrisian Kraken.
"
100 CP,Thunder Hammer,"Warhammer 40,000 - Space Marines v1.0","Amongst the strongest of the Power Weapons, it operates in a peculiar fashion. Rather than keeping the disruption field active all the time, it is designed to activate upon impact; this allows it to conserve power until it is needed, and also means that its force when released is even more devastating than it would normally be, knocking any foe lighter than a Terminator off their feet with even a light tap. 
"
100 CP,Mental Stability ,"Warhammer 40,000 - Space Marines v1.0","The process of creating a Thunder Warrior was a flawed one, as it often resulted in certain instabilities of the mind that only expressed themselves more strongly over time. These mental flaws could be many and varied, so it’s a good thing you don’t have to worry about that. You are incapable of experiencing mental ailments and psychological disorders. While things might make you sad, you will never sink into actual depression. You are assured of healthy cognizance.
"
100 CP,Transhuman Dread ,Star Wars vs Warhammer 40K ,"Transhuman dread is the phenomenon that occurs whenever a normal being witnesses a Space Marine in action. The unnatural designs and movement of the Astartes is difficult for the mind to process. This process causes them to freeze up and limits their capabilities when they face the Transhuman beings. You will now gain an amplified version of this ability. The greater you become the more powerful your aura will become. For example the aura of a Primarch can halt elite Space Marines in their tracks. Lastly you will be able to control this ability perfectly ensuring that your allies are unaffected by this ability.
"
100 CP,Volkite Weapon,Talons of the Empire,"Volkite weapons were the first weapons issued to the Astartes Legions, and though eventually replaced by the more adaptable and easily manufactured bolter, it was not because these weapons were anything less than absolutely lethal. Firing a thermal ray, these weapons cause deflagrtion on organic matter. Flesh and bone burst into ash and flame, the entire target combusting,and destroying anything near them as they go."
