100 CP,A Psyker Sidekick,"Warhammer 40,000 - Space Marines v1.0","This mortal psyker has been attached to your unit to assist you in sorcerous matters. They lack the physique of a Space Marine, but their training in the psyker ways has been extreme, and their talent for learning is prodigious. They are a Beta-level psyker, either a Primaris psyker if you’re loyal to the Imperium (no relationship to Primaris Space Marines), or a sorcerous rogue psyker if you are a Traitor. If you’re one of the Thousand Sons, they can even be your own personal Thrall Wizard. You may choose two psychic disciplines for them to have an enormous level of knowledge and talent in, and you can rest assured that they are immune to possession from entities of the Warp.
"
100 CP,Delta ,Warhammer 40K: Grey Knights Jumpchain,"This is the level where the Inquisition and the wider Imperium deem a psyker’s power to be strong yet safe enough for sanctioned use. Psykers at this tier can perform more advanced feats like astral projection, allowing their consciousness to travel across great distances, or clairvoyance, which enables them to see events and threats before they happen. These abilities make Delta-level psykers invaluable assets in war and intelligence gathering, but they still remain controlled, ensuring that they do not become dangerous warp portals for daemonic entities. The Imperium trusts psykers of this level to serve without excessive risk of corruption."
100 CP,Mind Blades,Warhammer 40K: Grey Knights Jumpchain,"Through the psychic power of Mind Blades, the Grey Knight can imbue his allies' melee weapons with psychic energy, granting them unerring accuracy and the power to pierce even the smallest vulnerabilities in their enemies' armor. This ability enhances the lethality of any strike, making each blow land with devastating precision. Even against heavily armored foes, these empowered blades seek out and exploit the weakest points in their defenses, ensuring swift and brutal victories."
100 CP,Smite,Warhammer 40K: Grey Knights Jumpchain,"Smite is a classic and lethal psychic attack used by the Grey Knights. Lightning-like bolts of psychic energy leap from their fingertips, tearing apart foes in an instant. These bolts are charged with warp energy, capable of obliterating both daemonic and mortal foes with ease. Smite is often used to thin the ranks of enemies from a distance, softening them up before engaging in close-quarters combat. It is a powerful tool for Grey Knights when facing large numbers of foes, as the bolts can chain between targets."
100 CP,The Summoning,Warhammer 40K: Grey Knights Jumpchain,"The Summoning is a psychic power that allows a Grey Knight Librarian to call upon their allies across vast distances. By reaching out through the warp, the Librarian can summon their comrades to their side in the blink of an eye. This power allows for quick reinforcement during battle and is particularly useful in dire situations. However, the Librarian must have a personal connection with the individuals they wish to summon, knowing their presence and identity in the warp, ensuring that only trusted allies answer the call."
100 CP,Quicksilver ,Warhammer 40K: Grey Knights Jumpchain,"Quicksilver accelerates the reflexes and physical speed of the Grey Knight's allies to supernatural levels. By tapping into the Librarian's psychic powers, those nearby move with blinding speed, allowing them to react faster than their enemies can anticipate. This ability is especially valuable in combat, where heightened reflexes can make the difference between life and death. With Quicksilver, Grey Knights strike with unmatched swiftness, overwhelming their foes with rapid and precise attacks."
100 CP,Psychic Hood,Warhammer 40k Imperial Navy jump 1.02,"The greatest danger to an Astropath is not the enemy in front of them, at least usually. The greatest danger is in fact their own powers and the myriad daemons of the Immaterium that want to eat their soul and use their body. This hood, woven with protective sigils, and combining special circuitry to bleed of extra warp energy, this gives a small, but vital boon to help keep your warp powers from going out of control. Since you’re buying it here, it will also do the same for all you supernatural powers, providing a cushion against overuse or out of control abilities."
100 CP,Witchsight,Star Wars vs Warhammer 40K,"Witchsight is an ability possessed by almost every psyker with the Imperium of Man. This power allows them to witness the true character of a being dispelling any disguises or methods of concealment they possess. The most common variable is that the darker someone’s soul is the more demonic they appear. Similarly the purer a soul is the more angelic and golden they appear. This perk will grant you the purest Witchsight possible even surpassing the most insightful of the Eldar. 
"
100 CP,The Howling Wind,Star Wars vs Warhammer 40K,"The Stormseer gathers the powerful winds of the Chogorian steppes, driving them forwards to cast aside the enemy. This ability functions as a single powerful gust of wind that can knock aside even Space Marines.  
"
100 CP,The Sanguine Sword ,Star Wars vs Warhammer 40K,"This ability works by having the Librarian's channel their psychic power into their Force Weapon. This causes the weapon to take on a violent crimson hue as he infuses it with a sliver of his inner rage. This allows the blade to easily cut through resilient armor and it makes their attacks particularly effective against daemons.
"
100 CP,Unleash Rage,Star Wars vs Warhammer 40K,"By reaching into the minds of his fellows, this ability allows the Librarian to unleash the savagery within the Blood Angels' psyche. This ability causes the target to enter a berserker rage allowing them to literally tear their opponents apart. Overuse of this ability however can be incredibly draining to the target.
"
100 CP,Wings of Sanguinius ,Star Wars vs Warhammer 40K,"This ability allows the Librarian to sprout a pair of blood-red wings of psychic energy from his back that can bear him aloft, allowing him to fly over the battlefield. These wings greatly resemble the wings of the fallen Primarch Sanguinius. Should you be a Blood Angel Space Marine you may become a perfect copy of your Primarch. 
"
100 CP,Power Bestowal ,Imperium Nihilus - JumpChain,"But if you wish to share your power with more than just your family, the Paternova likely isn’t the option for you.
This is, however. Like the Emperor himself, or if you’re feeling more heretical, the gods of Chaos, you can splinter
off a portion of your power, bestowing it upon another willing soul, even if they aren’t psykers. With this, you
can effectively create Daemon Princes in all but name. Of course, it would behoove you to remember that what
can be given so easily be taken away, often with disastrous consequences befalling the souls who you just ripped
away your power from."
