0 CP,Holo-Wafers,Imperium Nihilus - JumpChain,"Ordinarily, holo-wafers are nothing more than novelty items that find use as bargaining chips, badges, crest displayers, signal markers—anything that a common card or small sign could be used for—save for its pleasing projected hololithic image. But in the underworld, a holo-wafer serves as the “marques” of assassins and hitmen, a signal to many that a death was no mere murder. For you, these holo-wafers carry your symbol. Leave them behind a corpse and the people shall know that it was you who was responsible for the act. Watch as your reputation spreads across entire Sectors with but a well-timed death. A reputation is a powerful thing but do remember that it brings its own complications with it. Strangely, you’ll find that you always have one of these wafers whenever you reach into your pockets."
0 CP,Purity Within,"Warhammer 40,000: Imperial Assassins","An assassin must undergo annual brainwashing sessions to reinforce their absolute loyalty. But you certainly didn’t start Jumping just to end up somebody else’s mind-controlled puppet, so by taking this perk rest assured that you are immunized against this and all other forms of brainwashing and mind control. Also, for the duration of this jump your superiors will fail to notice that you’re not actually brainwashed unless you actually disobey a direct order where they can see it."
0 CP,Psycho-Conditioning,"Warhammer 40,000: Imperial Assassins","Assassins do not pick their targets, they are mere bullets fired at the Imperium’s foes. Your mind is strengthened to withstand the rigors of combat and cold-blooded murder, allowing you to act without hesitation, fear, or guilt when you deem it necessary. It also hardens you against trauma. This does not significantly alter your sense of ethics."
0 CP,Assassin Training,"Warhammer 40,000: Imperial Assassins","Over 90% of Assassin recruits die on the trip to Terra, between short rations and intensive training in lightless spaces, heavy grav, zero-g, etc. Those that survive can begin their real training, which includes a fairly comprehensive curriculum in Imperial technology, history, philosophy and art and a physical program that- well, just read the page quote above. You are without a doubt one of the most capable mortal humans in the 40K universe."
0 CP,Omni-Scope,Imperium Nihilus - JumpChain,"Not truly a weapon but rather an attachment for one. Or to be more accurate, attachments if the crate you have now is any indication. Found mostly in the hands of legendary assassins and famed bounty hunters on account of its rarity and value, this should prove useful to you. Composed of several finely tuned sensors wands linked to a precision lens, the Omni-Scope is, in essence, a combination attachment with all the benefits of a preysense sight, a red dot laser sight, and a telescopic sight. With all these at your disposal, your foes could be hidden ten miles away in a fortified bunker and you’d still be able to put them down like the mongrels they are."
0 CP,Sympatic Dataspikes,Imperium Nihilus - JumpChain,"You know, regardless of your opinions on them, you have to admit that the Imperium’s Assassins have some of the best and finest equipment possible. Just look at these if you want an example. A pair of wrist-mounted, retractable spikes, these aren’t really meant to primarily be used as weapons. Oh, they’re very good at letting you punch through the weak spots of foes clad in armor, but that’s not their main use. Rather, you’re meant to jam these things within cogitators and machines, allowing you to either siphon off information or inject rather damaging scrap-code into their systems. This is especially handy if you’re planning on fighting hereteks or members of the Dark Mechanicum."
100 CP,Imperial Assassination Force,Star Wars vs Warhammer 40k,"The assassins primarily operate alone, but they unite together to combat more dangerous targets. This is a group of a dozen Imperial Assassins that belong to the various orders. Each time you purchase this you may create a dozen assassins that will serve alongside you. You could choose to receive assassins from a single order or you could choose two members from each of the six orders. Each of them will have been trained since they were young to fight alongside each other and to serve you. They will strike against any foe you send them against and they will not stop until they have fallen. It is less important for the assassins, but you may still customize the appearance, personality, and species of these assassins.
"
100 CP,Charnabal Sabre ,"Warhammer 40,000 - Space Marines v1.0","An elegant and deadly weapon dating back to the ancient dueling societies and assassin cults on Terra during the Age of Strife, the Charnabal Sabre is press-folded and stamped many times over before being micro-serrated with a sharp edge. These weapons are so finely made that they can clash with Power Weapons without being destroyed, and sharp enough to pierce armor. They are extremely lightweight for their strength, being a tool of speed and finesse rather than brute force.
"
100 CP,Polymorphine Compatibility,"Warhammer 40,000: Imperial Assassins","Compatibility with the shapeshifting drug is on a scale, after all. You just happen to be highly compatible, enough to change your gender and even apparent body mass, to an extent."
100 CP,Against Foreign Agents,"Warhammer 40,000: Imperial Assassins",The very first modifications made to an Eversor are to enhance their immune system to survive the rigors and toxicity of their own combat drugs. You never get sick and negative side effects or addiction from combat drugs are unknown to you.
100 CP,Spy Mask,"Warhammer 40,000: Imperial Assassins","A mask which inserts neural jacks to upload information directly into your mind. Can monitor temperature, wind conditions, thermal imaging and basic psychic disturbances."
100 CP,Stock ,"Warhammer 40,000: Imperial Assassins","You have a satchel of poisons, antidotes and ingredients, enough to kill a large town, that restocks weekly."
100 CP,Psyber Eagle ,"Warhammer 40,000: Imperial Assassins","A two-headed cyborg eagle that can relay to you all it says and hears, via a handy implant. Can also enhance psyker powers."
100 CP,Combat Drugs,"Warhammer 40,000: Imperial Assassins","A bag with all the chemical enhancement for fighting you could ever want and more. Psychon, ‘Slaught, Reflex, Barrage, Fury- hope you took the immunity to side-effects perk. Even got some of the good Dark Eldar stuff in here. Refills weekly."
100 CP,Polymorphine ,"Warhammer 40,000: Imperial Assassins",An unlimited supply of the shapeshifting drug needed to be truly Callidus.
100 CP,Synskin ,"Warhammer 40,000: Imperial Assassins","An assassin needs to be able to move, so this armor was developed that is actually spray-painted on. Provides better protection that most carapace armor, and even some strength enhancement."
100 CP,Poisoned Blades ,"Warhammer 40,000: Imperial Assassins","Envenomed stiletto knives, the last resort of an assassin in melee, and extremely effective if you can find an eyehole or chink in even powered armor."
100 CP,Love on the Battlefield ,Generic Warhammer 40K: FanFiction,"The relationship between the Vindicare Assassin LIIVI and the Farseer Taldeer was not something many imagined possible. Despite that, this couple are a formidable duo capable of great feats. LIIVI is obviously a terrifying assassin, having been trained as a Vindicare, and Taldeer is an Eldar Farseer with all the power implied. This purchase will allow you to take them with you. Maybe you’ll give them a chance to relax, now that the entire galaxy isn’t trying to kill them even more than normal."
100 CP,Stealth,Talons of the Emperor,"Noise is a near inevitable part of violence- but it’s not always desired. In ambushes, in assassination, in infiltration, unnecessary noise can be the difference between life and death. And even more importantly, the difference between success and failure. And so these modifications were designed to make sure that death was both swift and subtle. Your weapon makes no noise when fired, and it has no muzzle flash. If it’s an energy weapon, then it’s visible signature will be both vastly minimized and be entirely outside of the visible spectrum of light."
100 CP,Holo-Wafers,Imperium Nihilus - JumpChain,"Ordinarily, holo-wafers are nothing more than novelty items that find use as bargaining chips, badges, crest displayers, signal markers—anything that a common card or small sign could be used for—save for its pleasing projected hololithic image. But in the underworld, a holo-wafer serves as the “marques” of assassins and hitmen, a signal to many that a death was no mere murder. For you, these holo-wafers carry your symbol. Leave them behind a corpse and the people shall know that it was you who was responsible for the act. Watch as your reputation spreads across entire Sectors with but a well-timed death. A reputation is a powerful thing but do remember that it brings its own complications with it. Strangely, you’ll find that you always have one of these wafers whenever you reach into your pockets."
100 CP,Poison Globes ,Imperium Nihilus - JumpChain,"Every good Inquisitor should know that brute force isn’t the only way to kill an enemy. After all, why waste all your time pumping bullets and bolts into your foes when a single dose of poison can kill them far faster? So, by following in the footsteps of the Venenum Temple and their assassins, you’ve gotten your hands on their own Poison Globes. Filled with crystalline shards, these grenades disperse a rather potent gaseous neurotoxin strong enough to debilitate, if not outright kill, almost every foe you might encounter. Not too useful on those wearing power armor unfortunately."
