0 CP,Tools of The Trade ,Warhammer 40k Night Lords Jump,"As a slave responsible for maintaining the weapons, armor, and quarters of your demi-god masters, you naturally need the tools to do so. Having to run from room to room on the ship to fetch them is a waste of both your time, and your master's. For this reason, you get this bag /box, or any container of your choice, effectively. When you reach into the container and think of a mundane tool (a hammer, a brush, a drill, etc) you will produce it from the bag when you remove your hand. This container also holds multiple chemicals for varying things, like cleaning, paint removal, staining wood, metal, etc. These are all completely mundane, having no special effects to them beyond potentially being toxic. It also comes with the proper protective gear inside to keep you safe from said chemicals! How generous of the Chaos Gods!"
100 CP,Gaze of the Gods ,Warhammer 40K: Kill Team Chaos Vol 1 0.1,"The Dark Gods have cast their favor upon you, marking you as a chosen instrument of their will. This divine recognition empowers your attacks, causing them to inflict greater damage compared to your peers. Whether through supernatural strength, unholy precision, or sheer ferocity, your strikes resonate with the might of Chaos, making you a devastating force on the battlefield. The favor of the gods amplifies your lethality, ensuring your enemies fall swiftly before your onslaught."
100 CP,Hidden in the Shadows ,Warhammer 40K: Kill Team Chaos Vol 1 0.1,"As a devoted servant of the Dark Gods, you have mastered the art of concealment and subterfuge, allowing you to operate unseen in even the most hostile environments. Whether moving through the shadows of a hive city, slipping past enemy patrols, or lying in wait for the perfect moment to strike, you are a phantom of Chaos. Your ability to evade detection ensures that you can fulfill your sinister duties with precision, striking fear into your enemies and leaving them paranoid about what lurks in the darkness."
100 CP,Rituals of the Dark Gods,Warhammer 40K: Kill Team Chaos Vol 1 0.1,"You have been initiated into the esoteric rites and forbidden ceremonies that invoke the blessings of the Ruinous Powers. These rituals, performed with unholy precision, allow you to call upon the favor of the Dark Gods with enough sacrifices , summoning their power to enhance your abilities, curse your enemies, or even summon daemonic allies to your side though these rituals will take time to complete and can only be done outside of battle."
100 CP,Horrifying Shrieking ,Warhammer 40K: Kill Team Chaos Vol 1 0.1,"Your voice carries the unholy resonance of Chaos, manifesting in piercing shrieks that strike terror into the hearts of those who hear them. These agonizing cries seem to bypass all defenses, echoing directly into the minds of your enemies and filling them with overwhelming despair. The sound is unnatural, a cacophony of pain, madness, and dread, forcing even the bravest warriors to falter."
100 CP,Boltgun ,Warhammer 40K: Kill Team Chaos Vol 1 0.1,"The Boltgun, or Bolter, is a devastating weapon known for its explosive rounds that detonate upon penetration. This weapon's heretical versions have been twisted by Chaos, firing shells that cause erratic, grotesque effects upon impact. Perfect for mid-range combat, it is a staple for those seeking both precision and raw destructive power on the battlefield."
100 CP,Flamer,Warhammer 40K: Kill Team Chaos Vol 1 0.1,"The Flamer bathes the enemy in a purging torrent of fire, incinerating everything in its path. Chaos-tainted Flamers release flames infused with warp energies, causing not just physical destruction but spreading fear and madness among those caught in their fiery wrath. Ideal for close-quarters combat, it excels at clearing rooms and flushing out entrenched foes."
100 CP,Shotgun,Warhammer 40K: Kill Team Chaos Vol 1 0.1,"The Chaos Shotgun is a brutal close-range weapon that delivers a powerful blast capable of shredding multiple foes in one shot. Each shell carries the taint of Chaos, often embedding fragments that corrupt the wound. This weapon is perfect for those who prefer to engage in brutal, face-to-face combat."
100 CP,Blooded Icon,Warhammer 40K: Kill Team Chaos Vol 1 0.1,"The Blooded Icon serves as a rallying standard for Chaos-aligned warriors, its unholy imagery instilling courage in allies and dread in foes. This sinister artifact channels the energies of the Dark Gods, enhancing the resolve of
those who fight beneath it. In battle, the icon inspires frenzied loyalty, driving warriors to fight beyond their limits, while its aura weakens the morale of any enemies who dare approach."
100 CP,War Paint,Warhammer 40K: Kill Team Chaos Vol 1 0.1,"Wearing intricate war paint imbued with the blessings of Chaos enhances your presence and grants you an aura of fear and respect. Each design is a representation of devotion to the dark gods, marked by sigils and symbols
that channel dark energies. This paint does more than intimidate; it offers protection, helping to deflect blows and confusing the minds of enemies who dare attack you"
100 CP,The Sorcerer in Spite of Himself ,"Warhammer 40,000 - Space Marines v1.0","When the Space Wolves invaded Prospero, they never asked the individual Space Marines if they were guilty or not. In response to the invasion, Magnus the Red teleported his entire Legion through the Warp onto what would be known as the Planet of Sorcerers, with no one having the chance to stay behind. And when everyone else in the Legion turned to worshipping Tzeentch, well… it didn’t take the live human sacrifices to realize what might become of him if he tried backing out. This Sorcerer of the Lorehost of Apoketh warband doesn’t actually like Chaos, and if anything considers it rather horrifying… but although he does not fear death, he would very much like to avoid it, and as such has mostly gone along with the whole song and dance of worshipping Tzeentch, despite his personal feelings.
"
100 CP,Dark Knight ,"Warhammer 40,000 - Space Marines v1.0","Once, he believed that the Night Lords would fight for justice. After all, as brutal as Conrad Kurze was, his goal was ultimately to bring peace to Nostramo. And yet, as he served in the Legion, this Night Lord encountered atrocity after atrocity that could not be excused as merely a means to subdue a population with terror tactics. So, he began to prepare—and when the Night Lords turned to Chaos, he was ready, and was able to escape without suffering injury (and while doing some serious sabotage to the ship he was on, too).  But just because he was opposed to the Chaos didn’t mean he held loyalty to the Imperium; to the contrary, they were as bad in his eyes as Chaos. This Space Marine instead struck out on his own, fighting against tyranny and evil wherever he found it, in whatever form it took.
"
100 CP,Immortal Machine ,"Warhammer 40,000 - Space Marines v1.0","The Iron Warriors have always sought the approval of Perturabo, and have never accepted that their Primarch simply does not care about them. But this warrior realized this, even back during the Great Crusade. They did not participate in the rebellion against the Emperor; instead, they bid their time, and as soon as an opportunity to escape came, took it. They took up refuge on a Hive World, gave themselves some extra cybernetics, and explained away their large form as a benefit of their bionic enhancements. They hid away the passing millennia, and even managed to learn enough of data manipulation to forge credentials for themselves and join the Machine Cult. "
100 CP,Fallen Angel,"Warhammer 40,000 - Space Marines v1.0","Why did he turn from the Emperor? Even if you were to ask him, he couldn’t tell you. Maybe it was the charisma of Luther. Maybe he had believed in Chaos once. Maybe it was resentment towards the behavior of the Lion. To be honest, he doesn’t remember. But still, he loathes himself for his betrayal, even though he does not act on it. Still, he remains a potent fighter, specializing in the use of dual-wielded Bolt Pistols in combat, although he’s also a mean hand with a Chainsword.
"
100 CP,Unholy Crusader ,"Warhammer 40,000 - Space Marines v1.0","Exhaustion becomes foreign to you, and fatigue is a word that you only need to know of for spelling bees. You no longer tire or grow weary, be it from lack of rest or from overexertion.
"
100 CP,Praise of Khorne,"Warhammer 40,000 - Space Marines v1.0","This gift of Chaos increases the likelihood that your armor will turn aside blows.
"
100 CP,The Skulls of your Enemies ,Generic Warhammer 40K: FanFiction,"These skulls belong to some of the greatest foes you’ve faced throughout your jump. Primarily they act as trophies and proof of your power, though anyone that sees them will understand the might of the being they belonged to. But that doesn't do anything for you, which is when the second part will kick in. To be wearing or be in the possession of these must mean that all of them were slain by your hand. Your foes will be weakened by the intimidating knowledge and should their willpower be weak enough they may even start to flee immediately. "
200 CP,Mark of the Gods,Warhammer 40K: Kill Team Chaos Vol 1 0.1,"The Ruinous Powers grant their most devoted followers a Mark of the Gods, a powerful boon that signifies their allegiance and connection to the Warp. Each mark bestows unique gifts, enhancing the bearer in ways that align with the nature of their chosen Chaos God. Select one of the following marks to define your path. Also one person can only have one mark:

● Mark of Khorne: The Blood God's blessing fills you with physical strength. Your physical strength are heightened, making you a deadly force in battle.
● Mark of Tzeentch: The Changer of Ways imbues you with a fragment of his ever-shifting power. Your mind sharpened to weave lies and schemes with ease.
● Mark of Nurgle: Blessed by the Plaguefather, you become a living embodiment of decay. Your resilience is unparalleled, as disease and injury only seem to strengthen you.
● Mark of Slaanesh: The Dark Prince heightens your senses and gifts you with unparalleled grace.Your movements are mesmerizing, and your enemies are drawn to your deadly allure.
● Mark of Undivided: For those who serve Chaos as a whole rather than any single deity, this mark represents the collective favor of the Ruinous Powers. You embody the unity of Chaos, drawing strength from all four gods without committing fully to any one of them. This balance grants you flexibility and broad, unpredictable power."
200 CP,Unholy Sustenance,Warhammer 40K: Kill Team Chaos Vol 1 0.1,"The Dark Gods reward your acts of slaughter with unholy vitality, allowing you to draw strength from the lives you take. For every enemy you kill, a portion of your life force is restored, rejuvenating you and keeping you in the fight. The power of Chaos flows through you, replenishing  your health with each sacrifice made in their name. This dark blessing ensures that as long as you continue to spill blood, you remain a relentless and unstoppable force on the battlefield, sustained by the carnage you create."
200 CP,Blessed Blade,Warhammer 40K: Kill Team Chaos Vol 1 0.1,"The Dark Gods have imbued you with unparalleled skill in the art of wielding a blade, elevating your combat prowess to near-superhuman levels. Your mastery of swordsmanship allows you to perform feats far beyond the capabilities of ordinary mortals, rivaling even the might of a Space Marine for fleeting moments of intense combat. Your strikes are devastatingly precise and imbued with the power of Chaos, enabling you to cleave through armor, parry impossibly fast attacks, and unleash a flurry of blows that leaves enemies in awe—or terror."
200 CP,Diabolyk Bomb,Warhammer 40K: Kill Team Chaos Vol 1 0.1,"The Diabolyk Bomb is a sinister explosive device infused with the power of Chaos. When detonated, it releases a wave of destructive energy and warp-tainted shrapnel, tearing through armor and flesh while sowing terror in those nearby. Its devastating effects make it a favorite among agents of the Dark Gods seeking to wreak havoc on the battlefield."
