0,Perk Name,Cost,Source,Description
1,Neolithic Projects,50 CP,RimWorld,"You gain the knowledge and all necessary skills to build and create items from Neolithic Research Projects from the base RimWorld game. This includes both specific blueprints for every craftable Neolithic structure, tool, and device, along with a basic level of practical skill sufficient to construct them from available materials. This perk covers only content from the core RimWorld experience and does not include any DLC content."
2,Medieval Projects,200 CP,RimWorld,"You gain the knowledge and all necessary skills to build and create items from Medieval Research Projects from the base RimWorld game. This includes both specific blueprints for every craftable Medieval structure, weapon, tool, and device, along with a basic level of practical skill sufficient to construct them from available materials. This perk covers only content from the core RimWorld experience and does not include any DLC content."
3,Industrial Projects,400 CP,RimWorld,"You gain the knowledge and all necessary skills to build and create items from Industrial Research Projects from the base RimWorld game. This includes both specific blueprints for every craftable Industrial-era structure, fabrication bench, machining table, component assembly, and advanced device, along with a basic level of practical skill sufficient to construct them from available materials. This perk covers only content from the core RimWorld experience and does not include any DLC content."
4,Spacer Projects,600 CP,RimWorld,You gain the knowledge and all necessary skills to build and create items from Spacer Research Projects from the base RimWorld game. This includes both specific blueprints for every craftable Spacer-era structure along with a basic level of practical skill sufficient to construct them from available materials. This perk covers only content from the core RimWorld experience and does not include any DLC content.
5,Biotech,400 CP,RimWorld,"This perk provides you with the necessary scientific foundation, basic practical skills, and complete blueprints for all technology and projects from the Biotech DLC for RimWorld. You gain the knowledge to genetically engineer xenotypes, oversee mechanitor operations, manage children and genetic lineages, and construct all associated machinery and facilities. The mysteries of mechanoid control and genetic manipulation are now yours to command."
6,Royalty ,400 CP,RimWorld,"This perk provides you with the necessary scientific foundation, basic practical skills, and complete blueprints for all technology and projects from the Royalty DLC for RimWorld. Additionally, you gain a degree of psycasting potential - enough to develop psychic powers through meditation and honor-bestowing ceremonies. You understand the intricacies of imperial titles, permit requests, and the construction of all Royalty-specific structures, weapons, and psychic gear."
7,Odyssey ,300 CP,RimWorld,"This perk provides you with the necessary scientific foundation, basic practical skills, and complete blueprints for all technology and projects from the Odyssey DLC for RimWorld. You gain the knowledge to construct and utilize all Odyssey-specific additions - including new vehicles, exploration equipment, and the various technologies that enable expanded travel and discovery across the rimworlds."
8,Anomaly ,800 CP,RimWorld,"This perk provides you with the necessary scientific foundation, basic practical skills, and complete blueprints for all technology, containment procedures, and projects from the Anomaly DLC for RimWorld. You gain the knowledge to construct anomaly research facilities, containment devices, and the specialized equipment needed to study and exploit the unnatural.

Crucially, any potential infohazards or mind-breaking knowledge contained within this perk are automatically hidden from your conscious awareness if learning them would harm you. You receive only what you can safely handle."
9,Ideology ,400 CP,RimWorld,"This perk provides you with the necessary scientific foundation, basic practical skills, a degree of supernatural ability, and complete blueprints for all technology, structures, and projects from the Ideology DLC for RimWorld. You understand how to construct ritual altars, relic display cases, and all ideoligion-associated buildings and items.

Additionally, this perk grants you a measure of supernatural ability tied to faith and belief, along with enhanced social aptitude and exceptional talent in all social sciences. You understand how beliefs shape civilizations and can navigate even the most complex ideological landscapes with ease.

As with all dangerous knowledge, any potential infohazards contained within this perk are automatically hidden if learning them would hurt you."
10,Redistribute Passion,150 CP,RimWorld,"This perk grants you three metaphorical charges each day, which you can use to temporarily bestow Passion toward any skill from the list of those existing in the RimWorld game. By investing one charge, you can make yourself (or another) become Interested in that skill; by investing two charges, you can elevate that interest to Burning Passion.

This effect does not actually make you more skillful, it does not grant knowledge or ability. Instead, it allows you to take genuine pleasure in performing tasks related to that skill and provides a significant multiplier on experience gain while the passion lasts.

All three charges must be used simultaneously when activating this perk. They reset every 24 hours and need to be reapplied if you wish to maintain the effect. You may apply these charges to other people, but if you do, the charges will only return to you after 24 hours have passed.

Be mindful of unintended psychological effects - artificially induced passion can sometimes have unexpected consequences on a person's psyche."
