0,Perk Name,Cost,Source,Description
1,Taxidermy Enthusiast,50 CP,Original,"As Taxidermy Tinker you can create strange, animated hybrid creatures and eerie sculptures using preserved animals, bones, and mechanical parts. Your works are often bizarre and unsettling, but not alive. You require organic materials and simple mechanisms, but your creations are short-lived and dependent on available resources. You have problems working with human bodies, or any other materials too distant from 'animal' definition. You have all the usual limitations of a tinker."
2,Crazy Edison,150 CP,Original,"As Tinker specialized in Bulbs and Light Sources, you can create exotic illumination devices that produce mesmerizing and unusual effects, such as cooling, color-shifting, X-ray vision, projecting illusions, literal black light, etc. Think of Bakuda, but with bulbs, less destructive and energy intensive effects. You have all the usual limitations of a tinker."
3,Mirrors and Mirrors!,200 CP,Original,"You are a Tinker specializing in Mirrors and Reflection. You can create devices to reflect and mirror various effects. For example, you can create a shield capable of nearly perfect reflection of kinetic energy attempting to break through it, or a hologram projector capable of producing a temporarily physical simulacrum of another person under your control. You have all the usual limitations of a Tinker."
4,Counter-Tinker,350 CP,Original,"You are a Tinker focused on countering the works of other Tinkers. You excel at in-depth analysis of the functions and workings of other Tinker-made devices, along with creating the necessary tools to do so. However, your main focus is on creating devices to counter other Tinkertech. You can also create counters to your own creations, but doing so has 'inbreeding' effects - making the counters worse and more dangerous with each generation if you use your own work as inspiration. 

Unfortunately, you need to observe and research the works of other Tinkers to create anything, though you can still produce most basic tools and sensors within your specialization. Fortunately, you are still free to use counter-devices in any way you want; even if using them for purposes to different than their primary function is less efficient and, in some cases, can complicate maintenance. You can use this power to counter mundane tech, but its effectiveness is inversely proportional to your understanding of the targeted technology, and it generally works less well on non-Tinkertech. Your usual Tinker limitations are slightly lifted. Advice: target eldritch and alien technology."
5,Low-Scale Production,100 CP,Original,"You can create specialized machines and devices for the refinement of materials and the creation of simple components. They are easy to automate but are very focused on a single task or narrow application. For example, a small furnace that is extremely good at refining copper from scraps and ore, turning it into high-purity ingots, but it doesn't work on any other metal. You need different machine for doing something else. They are also designed to be low-scale, producing small batches of product. You don't really scale up. You have all the usual limitations of a tinker."
6,Stone Age Tinker,100 CP,Original,"You specialize in the creation of devices, tools, and items from the Neolithic Age and inspired by it. Your material requirements are relatively low and contain a lot of natural, raw materials. Your creations are unusually high quality; they are much more efficient and functional than expected from such seemingly primitive objects. You are capable of creation of non-tinkertech Neolithic items of high quality, but they just very good mundane things. Your usual Tinker limitations are slightly lifted."
7,Bottled Superpowers for Sale,800 CP,Original,"You are a tinker specializing in the creation of Bottled Superpowers. You can create various serums, elixirs, mutagens, and fantastic concoctions to grant supernatural, scientific, eldritch, or any other type of superpower to other people. They can have vastly different sources, methods of operation, and ways of integration. However, all Bottled Superpowers are somewhat random; it's hard to create powerful ones, and some methodologies might cause usual tinker problems in the created powers (such as the need for special maintenance, instability over time, etc.). 

Your tinker restrictions are partly lifted, depending on the kind of Bottled Superpowers you are making and how or to whom you want to apply them. Advice: don't mix too many powers in one subject; use extensive human trials to get rid of some problematic kinks of your product. "
8,Pseudoscience Enjoyer,250 CP,Original,"Your theme and specialty are rather odd - Pseudoscience. Your creations are inspired by and function like various pseudoscientific devices, using the logic and 'knowledge' of different forms of pseudoscience. These devices are perfectly functional for what you create them for, but they are rather weird and make even less sense than usual Tinketech. You have all the usual limitations of a tinker."
9,Common Appliances,50 CP,Original,"You are a tinker focused on the creation of 'mundane' devices, such as microwaves, freezers, toasters, and similar items. The things you make have the same functionality as their usual non-tinkertech variants, but extended, more efficient and more powerful. You can also attach some exaggerated upgrades to these basic functions if they are thematic - for example, a freezer that can keep perishable items in stasis, or a vacuum capable of absurd levels of suction. You have all the usual limitations of a tinker."
10,Wondrous Metals,200 CP,Original,"As a tinker specialized in fictional metals, you can synthesize such wondrous materials and produce simple objects made from them. You can create tools to actually work with these materials. It is possible for you to create a specific type of mithril, for instance. However, you must draw your inspiration from a particular work of fiction. Some materials are harder to make and use than others, some are more powerful, and some are closer to the original source of inspiration. The intangible value and theme of the fictional work greatly affect the results of your tinkering, as well as depth and quantity of information given about the metal. Your usual tinker limitations are slightly lifted."
11,Dakka!,400 CP,Original,"You are a tinker focused on Firearms and Bullets. You can create guns and ammunition with ridiculous functions and effects, as long as they stay within the concept of 'firearm.' You cannot make pure laser weapons or plasma cannons, for instance. But a machine gun with homing rocket bullets? That is possible! Think of Bakuda, but with bullets and guns instead of bombs. You have all the usual limitations of a tinker."
12,Tacticool Attachments,100 CP,Original,"You are a tinker specialized in the creation of attachments for other devices. You should research and focus on a specific technological item to start building, testing and improving various add-ons for it, which can extend, deepen, or otherwise upgrade the main or secondary functions of the object. Things like an unusually efficient silencer for your pistol or perhaps a battery attachment to extend your force field charge. However, everything you create must be attached to and be a derivative of another device. Your understanding of the functions of the targeted item is very helpful. You have all the usual limitations of a tinker."
