0,Perk Name,Cost,Source,Description
1,Hungry & Afraid,100 CP,Fear & Hunger,"You are something of an expert when it comes to dealing with hunger and fear. While you don't have actual experience, you possess many unique practical skills, useful trivia, and helpful habits to call upon when needed. This includes not only things like finding food or knowing how to cook and eat usually inedible items, but also strategies such as psyching yourself up to consume something gross or how to use drugs to relieve stress while minimizing the chances of psychological addiction. You know various techniques to cope with fear and stress, and have an aptitude for managing feelings of hunger and exhaustion."
2,Ritual Circles,600 CP,Fear & Hunger,"You possess the ability, skills, and knowledge to create and use ritual circles from the Fear & Hunger games. Unlike the circles available in the games, yours offer expanded functionality and versatility. Be cautious - these circles connect to the divine entities from their source setting and draw upon their authorities, which may attract unwanted attention or introduce unsettling phenomena into your current reality. You are capable of teaching this art to others, allowing the practice to spread from person to person. All infohazardous knowledge is locked away from you, if it would harm you to know."
3,Bloody Engrave,200 CP,Fear & Hunger,"You have the skill and knowledge to engrave sigils on yourself or willing party members. Each sigil's benefit varies depending on the god it represents. Historically, these markings were carved across the body, though modern practitioners prefer facial sigils for greater efficiency. You can consistently create and utilize these sigils from Fear & Hunger game, unlocking their effects."
4,Medicinal,100 CP,Fear & Hunger,"You can perform the Medicinal ritual, sacrificing harvested organs to Vitruvia, the architect of the human body. A proper sacrifice will cure the corresponding status ailment, based on the principle that every action has an equal reaction. You possess the ability, skill, and knowledge to utilize this ritual consistently."
5,Alchemillia Tome,250 CP,Fear & Hunger,"This tome contains all three volumes of Alchemillia - a comprehensive guide for beginner, intermediate, and experienced alchemists. It allows you to learn and use alchemy skills from the Fear & Hunger games, even in worlds where such knowledge should not exist or function. Copies you make of the original book still work to grant skills, but their power diminishes in proportion to how little personal effort you invested in creating them. Copies made from other copies diminish further still."
6,Blood Rights,50 CP,The Binding of Isaac,"""Mass Enemy Damage at a Cost."" - You gain a straight razor artifact with special properties, along with basic knowledge of how to use it. When you cut yourself with this razor (an action that deals consistent damage but causes no bleeding) it inflicts burst of damage on everyone you perceive as an enemy in your immediate vicinity, primarily in the form of internal trauma and spontaneous cuts. Used on others, the razor is simply an exceptionally durable and always-sharp blade. The main effect has a cooldown, and the razor provides feedback to its current user about when it can be used again."
7,Candy Heart,200 CP,The Binding of Isaac,"""Power of Love."" This perk grants you incremental upgrades to a few randomly chosen physical stats after healing from wounds. It only works if the healed wound was severe enough and the healing process was fast enough (like regeneration). The upgrades are tiny but permanent."
8,Empty Heart,100 CP,The Binding of Isaac,"“It multiplies”. - This perk allows you to fully recover from grievous injuries and any negative side effects of wounds or ailments once your health drops below a certain threshold. The healing occurs at your normal recovery speed. For example, it could mend a poorly healed bone fracture, though minor scars or traces may remain. It may even restore a lost eye (fully or partially) depending on your current state of health. With each full recovery, you grow a little hardier, capable of surviving greater trauma before succumbing to your wounds."
9,Cracked Orb,50 CP,The Binding of Isaac,"“Shards of Knowledge”. - Each time you take damage exceeding a certain threshold, you gain one of the following boons: useful insight about your surroundings; the opening of nearby closed or blocked passages; or useful items from the surrounding area being uncovered and brought to your attention. The effect is mostly random, but is influenced by your environment and current situation."
10,Bloody Gust,100 CP,The Binding of Isaac,"“May your rage bring haste.” - Each time you take damage in combat, your speed and agility receive a temporary boost. This effect can stack up to six stages, increasing with each hit. The boost decays rapidly once you are no longer fighting."
11,Keeper's Sack,400 CP,The Binding of Isaac,"""Balls."" - Each time you purchase something from a willing trader, you receive a random permanent physical stat upgrade proportional to your spending. The effect works best for large, one-time, in-person expenditures where actual goods are exchanged and the sum spent is significant enough to trigger it. The perk is highly particular about what qualifies as a ""purchase"" and cannot be easily cheated."
12,Forget Me Now,600 CP,The Binding of Isaac,"""I don't remember..."" - This perk grants you a special pill that allows you to ""reset"" your day once. Immediately after taking it, you travel back 24 hours. You retain all items on your person, your memories, and your other perks, as well as your current physical state. For example, if you are wounded at the moment of activation, you will remain wounded after the reset.

This perk may be purchased multiple times. Note that traveling back does not guarantee events will unfold the same way. The perk itself provides general knowledge of the pill's effect to you."
13,The Hourglass,200 CP,The Binding of Isaac,"""Temporary enemy slowdown."" - You gain an hourglass that can slow down everyone you perceive as enemies within your vicinity for eight seconds. It has a cooldown between uses. The item provides feedback on its recharge status and imparts knowledge of its use to the holder. The effect is not temporal in nature, but inertial/kinetic: it does not slow the perception of time."
14,A Pony,100 CP,The Binding of Isaac,"""Flight + Dash Attack."" - This stick horse grants the ability to fly and passively increases your speed. When activated, you charge in the direction the pony is facing, gaining a degree of invulnerability during the dash and dealing damage to enemies in your path. The active ability has a cooldown. Upon equipping the item, you gain basic knowledge of its usage and functionality."
15,Anarchist Cookbook,100 CP,The Binding of Isaac,"""Summon bombs."" - This is an actual Anarchist Cookbook and can be read like any normal text. It is more in-depth and factual than a standard copy, and provides a slight passive boost to learning and using the knowledge contained within. Its active effect spawns seven primed explosive devices of reasonable power at random points nearby, which detonate after a few seconds. The book has a cooldown and grants the wielder general knowledge of its effects and usage upon equipping it."
16,Best Friend,100 CP,The Binding of Isaac,"""Friends 'till the end."" - This small doll, when activated, spawns a decoy that explodes after five seconds. Enemies are attracted to the decoy and lose track of the user. The effect has a cooldown. The decoy resembles a person lying on the ground, but can take on different appearances and illusory details to better draw enemies' attention."
17,White Pony,150 CP,The Binding of Isaac,"""Flight + holy death."" - This stick horse grants flight and passively increases your speed. When activated, you charge in the direction the pony is facing, gaining a degree of invulnerability during the dash, dealing damage to enemies struck, and creating damaging beams of light trailing behind you. The active ability has a cooldown. Upon equipping the item, you gain basic knowledge of its usage and functionality."
18,Glowing Hourglass,800 CP,The Binding of Isaac,"""Turn back time."" - Upon active use, this item rewinds time to the last major branching point in your timeline - a moment where small choices can lead to significant changes. This typically sends you back a few minutes, but can sometimes rewind up to an hour or even a full day. Only your mind travels back; your body, items, and surroundings remain as they were.

The hourglass holds three charges and can be used three times. Repeated use cannot take you further back than 24 hours from the moment of the previous activation, meaning you cannot rewind twice in quick succession to exceed that limit. The only way to recharge it is to purchase this perk again (at half price - 400 CP), though the hourglass can never store more than three charges. Upon equipping the item, you gain basic knowledge of its usage and functionality."
19,Yum Heart,200 CP,The Binding of Isaac,"""Reusable regeneration."" - This soft, heart-shaped object is edible. Taking a bite instantly restores a significant amount of health, though it does not heal status effects. It is highly effective against wounds and the physical consequences of things like toxins. It has limited effect on cancer, genetic damage, or similar conditions, but can address more physical forms of harm such as brain or radiation damage. After each use, the item enters a cooldown period before it can be bitten again. Upon equipping it, you gain basic knowledge of its usage and functionality."
20,Spoon Bender,300 CP,The Binding of Isaac,"""Homing shots."" - This perk grants you the ability to apply a homing effect to your ranged/projectile-based attacks, inspired by The Binding of Isaac. Projectiles/attacks naturally curve toward the nearest enemy in the vicinity. You have no manual control over the targeting; instead, you must position yourself strategically to influence where the shots go. The effect adapts slightly depending on the type of ranged attack you use and has some in-build synergies for specific types of attacks."
21,The Wafer,400 CP,The Binding of Isaac,"""Damage resistance."" - Most sources of harm that would cause more damage than a certain threshold will only deal a fraction of it: a deep bruise, a cracked rib, or similar injury depending on the strike's location. This protection has limits. It is less effective, or may not function at all, against certain forms of damage."
22,Holy Mantle,400 CP,The Binding of Isaac,"""Holy shield."" - This perk grants an invisible shield/barrier that negates the first instance of damage taken. It takes some time to recharge and cooldown is lower when outside immediate danger or battle. It works against most types of damage, but not all of them."
