0,Perk Name,Cost,Description
1,Bag of Wheat Seeds,100 CP,"""One of the most widely cultivated grains. Makes a great flour for breads and cakes."" You gain a full bag of wheat seeds of random quality from the Stardew Valley game. You can hold off releasing the bag into the world for as long as you like. They work like normal plants if left to grow in the wild. However, if someone or something plays an active role in cultivating and tending to this wheat, it starts to grow abnormally fast (maximum speed of 4 days to fully grow in perfect conditions). It still exhausts the soil just as much as normal plants do. So it's probably a bad idea to harvest wheat every week. It is a summer/fall crop - its supernatural effect is most effective in summer and autumn. This perk can be purchased multiple times."
2,Bag of Tomato Seeds,100 CP,"""Rich and slightly tangy, the Tomato has a wide variety of culinary uses."" You gain a full bag of tomato seeds of random quality from the Stardew Valley game. You can hold off releasing the bag into the world for as long as you like. They work like normal plants if left to grow in the wild. However, if someone or something plays an active role in cultivating and tending to this tomato plant, it starts to grow abnormally fast (maximum speed of 4 days to fully grow in perfect conditions). It still exhausts the soil just as much as normal plants do. So it's probably a bad idea to harvest tomatoes every week. It is a summer crop - its supernatural effect is most effective in summer. This perk can be purchased multiple times."
3,Bag of Sunflower Seeds,100 CP,"""A common misconception is that the flower turns so it's always facing the sun."" You gain a full bag of sunflower seeds of random quality from the Stardew Valley game. You can hold off releasing the bag into the world for as long as you like. They work like normal plants if left to grow in the wild. However, if someone or something plays an active role in cultivating and tending to this sunflower plant, it starts to grow abnormally fast (maximum speed of 8 days to fully grow in perfect conditions). It still exhausts the soil just as much as normal plants do. So it's probably a bad idea to harvest tomatoes every week. It is a summer/fall crop - its supernatural effect is most effective in summer and autumn. This perk can be purchased multiple times."
4,Bag of Squash Seeds,100 CP,"""A curved yellow squash that is harvested while immature, and still tender."" You gain a full bag of squash seeds of random quality from the Stardew Valley game. You can hold off releasing the bag into the world for as long as you like. They work like normal plants if left to grow in the wild. However, if someone or something plays an active role in cultivating and tending to this squash plant, it starts to grow abnormally fast (maximum speed of 6 days to fully grow in perfect conditions). It still exhausts the soil just as much as normal plants do. So it's probably a bad idea to harvest squash every week. It is a summer crop - its supernatural effect is most effective in summer. This perk can be purchased multiple times."
5,Bag of Spangle Seeds,100 CP,"""A tropical bloom that thrives in the humid summer air. Has a sweet, tangy aroma."" You gain a full bag of spangle seeds of random quality from the Stardew Valley game. You can hold off releasing the bag into the world for as long as you like. They work like normal plants if left to grow in the wild. However, if someone or something plays an active role in cultivating and tending to this spangle plant, it starts to grow abnormally fast (maximum speed of 8 days to fully grow in perfect conditions). It still exhausts the soil just as much as normal plants do. So it's probably a bad idea to harvest spangle every week. It is a summer crop - its supernatural effect is most effective in summer. This perk can be purchased multiple times."
6,Bag of Starfruit Seeds,100 CP,"""An extremely juicy fruit that grows in hot, humid weather. Slightly sweet with a sour undertone."" You gain a full bag of starfruit seeds of random quality from the Stardew Valley game. You can hold off releasing the bag into the world for as long as you like. They work like normal plants if left to grow in the wild. However, if someone or something plays an active role in cultivating and tending to this starfruit plant, it starts to grow abnormally fast (maximum speed of 13 days to fully grow in perfect conditions). It still exhausts the soil just as much as normal plants do. So it's probably a bad idea to harvest starfruit every two weeks. It is a summer crop - its supernatural effect is most effective in summer. This perk can be purchased multiple times."
7,Bag of Red Cabbage Seeds,100 CP,"""Often used in salads and coleslaws. The color can range from purple to blue to green-yellow depending on soil conditions."" You gain a full bag of red cabbage seeds of random quality from the Stardew Valley game. You can hold off releasing the bag into the world for as long as you like. They work like normal plants if left to grow in the wild. However, if someone or something plays an active role in cultivating and tending to this red cabbage plant, it starts to grow abnormally fast (maximum speed of 9 days to fully grow in perfect conditions). It still exhausts the soil just as much as normal plants do. So it's probably a bad idea to harvest red cabbage every two weeks. It is a summer crop - its supernatural effect is most effective in summer. This perk can be purchased multiple times."
8,Bag of Radish Seeds,100 CP,"""A crisp and refreshing root vegetable with hints of pepper when eaten raw."" You gain a full bag of radish seeds of random quality from the Stardew Valley game. You can hold off releasing the bag into the world for as long as you like. They work like normal plants if left to grow in the wild. However, if someone or something plays an active role in cultivating and tending to this radish plant, it starts to grow abnormally fast (maximum speed of 6 days to fully grow in perfect conditions). It still exhausts the soil just as much as normal plants do. So it's probably a bad idea to harvest radish every week. It is a summer crop - its supernatural effect is most effective in summer. This perk can be purchased multiple times."
9,Bag of Poppy Seeds,100 CP,"""In addition to its colorful flower, the Poppy has culinary and medicinal uses."" You gain a full bag of poppy seeds of random quality from the Stardew Valley game. You can hold off releasing the bag into the world for as long as you like. They work like normal plants if left to grow in the wild. However, if someone or something plays an active role in cultivating and tending to this poppy plant, it starts to grow abnormally fast (maximum speed of 7 days to fully grow in perfect conditions). It still exhausts the soil just as much as normal plants do. So it's probably a bad idea to harvest poppy every week. It is a summer crop - its supernatural effect is most effective in summer. This perk can be purchased multiple times."
10,Bag of Melon Seeds,100 CP,"""A cool, sweet summer treat."" You gain a full bag of melon seeds of random quality from the Stardew Valley game. You can hold off releasing the bag into the world for as long as you like. They work like normal plants if left to grow in the wild. However, if someone or something plays an active role in cultivating and tending to this melon plant, it starts to grow abnormally fast (maximum speed of 12 days to fully grow in perfect conditions). It still exhausts the soil just as much as normal plants do. So it's probably a bad idea to harvest melon every two weeks. It is a summer crop - its supernatural effect is most effective in summer. This crop can be grown into giant version. This perk can be purchased multiple times."
11,Bag of Hot Pepper Seeds,100 CP,"""Fiery hot with a hint of sweetness."" You gain a full bag of hot pepper seeds of random quality from the Stardew Valley game. You can hold off releasing the bag into the world for as long as you like. They work like normal plants if left to grow in the wild. However, if someone or something plays an active role in cultivating and tending to this hot pepper plant, it starts to grow abnormally fast (maximum speed of 5 days to fully grow in perfect conditions). It still exhausts the soil just as much as normal plants do. So it's probably a bad idea to harvest hot pepper every two weeks. It is a summer crop - its supernatural effect is most effective in summer. This perk can be purchased multiple times."
