0,Perk Name,Cost,Description
1,Transmutative Rise,300 CP,"This ability lets you target matter weighing no more than one kilogram and having a volume of no more than one liter. You must be able to touch this matter and separate it from other things around. This power will, after a few minutes of focus and wait, suddenly add one to the atomic number of each element in the targeted volume. There will be a bit of a glow, and the targeted object will be transmuted. However, there may be some logical, some unexpected and even dangerous consequences (although a bit softened). The time it takes to make transmutation happen is proportional to the atomic number of the targeted elements. For example, you can turn a cube of pure iron into cobalt after focusing this ability on it for twenty minutes and then it will suddenly turn from iron (26) into cobalt (27).Effect of this power mostly creates stable isotopes of an element, if its possible."
2,Wooden Stake,150 CP,"You possess the ability to rapidly grow and produce dead wood from your own body. This wood can take on various shapes such as beams, stakes, thorns, curved branches, and other pointed objects. You have the flexibility to make them hollow or alter their inner structure or surface for a little while, even making them polished. Your power does not tarnish your clothes or other thin materials around you (if you don't want it to). The wood you create is dark, dense, and exceptionally hard. It is resistant to catching fire, but if it does ignite, it burns rapidly. It is very susceptible to natural decay and rots relatively quickly over time.

You have the power to infuse existing or created wood (including alive) with your energy. For instance, you can charge a small piece of wood, throw it, and after a certain time, it will begin to transform into preprogrammed pointed shapes, resembling your own body’s abilities, until the charge is depleted. Alternatively, you can grow wood from other wooden surfaces that you come into contact with. Charged wood, under your control, can be easily broken by you and poses no harm to you."
3,Escalating Harm,250 CP,"Once you land the initial strike on an opponent, your subsequent attacks become increasingly devastating. Each successive blow inflicts twice the damage of the previous one. For example, if your first hit is a minor abrasion, the second strike will be twice as severe, and the third strike will be eight times more potent than the initial wound. However, this escalation can be disrupted if you switch targets or if there is a pause between attacks, causing the damage multiplier to rapidly decrease or even reset. It doesn't work if your first attack didn't deal enough damage and can be interrupted by other exotic effects."
4,Tearful Pellets,50 CP,"You possess the ability to project and throw small pellets that burst into a cloud of capsaicin-derived substance, similar to tear gas but potentially more potent. You have control over the volume of gas clouds each pellet produces when you create it and the level of concentration. You are immune to the effects of the tear gas, allowing you to navigate through the cloud unharmed. Pellets do not persist for long - they disappear after some time, if lose contact with you and not being used/destroyed."
5,Fire Fiends Creation,200 CP,"You can create free fire spirits or infuse items with them using living things you’ve burned down yourself as the source, from their ashes or by literally dragging specks of ‘inner fire’ from the corpses of your foes. These 'Fiends' need to eat fire or highly flammable materials to survive, but even then, they have limited and usually short lifespans because they age relatively quickly. They are generally aligned with you, listen to your orders and are loyal, but tend to be mischievous and ‘fiery’ in character due to their nature. They live longer when infused into objects, but their effects are less powerful."
6,Metaphorical Flames,400 CP,"You can use metaphorical sources of flame inside and around you to fuel your magic. For example, you can use your own flaming rage or fires of will to produce mystic effects, which will make these two 'burn brighter,' but also turn to cold ash more quickly. This means that if you use something like flaming rage or fires of will, your willpower and anger will suddenly be 'brighter' for some time (while they are burning), but eventually they will burn out, leaving behind disinterest, apathy, or something similar. You will have to restore them afterward. So, it's better to use something like potential flames trapped inside gunpowder on your person as fuel, even if it might be less effective or nearly impossible to utilize for certain tasks.

Sourcing metaphorical flames requires creativity and thinking. Some sources are easier and better than others for your magic to work and some tasks are better done using specific flames, or some fires might affect the magic in some ways. For example, you cannot use the flames of another person’s rage directly, but if you bait them into focusing their anger on you, it becomes easier to do. Or as another example: using flames of rage is good for doing violent tasks, although it might bleed into your spells and produce some side-effects associated with rage. They are much more pronounced, if the task is already closely related and harmonised with concepts of anger. Although, not everything can be used as a source, because it must be some sort of metaphorical flame or at the very least fuel for it."
7,Mortis Essence Accumulation,200 CP,"You have a metaphorical vessel of 'mortis essence' inside your soul. You can replenish this magic by killing or witnessing death personally. You become stronger and can restore powers in places drenched in death or strongly associated with the dead, as recognized by the local population or creatures in the area.

You gain more from killing or witnessing the death of someone who resists death or being killed. You also gain more from sleeping or meditating in places associated with the dead. Different creatures, types of death, and locations influence your replenishment. You cannot accumulate too much mortis essence, as it makes you more vulnerable to death: stopping bleeding takes longer, severe wounds are more likely to cause death, you get ill more easily, etc. So, you need to find a way to get rid of the excess or figure out how to block/control automatic replenishment of the essence before it kills you. Mortis essence is strongly aligned with arts related to death and the dead, such as necromancy or burial arts, but is not limited to them."
8,Oddly Convenient Spare Parts,300 CP,"When breaking down or disassembling something, you can often find spare parts inside, even if there shouldn't be any. While you cannot precisely control which spare part you will get, you can steer it slightly in the desired direction. Repeatedly disassembling and reassembling objects allows you to dupe pieces with each iteration. Although, there are diminishing returns for doing it to the exact same thing over and over again.

The terms 'disassembly' and 'something' are quite flexible - breaking rocks with a pickaxe or preparing wood also technically count as disassembling. As a result, you may find yourself with more spare parts or useful items than expected, even in these cases. Very rarely, when searching for space parts, you might discover unique, thematic items related to what you disassembled among spare parts - for example, finding a golden nugget in a piece of rock you broke down, even if it shouldn’t be there. You also have a knack for dismantling objects quickly, safely and carefully. Nothing supernatural though."
9,Just Pop It,400 CP,"You can cause almost any physical object or part of it to pop, as if it were a balloon - simply by applying enough pressure or using something like a needle. Larger and more massive objects explode with greater power. After performing the 'pop' action, you have a short window of invulnerability to protect you from the explosion itself and some of the shards it produces, but nothing beyond that. You have perfect control over when this ability is active."
10,Aspect Loom,"
650 CP","You can unravel matter and energy into thick, colorful threads and wind them into balls that represent aspects of an object. Simply touching your target starts the process. These threads can be stored in a special pocket dimension and accessed at any time. If you haven't altered the threads, you can turn them back into the original objects. The mass, volume, and complexity of the target determine how many threads you obtain and how easy/hard it is to do, but it will always be lesser in mass and volume than the original unraveled object. 

You can split these threads into more, unraveling the nature of the object into simpler aspects. Using different threads, you can create patterns so that when they are reassembled, the resulting object will be different - made of aspects of your original target and inspired by the new shape. You are an expert in working with threads and possess an unnatural intuition for manipulating aspect threads specifically. Others can also work with these threads and even restore them into objects using the right supernatural energies or abilities, but without your unnatural intuition, it is difficult for them to find effective or useful patterns."
11,Dionysus Ultimate Blessing,150 CP,"You cannot die from overdrinking; at some point, it will stop worsening. Any damage caused by drinking will be healed by a short hangover afterward. You do not suffer from the usual side effects of alcoholism, such as developing a tolerance to alcohol. While you are at least a little bit drunk, you cannot be poisoned by other substances. Your luck slightly increases with how drunk you are at the moment, though there is a limit. You are extremely knowledgeable about cocktails, alcoholic beverages, and how to drink them correctly. You can consume methanol or similar ""alcoholic"" substances without dying, going blind, or experiencing other severe consequences, but the hangover will be longer and much worse. You can still get drunk, even if other powers prohibit or make it impossible. You can experience degrees of drunkenness beyond what an unmodified human brain can normally comprehend. If you want to get intoxicated from drinking at the moment - you will!"
12,Ocean of Bouillon,100 CP,"You can instantly conjure great quantities of fresh, boiling-hot (or cold, depending on the dish), and delicious soup, broth or stew in any targeted empty vessel. It must be some kind of mundane soup, broth or stew, and you should be somewhat familiar with specific dish to actually summon it. The substance created this way is enhanced to be perpetually hot (or cold, depending on the dish) and fresh until eaten or ruined by external factors (like dirt getting into it). After that, these special properties gradually (or abruptly) diminish and disappear completely. You can instantly fill a cauldron with your favorite stew, definitely a tub, or even the whole room. It just needs to be some non-living vessel with physical access to its insides. There is a limit of how much you can create at once, but its a lot of stew/soup/broth."
13,Administrator Engine,200 CP,"This ability automatically connects to all other perks and powers you have and updates when you acquire new ones. Its primary goal is the management and control of the various effects that powers give you. It grants you the ability to tune and even turn powers on or off, even for ones which usually don't have any means of control. You can preprogram various quick changes to tweak the operation of many abilities at once, giving you more precise control over the abilities you possess and making it easier to monitor what they do and when. Of course, it works a bit differently with different perks and tries to adapt to them. Basically, it just gives a control panel to better monitor and manage your powers."
14,Fluid Light,50 CP,"You are capable of absorbing light with the surface of your body, turning it into a transparent fluid and excreting it from any point on your body. Disturbing this substance causes it to partly revert back into light (for example, by suddenly heating it or punching it hard). This liquid is practically weightless and has very low viscosity. However, you can concentrate more light into the same volume of liquid. Doing so will make it heavier and more viscous, the more light you pack into it. Additionally, disturbing it will produce brighter light with a shorter wavelength. You are good at absorbing visible light but terrible at absorbing non-visible light. There is a limit to how much you can absorb, store, and recycle per unit of time."
15,Resources Conversion,200 CP,"You have an inventory space size of one cubic meter. You can put resources, materials, and even some components into this extradimensional space with a touch, as long as they are not larger than a cube with a side of one meter. Things inside this space will be converted from one resource into another after specific time passes. How long this takes depends on three parameters: Properties, Composition, and Shape. How different these three between the original target and intended result. For example, you can put one type of steel into this space and turn it into another of your liking in a matter of minutes: one alloy of iron transformed into another. You are only aware of how long the transformation will take after putting something inside the space and choosing end state of conversion. You can eject items at any time (they will remain unchanged if not enough time has passed for full processing) and must do so if you want to change what is currently contained in this cubic dimension (you cannot add stuff, while something is inside). Trying to turn something into a completely different type of entity might take years and even decades to process, which is usually not worth it. Some small amount of material gets lost in the conversion process, proportionally to how much time it took to convert. End result depends on what you are asking this power to do, but cannot be anything but resource, material or component."
16,,,
17,,,
18,,,
19,,,
20,,,
21,,,
22,,,
23,,,
24,,,
25,,,
26,,,
27,,,
28,,,
29,,,
30,,,
31,,,
32,,,
33,,,
34,,,
35,,,
36,,,
37,,,
38,,,
39,,,
40,,,
41,,,
42,,,
43,,,
44,,,
45,,,
46,,,
47,,,
48,,,
49,,,
50,,,
51,,,
52,,,
53,,,
54,,,
55,,,
56,,,
57,,,
58,,,
59,,,
60,,,
61,,,
62,,,
63,,,
64,,,
65,,,
66,,,
67,,,
68,,,
69,,,
70,,,
71,,,
72,,,
73,,,
74,,,
75,,,
76,,,
77,,,
78,,,
79,,,
80,,,
81,,,
82,,,
83,,,
84,,,
85,,,
86,,,
87,,,
88,,,
89,,,
90,,,
91,,,
92,,,
93,,,
