0,Perk Name,Cost,Description
1,Electromagnetism,50 CP,"""Maxwell's equations poetically describe electricity and magnetism intertwining. With a deeper understanding, machines can be created for acquiring and using electrical energy with high efficiency."" - This perk gives you scientific knowledge and blueprtints to create devices unlocked by the technology of the same name from the DSP game."
2,Tier Two Technology,100 CP,"This perk gives you a mental compendium of scientific knowledge and blueprints to understand, craft, and maintain all devices and structures of Tier Two technology from the DSP game. You can obtain this perk without perks for previous Tiers, but there will be expected holes in your understanding. You can reroll this perk for free."
3,Tier Three Technology,150 CP,"This perk gives you a mental compendium of scientific knowledge and blueprints to understand, craft, and maintain all devices and structures of Tier Three technology from the DSP game. You can obtain this perk without perks for previous Tiers, but there will be expected holes in your understanding. You can reroll this perk for free."
4,Tier Four Technology,200 CP,"This perk gives you a mental compendium of scientific knowledge and blueprints to understand, craft, and maintain all devices and structures of Tier Four technology from the DSP game. You can obtain this perk without perks for previous Tiers, but there will be expected holes in your understanding. You can reroll this perk for free."
5,Tier Five Technology,250 CP,"This perk gives you a mental compendium of scientific knowledge and blueprints to understand, craft, and maintain all devices and structures of Tier Five technology from the DSP game. You can obtain this perk without perks for previous Tiers, but there will be expected holes in your understanding. You can reroll this perk for free."
6,Tier Six Technology ,300 CP,"This perk gives you a mental compendium of scientific knowledge and blueprints to understand, craft, and maintain all devices and structures of Tier Six technology from the DSP game. You can obtain this perk without perks for previous Tiers, but there will be expected holes in your understanding. You can reroll this perk for free."
7,Tier Seven Technology,350 CP,"This perk gives you a mental compendium of scientific knowledge and blueprints to understand, craft, and maintain all devices and structures of Tier Seven technology from the DSP game. You can obtain this perk without perks for previous Tiers, but there will be expected holes in your understanding. You can reroll this perk for free."
8,Tier Eight Technology,400 CP,"This perk gives you a mental compendium of scientific knowledge and blueprints to understand, craft, and maintain all devices and structures of Tier Eight technology from the DSP game. You can obtain this perk without perks for previous Tiers, but there will be expected holes in your understanding. You can reroll this perk for free."
9,Tier Nine Technology,450 CP,"This perk gives you a mental compendium of scientific knowledge and blueprints to understand, craft, and maintain all devices and structures of Tier Nine technology from the DSP game. You can obtain this perk without perks for previous Tiers, but there will be expected holes in your understanding. You can reroll this perk for free."
10,Tier Ten Technology,500 CP,"This perk gives you a mental compendium of scientific knowledge and blueprints to understand, craft, and maintain all devices and structures of Tier Ten technology from the DSP game. You can obtain this perk without perks for previous Tiers, but there will be expected holes in your understanding. You can reroll this perk for free."
11,Tier Eleven Technology,550 CP,"This perk gives you a mental compendium of scientific knowledge and blueprints to understand, craft, and maintain all devices and structures of Tier Eleven technology from the DSP game. You can obtain this perk without perks for previous Tiers, but there will be expected holes in your understanding. You can reroll this perk for free."
12,Tier Twelve Technology,600 CP,"This perk gives you a mental compendium of scientific knowledge and blueprints to understand, craft, and maintain all devices and structures of Tier Twelve technology from the DSP game. You can obtain this perk without perks for previous Tiers, but there will be expected holes in your understanding. You can reroll this perk for free."
13,End Game Technology,700 CP,"This perk gives you a mental compendium of scientific knowledge and blueprints to understand, craft, and maintain all devices and structures of Tier Thirteen and above technology from the DSP game. You can obtain this perk without perks for previous Tiers, but there will be expected holes in your understanding. You can reroll this perk for free."
14, Icarus,200 CP,"You have the ability to build the basic Icarus mecha from DSP. You have the blueprint and extensive skills to maintain and use this machine, but you don't have complete knowledge of its inner workings. It has high tinkertech cheating potential to cut corners to create this mecha."
15,Exploration Upgrades,200(300)(400)(500) CP,"This perk gives you the thinker ability to search for and view resources around you. It cannot highlight every kind of resources - only works best with DSP and related types of materials. This perk can be purchased four times in total, costing 100 CP more for each purchase."
