0,Perk Name,Cost,Description
1,Scientific Method,50 CP,"""Testable predictions of observable phenomena."" - You gain the equivalent of higher education in a field of scientific methodology. You know how to apply methodologies from societies many years ahead of humanity to your scientific research. It should help you in many small ways. Your skills and knowledge are average by the standards of this futuristic society. However, you have many blank spaces for knowledge and context lying beond scientific methodology field."
2,Computing Tree,500(250) CP,"This perk gives you the ability to research and discover technologies from the Computing Tech Tree of the Stellaris game unnaturally fast. Progression is semi-random, utilizes a card shuffle approach, and requires you to create and use various devices, explore the technologies of others and being proactive. Your actions make details from some technologies more probable to appear than others the next time inspiration strikes. You can pay an additional 250 CP now or the next time you roll this perk to instantly unlock a portion of the tree. You can do this as many times as you want if you have points to spare. Each time, it grants you an immediate leap in knowledge, blueprints, and skills, covering a few of the lowest technologies still ahead of you in this tree (usually between one and two). It doesn't include Starter Technologies and Events."
3,Field Manipulation Tree,500(250) CP,"This perk gives you the ability to research and discover technologies from the Field Manipulation Tree of the Stellaris game unnaturally fast. Progression is semi-random, utilizes a card shuffle approach, and requires you to create and use various devices, explore the technologies of others and being proactive. Your actions make details from some technologies more probable to appear than others the next time inspiration strikes. You can pay an additional 250 CP now or the next time you roll this perk to instantly unlock a portion of the tree. You can do this as many times as you want if you have points to spare. Each time, it grants you an immediate leap in knowledge, blueprints, and skills, covering a few of the lowest technologies still ahead of you in this tree (usually between one and two). It doesn't include Starter Technologies and Events."
4,Particles Tree,400(200) CP,"This perk gives you the ability to research and discover technologies from the Particles Tree of the Stellaris game unnaturally fast. Progression is semi-random, utilizes a card shuffle approach, and requires you to create and use various devices, explore the technologies of others and being proactive. Your actions make details from some technologies more probable to appear than others the next time inspiration strikes. You can pay an additional 200 CP now or the next time you roll this perk to instantly unlock a portion of the tree. You can do this as many times as you want if you have points to spare. Each time, it grants you an immediate leap in knowledge, blueprints, and skills, covering a few of the lowest technologies still ahead of you in this tree (usually between one and two). It doesn't include Starter Technologies and Events."
5,Biology Tree,500(250) CP,"This perk gives you the ability to research and discover technologies from the Biology Tree of the Stellaris game unnaturally fast. Progression is semi-random, utilizes a card shuffle approach, and requires you to create and use various devices, explore the technologies of others and being proactive. Your actions make details from some technologies more probable to appear than others the next time inspiration strikes. You can pay an additional 250 CP now or the next time you roll this perk to instantly unlock a portion of the tree. You can do this as many times as you want if you have points to spare. Each time, it grants you an immediate leap in knowledge, blueprints, and skills, covering a few of the lowest technologies still ahead of you in this tree (usually between one and two). It doesn't include Starter Technologies and Events."
6,Military Theory Tree,400(200) CP,"This perk gives you the ability to research and discover technologies from the Military Theory Tree of the Stellaris game unnaturally fast. Progression is semi-random, utilizes a card shuffle approach, and requires you to create and use various devices, explore the technologies of others and being proactive. Your actions make details from some technologies more probable to appear than others the next time inspiration strikes. You can pay an additional 250 CP now or the next time you roll this perk to instantly unlock a portion of the tree. You can do this as many times as you want if you have points to spare. Each time, it grants you an immediate leap in knowledge, blueprints, and skills, covering a few of the lowest technologies still ahead of you in this tree (usually between one and two). It doesn't include Starter Technologies and Events."
7,New Worlds Tree,400(200) CP,"This perk gives you the ability to research and discover technologies from the New Worlds Tree of the Stellaris game unnaturally fast. Progression is semi-random, utilizes a card shuffle approach, and requires you to create and use various devices, explore the technologies of others and being proactive. Your actions make details from some technologies more probable to appear than others the next time inspiration strikes. You can pay an additional 250 CP now or the next time you roll this perk to instantly unlock a portion of the tree. You can do this as many times as you want if you have points to spare. Each time, it grants you an immediate leap in knowledge, blueprints, and skills, covering a few of the lowest technologies still ahead of you in this tree (usually between one and two). It doesn't include Starter Technologies and Events."
8,Statecraft Tree,600(300) CP,"This perk gives you the ability to research and discover technologies from the Statecraft Tree of the Stellaris game unnaturally fast. Progression is semi-random, utilizes a card shuffle approach, and requires you to create and use various devices, explore the technologies of others and being proactive. Your actions make details from some technologies more probable to appear than others the next time inspiration strikes. You can pay an additional 300 CP now or the next time you roll this perk to instantly unlock a portion of the tree. You can do this as many times as you want if you have points to spare. Each time, it grants you an immediate leap in knowledge, blueprints, and skills, covering a few of the lowest technologies still ahead of you in this tree (usually between one and two). It doesn't include Starter Technologies and Events."
9,Psionics Tree,600(300) CP,"This perk gives you the ability to research and discover technologies from the Psionics Tree of the Stellaris game unnaturally fast. Progression is semi-random, utilizes a card shuffle approach, and requires you to create and use various devices, explore the technologies of others and being proactive. Your actions make details from some technologies more probable to appear than others the next time inspiration strikes. You can pay an additional 300 CP now or the next time you roll this perk to instantly unlock a portion of the tree. You can do this as many times as you want if you have points to spare. Each time, it grants you an immediate leap in knowledge, blueprints, and skills, covering a few of the lowest technologies still ahead of you in this tree (usually between one and two). It doesn't include Events."
10,Archaeostudies Tree,600(300) CP,"This perk gives you the ability to research and discover technologies from the Archaeostudies Tree of the Stellaris game unnaturally fast. Progression is semi-random, utilizes a card shuffle approach, and requires you to create and use various devices, explore the technologies of others and being proactive. Your actions make details from some technologies more probable to appear than others the next time inspiration strikes. You can pay an additional 300 CP now or the next time you roll this perk to instantly unlock a portion of the tree. You can do this as many times as you want if you have points to spare. Each time, it grants you an immediate leap in knowledge, blueprints, and skills, covering a few of the lowest technologies still ahead of you in this tree (usually between one and two). It doesn't include Events."
11,Cybrex Mining Hub,300 CP,"""To build their ring world, the Cybrex relied on highly efficient mining drones to survey and harvest orbital resources. Cybrex-made memory chips and sensors could outfit our own mining drones, so that we might put their millennia old algorithms to good use."""
12,Irassian Naval Yards,300 CP,"""The Irassian astronaval tradition was unmatched in their time. Their shipyards produced a constant stream of ships for their navy and merchant fleets, which would ultimately be their downfall. With so many ships, and such a high reliance on them, the Irassians were powerless to quarantine the disease that would claim their empire."""
13,Yuht Astronomical Interferometer,250 CP,"""The Yuht were a paradoxical society, obsessed with the idea of finding other sentient species, yet refusing to accept that they were not alone. They were so focused on disproving any claim of alien life, that their bias found a way into their technology. However, with the proper modifications and calibrations, we could certainly fix their powerful detection arrays."""
14,	Zroni Storm Caster,400 CP,"""Zro is a fascinating element, prone to chaotic bursts of energy. We believe that with the right artifacts, we could use it to fuel spatial storms over entire solar systems."""
15,First League Filing Offices,400 CP,"""The sprawling empire of the First League dwarfed our own at its peak, and relied on implacable bureaucracy to keep the wheels of the state in motion. The quantic filing arrays they used afforded them unprecedented efficiency in the sorting and storing of documents."""
16,Baol Organic Plant,500 CP,"""The Baol Organism had a unique way of producing tools. Given the species' relative slowness, they would simply grow them out of organic matter in locations that were half orchard, half factory. With the proper genetic adjustments, we could also grow various commodities and tools alongside our regular crops."""
17,Vultaum Reality Computer,500 CP,"""The reality computers of the Vultaums were unique processing units, dedicated to analyzing existence itself, not quite through physics, but rather by trying to reverse engineer reality's source code and find the glitch that would finally allow the Vultaums to take down the simulation where they believed they lived."""
18,Industry Tree,600(300) CP,"This perk gives you the ability to research and discover technologies from the Industry Tree of the Stellaris game unnaturally fast. Progression is semi-random, utilizes a card shuffle approach, and requires you to create and use various devices, explore the technologies of others and being proactive. Your actions make details from some technologies more probable to appear than others the next time inspiration strikes. You can pay an additional 300 CP now or the next time you roll this perk to instantly unlock a portion of the tree. You can do this as many times as you want if you have points to spare. Each time, it grants you an immediate leap in knowledge, blueprints, and skills, covering a few of the lowest technologies still ahead of you in this tree (usually between one and two). It doesn't include Starter Technologies and Events."
