0,Perk Name,Cost,Description
1,The Hallow Spreads,600(300) CP,"This perk allows you to generate the Hallow biome from Terraria, transforming the area a few kilometers around you. It will spread slowly afterward, but the speed and effectiveness depend on the nature of the place, including flora, fauna, and the resistance of materials and details of the geography. You can hold this effect in storage until you find a suitable place to target. You can buy this perk multiple times, with a 300 CP discount after the first purchase, stacking these held activations of the ability to use later. The first purchase of the perk grants you encyclopedic knowledge of the Hallow biome."
2,The Crimson Spreads,600(300) CP,"This perk allows you to generate the Crimson biome from Terraria, transforming the area a few kilometers around you. It will spread slowly afterward, but the speed and effectiveness depend on the nature of the place, including flora, fauna, and the resistance of materials and details of the geography. You can hold this effect in storage until you find a suitable place to target. You can buy this perk multiple times, with a 300 CP discount after the first purchase, stacking these held activations of the ability to use later. The first purchase of the perk grants you encyclopedic knowledge of the Crimson biome."
3,The Corruption Spreads,600(300) CP,"This perk allows you to generate the Corruption biome from Terraria, transforming the area a few kilometers around you. It will spread slowly afterward, but the speed and effectiveness depend on the nature of the place, including flora, fauna, and the resistance of materials and details of the geography. You can hold this effect in storage until you find a suitable place to target. You can buy this perk multiple times, with a 300 CP discount after the first purchase, stacking these held activations of the ability to use later. The first purchase of the perk grants you encyclopedic knowledge of the Corruption biome."
4,Terraria Tools,300 CP,"You can craft tools from the Terraria game, including unobtainable and hardcore ones. They have their special properties preserved due to the supernatural component of the perk. You can use normal variants of materials to craft them, but this will make them more like tinkertech in a negative way. Ideally, you should choose variations of materials from the Terraria game or at least similar enough resources from other sources to get the best results. This perk only gives boost to skills, while you are working on things included into the perk. But you still can slowly learn some mundane things from exposure to crafting process."
5,Terraria Weapons,300 CP,"You can craft weapons and ammunition from the Terraria game, including unobtainable and hardcore ones. They have their special properties preserved due to the supernatural component of the perk. You can use normal variants of materials to craft them, but this will make them more like tinkertech in a negative way. Ideally, you should choose variations of materials from the Terraria game or at least similar enough resources from other sources to get the best results. This perk only gives boost to skills, while you are working on things included into the perk. But you still can slowly learn some mundane things from exposure to crafting process."
6,Terraria Armor,300 CP,"You can craft armor from the Terraria game, including unobtainable and hardcore ones. They have their special properties preserved due to the supernatural component of the perk. You can use normal variants of materials to craft them, but this will make them more like tinkertech in a negative way. Ideally, you should choose variations of materials from the Terraria game or at least similar enough resources from other sources to get the best results. This perk only gives boost to skills, while you are working on things included into the perk. But you still can slowly learn some mundane things from exposure to crafting process."
7,Terraria Accessories,400 CP,"You can craft all types of accessories from the Terraria game, including unobtainable and hardcore ones. They have their special properties preserved due to the supernatural component of the perk. You can use normal variants of materials to craft them, but this will make them more like tinkertech in a negative way. Ideally, you should choose variations of materials from the Terraria game or at least similar enough resources from other sources to get the best results. This perk only gives boost to skills, while you are working on things included into the perk. But you still can slowly learn some mundane things from exposure to crafting process."
8,Terraria Consumables,250 CP,"You can craft all types of consumables (potions, food, drinks, flasks, dyes, paints) from the Terraria game, including unobtainable and hardcore ones. They have their special properties preserved due to the supernatural component of the perk. You can use normal variants of materials to craft them, but this will make them more like tinkertech in a negative way. Ideally, you should choose variations of materials from the Terraria game or at least similar enough resources from other sources to get the best results. This perk only gives boost to skills, while you are working on things included into the perk. But you still can slowly learn some mundane things from exposure to crafting process."
9,We Are Rich!,100 CP,"This perk allows you to spawn twelve full chests containing different coins, gems, and bars in targeted locations without causing any damage. If there is not enough space, fewer chests will spawn. They contain currency and Terraria-type resources inside them (giving them unique properties). You can hold onto this effect to activate it when a suitable target is found, and you can stack stored effects indefinitely. This perk can be purchased multiple times. The quantity of specific materials inside the chests depends on their rarity and usefulness in the game. There will be more early-game materials in these chests than late-game ones. It includes materials from mods, if you have perks for them."
10,Terraria Crafts,150 CP,"You gain a mental compendium of blueprints to create all furniture, crafting stations, statues, blocks, walls, and vanity items from the Terraria game. You acquire just enough skill to build them and just enough knowledge to utilize these items."
11,More Life,50 CP,"This perk grants you the equivalent of one Life Crystal or Fruit use, depending on how many times you have already rolled and bought this perk. You can purchase this perk multiple times - up to 35 times, to be exact. First, you go through 15 Life Crystal equivalents, then through 20 Life Fruit equivalents. Each time, it slightly increases your life energy and your ability to survive damage."
12,More Mana,50 CP,"This perk grants you the equivalent of one Mana Crystal use, depending on how many times you have already rolled and bought this perk. You can purchase this perk multiple times - up to 10 times, to be exact. First time you gain access to Terraria mana, and each time afterwards make your reserves a little bit bigger."
13,Summoned Help,300 CP,"You can craft items for summoning pets and mounts from the Terraria game, along with skills to command them. They have their special properties preserved due to the supernatural component of the perk. You can use normal variants of materials to craft them, but this will make them more like tinkertech in a negative way. Ideally, you should choose variations of materials from the Terraria game or at least similar enough resources from other sources to get the best results. This perk only gives boost to skills, while you are working on things included into the perk. But you still can slowly learn some mundane things from exposure to crafting process."
14,Calamity Expansion,800 CP,"You can craft all types of items from the Calamity mod (including addons) for Terraria game, including unobtainable and hardcore ones. They have their special properties preserved due to the supernatural component of the perk. You can use normal variants of materials to craft them, but this will make them more like tinkertech in a negative way. Ideally, you should choose variations of materials from the Terraria game or at least similar enough resources from other sources to get the best results. This perk only gives boost to skills, while you are working on things included into the perk. But you still can slowly learn some mundane things from exposure to crafting process."
15,Starlight River Mod,500 CP,"You can craft all types of items from the Starlight River mod for Terraria game, including unobtainable and hardcore ones. They have their special properties preserved due to the supernatural component of the perk. You can use normal variants of materials to craft them, but this will make them more like tinkertech in a negative way. Ideally, you should choose variations of materials from the Terraria game or at least similar enough resources from other sources to get the best results. This perk only gives boost to skills, while you are working on things included into the perk. But you still can slowly learn some mundane things from exposure to crafting process."
16,Redemption Mod,500 CP,"You can craft all types of items from the Redemption mod for Terraria game, including unobtainable and hardcore ones. They have their special properties preserved due to the supernatural component of the perk. You can use normal variants of materials to craft them, but this will make them more like tinkertech in a negative way. Ideally, you should choose variations of materials from the Terraria game or at least similar enough resources from other sources to get the best results. This perk only gives boost to skills, while you are working on things included into the perk. But you still can slowly learn some mundane things from exposure to crafting process."
17,Thorium Mod,600 CP,"You can craft all types of items from the Thorium mod for Terraria game, including unobtainable and hardcore ones. They have their special properties preserved due to the supernatural component of the perk. You can use normal variants of materials to craft them, but this will make them more like tinkertech in a negative way. Ideally, you should choose variations of materials from the Terraria game or at least similar enough resources from other sources to get the best results. This perk only gives boost to skills, while you are working on things included into the perk. But you still can slowly learn some mundane things from exposure to crafting process."
18,Spirit Expansion,700 CP,"You can craft all types of items from the Spirit mod (its various version) for Terraria game, including unobtainable and hardcore ones. They have their special properties preserved due to the supernatural component of the perk. You can use normal variants of materials to craft them, but this will make them more like tinkertech in a negative way. Ideally, you should choose variations of materials from the Terraria game or at least similar enough resources from other sources to get the best results. This perk only gives boost to skills, while you are working on things included into the perk. But you still can slowly learn some mundane things from exposure to crafting process."
19,,,
20,,,
21,,,
22,,,
23,,,
24,,,
25,,,
26,,,
27,,,
28,,,
29,,,
30,,,
31,,,
32,,,
33,,,
34,,,
35,,,
36,,,
37,,,
38,,,
39,,,
40,,,
41,,,
42,,,
43,,,
44,,,
45,,,
46,,,
47,,,
48,,,
49,,,
50,,,
51,,,
52,,,
53,,,
54,,,
55,,,
56,,,
57,,,
58,,,
59,,,
60,,,
61,,,
62,,,
63,,,
64,,,
65,,,
66,,,
67,,,
68,,,
69,,,
70,,,
71,,,
72,,,
73,,,
74,,,
75,,,
76,,,
77,,,
78,,,
79,,,
80,,,
81,,,
82,,,
83,,,
84,,,
85,,,
86,,,
87,,,
88,,,
89,,,
90,,,
91,,,
92,,,
93,,,
94,,,
95,,,
96,,,
97,,,
98,,,
99,,,
100,,,
101,,,
102,,,
103,,,
104,,,
105,,,
106,,,
107,,,
108,,,
109,,,
110,,,
111,,,
112,,,
113,,,
114,,,
115,,,
116,,,
117,,,
118,,,
119,,,
120,,,
121,,,
122,,,
123,,,
124,,,
125,,,
126,,,
127,,,
128,,,
129,,,
130,,,
131,,,
132,,,
133,,,
134,,,
135,,,
136,,,
137,,,
138,,,
139,,,
140,,,
141,,,
142,,,
143,,,
144,,,
145,,,
146,,,
147,,,
148,,,
149,,,
150,,,
151,,,
152,,,
153,,,
154,,,
155,,,
156,,,
157,,,
158,,,
159,,,
160,,,
161,,,
162,,,
163,,,
164,,,
165,,,
166,,,
167,,,
168,,,
169,,,
170,,,
171,,,
172,,,
173,,,
174,,,
175,,,
176,,,
177,,,
178,,,
179,,,
180,,,
181,,,
182,,,
183,,,
184,,,
185,,,
186,,,
187,,,
188,,,
189,,,
190,,,
191,,,
192,,,
193,,,
194,,,
195,,,
196,,,
197,,,
198,,,
199,,,
200,,,
201,,,
202,,,
203,,,
204,,,
205,,,
206,,,
207,,,
208,,,
209,,,
