0,Perk Name,Cost,Description
1,Skill Gems,400 CP,You are capable of making skill gems and item sockets to apply them to different objects. You also have encyclopedic knowledge of all skill gems from the Path of Exile game and skills at how to use them.
2,Not Enough Flasks,300 CP,You are capable of making various flasks from the Path of Exile game. You also have encyclopedic knowledge of them and a general idea of how to use them. Their way of working is highly inspired by the in-game mechanics.
3,Quality Items,200 CP,"You can spend additional time and resources to apply higher quality to the targeted item, inspired by Path of Exile game mechanics. It is harder to do with types of items that are not included in the game as part of the Quality mechanic. The process is also more tedious and costly, proportional to the complexity and power of the targeted item. Quality is easier to apply when you create an item from scratch."
4,Complete Modifier,300 CP,"You can apply modifiers inspired by the Path of Exile game mechanic to your creations. Anything you made yourself - such as a device, weapon, armor, landmark, creature, etc. - is a valid target for applying a modifier, while its a in a process of being made by you. However, it works best on things similar to the entities modified usually in the original game. The cost in time and resources also scales proportionally with the power of the modifiers and the nature of the targeted creation."
5,Beastcrafting,350 CP,"""Beastcrafting is a method of crafting by sacrificing beasts to the blood altar in the Menagerie. Each beastcrafting recipe requires four beasts to be sacrificed, with most of them requiring one or two specific Red Beast, and the rest any Rare Beast. The four chosen beasts are released into the arena surrounding the blood altar and must be killed to complete the recipe. If the player dies during the attempt, the recipe fails and the beasts are lost."" - Now you have the ability to use this mechanic in form of a ritual."
6,Bow Gamble,200 CP,"This perk gives you a random unique bow from the Path of Exile game and the ability to create this specific bow. If you roll the same bow again from this perk, you gain a bit more insight into the actual magic and science behind its creation or the ability to modify the original recipe a little. It gradually reveals more with each repetition. You don't have to summon your prize instantly - you can hold onto it until a better time comes. This perk can be purchased multiple times."
7,Sceptre Gamble,200 CP,"This perk gives you a random unique sceptre from the Path of Exile game and the ability to create this specific sceptre. If you roll the same sceptre again from this perk, you gain a bit more insight into the actual magic and science behind its creation or the ability to modify the original recipe a little. It gradually reveals more with each repetition. You don't have to summon your prize instantly - you can hold onto it until a better time comes. This perk can be purchased multiple times."
8,Mace Gamble,200 CP,"This perk gives you a random unique mace from the Path of Exile game and the ability to create this specific mace. If you roll the same mace again from this perk, you gain a bit more insight into the actual magic and science behind its creation or the ability to modify the original recipe a little. It gradually reveals more with each repetition. You don't have to summon your prize instantly - you can hold onto it until a better time comes. This perk can be purchased multiple times."
9,Axe Gamble,200 CP,"This perk gives you a random unique axe from the Path of Exile game and the ability to create this specific axe. If you roll the same axe again from this perk, you gain a bit more insight into the actual magic and science behind its creation or the ability to modify the original recipe a little. It gradually reveals more with each repetition. You don't have to summon your prize instantly - you can hold onto it until a better time comes. This perk can be purchased multiple times."
10,Sword Gamble,200 CP,"This perk gives you a random unique sword from the Path of Exile game and the ability to create this specific sword. If you roll the same sword again from this perk, you gain a bit more insight into the actual magic and science behind its creation or the ability to modify the original recipe a little. It gradually reveals more with each repetition. You don't have to summon your prize instantly - you can hold onto it until a better time comes. This perk can be purchased multiple times."
11,Claws Gamble,200 CP,"This perk gives you a random unique claws from the Path of Exile game and the ability to create this specific claws. If you roll the same claws again from this perk, you gain a bit more insight into the actual magic and science behind its creation or the ability to modify the original recipe a little. It gradually reveals more with each repetition. You don't have to summon your prize instantly - you can hold onto it until a better time comes. This perk can be purchased multiple times."
12,Dagger Gamble,200 CP,"This perk gives you a random unique dagger from the Path of Exile game and the ability to create this specific dagger. If you roll the same dagger again from this perk, you gain a bit more insight into the actual magic and science behind its creation or the ability to modify the original recipe a little. It gradually reveals more with each repetition. You don't have to summon your prize instantly - you can hold onto it until a better time comes. This perk can be purchased multiple times."
13,Stave Gamble,200 CP,"This perk gives you a random unique stave from the Path of Exile game and the ability to create this specific stave. If you roll the same stave again from this perk, you gain a bit more insight into the actual magic and science behind its creation or the ability to modify the original recipe a little. It gradually reveals more with each repetition. You don't have to summon your prize instantly - you can hold onto it until a better time comes. This perk can be purchased multiple times."
14,Wand Gamble,200 CP,"This perk gives you a random unique wand from the Path of Exile game and the ability to create this specific wand. If you roll the same wand again from this perk, you gain a bit more insight into the actual magic and science behind its creation or the ability to modify the original recipe a little. It gradually reveals more with each repetition. You don't have to summon your prize instantly - you can hold onto it until a better time comes. This perk can be purchased multiple times."
15,Fishing Rod Collection,100 CP,"You gain a collection of fishing rods from the game Path of Exile, along with exceptional skills to use them for fishing and, surprisingly, fighting. You also can craft all the given rods by hand. You don't have to summon your prize instantly - you can hold onto items until a better time comes."
16,Amulet Gamble ,200 CP,"This perk gives you a random unique amulet from the Path of Exile game and the ability to create this specific amulet. If you roll the same amulet again from this perk, you gain a bit more insight into the actual magic and science behind its creation or the ability to modify the original recipe a little. It gradually reveals more with each repetition. You don't have to summon your prize instantly - you can hold onto it until a better time comes. This perk can be purchased multiple times."
17,Belt Gamble,200 CP,"This perk gives you a random unique belt from the Path of Exile game and the ability to create this specific belt. If you roll the same belt again from this perk, you gain a bit more insight into the actual magic and science behind its creation or the ability to modify the original recipe a little. It gradually reveals more with each repetition. You don't have to summon your prize instantly - you can hold onto it until a better time comes. This perk can be purchased multiple times."
18,Ring Gamble,200 CP,"This perk gives you a random unique ring from the Path of Exile game and the ability to create this specific ring. If you roll the same ring again from this perk, you gain a bit more insight into the actual magic and science behind its creation or the ability to modify the original recipe a little. It gradually reveals more with each repetition. You don't have to summon your prize instantly - you can hold onto it until a better time comes. This perk can be purchased multiple times."
19,Armour Gamble,200 CP,"This perk gives you a random unique piece of armour (body, boots, gloves, helmet) from the Path of Exile game and the ability to create this specific armour piece. If you roll the same armour piece again from this perk, you gain a bit more insight into the actual magic and science behind its creation or the ability to modify the original recipe a little. It gradually reveals more with each repetition. You don't have to summon your prize instantly - you can hold onto it until a better time comes. This perk can be purchased multiple times."
20,Quiver Gamble,200 CP ,"This perk gives you a random unique quiver from the Path of Exile game and the ability to create this specific quiver. If you roll the same quiver again from this perk, you gain a bit more insight into the actual magic and science behind its creation or the ability to modify the original recipe a little. It gradually reveals more with each repetition. You don't have to summon your prize instantly - you can hold onto it until a better time comes. This perk can be purchased multiple times."
21,Shield Gamble,200 CP,"This perk gives you a random unique shield from the Path of Exile game and the ability to create this specific shield. If you roll the same shield again from this perk, you gain a bit more insight into the actual magic and science behind its creation or the ability to modify the original recipe a little. It gradually reveals more with each repetition. You don't have to summon your prize instantly - you can hold onto it until a better time comes. This perk can be purchased multiple times."
22,,,
23,,,
24,,,
25,,,
26,,,
27,,,
28,,,
29,,,
30,,,
31,,,
32,,,
33,,,
34,,,
35,,,
36,,,
37,,,
38,,,
39,,,
40,,,
41,,,
42,,,
43,,,
44,,,
45,,,
46,,,
47,,,
48,,,
49,,,
50,,,
51,,,
52,,,
53,,,
54,,,
55,,,
56,,,
57,,,
58,,,
59,,,
60,,,
61,,,
62,,,
63,,,
64,,,
65,,,
66,,,
67,,,
68,,,
69,,,
