0 CP,Robes and Mask ,Generic HP Dark Wizard Jump,"All dark wizards need something to look the part don't they, you now have a set of concealing black robes and a skull-like mask to cover your face.
"
100 CP,Cunning Linguist,Slytherin Jump,"Many forbidden tomes of the Dark Arts are written in languages other than English. This could be slightly problematic if you’re trying to learn about the book’s contents but can’t read the language it’s written in. How very fortunate then that you’ve got quite a mind for languages. Not only do you now know three new languages of your choice, but you also pick up other languages twice as fast as before."
100 CP,Some Determination Required,Slytherin Jump,"The Dark Arts can grant a Dark Wizard or Witch many wondrous but terrible abilities. However, to acquire some of those abilities may require one to go through with monstrous acts. Is it any surprise then that you are determined enough to go through with your plans, no matter what the cost might be so long as you desire the end result enough? In addition, you are able to switch off your morality, for when you have no choice but to go through with those aforementioned acts that you wouldn’t be able to stomach otherwise. You can switch your morality back on at any time, and are even able to choose a predetermined time to automatically switch it back on in advance."
100 CP,Slytherin Lock ,Slytherin Jump,"A device invented by none other than Salazar Slytherin to safeguard his scriptorium. These metallic serpents function both as magical locks as well as gate guardians. You’ve acquired three of these devices that can be placed at any kind of doorway, where they will seamlessly meld with the doorway in question and from that point on will function as both locks and defenders. In addition, you’ve acquired a scroll with instructions on how to create more of these devices."
100 CP,The Pure-Blooded Genealogy of Jumper,Slytherin Jump,"Salazar Slytherin wanted to only teach those whose ancestry is purest, so it would not do at all for others to accuse you of being a half-blood, or worse, a muggleborn. How very fortunate then that you’ve got this tome containing your complete genealogy, proving that you are a pureblooded descendant of Salazar Slytherin himself. In future Jumps, this book will allow you to become a family member of a character of your choice. This somehow even works as a Drop-In, perhaps they’ll assume you’re some long-lost cousin?"
100 CP,Portrait of Salazar Slytherin ,Slytherin Jump,"A magical portrait of Salazar Slytherin painted and enchanted by a renowned wizarding painter. Though the Salazar within this painting is only a representation of the wizard himself, personality-wise he’s identical to the original. Whilst he doesn’t have any of the original Salazar’s magical knowledge or skills and is thus unable to tutor you in magic, this painting is very old indeed and has thus seen many ages pass by. Surely, having lived such a long life, even if merely as a painting, there is wisdom to be found in his counsel?"
100 CP,Bearer of Cursed Blood,Slytherin Jump,"Though she’s not an animagus, this witch is nonetheless capable of transforming into a large snake as a result of a blood curse. For now, she has the ability to change between human and snake at will, but this ability will gradually grow uncontrollable and she will eventually lose the ability to think like a human, until all that’s left is the snake that she is destined to become. She hopes to one day meet a parselmouth, in the hopes of holding onto a small shred of humanity when she inevitably succumbs to the curse. Perhaps you know of a parselmouth, or maybe you’re one yourself? Whatever the answer to that question may be, she believes joining your adventure as a Companion is her best chance of meeting one. Will you take her along with you?"
100 CP,Jumper’s Mark,Wizarding World Jump,"You may have come into this world with little more than the clothes on your back and your wand, but that does not mean you must leave this world the same. Taking a few notes from a certain snake-faced dark lord, you’ve ensured that you can leave your mark in this world. By engraving a certain symbol of your own design into the skin of the willing, you may mark them, allowing you to call upon them so that they may stand by your side. Of course, these marks can also be used by their bearers to call upon their fellow bearers and, if you are willing to reciprocate, even you. And finally, you now know a spell that allows you to conjure your symbol high in the sky, an aurora of magic that is well and truly yours. With such a thing, there shall be no mistaking who was responsible for your deeds."
100 CP,Dark Creatures Affinity,Generic HP Dark Wizard Jump,"
Dark creatures are more likely to obey your orders and view you as an Ally rather than a food source.
"
100 CP,He Just Can’t Be Back ,Generic HP Dark Wizard Jump,"Other people will find reasons to downplay your actions or deny that they need to oppose you. Your actions may be blamed on a fall guy.
"
100 CP,Manor ,Generic HP Dark Wizard Jump,"A massive well-maintained manor suitable for the wealthiest of wizarding families, heavily enchanted for the owner's convenience and safety.
"
100 CP,Shady Shop,Generic HP Dark Wizard Jump,"A small run-down store off the beaten path that just so happens to both buy and sell some less than legal but exceedingly useful things.
"
200 CP,From the Mouth of Serpents,Slytherin Jump,"Parseltongue is the language of all serpents, and those witches and wizards who can speak it are known as parselmouths. One of the most famous parselmouths in history is of course none other than Salazar Slytherin, and his descendants have inherited this gift as well. Are you one of his descendants, by any chance? It would certainly explain how you can speak this magical language. Well, whatever the case may be, one thing is for sure. Yer a parselmouth, Jumper. And a thumpin’ good one, I’d wager. As a parselmouth you can both understand and speak to serpents of all kinds, and are even able to influence them to a certain extent."
200 CP,Basilisk-skin Wardrobe ,Slytherin Jump,"An entire wardrobe’s worth of clothing made from the skin of a mighty basilisk. Like the hide of a dragon, basilisk skin is very tough and shares its resistance to spells, and thus so do these clothes. No matter what your style or aesthetic may be, you're sure to find some suitable clothing within this wardrobe."
200 CP,Chamber of Secrets,Slytherin Jump,"Created by Slytherin himself during mediaeval times, this secret chamber is hidden under the dungeons of Hogwarts Castle. Accessible only by those capable of speaking in parseltongue, it was built with the hope that one day the school would be purged of those Slytherin considered unworthy. Though this is merely a copy of the actual Chamber of Secrets, that does not change that it is a large, well-hidden and well-protected hidden chamber that would make for an excellent secret lair worthy of any Dark Wizard or Witch. As the chamber’s owner, you are able to change the aesthetics, layout, and location once per Jump. Just like how only those who speak parseltongue are able to enter Slytherin’s chamber only certain people are able to enter your chamber, which you are of course free to designate. Perhaps only those who’ve been sorted into Slytherin house are capable of entering, or perhaps only those who’ve acquired a snake animagus form? The choice is yours."
200 CP,Cursed Necklace,Harry Potter Movie Series,You have a strange control over this necklace causing the first person who touches it become a sleeper agent in order to complete a single preprogrammed objective..
200 CP,Homing Knife ,Harry Potter Movie Series,This magical knife has a special enchantment that when it is thrown it will automatically be pulled towards its intended target.
200 CP,Heir of le Fay ,Harry Potter Movie Series,You are a descendant of the legendary Dark Witch Morgan le Fay and have inherited her immense talent on Potions and performing Dark Arts.
200 CP,Walker of Shadowed Paths,Generic HP Dark Wizard Jump,"You have great skill and good fortune in recovering long-lost magic and lore.
"
200 CP,Blood Pact ,Generic HP Dark Wizard Jump,"A silver chain and glass vial containing the blood of two people, the first is yourself, and the second is whomever you choose first on entering a Jump. While the vial remains intact neither you nor the other person whose blood is in the vial can intentionally harm nor obstruct each other directly
"
200 CP,Infiltrator,Generic HP Dark Wizard Jump,"A (secretly) loyal servant who wishes for nothing but your victory, and who has successfully disguised themselves and slipped into the halls of your enemies to assist in such. Mediocre in power but skilled in stealth and a fair hand at Potions.
"
200 CP,Traitor,Generic HP Dark Wizard Jump,"
A (fearfully) loyal, or at least obedient follower. This coward seeks your protection and gives you a view into the plans of your greatest group of enemies to buy it.
"
300 CP,Horcrux,Harry Potter - Magic Edition,"Contains part of your soul. As long as it is intact or the soul inside is unharmed, you can not die. Pick a mundane item to be its form."
400 CP,Feldcroft Relic,Slytherin Jump,"First discovered by one of Salazar Slytherin’s students, this tetrahedron is a dark artefact capable of healing people from both magical and mundane afflictions, maladies and injuries of all kinds—including those left by dark magic—by sacrificing another living being to the artefact. Most insidiously, these sacrifices can then later be summoned as inferi, corpses reanimated by the dark power present within this artefact. Even if these inferi should be destroyed, these reanimated corpses can be summoned once more after a few days, the dark power within forcing them to obey your commands over and over and over again."
400 CP,Slytherin’s Spellbook ,Slytherin Jump,"Originally stored in Salazar Slytherin’s secret scriptorium, it was later found by several Hogwarts students in the 19th century and has now miraculously made its way into your hands. Within, one can find the complete recounting of Salazar Slytherin’s life as well as all of his knowledge of the Dark Arts and magic in general. With this grimoire, even a witch or wizard of middling skill could become one of the greatest practitioners of the Dark Arts."
400 CP,Dark Arts ,Hogwarts Legacy,"You have an affinity for the Dark Arts, and know how to cast all three of the Unforgivable Curses. You have the ability to cause any of your curses, including the Unforgivables, to become ‘infectious’, spreading from one target towards others in various ways, as well as causing them to intersect, such as allowing you to kill one person with an Avada Kedavra who you have under the Imperius, and simultaneously causing anyone else you also have under the Imperius to die at the same moment."
400 CP,Mark of Loyalty,The Other Harry Potter Fanfic Jump,"For both your willing followers and your bound servants, you can create some mark, be it a brand or tattoo on their flesh or a piece of conjured jewelry that they can never remove, of a personal symbol that represents you or your cause. This isn’t just an identifying marker, however as it can be magically concealed, used to alert your servants that  you have need of them, call them to your side, or punish them with pain all with a thought while also automatically triggering their brains to release dopamine whenever you are pleased with their performance."
400 CP,Basilisk Fang,Harry Potter Movie Series,This dagger-like fang can produce a limitless supply of any type of venom; if left unattended it would drip out producing a teaspoon a day but if you want to gain more you can squeeze it to make it come out at a trickle thereby producing the same amount in less than five second
400 CP,Enduring Curse ,Generic HP Dark Wizard Jump,"
Curses you cast never wear off on their own, if they can't magically remove the effects they'll just have to suffer them forever.
"
400 CP,Taboo ,Generic HP Dark Wizard Jump,"Can cast a curse on any name you choose this curse instantly destroys any protective charms, enchantments, or other purely magical defenses around anyone who speaks the name aloud and informs you or someone of your choice of their location.
"
400 CP,"
Black Smoke Flight",Generic HP Dark Wizard Jump,"Unassisted magical flight, turns your body partially or fully into a cloud of black Smoke. While fully smoke you can turn invisible and tear through stone and steel with ease.
"
500 CP,Cave of Sorrows ,Harry Potter Movie Series,"This cave is a replica of the one used to hide one of Voldemort’s Horcruxes. Entering the cave requires climbing the side of a mountain, then the entrance requires a blood sacrifice to open, leading to a large Inferi-infested underwater lake with an island in the centre. To cross the lake a person would be required to find and use the invisible boat and on on the island is a basin filled with a potion that could not be touched except with a cup with the only way to dispose of it being to drink it causing the drinker to see and experience ""terrible things"". unless they are you.
Once empty the basin will lead to a vault that anything can be stored within.If the lake water is touched or any of the rules are broken a near-infinite army of Infe will rise from the lake and attempt to kill the interloper and make them an Inferi. You may also call many of the Inferi out of the cave for up to 3 hours with them following your commands before they disintegrate."
500 CP,Obscurus,Harry Potter Movie Series,"Your body is now a stable, controllable force of energy similar to an Obscurus with any parts of your body including blood, skin and hair turning into magical ash shortly after separation. Any harm to your body will quickly repair itself with the magical force you are made of filling in the gap You are able to shift between your normal visible form and an energy cloud that you will retain complete control."
600 CP,Breeder of Serpents,Slytherin Jump,"It was the ancient Greek dark wizard Herpo the Foul who first created the basilisk, after much experimentation and failed attempts. The knowledge of how to create these mighty serpents is now yours, but your skill at serpent breeding does not stop there. Indeed, you’re quite skilled and knowledgeable when it comes to breeding any kind of serpent, be they magical or not. Naturally this also extends on how to care for them in general, it would not do to finally breed your own basilisk only to then have it die in a fiery inferno because you mistakenly believed a basilisk to be fireproof, for example. That would just be embarrassing, wouldn’t it?"
600 CP,Master of the Darkest Arts,Slytherin Jump,"The Dark Arts are many, varied, ever-changing, and eternal. They are likened to a many-headed monster which, each time a neck is severed, sprouts a head even fiercer and cleverer than before. As one of the more notable practitioners Salazar Slytherin’s skill with the Dark Arts rivals that of Herpo the Foul, Grindelwald, and possibly Voldemort. And now it would seem you stand amongst them, at least when it comes to the Dark Arts. Naturally, this also means you’re capable of casting the three unforgivable curses."
600 CP,Salazar Slytherin’s Wand ,Slytherin Jump,"Passed down through the ages from one descendant of Salazar Slytherin to another, this wand made from snakewood contains a fragment of the horn of a magical serpent, Salazar’s basilisk to be precise. A supremely powerful wand, with a particularly strong affinity for the Dark Arts. Such spells cast with this wand are both easier to cast and a lot stronger than normal. The wand has been taught by Salazar to ‘sleep’ when so instructed, and this secret has been handed down through the centuries to each member of Slytherin’s family who possessed it. And now both the wand and this secret have been passed down to you."
600 CP,Dementor’s Kiss ,Harry Potter Movie Series,"You can now perform the Dementor's Kiss, the act of sucking out and consuming a person's soul, a punishment worse than death that completely destroys the person's soul making it impossible for them to become a ghost or be restored without building them a new soul.
You can select what soul is pulled out if there are multiple souls within a body; breaking it down and enriching the user's soul, strengthening it and fully repairing any damage it has received. With time and experience the consumer would be able to absorb any beneficial traits the soul possess and possibly acquire a modicum of the skills and memories with the soul, this is far more effective when used in tandem with Legilimency. There are no detrimental side effects to the user's soul from this. You can also feed the soul to another for them to gain the same benefit This would not make you immune to the dementor’s kiss but could allow you to overpower them, both preventing them from stealing your soul and allowing you to takeany soul they have recently consumed."
600 CP, A Personal Graveyard ,Harry Potter Movie Series,"This ornate and decorative graveyard is a warehouse attachment that will automatically teleport any dead companions or followers into a grave with all of their parts including ash, souls and essence. Once per Jump per person you will be allowed to revive anyone brought here from death back to life, this will also function as a 1-UP for you if you have no more remaining."
600 CP,Not just witches and wizards but all manner of dark creatures,Harry Potter Movie Series,"Through this Perk you can dominate beasts and magical creatures, forcing them to follow you without question. This domination can be forced onto any non-sapient creature, and some low intelligence beings that would normally count as sapient. You can use this domination as long as you would normally be able to defeat them one on one; but it can be used on multiple beings simultaneously allowing you to dominate an army that could defeat dragons."
600 CP,Dark Creature Creation:,Harry Potter - Magic Edition,"You learn the foul art on how to make abominations or magic and nature, making things like Dementors or an army of Inferi are not out of your reach."
,,,"A (secretly) loyal servant who wishes for nothing but your victory, and who has successfully disguised themselves and slipped into the halls of your enemies to assist in such. Mediocre in power but skilled in stealth and a fair hand at Potions."
