 0 CP,Dosh,Dragon Age Inquisition Jump,100 gold sovereigns.
0 CP,Coin Purse ,Dragon Age: Origins by Pokebrat,"Even with the darkspawn threatening to ravage all of Ferelden, merchants are still going to charge an arm and a leg for their goods. Instead of scrounging the entire country for spare change in order to afford that cool set of armor, you could simply have this leather pouch. Held within are fifty gold coins, all of which can be broken down automatically into silver and copper ones as needed. Anything you do spend will be replenished at the end of the week."
0 CP,Heroic Looks ,Dragon Age: Origins by Pokebrat,"Many look to the past with rose-tinted gazes, seeing only their romanticized version of their own interpretation. Though not all who participate in history are as attractive as what actors' stageplays may make it appear as, you certainly cut a heroic figure. Your beauty may manifest however you want, but all can agree that you are more than pleasing to the eye, and even scars do nothing to mar your visage."
0 CP,Mabari Hound ,Dragon Age: Origins by Pokebrat,"Mabari war hounds are a breed of intelligent dogs said to have been bred by mages, which the Alamarri and their Fereldan descendants popularized as war hounds, status symbols, and lifelong companions. Having chosen you as its new master, this particular warhound has a pedigree older than Highever, and a penchant for driving cooks to distraction."
0 CP,Thoughtful Gifts ,Dragon Age: Origins by Pokebrat,"If you’re planning on spending any amount of time with others, traveling the width and breadth of Ferelden, it would be smart to be at least friendly with them. This crate is filled with many trinkets and baubles, but aren’t useful for selling. No, they are for gifting to others. Each of the items has some measure of meaning for notable traveling companions you’ll come across, as well as your normal Companions, and will notably improve their opinion of you if given to them."
100 CP,Arcane Clarity ,Dragon Age: Origins by Pokebrat,"You have embraced ancient techniques of meditation, resulting in a sound mind and a sound body. This has led to you developing a truly insane amount of stamina, capable of running around for hours on end without even getting winded. For those with magic, however, they will find their mana capacity has seen a similar level of improvement, casting spells left and right with nary a thought regarding the cost."
100 CP,Drake Scales ,Dragon Age: Origins by Pokebrat,"There are no crafting materials more treasured by smiths than the scales of drakes and dragons. How lucky you are, that you’ll never be without these valuable scales. At the beginning of each month, you will receive enough drake scales to make a full set of armor, and enough dragon scales to make a similar set every three months."
100 CP,Great Vitality ,Dragon Age: Origins by Pokebrat,"The result of a regimen of strenuous exercise, you'd be hard pressed to find any as hale and hearty as yourself. Not only are you now extremely resistant to disease and poison, but the amount of punishment your body can take has seen an unbelievable increase. It would take the blow of an Ogre to leave any serious damage you with one hit, but a few knives to the back would work just as well to bring you down."
100 CP,The Lucky Stone ,Dragon Age: Origins by Pokebrat,"This old stone, set in a golden ring, has been an aid and companion to dozens of adventurers across innumerable years. Its trip to Ferelden was long and convoluted, with some even saying that it has a life of its own. Those who wear this ring will see a notable improvement to all of their attributes."
200 CP,Deep Pockets,Dragon Age: Origins by Pokebrat,"If you want to survive the Blight, you’re going to need all manner of supplies, from weapons and armor to healing poultices and poisons. Now it won’t be as big of a problem for you, as you’ve found yourself in possession of seventy slots to store items. You can call upon these items at any time, swap them out, and stack certain kinds of items into a single slot."
