0 CP,Mechanical Materials ,Dragon Age: Origins by Pokebrat,"If you want to be laying down bear traps and grease smears in a chokepoint, you’re going to need certain things in order to actually make them. This satchel is a tinkerer’s best friend, filled with all manner of crafting materials like scrap metal and string, among some more interesting ones, such as spirit shards and corruptor agent. These will replenish weekly."
0 CP,Orlesian Bard ,Dragon Age: Origins by Pokebrat,"A lay sister of the Chantry who can beat the stuffing out of trained mercenaries would be notable enough, but one who also claims to have been sent to fight the darkspawn by the Maker Himself is... unusual to say the least. She spent much of her life as a bard in Orlais: a minstrel, assassin, and spy employed by the nobles of Val Royeaux in their elaborate games of intrigue. Leliana takes care to honor the Lothering cloister that took her in, and keeps symbols of Andraste's blessings close to her heart."
100 CP,A Friendly Ear ,Dragon Age Inquisition Jump,"You’re a good listener, a really good listener. People feel inclined to talk to you about their problems and woes, particularly those problems that are stressful or could be described as gossip. Attempting to steer the conversation toward a specific topic may or may not work, but every time you employ this skill the conversation you have will contain information of note."
100 CP,Close To The Chest,Dragon Age Inquisition Jump,Your secrets and your motivations are yours and yours alone. You will never unintentionally give away a secret or your true intention with body language or a slip of the tongue.
100 CP,Dirty Fighting,Dragon Age 1.02,"Some may say that fighting dirty to gain the upper hand in a fight is cheating. You disagree. Whether it’s a formal duel, a tavern brawl, or on a battlefield, you’ll always know how to use dirty tricks to gain an advantage over your opponent. It could be as simple as using your blade to reflect the light of the sun in their eyes, or maybe it’s insulting their parentage, whatever works, really. Obviously this works best against opponents who would not stoop to such dishonourable tricks themselves, but even on those who would they seem to always provide you with an unexpected (for them) advantage."
100 CP,Fencer’s Cinch ,Dragon Age: Origins by Pokebrat,"The leather has been dyed a dark blue, highlighted here and there with polished steel rivets. The buckle has been fashioned in the shape of a wolf's head. Wearing it will see that your attacks utilizing daggers or arrows are more effective than before."
100 CP,Lucky Bastard,Dragon Age Inquisition Jump,"Your speed, physical coordination and manual dexterity are at peak human levels."
100 CP,Perceptive Pickpocket,Dragon Age 1.02,"There’s plenty of petty criminals in Thedas. Pickpockets are especially common in the cities. Not like they’d had much of a choice, if they wanted to survive. Maybe that’s the reason why you started picking people’s pockets as well, or maybe you’re just a kleptomaniac? Either way, you’re a skilled pickpocket, able to walk through a market crowd and snatching up coin-purses left and right. Of course, it’s important to not get caught, so you’re a decent judge of who you’d be able to steal from without being caught and who you shouldn’t mess with. You’re not too shabby at picking locks, either."
100 CP,Streets of Denerim,Dragon Age: Origins by Pokebrat,"Amongst the most oppressed people in all of Ferelden, there are some who see the elves more akin to rodents than people. With those in power more often than not keeping your people from entering more important areas of the city, you’ve grown used to navigating the winding streets of Denerim. This has led to an almost uncanny ability to navigate nearly any urban environment, finding the quickest way to a destination so long as it remains within the city bounds."
100 CP,Wink And A Smile ,Dragon Age Inquisition Jump,You are one charismatic sonuvabitch. Your ability to win friends and influence people is without equal.
