100/200,Cloning Tubes,Invincible. ,"A set of two cloning tubes is now yours jumper. So long as you jump in one, and have enough power. A perfect clone of you will jump out of the other, a perfect copy of all of your powers, abilities, and memories, including entering the tube in the first place. Neither you nor your
clone will be able to determine who was the originator, so I hope you like working together. 
For +100 CP you have changed the tubes. Now your clone comes out knowing it’s a clone, subservient to you and only has a copy of the powers you permit it to have. While it is generally subservient, be careful as it isn’t mind control: if you push it too far your clone may snap and try to kill you. "
400,Lazarus Serum ,Smallville,"The pride of Metron Pharmaceuticals, derived from Clark’s
blood, this little serum can cure everything from cancer to chicken pox, heart disease to
shingles. If administered to a recently made and relatively intact corpse, they will return
to life for twelve hours and then become immune to further doses of the serum. You
gain three doses which are replenished weekly."
200,Goa'uld Healing Device,Stargate: SG1,"A device that consists of a large red gem that can be placed on the hand, this weapon can heal staff weapon wounds, most diseases, and even near-fatal injuries. It requires a strong emotion to activate it, however, and using it too many times in succession will require a 24-hour recharge time. Anyone can use this version of the device"
200,Lantean Medical Scanner ,Stargate Atlantis,"A bed to lie on with a scanning unit affixed. The Lantean version of an MRI, can quickly provide internal images of a patient's whole body, detecting illnesses, infections, injuries, abnormalities and even nanites, altered brainwaves and genetic anomalies. User friendly."
200,Krillitane Oil ,Doctor Who,"Some nifty stuff, this. This is Krillitane Oil, highly concentrated and top quality. What it does is that it makes human minds massively, impossibly cleverer. While not close to what you are with Omega-Level Intellect, your learning capacity, retention, general inventiveness and processing abilities are boosted to massive, ridiculous levels all the same, making you, or anyone else you feed it to, a genius second only to someone who can be said to have the above perk. It also kills Krillitanes on contact but that’s a feature, not a bug. Unfortunately, not really useful to you once you leave this setting. You receive a barrel of the stuff, and another every week."
100,Hypospray,Star Trek - Lower Decks,"A medical device used to inject liquids into the body. The system used a noninvasive transport mechanism of compressed air to transfer the injectant from the device into the subdermal layer below the skin of the body, or artery without the use of a needle."
100,Inhaler ,Outer Worlds,"An medical device that can be fitted with medical items/treatments that makes their
effects mix together into an inhalable form for quicker and effective treatment. Can also
be used with other items like food, water, and drinks...And other things like ointments
and creams, but does not guarantee safety by itself.*"
50,Translator Implant,MCU - 1,"Once implanted in the neck of the recipient, this device offers real-time translation for many different languages, allowing you to communicate with a lot more people. New languages must be listened to in order to translate it."
200,The Cradle,MCU - 1,"Weapons of war are not the only thing to advance, and this medical bed is proof of that. This human-sized medical device can heal wounds by scanning the wounded area and then re-growing skin tissue to a degree of accuracy that visually one wouldn't be able to tell there was a wound. If improved, there might be a way to let it 'grow' an entire body, but it would take a great degree of medical knowledge to sufficiently do so. There is then the issue of giving it a consciousness; it can create bodies but it cannot create life."
200,Juvenat Treatments ,Ciaphus Cain,"Rejuvenats are a type of treatment used by the Imperium for the extension of mortal life. While they are effective at greatly expanding one's life. This can be used to extend an individual's life for hundreds of years. Perhaps you have proven yourself a valuable officer since you acquired this. Many notable officers are given these treatments so that their service will continue. You will receive enough of the treatment to supply a dozen individuals. In addition you will receive the formula needed to create the treatment.
"
,,Warhammer - Planetary Goveranor,"Bio-Enhancement Implants (-200 points): These implants are designed to boost the user's physical abilities and improve their overall health. They can enhance strength, speed, agility, and endurance, making the user a formidable combatant on the battlefield. The implants can also improve the body's natural healing processes, allowing the user to recover from injuries faster."
