0,,CP Cost,Name,Jumpdoc,Chapter,Description
1,,0,A Very Thorough Polishing,NUKENAI Seiken-chan,Seduction,"When you touch and handle a sentient item, the sensation translates to touching their spirit form. The exact nature will vary depending on the item’s features. Holding a sword by its handle might only translate to holding their arm or hand (how lewd), while giving a sword’s blade a polish with an oily cloth could make them feel like they’re getting a rub-down with lotion. You can probably guess how carefully maintaining and grinding the blade’s edge and tip with a well-lubricated whetstone feels for them."
2,,0,I Seduce the Darkness,Destiny: Fuck the Darkness,Seduction,"Let’s be blunt. There are a lot of things out there that might not find you anywhere on their “would bang” list. And some things that lack that list altogether. As that would be a massive hamper on your fun, this Perk makes it always possible for you to make the proper persuasive moves to worm your way into something’s good graces, at least in terms of lust. If it has sapience, you can seduce it, no matter how alien, eldritch, or incomprehensible it might otherwise be to you. Doesn't help you actually do it though."
3,,50,All in the Panel Work,Ashigei Shoujo Komura-san,Seduction,"This world has a pretty clear bias on where it wants your eyes to linger. Even if you’re a 10/10 all around, this perk ensures that those who find you attractive will have their gaze gravitating to certain parts of your body. By default, this focuses on your feet, and to a much lesser extent your whole lower body. You may choose a different part of your body to emphasize on purchase."
4,,50,Internal Radar,Generic: Monster Fucker/Horny Horror,Seduction,"The problem with masquerades, conspiracies, and dark underworlds is that it’s all kinda supposed to be secret. How are you going to meet some fanged sweetheart when she probably doesn’t even live in your town? 

This allows you to have an internal radar allowing you to get a vague idea of where to find the archetype you’re looking for. You can pick three archetypes, and they can be as vague as vampires to specific as single mothers. Once a month, you may change one of these archetypes."
5,,50,Normie Filter,Generic: BDSM,Seduction,"Many people are quick to judge others for their tastes in bedroom activities, and it can be hard to put yourself out there and admit to liking the things you do if you have a fear of rejection. Well worry no longer: you have an accurate sense for when a person is into or at the very least tolerant of your fetishes, regardless of what those fetishes may be. By judging their reactions to related topics you can accurately discern whether a person is faking interest or concealing it as well as gauge how likely they are to enjoy more specific types of play within that fetish. It’s still up to you to get their consent for those activities however."
6,,50,Ren's Collar,Evening Starter,Seduction,"A simple leather collar with a fine gold chain, it’s a very pretty decoration. It also has a subtle effect that charms individuals around you. While you can’t literally control them with said charm, they seem to favor you a bit more. Good for calming others and getting the upper hand in negotiations."
7,,100,Sacred Sword,My Bride is the Demon Lord,Seduction,"Much like with the original Hero and the Demon Lord, you just stand out to lustful people. The more interested someone is in sex, the more attention grabbing you become to them, and the fewer objections they’ll have to fucking you. This effect is increased on those who are your enemies."
8,,100,Alicia’s Admirers,Kuroinu,Seduction,"Appointed by the Goddess Celestine the Princess Knight and following the incredibly noble task of protecting the kingdom from the depraved and monstrous forces of the Legion it is no surprise that they are well loved by their followers. Even if you are not a Princess Knight you will find that you can easily gain the love and affection of your followers and people, especially if they see that you actually care about them. 

Very good for becoming an incredibly popular figure in the lands you rule, probably less than good when you're infatuated followers betray you and the country in order to claim you sexually for themselves."
9,,100,All Might Hoodie,Boku To Nottori Nakademia,Seduction,"Supremely comfortable, warm, and never seeming to get dirty, this limited edition paraphernalia that slightly resembles the number 1 Hero of Japan is sure to draw the eyes of those around you...oddly enough those eyes mostly belong to the fairer gender admiring your physique but occasionally you do meet some dudes who just think your hoodie’s cool. If damaged or destroyed a new one is sent to your current residence/storage."
10,,100,Bedpost Notches,Generic: Hentai World,Seduction,"It seems that, at least in terms of getting laid, success breeds success for you. Each sexual encounter you have with a different individual fractionally improves your seduction skills. Similarly for each different individual you have performed a specific sexual act with, everyone else becomes a fraction more amenable to the same thing once you have seduced them."
11,,100,Bedroom Eyes,Baalbuddy,Seduction,"If you’re here, then you’re probably the type to think ‘Ay bby want sum fuk?’ to be a great pickup line. Thanks to the wonders of magic, you can skip right past even that part. Just eyeball someone and bestow upon them the instant realization that you want to bang. This power will work on anything that has a mind, no matter how eldritch, alien, or broken it may be."
12,,100,Beneath the Mask,Angel Academy ~ Hardcore Dorm Sex Life,Seduction,"Society has convinced a lot of people that erotic desires are “improper” and “unbecoming of a lady” and so on, but society can’t change human biology. People are naturally wired to love sex and pleasure no matter how much they might try to pretend otherwise, and you can easily see through the excuses and false fronts they put up to hide their true feelings from you. You can always sense when a person has romantic or sexual interest in you, and you have an accurate sense for the subtle tells a person gives when “no” actually means “yes”. As long as you heed this unspoken consent your partners will never treat sex with you as rape after the fact, regardless of whatever protests they might make as you ravish them."
13,,100,Born to be Lewded,Haydee,Seduction,"Well, I can’t see how this would help you here, but, granted, whomever designed the Haydee units certainly had exquisite taste. Ahem, this Perk grants you the ability to get stuck in people’s heads, in the erotic fantasy kind of way. A stranger passing you in the street, supposing you survive this experience, wouldn’t even know your name, and yet they would be fixated on you for weeks just from the sight. If they were of an artistic bent, ream after ream of lewd art, of you. As a potential mercy, you can toggle this Perk."
14,,100,Chance Encounters,A Change of Tactics V2.2,Seduction,"The Shepherds are tied together by bonds of trust and friendship crossing race, class, and nationality, but before those bonds could be forged they had to find each other first. You have extraordinary good fortune in meeting new friends, whether it’s a mysterious stranger lying unconscious by the road who happens to be a magnificent tactician or an enemy soldier who could become the love of your life if given the chance. Fate conspires to arrange meetings between you and these potential allies and helps to ensure that your first meeting is a friendly one. Even in the chaos of battle with enemies all around you, you’ll somehow always manage to run into the one soldier who wants to defect without accidentally cutting her down first."
15,,100,Charming,The World of Lolis,Seduction,"There’s just something about you that tends to bring people in, Master/Madame. You have a charming nature that can allow you to seduce anyone you like, though it has a magnified effect when you’re trying to seduce people younger than you are. You’re guaranteed never to stumble over your words, as well finding the right ones in a given situation, making you a pretty effective intermediator. People just seem to get along around you, even when the personalities surrounding you might threaten to be quite volatile when mixed into a room together.

To top it all off, you also gain a natural kind of confidence when dealing with people or situations, giving off a dependable air that’s sure to make you quite popular."
16,,100,Cheesy Love Expert,Destiny: Fuck the Darkness,Seduction,"You know all of those groan-worthy stunts that get pulled in romantic comedies? You know, showing up outside a girl’s house and holding up a stereo... sappy stuff like that. You are now an expert at all of that. And as long as your intentions are upright, they will never be taken as creepy or offensive."
17,,100,Cold and Wrathful,World of Lewd Horror,Seduction,"You have the bearing of a true lord of the night and a melodic, sexy, and commanding voice along with (optionally) a pleasantly exotic accent that sounds unidentifiably foreign no matter where you are. Even under pressure, you can maintain a steely gaze and calm demeanor. Anyone with the slightest of submissive tendencies won’t be able to help but need to repress a shudder at the thought of you dominating them."
18,,100,Cool Uncle,LeWdBY,Seduction,"It can be hard connecting with the kids these days with their crazy fads. But the younger generation considers you to be almost one of them, an older and more experienced friend who they can come to with their problems. Or they might just want to hang out and play video games. In fact, they wouldn’t even be opposed to dating you. After all, you aren’t some old fogey. To them you’re a mature and trustworthy adult who would be an excellent teacher for their first romance or first roll in the hay."
