0,,CP Cost,Name,Jumpdoc,Chapter,Description
1,,0,Basic Footwork,Ashigei Shoujo Komura-san,Skills,"You have no footwork training or talent, but you aren’t completely hopeless either. Even if you lack the talent to truly excel, with the right teacher or partner, you can become semi-decent. Your meagre potential will shine more as support for a more talented partner than as a solo act, as long as you let them take the lead."
2,,0,Bread on the Run,Miyuki-chan in Wonderland,Skills,"You have mastered the Japanese schoolgirl art of running with a piece of bread in your mouth. You can now safely run with any item or food in your mouth without it slipping or harming you. However, it may fall out if you lose your concentration, so don’t let yourself get diverted by skateboarding bunny girls."
3,,0,Punching Pretty Faces,Waifu Fighter,Skills,"Your attacks don't mar the beauty of those you are fighting, keeping the faces of those you punch from becoming a swollen and bruised mess. You may optionally negate this effect if you would prefer."
4,,0,Wicked Pleasures,Rope Master,Skills,"Magic bondage is great fun and all but don’t forget about the more mundane fundamentals of good BDSM before you start tying people up. Whether from practical experience or long hours of research on the web you’re an expert in mundane bondage techniques, from basic care and maintenance of your equipment to advanced techniques like suspension and artistic shibari. Of course you’re also quite talented at the more vanilla parts of the act and you make an exceptional lover regardless of whether or not BDSM is involved. Even if you have no real experience these skills come to you naturally with practice whether you’re on the giving or the receiving end of it. You also have a good sense for the fine line between painful pleasure and genuine injury and how far you can push (or be pushed) over them without harm."
5,,50,Erogenous Zone Attaching Gloves,The Otaku in 2200 AD,Skills,"These gloves use electromagnetic waves to detect the erogenous zones of your partner, and will magnetically draw your hands into place. Using these gloves allows you to quickly find the personal weak spots of your partner, and causes 8 times as much pleasure as normal fondling or masturbation can achieve."
6,,50,License to Fuck,Generic: Virgin,Skills,"This small I.D. card has an always updating display of your sexual status, including exactly what activities you have participated in. It can also be used in place of any form of I.D. you might possess, and is always at hand when you want it."
7,,50,Magical Girl Fucking Marathon,Fate/Loli Order,Skills,"Now why would you go preying on a flattie no-chest when Chaldea has bombshells of Raikou, Scathatch, and Sanzang’s caliber? You know, with actual T and A? But I digress, since you clearly don’t care. 

Pick a type of girl/boy. Milf, mahou shoujo, anything along those lines. Your choice will apply to those who fit the description in both genders, don't worry. When it comes to your skill in bed and your physical capacity, both are vastly enhanced - but only when fucking with that particular kind of partner. Fuck a milf and you can go all night and cum buckets, fuck a tomboy and you might as well be a one shot wonder."
8,,50,More Like In-Your-End-o,Futadom World,Skills,"This is a world of, if nothing else, absolutely gratuitous innuendo and sexual euphemism. With this perk, you can pun with the best of them. You will always have an absolutely endless supply of sexual humour and bad jokes for any situation. This does nothing to make it less gratuitous."
9,,50,Never Caught Empty Footed,Ashigei Shoujo Komura-san,Skills,"Something handy for those who can’t use their hands. An ankle-mounted pocket. No matter how crazy or dynamic your leg movements, nothing will ever fall out of these, but you can always retrieve items from this with ease."
10,,50,Selfless Lover,Bokunchi No Mikage-san,Skills,"Wouldn’t it be nice if everyone was like this? More devoted to seeing their partner in pleasure than they were to experiencing it themselves? Not only are you skilled in the act of lovemaking, you have a special ability when it comes to pleasing your partner. When you one-sidedly give your partner pleasure, such as through oral sex, the sensations they experience are doubled in intensity in the most joyous of ways."
11,,50,Talent,Generic: Virgin,Skills,"While you may not be experienced in matters sexual, you’ve got plenty of raw talent, picking up sexual cues and techniques with almost superhuman skill and a readiness to learn whatever is being taught. If it’s kinky, perverse, or erotic, you can learn it."
12,,50,Virgin Queen,Generic: Virgin,Skills,"You have a portrait of Queen Elizabeth the First of England, by an artist and in a style of your choice. It will be signed by both the artist and the Queen, and will be accepted as legitimate and real by anyone examining it. 

If you happen to need advice on ruling or leadership, Queen Elizabeth will animate like a portrait from a certain book series to help you. She is an expert and will somehow be fully informed on the history, economics and politics of your current setting. She might also do a striptease, if you ask nicely."
13,,100,What a Naughty Scent...,My Bride is the Demon Lord,Skills,"Your nose becomes more sensitive, to the point that you can now differentiate between different people who come near you by scent. But more importantly, the scent of someone’s genitals is now very, very pleasurable, enough so that you could get off on the smell alone if you cared to."
14,,100,A Dragon's Might,A Change of Tactics V2.2,Skills,"No ordinary human could possibly contain a dragon’s power. It took the Grimleal centuries to cultivate the perfect vessel for their dread master’s essence, and the resulting human was impressively powerful even before he unlocked his heritage. Whether you were created by an act of Naga or by the same rituals that gave birth to Robin, your mind, body, and spirit are all rich with latent potential waiting to be unleashed. You’re simply better than ordinary humans, a natural genius whose strengths and skills grow in leaps and bounds in only a fraction of the time and effort your rivals require. Your draconic nature allows you to grow especially quickly in battle and other circumstances where you assert dominance over others, to the point where you could become a master of the blade in a fortnight if you were constantly fighting for your life."
15,,100,A Pleasing Tongue,The 120 Days of Sodom,Skills,"It is commonly accepted amongst authentic libertines that the sensations communicated by the organs of hearing are the most flattering and those impressions are the liveliest; and you are now exceptional at imparting those sensations. Be it through beautiful song, the sounds of orgasm, or a recounting of tales, you can inflame the greatest heights of passion."
16,,100,A Pleasure to Please,The Works of Aomizuan,Skills,"This world is filled with degenerates who long for sex, any kind of sex, from anyone. You have a preternatural ability to locate such people. You can immediately tell from looking if someone would be opposed to you molesting them or if they’d just take it, whether they’d be fine with you doing everything up to penetration before objecting, or whether they’d accept absolutely anything you did to them. Excellent for picking out targets who won’t raise a fuss over you fucking them."
17,,100,A Taste for Teasing,Bokunchi No Mikage-san,Skills,"You always know the best way to tease someone. You know exactly what to say to make people feel embarrassed and humiliated, with the social awareness to avoid going too far and overwhelming them. You know what buttons to press to keep it to lighthearted teasing, but that also means you know what to do to turn your teasing into outright bullying and emotional harassment."
