0,,CP Cost,Name,Jumpdoc,Chapter,Description
1,,0,Build of an Athlete,It’s a Straight Line Once You Fall in Love!,Body & Beauty,"Of course we need to at least give you this much! Even if sex wasn’t an already physically demanding activity, this isn’t just about sex—it’s about sex as a sport, and there’s no such thing as an unfit athlete... at least, not one who succeeds, at any rate. You are quite physically fit—nowhere near peak human, but more along the lines of what you’d expect of a college sports star (although this doesn’t give the athletic skill needed to actually be one)."
2,,0,Chi: The Basics,Mind Control University,Body & Beauty,"When it comes to chi, effort and training are king. No matter how weak you begin, if you put in the work, there will be no heights beyond your reach. But just because being talented isn’t as important as working hard, it doesn’t mean that starting weaker than the norm isn’t a setback, especially in a place like MCU. 

Any physical disabilities you possess are done away with, your body is conditioned as if you got at least an hour of exercise every day, and you gain basic proficiency and average talent in manipulating chi, though you’ll still be a very long way from manipulating any chi but your own. You know a very basic, low-intensity kata to promote chi growth. With just this, you won’t be the best in the class, but your talent in the field of chi manipulation will at least be average."
3,,0,Corruptive Stretchiness,Corruption of Champions v1.1,Body & Beauty,"One of the earliest and, in this world, most ubiquitous signs of corruption is the sheer stretchiness of people’s bodies and ability to take insertions that shouldn’t be possible without serious harm. Getting your internals rearranged by two feet of minotaur might still hurt the first time, but it wouldn’t be dangerous to your health, despite what biology might’ve dictated before you set foot in Mareth.

Your body is more elastic in general now, able to distend to accommodate incredible sizes and then recover (to a point; repeating this often enough can certainly leave your body looser and more accepting than before), your stomach able to round out from the sheer amount of cum supplied by the more productive people of this land. And it’s not just yourself, as your sexual partners experience the same thing if you take a more giving role during sex, allowing your own endowments to have a similar effect as your partners stretch around you instead of coming to any actual harm. Of course, there are still limits to this. Tiny fairies or small goblins aren’t going to be able to take dicks bigger than their entire bodies...at least not without working their way up to that with a lot of practice and effort."
4,,0,Darling Face,Monster Musume no Iru Nichijou,Body & Beauty,You have a face for almost every situation. A face of overwhelming obliviousness as it would happen to be. You’ll rarely ever be called out for having the wrong expression at the wrong time unless that was your plan to begin with. Colorless spiral eyes are optional and no one will question them.
5,,0,Fairy-Blessed Clothes,Breathless Wild,Body & Beauty,"You’re probably about to spend a lot of time getting your clothes torn off of you but this outfit is blessed by a great fairy and made tough enough to handle all of the abuse that Hyrule can throw at it and then some. The fairy’s blessing makes this outfit extremely durable against battle damage and all sorts of misfortunes that might befall you. Simply rinsing the outfit in water can clean it of the toughest stains, and if it gets torn apart it will mend itself automatically. It even carries the added benefit of accentuating your best features and highlighting your sex appeal, like a good set of lingerie, making you seem even sexier than you would normally be while wearing it."
6,,0,Lewd Wrestling Outfit,Gensoukyou Futanari Chinpo Wrestling,Body & Beauty,"Most contestants wear custom outfits specialized for ease of movement and stoking their opponent’s libido. Now you have one too! The exact appearance of the outfit is up to you, but I’m sure it’ll drive your opponent (and the crowd) utterly wild."
7,,50,Chrome Curves,World of Cybersluts,Body & Beauty,"People get augmented for a variety of reasons. People do still get cyberware to replace missing or damaged body parts, but these days there are many more who get augmented simply for the practical benefits offered by cybernetics. Corps mandate them to improve their employees’ efficiency, mercenaries install combat-grade augments to make themselves deadlier, and some people get them simply as fashion statements. 

Regardless of what your own reasons are, people looking at you might think you got your cyberware just because of how good it looks on you. Your cybernetics and other alterations to your body are always seen in an aesthetically pleasing light, the obvious metal parts just magnifying your natural beauty further. Even a basic cyberlimb would look better on you than it should, turning someone with plain looks into a cybernetic beauty, while more stylish or extensive augmentations will further increase the effect. At the very least you’ll never need to worry about unintentionally turning people off with your fondness for chrome."
8,,50,Consenticles,World of Tentacles,Body & Beauty,"Look, just because you’re an eldritch horror made of sin and debauchery doesn’t mean you can’t have emotional needs too. Thanks to this perk your monstrous appearance is no barrier to finding willing partners. So long as you aren’t acting in a monstrous or frightening way, people will tend to respond with fascination and curiosity rather than fear or disgust to any alien or inhuman forms you possess. Small children might look at your many tentacles and see a jungle gym in the making, while schoolgirls and housewives might find themselves wondering what your hugs feel like or fantasizing about bearing your children."
9,,50,Coordination,The Legend Of Queen Opala,Body & Beauty,"Rosie Palms aside, you'll probably want a partner or two (or three, or ten) to really make your stay in this world the best experience you can have. Sadly, it can be quite tricky to coordinate your sexytimes with all these people. No more! This perk allows you to increase or decrease the sensitivity of both yourself and anyone you're fucking such that everyone gets to climax at the same time."
10,,50,Cute & Sexy,Generic: Loli,Body & Beauty,"Normally, cute and sexy exist on opposite ends of a spectrum; no so with you. You have an universal affinity for mixing cute and sexy without reducing either trait. It can apply to your physical form, your clothing choices, and more."
11,,50,Dignity Protector,Ashigei Shoujo Komura-san,Body & Beauty,"A fairly standard pair of short spats. Aside from yourself, those who see or wear these spats won’t see them as any more inappropriate than regular pants, even if there’s a clearly visible cameltoe or bulge underneath."
12,,50,Enchanted Schlong,The Legend Of Queen Opala,Body & Beauty,"Sometimes, you just need to subjugate your foes personally. This magical lingerie ensures you always have the right equipment... as in, it causes anyone who wears it to grow a cock of their desired size and appearance. Yes, you can wear this as a man and find yourself with two cocks for double the fun. You can choose whether or not you’ve got full sensation over your dick or if it’s simply a very realistic toy.

Comes in confident black with a skull motif, unless you're one of those worthless fools who need to be taught the real meaning of authority (in which case it's a lacy thing that comes in innocent white or pink)."
