Cost,Perk Name,Source,Description
100,"A Nice, Peaceful Laboratory",SB Stellaris,"Your scientists are slightly more productive than others. Fanatics get a bigger boost, as well as cheaper lab equipment and upkeep.
(Notes)
These apply in some form to any empire, nation, civilization, or organization under your control, even if you don’t Import your Empire into that future Jump. The perks will be adapted as needed to actually be relevant towards any organization they are applied to. The party does directly benefit from effects that affect the people in these organizations."
100,Her Majesty’s Majesty,Fate/Legends - Empires of Antiquity,"They say that every hero of these times was a marvel to look upon. The statues that remain from these years in modern times would seem to give that impression and should you eventually have one made of you, it won’t fall short. Whether it’s being beautiful or handsome, you stand out like a shining jewel even among heroes. Many can’t help but gasp once they see your visage and it’ll smooth out plenty of problems for you, not least in finding a suitable partner. Your beauty will also affect the things that you make and rule over, even something as large as Rome itself, but this effect slowly takes hold over time. While a sword you wield may slowly become more ornate and fine over days of use, an empire might need years to be fully affected, but it and all it’s people will be shining by the end. You can have this stop at a certain level if you like, whether that’s to keep some parts of your empire ugly or just to stop everyone from maybe becoming self-obsessed snobs that never stop looking in mirrors."
100,Sparkling Finish,Pokemon Anime,"Did I say you found a Key Stone? I meant to say a Sparkling Stone! A gift of the Guardians of Alola to those they believe hold great potential; when paired with a Z-Crystal it can allow a partnered pokemon to unleash a tremendous expression of elemental power. Be warned, if used too often it can place a strain on both the pokemon and their human partner; so try to use it only once every few minutes. All while still acting as a functional Key Stone! This purchase comes with a single Z-Crystal corresponding to a Type of your choice."
100,Z-Power,Pokemon Anime,"Now we’re cooking with gas! This upgrade increases the size and potency of your Sparkling Stone! Aside from lessening the strain of performing Z-Moves, and allowing it to utilize Legendary Z-Crystals; this one comes with a little extra bonus. Namely, the ability to generate special Z-Crystals for pokemon whom you develop a strong bond with; allowing them to express their natural abilities in truly extraordinary ways."
100,Muse,Civilization,"You are an inspirational presence­ You could serve as someone dispensing sage advice, a legendary model, or create some other suitably thought­-provoking circumstance with another power. People who interact with you (even when unaware) are prone to sudden bursts of insight and inspiration.
In any case, you don’t have direct control over what this inspiration leads to, but it’s usually related to whatever interests the inspired has. A musician might be inspired to create a defining piece of his genre, or strike out into new territory, shaking up the status quo.
Regardless, this inspiration will make history."
100,Patron,Civilization,"Maybe its by luck or careful management of your burgeoning culture, but there has always been and will always be a place for the arts in your eyes. This perk ensures that you can live comfortably off of completely creative and aesthetic endeavors such as painting, sculpture and the like­ clients will find you, museums will want your works, and so on.
This effect even applies to members of groups or organizations you lead­ subsidizing the arts will never impact your budget no matter how extravagant­ the means and funds simply appear, waiting to be distributed."
100,Solid War Machine,SB Stellaris,"Your ships and armies are slightly better than others, in every useful metric. It might only be 5%, but that really does make a difference.
Fanatics get a significant bonus to everything.
(Notes)
These apply in some form to any empire, nation, civilization, or organization under your control, even if you don’t Import your Empire into that future Jump. The perks will be adapted as needed to actually be relevant towards any organization they are applied to. The party does directly benefit from effects that affect the people in these organizations."
200,Key Stone,Pokemon Anime,"An ancient stone whose untold power can be unlocked by a trainer possessing a powerful bond with their pokemon; its existence is still a mystery to many. When activated this stone may channel Infinity Energy through a partner possessing an appropriate mega stone, causing them to mega evolve; temporarily transforming them into a far more powerful form. However, if the bond between the trainer and their pokemon isn’t strong enough they won’t be able to handle the power; causing them to rampage until they exhaust themselves.
Still, in the right hands this could turn a regular pokemon into a force capable of challenging legendaries. Of course, we can’t have you lugging around a loose marble everywhere, so it’ll be inserted into an accessory of your choice; though bangles are the traditional choice. Lastly, to make sure you can put it to good use it’ll come with one mega stone of your choice. If you Purchased The Power of One you gain a discount on this item, and it’s upgrades."
200,Mega Wave,Pokemon Anime,"Now how did you get your hand on one of these? A miracle of arcane engineering brought about by the Azoth kingdom; this upgrade allows your Key Stone to mega evolve multiple pokemon at once, and removes the need for your partner pokemon to carry a mega stone. That said, this is normally a rather unpleasant process that would test the loyalty of most pokemon; so I’ll tweak it a little for you. Rather than torturing your pokemon, each connection past the second will place some strain on you instead. A normal man would barely be able to sustain at most six mega evolutions at once, but would likely fall from exhaustion shortly after. Though that’s a small price to pay for the power you’ll gain with this."
200,Skill Reinforcement,Fate/Grand Order,"Much as the overall power of a Servant is not immediately reached, neither is the individual power of their Skills reached at the start. To find their full potential with each ability, these Skills must be reinforced with Gems gathered from suitably similar opponents. Sabers must destroy Sabers to get Gems for Sabers and so on. Rare materials must also be gathered to do the process. Finally, a proper amount of magical energy must also be spent. Once the requirements are gathered, any Skill or ability may be Skilled Up and made more powerful overall. While there is no limit to how many times a Skill may be Reinforced, nor that it must be a Servant Skill, the costs will continue to increase for further and further Skill Ups on the same skill. Gems will need to be obtained from stronger foes, materials will become rarer and more magical energy must be spent."
