Cost,Perk Name,Source,Description
0,Leadership,Generic Military,"The ability to keep a cohesive unit or army together, motivated to fight, and willing to follow your orders, and the single most difficult ability for anyone to pin down. Now you have it. You are aware of your unit’s overall health and stamina in order to better look out for them, able to delegate tasks or missions you know they can do, willing to put up with endless amounts of bellyaching without missing real concerns, have a decent grasp of tactics, and when a job needs doing you know how to convince them to do it because thoughtless glory seekers give orders while considerate minds lead. If you’re not an Officer, expect to quickly become the glue that keeps everyone together."
100,A Royal Will,Legend of Zelda - Minish Cap,"As one born to the life of holding all of the people above yourself you have a strong will and can see, objectively, how decisions would affect not only yourself but others under your command."
100,Accepting the Divine,Civilization,"Sometimes you just don’t have time to explain. This perk grants you a catch-all excuse of ‘Mysteries of the gods’ or ‘I’ll explain later’. You can use this effect to ensure someone accomplishes a task you request or uses a tool you’ve provided, and they won’t delay by asking how it works. You will be required to explain properly later, but hopefully by that time, you and your allies have solved the problem."
100,Adviser,Warhammer 40k - T’au,"When giving someone else advice, even in their own areas of expertise or in fields where their own skill and knowledge outstrips your own, you somehow know just what to say to boost their performance or overcome any internal contextual blocks that hinder their performance."
100,Ask How High On The Way Up,SB Stellaris,"Your troops can do the impossible. If you actually did the simulations, you’d find that their shots were doing a bit more damage than the theoretical maximum yield of their weapons. They also shoot straighter than their guns should be capable of, run faster than their legs could carry them, take a few extra hits before dying, and even fire more rounds than they brought bullets.
These buffs are fairly small, but they apply to all armies under your command and all parts of those armies, including tanks, giant monsters, and giant robots."
100,Because I Said So,Generic Parenting,"Do you really need any other explanation? Whether it's an emergency or you just need something done FAST, you can invoke this reason on your child (or a subordinate) to get them to do it. If you need them to do a chore or an unusual task, this will compel them to accomplish the task quickly. This won't let you compel them to hurt themselves or do things they normally would be against, and will be refused in annoyance if you use it too many times. It's good for 'act first, ask questions later' situations, at least."
100,Competence,Diabolical,"Your minions, henchmen, drones, or any other beings – such as Companions - you entrust with a task or duty are not the bumbling buffoons of other villains. No, yours are trained, and intelligent. They are consummate professionals, taking pride in their work and their service to you. They may not be particularly smart or powerful, but they will never be tricked into following the common, disadvantageous tropes of the typical mook. They will not fall for obvious traps, they will not stop to chat with the hero before they eliminate them, they will not pause to ponder an illogical statement or be diverted with a thrown treat or shiny bauble. They can hit what they aim at with their chosen weapon, and will exercise due diligence and appropriate prudence. You can for all intents and purposes, consider them your own personal, professional army with all the discipline and capability that entails."
100,Queen’s Council,A Study In Emerald,"Between Ruler and Ruled, there is no need for words. A form of telepathy, the Queen’s Council is shared between yourself and those who accept you as their ruler or leader, and it is utterly private, as well as permitting communication with those you do not share a common language or even the appropriate mouthparts to converse with."
100,Right Tool for the Job,Warhammer 40k - T’au,"No one excels at everything, and no tool fixes all problems. You can now adequately assess a situation and objectively understand which skillsets or underlings you have will be most effective or least costly to achieve your goals."
100,Road to Glory,Fate/Legends - Empires of Antiquity,"No one’s going to be doing much conquering if they don’t know how to swing a blade or direct a squad. You’re not someone that’s going to get a The Great attached to you just yet but you can fight capably with the rank and file if need be, as well as lead small groups of fighters capably and clearly even during a big battle. You’ve got a talent for larger scale strategy but you’ve not had the chance to dig into what you can do there. It shouldn’t take too long to move up in the military ranks though, since you have a knack for looking pretty strong and fearless no matter what you do, which works well when combined with a talent for battle. If you want, you can take about a foot of extra height and some bulging muscles with this too."
100,State of the Union,SB Stellaris,"You know the state of regions and organizations under your nominal control, as if you had constantly already read all the reports that could be collected on them."
100,Tension The Chain of Command,SB Stellaris,"Large military units like entire fleets can be rather unwieldy. For you, not as much. Your OODA loop is smaller than it should be. Commands are relayed down, and critical information is passed up, with greater speed and accuracy.
(Notes)
If you are not in command of a fleet, these are provided to all Empire ships at reduced power."
100,Worth of Time,The Games We Play,"There have been stewards of this world who quite literally let it go to shit because they couldn’t be bothered to interrupt their research. It would be a shame if you were to do the same, wouldn’t it? Good thing you won’t have to.
You find that any and all of your duties that can be dealt with without you directly interacting with other people get done automatically, with every bit the efficiency and quality it would have if you focused on it alone.
This even includes things like scroll calls and other remote communications, with responses taken from the back of your mind. You can observe these in real time if you want, but you don’t need to."
200,A Talent For Strategy,Generic Military,When it comes to large unit maneuvers you are the king in the game of war. Your stratagems are so carefully thought out and laid that you could orchestrate the Normandy Invasion with minimal information from your armchair with a simple map in hand.
200,A Talent For Tactics,Generic Military,When it comes to small unit maneuvers you are a master in the field capable of leading your men in engagements with the enemy. Your tactics could quickly make veterans out of your squad with how effective they are in reducing casualties.
200,Bringer of Fear,Legend of Zelda - Hyrule Warriors,"Individuality is overrated, it’s a commonly held belief among evil overlords and witches. What’s the use of dissenting opinions when you’re always right? Right? You are now able to quash individuality and dissent in those beneath you, through the delicious power of intimidation. Those you can intimidate into following you, or those already following you that are afraid of you, will become surprisingly loyal, due to the consequences.
Even beyond normal intimidation, this perk helps with maintaining the allegiance of all your mooks and minions even if they would ordinarily be the type to drop everything and run if it looks like you would lose."
200,Charge!,Generic MIlitary,"Heroes and their stories aren’t made by just showing up to events but through their determination and grit to overcome an obstacle. When a situation demands you to push beyond a hundred percent you and your unit can mount a charge that breaks through the toughest enemy defenses such as when backed into a corner, when you are of one courageous mind at the height of morale, or pissed off enough to storm the castle."
200,"Defying Physics On Your Orders In Twenty Seconds, General",SB Stellaris,"As long as you don’t betray them, soldiers under your command have unbreakable trust and morale.
(Notes)
If you are not in command of an army, a planet’s defense, or an expeditionary force, these are provided to all Empire armies at reduced power."
200,Down-To-Earth,Generic Space Opera,You are one of the rare persons that actually have an idea what moves the people under your purview. Whenever you are at the helm of a country or organisation big enough for you to normally lose track of those alluded to problems you will receive impulses nudging you towards the correct decision when deliberating policy.
200,Fighting like Dogs,Fate/Legends - Empires of Antiquity,"Only those lucky enough to be blessed by the gods get to fight fair wars. For the rest of us, you need to be willing to get down in the dirt to win. You’ve got all sorts of skill and knowledge to trick, hinder and sabotage others though, making such a thing a much easier task. From personal scale stuff that lets you easily pull off false moves in a fight or slip poison into someone’s trick to large scale sabotage to entire armies, you’ve got experience pulling these plots off. Dirty tricks of course include the ability to easily put others off their game with your words, playing on their fears, anxieties and traumas to make them uncertain or even flee outright. You’re good at that too, the fleeing, and even opponents that normally consider themselves much faster and more agile than you might lose you in the dense crowd of a battlefield."
200,First Among Comrades,Gurren Lagann,"You're no Sun Tzu, but you're adept at improvising and adapting to your opponents' battle plans. Where others charge in blindly you can read the ebb and flow of battle, coming up with unorthodox but highly effective ways to engage and defeat the enemy. Moreover, you find it easy to explain your plans thoroughly to the greenest fighting forces."
200,Instinctual Administration,XCOM 2,"You have a knack for accounting and project management. By simply looking at a map or a spreadsheet depicting the assets and projects of your organisation you get a rough idea of their status. Projects over budget, departments underperforming, assets gone missing can be very quickly identified. If a simple solution exists you know it and can quickly implement it, if the missing asset is only missing due to a clerical error you can quickly correct it, if someone's embezzling, with a bit of sleuthing you can pin them down."
200,"Loyalty, Above All",Diabolical,"Your underlings and Companions will be unwaveringly loyal to you, per supernatural means. They will not break under torture, cannot be hacked or brainwashed or reprogrammed, and will never betray you under any circumstances – including negligence, trickery, or subversion. Even the hired help or temporary allies will fall under this aegis, though after their contract or alliance runs out the effect will be decreased and eventually fade away completely. You will also never have to worry about any Starscream-type scenario, and your second-in-command, sidekick(s), and lieutenants will never attempt to overthrow, replace, or otherwise hinder you in any way."
200,Mobility,Warhammer 40k - T’au,"In a world where offensive weapons outstrip defensive abilities, the only credible defense is to not be hit. In all situations, your ability to move and place yourself effectively and stealthily borders on the supernatural. Whether you are side-stepping a thrown rock or pushing battalions of troops out of range of artillery bombardments, it’s almost impossible to stop you, ensnare your movements, or keep a bead on you."
