0,,CP Cost,Name,Jumpdoc,Chapter,Description
1,,Free,Fairy Fluent ,Peter Pan,Lore,"You can naturally understand the tinkling, bell-like language of fairies, and also know how to teach people to understand the language. It is the most wonderful of tongues, sounding like the sweetest, most innocent bells whether you are professing love and rudely insulting somebody. However, unless you are a Fairy, you cannot speak it in turn, unless you pay 100 CP extra.
"
2,,Free,Mark of Tzeentch ,Warhammer Fantasy: Warriors of Chaos,Lore,"Either on your body or permanently upon your soul, Tzeentch leaves a mark of his claim on your service. The Mark of Tzeentch causes your intellect to swell massively, and you’ll find that even the most difficult mental tasks are child’s play to you. You can easily translate languages that are completely new to you with even a small amount of information on the language itself, and information that would threaten the sanity of a stern mind is easily accepted by you as a simple truth, nothing more. Lastly, you have the basic capacity to utilize the Winds of Magic, and you are a decent sorcerer currently.
"
3,,Free,The Learner​ ,Persona 4,Lore,"Well, as you're certainly the newcomer here in this world, you've got a lot to learn. You learn new things 10 times as fast until you reach what would be considered an average level of proficiency. You also get a flat ×2 multiplier to any form of learning or training that you do. You can also learn innate traits of other beings, although it will be harder to do so than normal."
4,,Free,That Who Records​ ,Persona 4,Lore,"You now have the ability to summon your own compendium at will. As long as you are helping someone grow, you can record a copy of any of their powers at will. You may only use these when you are directly fighting against them in order to test them or help them grow (unless you have Wielder of Power), but these can be used to restore their power if they ever lose it or it lessens below the level you have recorded. This applies for any powers they may have, including physical abilities, skills, and supernatural powers like personas. Furthermore, as long as you have one example of a specific skill in your compendium, you or anyone you are helping will learn that skill at ten times the normal rate until you reach the level your recorded power is at."
5,,50,Infinite Library Priority Access ,Lyrical Nanoha,Lore,"Nifty! You have acquired an all-access pass to the Infinite Library of the TSAB. The name isn’t for show, either - it’s a huge library containing the collected knowledge of the TSAB, or at least things available to the public. Excellent for research or literary pursuits. Post-jump, this card functions as a lifetime library card for any public library in existence. Secretive ones not included, sadly.
"
6,,50,Talent - Arcane Attacker ,Generic MG,Lore,"Each purchase of this allows for increased talent - skill, control, versatility - with one package you purchased below.

It’s not more power, but it is more oomph. Talent also means you train faster in the areas of the package, even if you’re using skills and powers granted to you elsewhere. Each purchase is a roughly +70% training boost. (CG Note: Requires Arcane Attacker - Generic MG first. Obviously.)
"
7,,50,Talent - Conniving Corrupter ,Generic MG,Lore,"Each purchase of this allows for increased talent - skill, control, versatility - with one package you purchased below.

It’s not more power, but it is more oomph. Talent also means you train faster in the areas of the package, even if you’re using skills and powers granted to you elsewhere. Each purchase is a roughly +70% training boost. (CG Note: Requires Conniving Corrupter - Generic MG first. Obviously.)
"
8,,50,Talent - Crowd Control ,Generic MG,Lore,"Each purchase of this allows for increased talent - skill, control, versatility - with one package you purchased below.

It’s not more power, but it is more oomph. Talent also means you train faster in the areas of the package, even if you’re using skills and powers granted to you elsewhere. Each purchase is a roughly +70% training boost. (CG Note: Requires Defensive Determinator - Generic MG first. Obviously.)
"
9,,50,Talent - Defensive Determinator,Generic MG,Lore,"Each purchase of this allows for increased talent - skill, control, versatility - with one package you purchased below.

It’s not more power, but it is more oomph. Talent also means you train faster in the areas of the package, even if you’re using skills and powers granted to you elsewhere. Each purchase is a roughly +70% training boost. (CG Note: Requires Defensive Determinator - Generic MG first. Obviously.)
"
10,,50,Talent - Elemental Evocation,Generic MG,Lore,"Each purchase of this allows for increased talent - skill, control, versatility - with one package you purchased below.

It’s not more power, but it is more oomph. Talent also means you train faster in the areas of the package, even if you’re using skills and powers granted to you elsewhere. Each purchase is a roughly +70% training boost. (CG Note: Requires Conniving Corrupter - Generic MG first. Obviously.)
"
