0,,CP Cost,Name,Jumpdoc,Chapter,Description
1,,Free,Spell Cards ,Touhou Project: Parasol Paradise,Modus,"A set of personalized spell cards, essential to Danmaku battles. Though they can be destructive, they are also completely non-lethal. Despite its name, spell cards do not need to be purely a result of magical abilities. Even mundane technology is allowed in forging one’s spell cards During Danmaku battles, any extremely powerful abilities that assures an “absolute victory” or an “absolute defense” will be limited for the duration of the Danmaku battle. The reason for this was to allow humans and Youkai to fight at an even footing, and you’re no exception to the rule."
2,,Free,Flonyard Magic ,Dog Days,Modus,"The people of Flonyard gather and combine energy from the earth and the sky to form crests, this world’s version to magic. You start off with the ability to cast level one crest magic, letting you do things like boost your physical stats by a small degree. The highest level is three. With time and training you may increase the level at which you cast. Post jump, you no longer need to rely on external energy to cast your crest magic, you may use your own personal mana supply.
"
3,,Free,Lore of the Great Maw ,Warhammer Fantasy: Ogre Kingdoms,Modus,"The magic supplied to all Butchers and Slaughtermasters by the Great Maw, proof of their role as its priests and clerics. You will begin as a notably skilled wizard in this Lore, knowing a handful of spells. Anytime a spell from this Lore is successfully cast, there is a large chance that the caster will be healed of many of his injuries and gain a small but significant boost to his next casting of any magic.

This Lore deals largely with the act of eating and gaining power from that act, with flesh and bone and blood and with twisting the bodies of others. The signature spell of this Lore allows the caster to empower his allies with great fortitude and willpower by devouring bones and bone marrow. Other spells include eating bones to snap the bones of your foes, devouring the hearts or muscles of strong beasts to grant that same strength to yourself or others, eating stone or metal to take on that substances durability, forcing horrific nightmares into the minds of any foe near you by devouring a piece of a brain or skull or even taking on or granting to others the traits of monsters or beings of whom you consume for a time, such as granting the regeneration of a troll to yourself and your companions. Truly gifted Gut Mages can even summon the Great Maw beneath their foes, or at least a small incarnation of it, to swallow up and devour any caught in its immense gullet.

This Lore, as with any other Lore in this world, is subject to the Winds of Chaos. At any time, the strength of magic may wax or wane at random, forcing the user to adapt rather than try to force it to obey them. If they are truly unlucky, the Winds will turn against them, resulting in some horrid accident that may even cause the user’s death. But that’s only for the unlucky ones.
"
4,,Free,Imperial Lores of Magic - Ghur ,Warhammer Fantasy: Imperial Colleges of Magic,Modus,"No human wizard, without divine aid, can safely wield more than one Wind of Magic with any great mastery. Those who try to wield multiple well are far too easily lured by Dark Magic, assuming they do not destroy themselves before they can be tempted. It was this discovery in part that made Teclis realize just how much mankind required his guidance. Therefore, while founding the Orders, Teclis taught his human apprentices to focus on the one Wind of the eight which suited them best. The result is the system of Lores which persists to this day under the prescriptions of the Articles of Imperial Magic. You are sensitive to and capable of manipulating the Wind of Magic appropriate to your Order - Ghur for Amber Magisters, Hysh for Light Magisters, and so on - and know many of the spells devised by said Order."
5,,Free,Imperial Lores of Magic - Shyish,Warhammer Fantasy: Imperial Colleges of Magic,Modus,"No human wizard, without divine aid, can safely wield more than one Wind of Magic with any great mastery. Those who try to wield multiple well are far too easily lured by Dark Magic, assuming they do not destroy themselves before they can be tempted. It was this discovery in part that made Teclis realize just how much mankind required his guidance. Therefore, while founding the Orders, Teclis taught his human apprentices to focus on the one Wind of the eight which suited them best. The result is the system of Lores which persists to this day under the prescriptions of the Articles of Imperial Magic. You are sensitive to and capable of manipulating the Wind of Magic appropriate to your Order - Ghur for Amber Magisters, Hysh for Light Magisters, and so on - and know many of the spells devised by said Order.
"
6,,Free,Imperial Lores of Magic - Aqshy,Warhammer Fantasy: Imperial Colleges of Magic,Modus,"No human wizard, without divine aid, can safely wield more than one Wind of Magic with any great mastery. Those who try to wield multiple well are far too easily lured by Dark Magic, assuming they do not destroy themselves before they can be tempted. It was this discovery in part that made Teclis realize just how much mankind required his guidance. Therefore, while founding the Orders, Teclis taught his human apprentices to focus on the one Wind of the eight which suited them best. The result is the system of Lores which persists to this day under the prescriptions of the Articles of Imperial Magic. You are sensitive to and capable of manipulating the Wind of Magic appropriate to your Order - Ghur for Amber Magisters, Hysh for Light Magisters, and so on - and know many of the spells devised by said Order."
7,,Free,Imperial Lores of Magic - Azyr,Warhammer Fantasy: Imperial Colleges of Magic,Modus,"No human wizard, without divine aid, can safely wield more than one Wind of Magic with any great mastery. Those who try to wield multiple well are far too easily lured by Dark Magic, assuming they do not destroy themselves before they can be tempted. It was this discovery in part that made Teclis realize just how much mankind required his guidance. Therefore, while founding the Orders, Teclis taught his human apprentices to focus on the one Wind of the eight which suited them best. The result is the system of Lores which persists to this day under the prescriptions of the Articles of Imperial Magic. You are sensitive to and capable of manipulating the Wind of Magic appropriate to your Order - Ghur for Amber Magisters, Hysh for Light Magisters, and so on - and know many of the spells devised by said Order."
8,,Free,Imperial Lores of Magic - Chamon,Warhammer Fantasy: Imperial Colleges of Magic,Modus,"No human wizard, without divine aid, can safely wield more than one Wind of Magic with any great mastery. Those who try to wield multiple well are far too easily lured by Dark Magic, assuming they do not destroy themselves before they can be tempted. It was this discovery in part that made Teclis realize just how much mankind required his guidance. Therefore, while founding the Orders, Teclis taught his human apprentices to focus on the one Wind of the eight which suited them best. The result is the system of Lores which persists to this day under the prescriptions of the Articles of Imperial Magic. You are sensitive to and capable of manipulating the Wind of Magic appropriate to your Order - Ghur for Amber Magisters, Hysh for Light Magisters, and so on - and know many of the spells devised by said Order."
9,,Free,Imperial Lores of Magic - Ulgu,Warhammer Fantasy: Imperial Colleges of Magic,Modus,"No human wizard, without divine aid, can safely wield more than one Wind of Magic with any great mastery. Those who try to wield multiple well are far too easily lured by Dark Magic, assuming they do not destroy themselves before they can be tempted. It was this discovery in part that made Teclis realize just how much mankind required his guidance. Therefore, while founding the Orders, Teclis taught his human apprentices to focus on the one Wind of the eight which suited them best. The result is the system of Lores which persists to this day under the prescriptions of the Articles of Imperial Magic. You are sensitive to and capable of manipulating the Wind of Magic appropriate to your Order - Ghur for Amber Magisters, Hysh for Light Magisters, and so on - and know many of the spells devised by said Order."
10,,Free,Imperial Lores of Magic - Ghyran,Warhammer Fantasy: Imperial Colleges of Magic,Modus,"No human wizard, without divine aid, can safely wield more than one Wind of Magic with any great mastery. Those who try to wield multiple well are far too easily lured by Dark Magic, assuming they do not destroy themselves before they can be tempted. It was this discovery in part that made Teclis realize just how much mankind required his guidance. Therefore, while founding the Orders, Teclis taught his human apprentices to focus on the one Wind of the eight which suited them best. The result is the system of Lores which persists to this day under the prescriptions of the Articles of Imperial Magic. You are sensitive to and capable of manipulating the Wind of Magic appropriate to your Order - Ghur for Amber Magisters, Hysh for Light Magisters, and so on - and know many of the spells devised by said Order.
"
11,,Free,Imperial Lores of Magic - Hysh,Warhammer Fantasy: Imperial Colleges of Magic,Modus," No human wizard, without divine aid, can safely wield more than one Wind of Magic with any great mastery. Those who try to wield multiple well are far too easily lured by Dark Magic, assuming they do not destroy themselves before they can be tempted. It was this discovery in part that made Teclis realize just how much mankind required his guidance. Therefore, while founding the Orders, Teclis taught his human apprentices to focus on the one Wind of the eight which suited them best. The result is the system of Lores which persists to this day under the prescriptions of the Articles of Imperial Magic. You are sensitive to and capable of manipulating the Wind of Magic appropriate to your Order - Ghur for Amber Magisters, Hysh for Light Magisters, and so on - and know many of the spells devised by said Order."
12,,Free,Lore of the Vermin ,Warhammer Fantasy: Skaven,Modus,"The one and true mage-priests of the Great Horned Rat, the Gray Seers practice both the Lore of Ruin and the Lore of Plagues. A blend of divine inspiration and sorcery, the horned emissaries of the Rat-God consider it a grievous insult that Pestilens and Skryre have sought, and obtained, the secrets of these Lores. Just one more insult and betrayal added to the list of crimes skaven have committed against one another.

You, as an inducted Gray Seer, have begun plumbing the depths of the Great Horned Rat’s two wonderfully vicious lores: The Lores of Ruin & Plague. The Lore of Ruin, otherwise referred to as “Warp,” draws heavily from Warpstone and its derivative materials - allowing the caster to manipulate chaotic energies. From this Lore come such spells as The Vermintide, or the manipulation of Warp Lightning. The Lore of Plagues comes from the Horned Rat’s title as Harbinger - and though it rends a toll upon the caster’s body, the manipulation of disease, pox, and cancer alike allows one to even infect the very earth itself with diseased ichor and make poison rain down from the skies."
