Cost,Perk Name,Source,Description
100,"Oi, Me Accent's Slippin' | Complete. Global. Saturation.",Resident Evil,"Oi, Me Accent's Slippin' [50CP] (Resident Evil)
Maybe you want to sound sophisticated, like your enemy is dying to someone of class. Or maybe you want to sound just like a character for the sheer hilarity of it all. Either way, we've got you covered. For a one-time purchase you can change your accent to sound however you want, and switch back to your regular accent on a whim! Fun times all around, huh?
Complete. Global. Saturation. [50CP] (Resident Evil)
Wow, you are just a ham. I'm not talking just being dramatic, you are a full blown hammy talker. You know just how to emphasize your words and talk about your plans to sound like a completely insane villain, including timing your laughs when you unveil how you shall CHANGE THE WORLD! AHAHAHAHAHAAAAA! ...ahem. Another use would be if you just want to cheer people up and put on a 'Hammy Hero' act. You'd be surprised how well it works."
100,Payday,Helluva Boss,"Congrats! You make minimum wage! What’s so great about minimum wage? The fact you don’t need to work for it- you receive the equivalent of a minimum wage paycheck every month without lifting a finger, this is enough to survive on if you’re miserly."
100,Do We Have a Deal?,Generic D&D 5e,"Your ability to make deals which go in your favor is very good. You’re able to sell a fish to a fisherman, and get a pretty good price for it, too. Also useful for bribing the guard when they find you… experimenting. As Warlocks do."
100,Taboos,SCP Foundation,"Rules are paramount.
The faeries are known to be notorious manipulators and deceivers. Like them you’re extremely succinct with your word choices, always saying precisely what you mean to without accidentally revealing too much. Politeness and formality are great virtues you
abide by naturally. Matters of etiquette and wordplay come very easily, given your keen sense of what mustn’t be said. Whether this is just formalities or a matters of life, death, and existential horror. Tight-lipped in the extreme, you cannot be forced to give out details against your will. When others (in your presence) attribute names or details to you that you haven’t explicitly revealed, you’ll be able to pick up on how they came to those conclusions. By picking up on the words that people use and their focus, it may offer better methods to play tricks on them."
100,The Yellow Art,Horror Midnight Movie Marathon,"Scream queens may be eye candy, but we know why we watch these films. You have the makings of a proper slasher villain. Oh this won’t give you the strength, or the combat skills, but you know how to stage a colorful and shocking murder. And when you do manage a killing blow you can make it more over the top and impressively shocking and gory."
100,Calculating Mind,Hollow Knight,"Numbers, locales, tabs, finances. The cornerstones of business. So much to run, so much to think about to allow your business to flourish. Every asset must be accounted for, every sale perfectly sliced."
100,Face For Tv,Helluva Boss,"You have a face for Tv unlike a certain Overlord in Pride. You’re attractive in whatever way you choose, you can be cute, seductive, masculine, feminine, whatever you want."
100,Jumper's Lullaby,Centuarworld,"Everyone in Centaurworld can sing, but not many people have their own ominous theme song extending their legend around, and playing in the background during their appearances. Well, now you have a theme song that is known by basically everyone, which will be sung by random groups of kids from time to time for no good reason other than a creepy effect, and which you can decide to have it play during your dramatic entrances."
100,But Of Course My Lord,WHF: Tomb Kings,"All Priests of the Mortuary Cult are excellent liars. They’ve had centuries of experience at the art after all. Stringing along the many dynasties that supposed their rule over the Cult, they tricked one and all into believing that the potion for everlasting youth was only ever a few years away and that the Cult had no true form of immortality of its own. It is sad that the Cult’s lies were so great that they overlooked the flaws in their own pretence at immortality. You are every bit as great a liar as the High Priests themselves, able to tell the most ridiculous of falsities to the face of your King without a twitch of your face or a single skipped heartbeat. You are even better at omitting information and manipulating others so that they do not pursue further questions as to that missing information."
100,Shepherd,Generic Magical Magic,"Dark lords and Saints alike walk the path of the Dark. It is in their nature to twist others towards their ideals, be it in the search for greatness or for the ‘greater good’. Regardless of their aim, they possess the same qualities: a recognizable face, and a voice which is listened to. Much like them, you are now distinctive in appearance. Perhaps beautiful, perhaps handsome, perhaps simply strangely captivating in a way that cannot be put into words. Additionally, you have mastered the art of using your voice for the purpose of being heard. You know what tone to use, what words to stress, how to convey feelings... Now if only you knew the right words to speak, you could easily turn others to your cause through charisma alone, reasons and goals be damned."
100,Bodacious,SCP: Foundation,"“We punch underwater so you can live on the land.”
You are an absolutely tubular dude or dudette. You’ve got a rockin’ Baywatch body that can easily attract attention from all other beachgoers. This physique is not just for show, as it allows you to excel in all manner of beach activities. Swimming, beach volleyball, parasailing, windsurfing... if it’s any kind of Summer sport you’re as good as it gets... or pretty good, anyway. Well, you’re not bad at any of that stuff! You’re at least good enough to make it look like easy fun in the sun and not a mission-critical skills (which they are) for guarding lives. You’re athletic and like, super hot? So even if you’re maybe not the best at everything and only just-pretty-good you still look the best. When you’re enjoying what you do, it takes a lot of the bad vibes out of anything. A badass jumping into danger and suplexing sharks? That’s pretty awesome no matter which way you look at it. Cannot stress enough just how totally righteous you make true heroism look."
100,Riot in the Flesh,SK’s: TDTS,"Regardless of your appearance or demeanour, this perk triggers a wave of “sudden red lust” towards you. It cannot compel any behaviour beyond this, but a well-timed physical response can evoke interesting results - from intensifying desire to leaving them shaken and unsettled, not understanding the source of such a powerful feeling. This may be used once per day, but it affects everyone who can see you when activated."
100,Unnatural Presence,DUSK,"The very essence of your being is saturated with a certain wrongness. Regardless of means of creation, it’s clear you aren’t supposed to exist in this reality, and everybody, everywhere intrinsically understands that, and it manifests as fear. Even the unnatural feel this, even the robotic. A primal sense of wrongness causes loss of focus, of accuracy, of fury. Enemies will be more hesitant to attack, and for something like you, that is a weakness you can exploit with ease."
100,One Scene Wonder,Horror Midnight Movie Marathon,"You possess the ability to stand out in people’s memories. When you are interacting with people you can subtly emphasize any of your distinctive traits, mannerisms, or behaviors. If you do it will maximize the impact of that aspect of you on the memories of people you are interacting with causing it to linger in their memories, and strongly associate with you. Most effective on first impressions, but not ineffective on people who know you well already - especially if it’s a trait you’ve kept hidden and suitably impressive."
100,Duties Of Rank,Helluva Boss,"You have all the skills expected of Old Money nobility, you have excellent manners, are extremely adept at managing property and financial investments, and are a deft hand at court politics. You have the aptitude to thrive in a Shark Tank like the Goetia family."
100,Inhuman Menace,Horror Midnight Movie Marathon,"You are terrifying, or at least possess the ability to be so. Even without a word you can through sheer body language ooze bloodlust and killing intent so as to frighten others. While this won’t give them knowledge of your specific capabilities, it will give them a terrifying feeling of just how dangerous you are. If you’re not that dangerous to them, it won’t tell them that, but just merely be very menacing and threatening body language."
100,Classic Horror,Horror Midnight Movie Marathon,"There’s something timeless about the looks of gothic horror. But it’s easy for them to fall flat and be cheesy or lame instead of cool and menacing, especially without the right mood and setting of the environment. You however don’t seem to have this problem. When you drape yourself in the aesthetic of classic gothic horror, you seem to be able to pull it off with the intensity and charisma of your being, and a bit of help from fortuitous circumstances in lighting and environmental factors."
100,Adversarial Speech,Horror Midnight Movie Marathon,You’re excellent at coming up with insults on the fly. You can also quickly and effectively figure out how to verbally get into people’s heads or under their skin with insults and hostile speech.
100,Hide the Darkness,Horror Midnight Movie Marathon,"You are a social chameleon, able to change your behavior, almost instinctively, to fit in with a group around you; or at least pretend to. You are extremely difficult to read, and allowing you to lie without a hint of guilt or shame showing through, and think up believable lies and stories on the spot. You might even spoof some of the less accurate, or easily fooled, forms of supernatural lie detection."
100,Web of Lies and Faith,Cult of the Lamb,"They say that a liar must always remember what they say lest their words come crashing down upon them. What remains unsaid is that this is just as true in matters of faith. Neither shall be a problem for you now, as you have been granted much enhanced memory specifically in the field of things that you have said in the past. Never again will you accidentally tie yourself up in conflicting stories as any time you wish, you can perfectly recall what you have said in any past interaction at a moment’s notice."
100,Converter,SCP Foundation,"Attract neo-neophytes.
Get your people running on a new operating system: Yours. You find it easier to bring others into your way of thinking, even if your stance is entirely radical. Transhumanism is only beneficial. The flesh is weak. It’s unsightly. It’s full of bacteria and disease. Far better to become machine, to become eternal and one with a greater system. Convincing people that natural world is gross and should be forsaken should be easy, right? You’re good at networking and finding those open to your own views whether in-person or online. Sufficiently unusual views may still take a lot of convincing... but the calm conviction you hold for your beliefs seems to increase your recruitment rate rather than make you look like a zealot. You don’t necessarily need to proselytizing for a doctrine of the Broken God. They already have hundreds of thousands of members worldwide anyway, and there’s plenty of other crazy people unusual viewpoints to embrace in this world."
