Cost,Perk Name,Source,Description
0,Anomalous Physiology [100CP*],SCP Foundation,"Be the monster you want to see in the world.
For 100SCP, this will be a minor improvement from baseline humanity. They only have a few minor advantages and aren’t difficult to contain. You’ll probably never be seen as totally Safe given your sentience, unless you have a convincing ruse and non-threatening shape. Almost in the realm of normalcy this covers all sorts of near-human forms or only slightly superior to other humanoids. If they are stronger, they’ll have inherent drawbacks that balance those benefits. An inability to blend in with the normal world, or some reduction to your communication or agency. This could be having some sort of spooky durable object as your body; maybe a portrait, toaster, or amulet? Your form could be any relatively “weak” near-monsters like some kind of minotaur, Little Mister, or IKEA staff. Any paranormal traits beyond your form are going to be minor, at most letting you stay alive despite abnormal biology or breathing and speaking normally despite your facial features being [DATA REDACTED].
(Editor’s Note: There are 200CP and 300CP options available in the jump)"
0,Mystic Eyes [400CP*],Lord El-Melloi II Case Files,"Mystic Eyes are an ocular mutation that grants a magus unusual abilities such as petrification, high level hypnosis, and lighting things on fire. Naturally, most pairs only come with one such power. You’ve got a pair of your own, or a similarly unusual canon advantage, such as clairvoyant pure eyes, psychic telekinesis, oni ancestry, or the Fraga bloodline. This can be bought multiple times, but is discounted if you only buy it once. Furthermore, the price for each purchase after the first is twice that of the one before it, and you cannot purchase Mystic Eyes of Death Perception or the Wishcraft Thaumaturgy Attribute here. Those two are simply too potent for this."
0,Attack of the 50-ft Whatever [600CP*],Generic 50s Sci-Fi Movie,"When you take this perk you gain the ability to grow to 10 times (in each dimension) your normal size. This growth takes time, you may somewhat regulate the speed of this growth - from not happening at all to taking a minimum of about 48 hours to go from normal size to max size - and each alt-form you possess grows separately. This growth is immune to the disadvantageous nature of the square-cube law, and you will retain the proportionate strength of your original size (that is if you could lift 5 times your weight at your normal size you can lift 5 times your weight at this increased size). Since you’re paying so much for this you can reverse this growth, though it will take twice as long to shrink as it did to grow (minimum of 96 hours from full size to normal size). If you want to be able to grow even larger you may add 5 times your normal size to the maximum growth for each additional (undiscounted) 100 CP you pay to a maximum of 25 times normal size (roughly the height of daikaiju of this era for a normal human; this would cost 300 extra CP)."
0,Spirit of Halloween [1200CP*],Trick ‘r Treat,"You are a spirit of Halloween, or at least a spirit that enforces its rules and punishes those who break them, a creature similar to Sam. This gives you abilities similar to both a werewolf and a revenant. You possess strong spiritual energy comparable to a corn maiden, are superhumanly strong and fast, durable enough to survive having your limbs shot off by a shotgun and a bullet blown through your head, and have the individual limbs animate and crawl back to you while healing the wound. These are all secondary powers, though. You are the spirit of Halloween, and while acting in this role you possess a great variety of magical capabilities: off screen teleportation, covering a room in menacing writing, creating candy mixed with razor blades, and more. Of course these powers are tied to your role as spirit of Halloween and function best on Halloween and when enforcing its rules; not that they will be completely lost at other times. Of course as the spirit of Halloween, you will find that wherever you go Halloween will exist; it might not be identical, or have precisely the same traditions, but you will find a version of the holiday - a day celebrating the day where the barriers between the worlds of the living and dead are at their weakest - existing in any culture or world you visit. This also gives you a Halloween themed alt-form, something monstrous; you could match Sam as the pumpkin child, or you could perhaps create another of your own, maybe a skeletal figure representing death, a headless horseman, a witch, or
something else.
(Editor’s Note: There is more to this perk on the Trick ‘r Treat jump. Giving additional purchases that can be made.)"
0,Abnormal Appendages | Terror from the Deep | Outside of Physics | Monster Blooded | Mutated | Cthulhu-lite [2100CP*],Lovecraft Midnight Movie Marathon,"Abnormal Appendages [100CP*] (Lovecraft Midnight Movie Marathon)
Many of these creatures have various inhuman limbs and appendages, and now you can too. By purchasing this you can define whether you are a biped or a quadruped, and you also gain two of the following:
Terror from the Deep [200CP*] (Lovecraft Midnight Movie Marathon)
You are a creature of the deep. Your form is streamlined for swimming, your senses attuned to an amphibious life, giving you senses like a shark or other deep sea predator, your body capable of surviving great changes of pressure. You can breathe both water and air, able to survive in both salt and fresh water as well as retaining the ability to survive on land. This also gives you piscine scales across your body if you desire. Alternatively you may be adapted to life underground. Your hearing reaches into echolocation, olfaction similar to a dog’s, and your night vision is similar to an owl’s. You are able to burrow through the ground at relatively great speed; you won’t be keeping up with yourself running on the ground when digging tunnels but you will be a natural digger. This also gives you some armoring plates to avoid damaging yourself when burrowing through rocks.
Terror from the Deep: Subterror: May pay an additional 100 CP to get both.
Outside of Physics [400CP] (Lovecraft Midnight Movie Marathon)
The creatures of these films exist outside of nature and physics as humans understand them, defying it in various ways. Select an ability from the list below, or create one of a similar power level.
Monster Blooded [400CP] (Lovecraft Midnight Movie Marathon)
Being able to deter human interference is well and good, but you will be dealing with things far stranger than man. With this they will be easier to deal with. Perhaps there is something monstrous in your background that they find kinship with, perhaps it is something else, but you will find monstrous creatures tend to view you with a certain kind of affection or fondness almost as if you were their kin or a pet. This works best on the more otherworldly horrors which stray furthest from humanity, and will do less to those who actively prey upon humans.
Mutated [400CP] (Lovecraft Midnight Movie Marathon)
But perhaps you show more signs of a monstrous heritage than their kinship. Whether born human or not, you seem to have been changed or twisted. By taking this perk you gain an alt-form which you can change into and which exists as a combination of any or all of your alt-forms, defined as you desire. At the start of each jump you can redefine this alt-form.
You also gain 1 free purchase of Abnormal Appendages, or 2 if you have the Monster
Background (for a total of 3 free purchases as a Monster).
Cthulhu-lite [600CP] (Lovecraft Midnight Movie Marathon)
Perhaps you have no desire to be a common individual of whatever monstrous species you are a part of. Perhaps you wish to stand above them. You are now a creature similar to Cthulhu to his Starspawn or Dagon to the deep ones, something more and greater than the common example of your kind. Your size is increased, to roughly 35 meters, making you substantially larger than a human if you weren’t already. But this is not merely an increase in mass. Besides possessing the physical power you’d expect from a titanic monster, you will find your powers seem to scale somewhat with your size, their range and even area increasing proportionate to your new body. Just by having this you will also find a minor general increase to your mystical, spiritual, or psychic powers even when not in the alt-form this perk creates, and they will all increase further with size, though (unlike the area and range) they will not double with a doubling of your size but you will find that bigger is better.
(Editor’s Note: Check the Jump for more about Abnormal Appendages & Outside Physics. The bonus will apply depending on how monstrous the reader has become.)"
0,Vessel OR Cage [200CP*],Jujutsu Kaisen Remake,"This perk is divided into two versions, and you can only buy one of them. First let's talk about the Vessel option, the one that costs -200CP, by buying this you officially become a vessel, what this means is that you have the capability of eating cursed objects to become a reincarnation of a sorcerer.
Thankfully they won't overwrite your will, though they are certainly capable of it if you give them the opportunity. So why would you ever eat a cursed object you ask? Because if you do let that sorcerer take control, they will be able to use their abilities such as their innate technique. So maybe try to find a kind sorcerer?
Either way, due to the nature of souls, having another one inside of your body will make you aware of them, what this means is that your strikes will then directly harm someone's soul. That isn't all however, because eventually the techniques of your little parasite will be engraved upon your body, and then you will no longer need them. This option can also make you into a Star Plasma Vessel, making you capable of listening to the assimilated victims of Tengen when in close proximity.
(Editor’s Note: There is a 600CP version of the perk if you wish, and will only cost 400CP if you pay for the first version.)"
0,Strong Resistance | Body of Steel | Germa Genetics [900CP*],One Piece,"Strong Resistance [100CP*] (One Piece)
There are many more dangers out there than you’d think, but it helps to be resistant to a few
of them. You are heavily resistant to some kind of damage or effect, be it blunt force, blades,
fire, poison, or something weirder. The only exceptions would be the effect of water and sea
prism stones if you have the abilities of a Devil Fruit, or a resistance to Devil Fruit abilities. This option can be taken multiple times for multiple resistances.
Body of Steel [400CP] (One Piece)
You were broken, once, but through the miracles of SCIENCE you have been rebuilt! Yes, you are now a cyborg, with all that entails! Regardless if you were crafted in the labs of Vegapunk, or a product of your own genius, your steely exterior is especially resistant to damage, all while possessing numerous hidden tools and weapons built into your body. You will need to manually repair yourself, but at least you can add in upgrades that are guaranteed to become fiat-backed!
Germa Genetics [400CP] (One Piece)
Through the combined efforts of Vegapunk and Germa 66, it is possible to create superhumans through manipulating the Lineage Factor of fetuses, and you are living proof of its success. You've got a crazy durable exoskeleton, heal at a greatly increased rate, and are much more physically capable than you should be. This strength of yours is capable of growing quickly through training. As a child, you could already outperform trained soldiers with ease, and as you grow, there's no telling how strong you'll become. Thankfully, you won’t have that nasty side effect of suppressed emotions, allowing you to enjoy the full spectrum of your passions."
0,Human Host | Multi-Parasyte | Body Snatcher | Hybrid [1500CP*],Parasyte,"Human Host [300CP] (Parasyte)
You are a human, but have had a parasyte larva attempted to enter and consume your brain. On the plus side, for some reason or another it failed to gain entry, and it was forced to consume and replace one of your limbs instead, or maybe a section of your torso, or even part of your lower face. Over the last day, it has revealed its intelligence to you, and you
have come to an uneasy truce with it: it needs you to live, so it must protect you, and in this world of bodily horrors, you too may have to depend on it for your life.
Multi-Parasyte [200CP*] (Parasyte)
There are more parasytes attached to your host (or your body, if you are the host) than the usual one. Each parasyte takes up a different body part. No more than five parasytes in total may inhabit one human host body. They must not take up your brain if you are a Human Host, but may take up part of your head, or the front or back of your torso, though they can’t replace the
organs in your torso – they need these to live. They may be imported companions at no further cost (if they are imported companions, they must remain in separate companion slots). The parasytes may be Cranial or Body types (you can have any mix – Cranial parasytes can occupy limbs or Body Parasytes can occupy the head, in this arrangement) with 400cp to spend on perks each. Multiple-parasyte hosts may have coordination issues: your body will have at least two or three minds, each may have slightly different ideas of how to move.
Body Snatcher [400CP] (Parasyte)
Despite maturing in one body, parasytes can transfer to a new host if their current one becomes wounded. You do this easily; adapting to different nervous systems, blood types, body types or genders. A new human host body rejecting your parasyte form would be quite odd indeed. You can attempt to transfer to the body of another near-human species like an elf or Vulcan, but the more divergent the genetics, the more likely rejection is.
Sharing your blood and body with a host may grant them an array of your biological advantages, such as being a Hybrid if you have it. These advantages leave
once you stop being connected to them. As a human (or in human form) you are both a
universal donor, as well as a universal recipient when it comes to organs and blood.
Hybrid [600CP] (Parasyte)
Your parasyte has sent tiny fragments of itself throughout your human body, which have
incorporated themselves into your muscles and nervous system. You can draw on the extreme speed and strength that parasytes exhibit, allowing you to exceed human limits - moving faster than a blink to dodge or attack at parasyte speeds, running at speeds which can match cars, leaping much higher even than an Olympian, gain incredible sensory perception, and the strength to smash concrete walls and throw cars. These cells also provide your human body with the durability and regeneration to survive things that would pulverise a normal person, and incidentally correct any natural flaws your body might have (like near-sightedness).
(Editor’s Note: Human Host was originally one of the backgrounds, but because there isn’t a perk option for it. I’ve decided to just make it one. You may choose to have it anywhere except the heart, neck, and head. The parasyte will most likely be only 24 hours old. There is information on its traits on its Jump. For Multi-Parasyte, you must already have the perk Human Host.)"
0,Loud and Proud | Baby # [???] | Baby 6 [Gashadokuro] | Baby 5 [Gogou] | Baby 4 [Nine-Tailed Fox] | Baby 3 [Red Devil] | Baby 2 [The Big Tengu] | Baby 1/0 [Mermaid] [4500CP*],Amalgam of Distortion,"Loud and Proud [300CP] (Amalgam of Distortion)
Implanted into the palms of your hand is an experimental sonic weapon. Fueled by your own bioenergy, you can release massive sonic blasts that can annihilate half a forest in one shot. Be mindful of controlling the output.
Baby # [???] [300CP] (Amalgam of Distortion)
The power of Baby 5 involves the control of brain waves, allowing them to rewrite one’s memories freely. This also comes with the ability to manipulate electrical currents, and detect moving objects within a massive range of yourself. Use of this power is accompanied by circuitry-like growths all over the user’s body.
Baby 6 [Gashadokuro] [600CP] (Amalgam of Distortion)
The power of Baby 6 is limitless bone development. In other words, you’re able to generate an infinite number of bones of any shape or size from your body. You can only generate bones so fast, and stronger bones take longer, but you can grow and regrow bones without any limit, it doesn’t even take nutrients from your body to do so. You don’t seem to feel pain from sprouting countless bones outside of your body either. You can freely control your bones and the form they take. The physical changes that come with this power are the bones which jut out of your body when in use. You may also end up substituting lost body parts with bone.
Baby 5 [Gogou] [600CP] (Amalgam of Distortion)
The power of Baby 5 involves the control of brain waves, allowing them to rewrite one’s memories freely. This also comes with the ability to manipulate electrical currents, and detect moving objects within a massive range of yourself. Use of this power is accompanied by circuitry-like growths all over the user’s body.
Baby 4 [Nine-Tailed Fox] [600CP] (Amalgam of Distortion)
The power of Baby 4 comes in the form of nine furry tail-like tentacles sprouting from your back. You can control them all individually as powerful limbs, but there is more to them. Each tail has mouth at the end, and long prehensile tongues. The saliva of the tails can reconstruct the molecules of whatever it touches. These tongues let you mold matter like clay, like sculpting a stone into a sword, or licking someone’s face smooth to watch them suffocate.
Baby 3 [Red Devil] [600CP] (Amalgam of Distortion)
Use of Baby 3’s powers is accompanied by an eye in the middle of your chest, and various demonic traits. The power of Red Devil is to create Demonic Gates, portals that can connect two points in space, letting you traverse immense distances in an instant, or use them to teleport shorter distances in battle.
Baby 2 [The Big Tengu] [700CP] (Amalgam of Distortion)
From the palms of your hands, you can generate a strange black substance with properties that enhance gravitational vectors, allowing you to control gravity. In short, you can cause objects to fly, or force it in the direction you desire. You can even cause small buildings to levitate without your presence, or exert enough force to tear through steel. This can also be applied to create mini black holes called Unlucky Stars, that annihilate everything in their path until enough matter has been consumed. Using these powers to their full potential will cause two furry “wings” to sprout from your back.
Baby 1/0 [Mermaid] [800CP*] (Amalgam of Distortion)
You have the power of agelessness and immortality. Your body can regenerate from anything short of complete disintegration, and any foreign substances in your body are ejected over the course of 24 hours. You can even control severed body parts. Your regeneration also continuously replenishes your bioenergy, and without the risk of death or disability, can force high-risk medical procedures to succeed through trial and error. 	True Mermaid: For an additional 100CP, you are not the spawn of the first mummy,
but a human who dined upon the flesh of an actual mermaid. This allows you to give birth to monster children, akin to the ones used to make the Amalgams. They will always be stillborn, but their cells can be used to create abilities just as strange and potent as those of the Amalgams. You can decide whether you give birth to a monster or an actual living baby at conception.
(Editor’s Note: Check the Notes Section about Baby 3 & 5.)"
0,Blood Curdle | Transforming Arms | Vitality Stealing | Anivoice | Larceny | Multiplication | Binging Balls | Forcible Quirk Activation | Rivet Stab | Multi-Quirk | Mummification | Black Whip | Gas | Hydra | Transformation | Brainwashing | Dark Shadow | Erasure | Warp Gate | Decay | Overhaul | Cremation | Zombie Virus | Super Regeneration | Double | Sharingan [6200CP*],Generic MHA Fanfic,"Blood Curdle [100CP] (Generic MHA Fanfic)
This ability allows you to paralyze individuals by consuming their blood. The amount of time they remain paralysed will vary based on blood type. As long as the user's tongue touches the blood that is enough to activate the paralysis ability. The blood will still be effective regardless of where it is from or how it was taken. It is unknown how it would affect other species or those with divine properties however.
Transforming Arms [100CP] (Generic MHA Fanfic)
Transforming Arms allows its user to shape-shift their arms, allowing the user to have long-ranged, elastic attacks. The user can also split their arms apart to surround their target and launch multiple attacks at once. Depending on the user's fighting style, it may not be compatible with the intentions of the Quirk. For example complex martial arts can easily conflict with the elastic shape shifting effect. As a result this can create lag in the users' attacks.
Vitality Stealing [100CP] (Generic MHA Fanfic)
By making physical contact and then inhaling, the user can absorb the vitality of others, not only giving themselves more stamina, but also gaining an increase in size and strength. If the user is unable to make physical contact with his targets, then this Quirk is rendered ineffective.
Anivoice [100CP] (Generic MHA Fanfic)
Anivoice allows the user to communicate with and command animals through speech. This grants you a versatile suit of powers due to the diversity of abilities found within the animal kingdom. For example, bugs with their small size and burrowing capabilities are able to perform sneak attacks from underground, birds are useful for reconnaissance due to being flying creatures with great eyesight, and so on. Also this grants you an innate sense of what animals are saying. You will be able to understand animal language to some extent or receive information from the animals you command, but you can't communicate with any animal through intricate dialogue.
Larceny [100CP] (Generic MHA Fanfic)
Larceny allows the user to take any object that their target possesses, instantly bringing it into their hands. The objects that can be ""stolen"" include even manifestations of others' Quirks. Because of Larcenies effects, it grants a natural advantage against weapon users, such as armed policemen. There is a size limit to what you can steal from one's person, with large enough objects being impossible to take away. You are also unable to use the Quirk on objects that are outside of your line of sight, meaning that you would be left completely defenseless if your eyes become blinded.
Multiplication [100CP] (Generic MHA Fanfic)
This Quirk allows the user to grow and duplicate parts of their body all over themselves, giving them a multiplied increase in power depending on how many duplicates there are. Overusing this quirk though can make your body too bulky and greatly lower your mobility
Binging Ball [100CP] (Generic MHA Fanfic)
Binging Ball allows the user to release small floating spheres with mouths from their body. These spheres can be used as projectiles, moving at very high speeds. The spheres are also capable of ingesting materials, such as ice shards.
Forcible Quirk Activation [100CP] (Generic MHA Fanfic)
Forced Quirk Activation allows the user to forcefully activate someone's Quirk against their will. Whether the target is conscious or not, the Quirk will work without fail, thus giving the user a method to use their allies' Quirks without having to worry about their state. It also would be useful for screwing with your opponent if you wanted to.
Rivet Stab [100CP] (Generic MHA Fanfic)
Rivet Stab allows its user to generate black tendrils that have red prominent cracked lines that extend from the users' fingers, although they can also emerge from other parts of the body such as the spine. I would recommend buying this alongside Forcible Quirk Activation if you want to mimic All For One’s ability.
Multi-Quirk [200CP] (Generic MHA Fanfic)
While most of them are the result of very special circumstances it is possible for someone to have multiple quirks. This perk makes it so that later on as long as you can afford it you’ll be allowed to purchase multiple quirks. How they interact will be up to you. Also to clarify this will give you the ability to hold any amount of quirks. You just need to figure out how to acquire them whether you purchase them here or acquire them in a jump.
Mummification [200CP] (Generic MHA Fanfic)
Mummification allows the user to manipulate the red bandages they are wrapped in to ensnare inanimate objects that get caught in them and turn them into humanoid red mummies that they can control at will and make them fight for them. Although the limit number is unknown, the user should be capable of controlling a few dozen mummies at the same time.
Black Whip [200CP] (Generic MHA Fanfic)
Black Whip allows the user to produce tendrils made of energy from any part of their body and command them mentally. They can be used for a variety of purposes from restraining your enemies or to swing around like a discount spiderman.
Gas [200CP] (Generic MHA Fanfic)
Gas grants the user the ability to generate a poisonous, sleep-inducing gas from their body. The user is capable of producing a large amount of purple-colored gas, enough to completely fill The Beast's Forest. Anyone who inhales the gas directly will immediately fall asleep and remain that way until the toxin is treated. In addition, the presence and movement speed of anyone within the gas can be sensed by the user thanks to its fluctuations. The gas' concentration is highest at its center and loses potency in lesser affected areas away from the user. The gas swirls in a typhoon, completely centered around the user. Navigating through the gas is also very difficult, similar to a very thick fog.
Hydra [200CP] (Generic MHA Fanfic)
Hydra allowed the user to summon gigantic sea snake-like creatures from their back that they can control at will. The creatures are large enough to crush a person in their jaws. The amount of heads summoned will depend on the user’s capabilities. A weaker individual may only be able to summon a single head, but a more powerful individual could summon a dozen at once.
Transformation [200CP] (Generic MHA Fanfic)
With this Quirk, the user can shape-shift into another person's appearance after consuming some of their blood. It gives them the full ability to copy a perfect image of them, including tiny details. They can even replicate the voice of the person they've transformed into. This Quirk can only aesthetically transform its user into a perfect replica. The user cannot replicate their target's personality, knowledge, or other such details. These details must be discovered separately by the user if they wish to mimic their target exactly. The amount of time the user can utilize a particular transformation is proportionate to the amount of blood that is consumed. One cup of blood equates to roughly one day's worth of being able to be transformed into that person. If the blood of multiple people has been ingested, then the Quirk user can transform into any of them, and without having to return to their original shape between transformations. After undergoing an Awakening, Transform also allows the user to duplicate the Quirk of the person they transformed into, provided they have enough prior knowledge of said Quirk through studying and researching.
Brainwashing [200CP] (Generic MHA Fanfic)
Brainwashing allows the user to put their target in a state where they are forced to obey all of their commands. In order to activate their power, they need their target to verbally respond to something they say. Brainwashing does need to be willingly activated by the user, who can otherwise hold normal conversations with other people without brainwashing them. It is possible for the user to brainwash multiple individuals, but controlling multiple people at once makes it exponentially harder.  The quirk does have a variety of weaknesses though. You cannot order brainwashed targets to perform orders that require complex brain activity, such as talking or thinking, meaning it is impossible to make them write down information from their memory. You must keep his commands simple for them to be followed. Second, it will only work if the target verbally responds to you. Meaning it can easily be countered by someone who is aware of your abilities.
Dark Shadow [300CP] (Generic MHA Fanfic)
Dark Shadow grants the user a shadowy, monster-like being from within his body that he can materialize and dematerialize at will. Dark Shadow effectively acts like the user’s personal guardian, functioning as a living appendage that follows all of its master's commands. It is sentient, capable of speech, and loyally protects its host, regardless of the state it finds itself in. Dark Shadow is always connected to the user and unable to truly leave their presence.  Dark Shadow appears to possess the ability to change shape to some extent, as it can apparently extend the length of its arms and neck if so desired. It's said to be made of ""dark energy"", despite being a solid entity that can interact with the material world, but said energy has a limit, and Dark Shadow will retract into the user’s body when said limit runs out. Certain actions can make this energy drain out faster, like making Dark Shadow take too many opposing hits or having it distance itself too much from the user’s body. To recharge Dark Shadow, you must keep it shrouded from any source of light.
Erasure [300CP] (Generic MHA Fanfic)
Erasure allows the user to cancel out the Quirk of anyone they look at. When Erasure is activated, the user is able to disable a person's Quirk Factor until they close their eyes. Shota only needs one part of the target's body to be within his sights for Erasure to take effect. Since most people in the world rely on Quirks for combat purposes, this makes you an extremely bothersome opponent for anyone to deal with. In addition, as shown at the start of Tamaki Amajiki's fight with Toya Setsuno, Soramitsu Tabe and Yu Hojo, Erasure can be activated on multiple targets at once, and stays in effect even if the user looks elsewhere, as long as their eyes stay open. Due to your nature as a jumper you can extend this ability to any type of biological enhancement such as an X-gene.
Warp Gate [400CP] (Generic MHA Fanfic)
This quirk allows you to generate warp portals allowing you to teleport to various locations. The amount and size of the portals will depend on your skill and endurance. Optionally you may transform your body into a misty form similar to Kurogiri. Otherwise by default you will simply gain the ability to create portals.
Decay [400CP] (Generic MHA Fanfic)
The power is capable of rapidly decaying anything the user attacks causing it to crumble to dust. Whether the target is organic or not, Decay will work without fail. As such, this Quirk is extremely lethal against living beings, having their flesh rot away if hit by it. The speed of the disintegration has developed from slow to almost immediate, eventually spreading through their whole body if a victim doesn't amputate the decaying body part (Eraser Head was able to avoid this by erasing Decay before it could cause further damage to his flesh). It is also possible for the effect of Decay to spread beyond what the user has touched, creating a domino chain of disintegrated victims. At the peak shown so far it is possible to decay an entire hospital and everyone inside at once, even spreading to affect an entire city. The user can also prevent decay from affecting something if they don’t wish to target it.
Overhaul [400CP] (Generic MHA Fanfic)
This quirk allows you to manipulate and control matter. This can be used to rearrange and alter anything you are touching. Once the user takes a target apart, he has the option of either leaving it destroyed, restoring it to its original form or shaping it into something new. This process happens instantly and is effective on living and nonliving things alike. The user only needs one finger to make contact with something for his Quirk to activate, with the choice of whether Overhaul should affect only one select part of his target or its entirety being left solely to the user's wishes. The user can recombine two different objects or beings into a single entity that possesses components of both subjects (including Quirks). This is performed by holding both elements they want to merge with each separate hand. It's possible for a combined entity to further transform as well, as long as the user merges it with additional objects. If Overhaul is utilized on a person, it can heal any injuries or ailments they once had by reconstructing them to a biologically perfect state. This can be used mid battle to essentially give the user a healing factor.
Cremation [400CP] (Generic MHA Fanfic)
The user can ignite blue fire anywhere on their body with minimal effort or movement almost instantaneously. They can also combust anything they touch almost instantly, including robust minerals and living creatures alike. For example, by touching a single tree in The Beast's Forest, Dabi was able to set the majority of the forest ablaze, trapping everyone there in a ring of fire. The flames of this Quirk are extremely hot, burning at a temperature of at least 2,000°C (3,632°F), which is higher than that of lava and normal fire, signified by its blue coloration. Dabi's flames were hot enough to burn an entire group of villains into ash in mere seconds. They're also quite bright, making them effective against Dark Shadow. The flames are powered by the user’s emotions, particularly rage, so the greater your anger, the hotter your flames burn. As a final bonus to prevent you from ending up like Dabi your body will be improved to the point that you will be able to safely use the flames.
Zombie Virus [400CP] (Generic MHA Fanfic)
Zombie Virus enables the user to produce a pinkish gas that, when inhaled, temporarily transforms victims into zombies. Those infected gain the endurance of a zombie, increased strength, and the ability to pass along the virus via a bite. If a hero is infected by the gas, they can still use their Quirk and retain aspects of their personality. Their brains' function is a total zero when affected. They also moan and have bluish-gray skin. The only weakness is that normally the user is not immune to it. Meaning that the zombies created can attack and infect the user. Also anyone who has a zombie-like appearance will be ignored by the transformed individuals. For example All Might’s weak form was ignored when the zombies found him during the attack.
Super Regeneration [400CP] (Generic MHA Fanfic)
Super Regeneration grants the user the ability to regenerate any sort of injuries on their body, such as missing limbs, at incredible speeds. It is considered an incredibly rare and dangerous Quirk, thanks to its capabilities of making any of its users near invincible, able to recover from nearly any attack. There are some weaknesses however, the Quirk can not heal injuries that have already been cauterized by the time the Quirk is received or activated. In addition the regeneration can also become null if the user is beaten by their opponent faster than they can regenerate, whether that's through punches, fire, or disintegration. Lastly, if the user's body is not properly prepared, the regeneration process can also become a lot slower as a result.
Double [400CP] (Generic MHA Fanfic)
Double allowed the user to create a copy of anything, two at a time, through touch. With Double, the user can produce replicas of anyone to provide support in numbers. They do this by creating a dark-coloured, viscous fluid from his hands that forms into the person in question. In order to conceive a perfect clone, you are required to have knowledge of precise measurements and physical features of the person or object he was replicating. Doubles possess the same personality and abilities as the original, making it hard to distinguish them from the real person at a first glance. The copies only recall the memories of the last time they interacted with the user. Also the doubled clones are very weak physically. A single good blow can cause the clones to dissolve.
Sharingan [400CP*] (Generic MHA Fanfic)
The Sharingan is a powerful dojutsu possessed by the Uchiha clan. Purchasing this grants you it and optimally you may receive their bloodline. The main abilities it gives the user are the ability to see chakra, powerful perception, skill in illusion techniques, and the ability to instantly learn anything they observe. This does not extend to copying other abilities, but skills such as martial arts are an example of what can be learned. This is what you receive for choosing the 400QP option.
Mangekyo Sharingan: The 600QP option will evolve your eyes into the Mangekyo Sharingan. These possess similar abilities to the normal version, but to an enhanced degree. In addition it grants the user some powerful new abilities. There will be two unique powers based on the Individual such as Amaterasu, Kotoamatsukami, or Tsukuyomi. You may choose the two abilities or allow them to be generated based on your unique capabilities. This would also allow for the possibility of a new ability to emerge. Lastly they will gain access to Susanoo. This is both an incredibly powerful offensive and defensive ability. The only restriction is that without the Eternal Mangekyo, using these unique abilities will eventually lead to blindness if overused. To gain the Eternal Mangekyo you must either take the eyes of a blood relative ideally a sibling who also possesses the Mangekyo or purchase the option below. If they aren't in the right crossover world the first option may be impossible.
Eternal Mangekyo: The Eternal Mangekyo is offered for an additional 200QP for a total of 800QP. This will allow you to use your abilities to the fullest without worrying about blindness. You may also select an additional unique ability for your eyes. If those still aren’t enough then there are two more options. First you can pay for additional Mangekyou abilities including custom ones for 200QP each.
Rinnegan: Second, you may choose to receive the Rinnegan instead for 1000QP. This will not grant you the abilities of the Sharingan, but offers its own unique powers. There will be a link in the notes providing detailed information on the Rinnegans' powers.
Rinne Sharingan: Third, is the final option, should you purchase both sets of abilities then you may merge them into the Rinne Sharingan. To merge them you would need to buy them separately for a total of 1800QP. This will allow you to utilize all of the powers possessed by both eyes. In addition the abilities will be enhanced in strength even further. Lastly this will grant the user access to techniques such as Infinite Tsukuyomi and allow the user to travel to a personal pocket dimension. If you do not possess chakra then this ability will be powered by your stamina or any other energy sources you possess.
(Editor’s Note: I’ve removed the bonus of Multi-Quirk allowing you to have multiple of their abilities such as Stands for balancing at this price. The High-End perk will let you have this perk for free. Also all Quirks will be considered genetic abilities, as such will be classified as such rather than just abilities. Sharingan can, if you wish, be considered not a quirk.)"
