Cost,Perk Name,Source,Description
0,Touched by the Dark [300CP*],The Darkness,"You may not be the current host of the Darkness, but you’re close. In fact, you have a little bit of the Darkness within you. Enough that, in the dark, you can manifest a power. You can summon Darklings from the shadows to serve you. Unfortunately, only a few can be summoned at a time, and can’t go more than a few miles from you.
(Editor’s Note: Originally there were five power options that you can choose from, but in accordance to the Darkest Tome. You may only get the Darklings power for the first purchase. If you roll for this again or sufficient CP, then you may go and check the other four in The Darkness jump)"
100,Necromancy Trick,Fear and Hunger,"“With no living sinew to actuate them, will these walking bones may finally fail.”
You try to bring back life where it once lingered... Re-animating a corpse as a temporary ally
until it eventually decays beyond use."
100,Art of Control,Loop Hero,"With focus and will, your power essays a command to the bones of the dead, calling upon them to rise and obey. Dread armies lurk at your fingertips. Sort of, anyway. For a novice, controlling two skeletons at once is an upper limit, and even with skill more than a handful is tricky. That kind of focus doesn’t do much for your own combat potential, either."
100,Conjurer,TES: Magic,"Conjuration mainly involves summoning creatures from other planes of Oblivion, which doesn't appear in any other universes. Thankfully, you will retain your ability to summon various Daedra in future Jumps. And of course, you have made a summoner's pact with one of the Daedric Princes, allowing you to summon any Daedric entity under their command at a fraction of the cost."
100,Basic Sigils,Death Vigil,"Tattoos allow you to summon and bind a Unliving. The more complex the Sigils are, the more Unlivings it can summon, or the more powerful they are. The circles on the Sigils are where eyes will grow when they are activated. Which is probably why most Necromancers prefer to take their shirt off when they fight."
100,Demon Summoning,Shin Megami Tensei V,"Humans are so frail compared to Demons. However at the same time curious things can happen by their cooperation. Humans and Demons can hurt one another but also aid each other. As such you are able to make pacts with Demons, letting them fight for you. To recruit a Demon you must reach an understanding and likely hand them an offering. Once this bond is forged they will follow your commands in Battle. They can be stored and summoned, if
you possess them, from your own Magical reserves (similar to a Nahobino) OR from using an App which will now be downloaded onto your Phone upon purchase of this perk. Demons themselves however may also make use of this."
100,The Red World,House Of Horrors,"If the Black Fog is humanity's despair then the Red City is the last spark of hope humanity clings to deep in that despair. It is home to nightmares and specters, spirits bound by baggage and resentment unable to leave this world; it is a world that mirrors reality and is home to all of humanity's nightmares. When a human is brought to the very brink, when they have lost all hope they have a chance to open a door to the Red City and form their own world, a sort of subspace connected to another larger space with every door that is formed, the city grows ever larger and becomes home to greater and greater nightmares. Now, you can take this world with you in every jump you go to the Red City will continue to exist in the background, birthing monsters and nightmares born from humanity. Yes this means if you have the black phone it will send you to scenes to do with spectres, doors and the like just as it did with Chen age, give you scenarios as scary as the canon one but it will make settings as dangerous as this one."
100,Anima Summoner,Anima: Beyond Fantasy,"Mortals are not the only bearers of power. You know this well. Beyond the veil of mortality, past the blinders that the Church has cast over your eyes, there is something more. Something you can summon, control, and bind to objects. Beings that can change the world where you cannot. And if they prove to be... troublesome, you can banish them, casting them away from this world and back to their own. Of course, this is not an art to use without preparation, and you do not do so. You’ve learned true names of three beings upon
whom you may call, each either a Being from Between Worlds or a Spirit, and each willing to heed your call and work beside you without too much fuss. Note: This is usable even without the Gift.
(Editor’s Note: The name of this perk has been changed so it may not get confused with other similarly named perks. Also the true names of three beings have to originate from the Anima: Beyond Fantasy jump/world or from any of the jumps in the indexes. And finally please check the notes section of the Anima: Beyond Fantasy jump for information on not only terminology but also other specifics pertaining to the jump.)"
100,Necromancy,Fear & Hunger: Termina,"Resurrect a recently deceased corpse to fight for the caster as a mindless thrall. The number of simultaneous thralls that can be maintained depends on the caster’s affinity with Gro-goroth.
(Editor’s Note: Some of the spells from the Fear & Hunger: Termina jump exist as perks in TDT: D&D Part 1. But from the Fear & Hunger jump.)"
100,Necromancy,Fear & Hunger: Termina,"Resurrect a recently deceased corpse to fight for the caster as a mindless thrall. The number of simultaneous thralls that can be maintained depends on the caster’s affinity with Gro-goroth.
(Editor’s Note: Some of the spells from the Fear & Hunger: Termina jump exist as perks in TDT: D&D Part 1. But from the Fear & Hunger jump.)"
200,Necronoticon,Soul Eater,"A spellbook containing spells for summoning and creating weak to moderately strong undead. Contains information like required chants, necessary sacrifices and such. While most everything you summon is on the lower end of the spectrum and not a true threat to
someone of real competence, numbers can make just about any bargain bin undead dangerous."
200,Basic Necromancy,The Elder Scrolls Series,"Necromancy isn't looked upon in a positive light, but it's practitioners appreciate the power it brings. You are a skilled necromancer, knowledgeable in summoning spirits and binding the dead. You can also permanently reanimate bodies and summon powerful undead from the Soul Cairn.
(Editor’s Note: I had to change its original name for it would be confused with other perks.)"
200,Black Bird Manipulation,Jujutsu Kaisen,"As the name suggests, Black Bird Manipulation allows the user to imbue crows with cursed energy and control them at will. The user can manipulate multiple crows at the same time from an extended range away from themselves. Additionally, the user can also share vision with the birds, making the technique perfect for surveillance. The crows are absolutely obedient, so they can also be used offensively, even at the cost of the bird's own life.
(Editor’s Note: May need the Cursed Energy freebie for it to function.)"
200,Army of the Dead,Shrike Twilight Legacy,"You’re able to curse dead bodies to return to unlife as your servants, including the bodies of
animals, monsters, and even plants with a bit of creativity. You can maintain as many as you
can raise, but if you raise too many at once or something too powerful you’ll need to rest
afterwards to recuperate your magic power. Also, you should be aware that most decent folk
don’t take too well to the desecration of the dead. Expect to be run out of town if you’re
discovered, and for them to bring out the torches and pitchforks."
200,Summon Minion,Hellgate London,"By focusing your will through a focus you can summon a Carnigor demon, a Carnigor is a mix between a rhino, an armadillo, and a boar with razor sharp shark-like teeth. Depending on the quality of your focus and the amount of mana you posess your minion could range from the size of a dog to the size of an armored truck. Carnigor demons are stupid but loyal."
200,Death's Commander,Generic Necromancer,"While you may or may not be able to animate the dead on your own, you are able to take control of existing undead and put them under your thrall. You have a specific capacity for control that is filled as more undead fall under your sway. Once this capacity is filled entirely, you cannot take command of more undead. The more intelligent and powerful an undead is, the more it fills your capacity. This does not work on undead of human level intelligence. With time and practice, you can increase the level of capacity you possess."
