Cost,Perk Name,Source,Description
0,A Hearty Breakfast | Shadows of My Own | Hazy Reflection [450CP*],Kingdom Hearts,"A Hearty Breakfast [50CP*] (Kingdom Hearts)
Should you find you don’t have quite enough Hearts to make the form or summon you want; you can buy more for 50CP per 1 extra Heart.
Shadows of My Own [200CP] (Kingdom Hearts)
Your very own Custom Heartless minions! You can summon copies of your Custom Heartless, taking more energy to get more of them the bigger they are. A dozen or so small or tiny ones at most, about half that for medium sized. If your Custom might only get two or three at once, and you can only call upon one huge Heartless at a time.
Hazy Reflection [200CP] (Kingdom Hearts)
You can now summon your very own Custom Nobody! Here, take these Hearts to design it using the options in the Nobody Customization Supplement. The quantities you can summon at a time depends on their size, as listed in the Supplement. You can use these Hearts to ensure they meet your specifications, but you can’t use them in the Heartless section.
(Editor’s Note: You are given 15 Hearts per perk to use in the Heartless or Nobody Creation Section of the Kingdom Hearts jump.)"
0,Stand [200CP*],Jorge Joestar,"You’ve ignited a fire within your being, granting you the power of a Stand Master! Your fighting spirit and soul formed into a being or ability called a Stand to aid you in battle. A Stand is a mighty ability to have and no two Stands are alike. Indeed, even categorising the things is a difficult task. What your Stand manifests as is entirely up to you, though activating one does come with a cost in points. To gain a Wound stand will only cost you 200CP given the inherent disadvantages to it. Any other type of Stand will cost you 300CP to take, with the exception of Beyond stands, which are limited to a certain perk later on and may not be bought through this option. To guide you and inform you on what Stands are, what they can do and the many ways they can manifest, please refer to the Stand Guide at the end of this document which will helpfully explain everything you could want to know about Stands.
(Editor’s Note: You could receive Wound instead of a Stand. More information on Wounds in the original Jump.)"
0,Stand [200CP*],Jorge Joestar,"You’ve ignited a fire within your being, granting you the power of a Stand Master! Your fighting spirit and soul formed into a being or ability called a Stand to aid you in battle. A Stand is a mighty ability to have and no two Stands are alike. Indeed, even categorising the things is a difficult task. What your Stand manifests as is entirely up to you, though activating one does come with a cost in points. To gain a Wound stand will only cost you 200CP given the inherent disadvantages to it. Any other type of Stand will cost you 300CP to take, with the exception of Beyond stands, which are limited to a certain perk later on and may not be bought through this option. To guide you and inform you on what Stands are, what they can do and the many ways they can manifest, please refer to the Stand Guide at the end of this document which will helpfully explain everything you could want to know about Stands.
(Editor’s Note: You could receive Wound instead of a Stand. More information on Wounds in the original Jump.)"
100,Vermintide,Generic Necromancer,"Insects, rats, crows, and other carrion eaters are attracted to the dead, and so to are they to you. You have an innate connection to scavengers and animals attracted to decay and rot, such that you can effectively tame and train them, even if they would otherwise be untameable and untrainable, as would be the case with flies and most other insects. Supernatural beings associated with the concepts of decay, rot, and similar are also inclined
towards you. This effect stacks with One of the Dead."
100,Proteges,ULTRAKILL,"While perhaps you aren’t an engineering sort, your model has the unique capability to generate and deploy several flying drones with access to metal and excess blood. While not that strong in combat with only a slow charging triple blast of energy, these little flying
eyes can be seen through and controlled like extensions of yourself, allowing one to scout areas ahead. An invaluable tool in dangerous places, especially those like Hell. In addition, when fatally damaged, the drones will rocket themselves into the nearest foe they look at before exploding, proving useful even in death."
100,Trace the Blood,Jorge Joestar,"Even centuries after you birthed their ancestors, you can still recognise your blood when you see it. Your descendants, direct or distant, are plain to the eye when you look for them, recognising them the moment you see even an image of them. And in person? They seem unnaturally submissive to you, at least for whatever type of person they are normally, and you’ll find it much easier to impress your will upon your descendants. Those of strong wills, the worthy ones, may be able to resist you but the weak willed runts will be like frozen deers in headlights when you appear before them."
100,Trace the Blood,Jorge Joestar,"Even centuries after you birthed their ancestors, you can still recognise your blood when you see it. Your descendants, direct or distant, are plain to the eye when you look for them, recognising them the moment you see even an image of them. And in person? They seem unnaturally submissive to you, at least for whatever type of person they are normally, and you’ll find it much easier to impress your will upon your descendants. Those of strong wills, the worthy ones, may be able to resist you but the weak willed runts will be like frozen deers in headlights when you appear before them."
200,Astral Beast,Adventure Time Jump,"By focusing your energy and relinking one or more of your senses, you can visit the astral plane to summon your astral beast, which will follow your commands. You can also allow it to be commanded by those close to you. May or may not manifest as hundreds of butterflies."
200,Spirit Medium,Generic Necromancer,"You have the ability to call up the spirits of the dead to aid you in times of need. By binding a spirit to yourself or cultivating a positive relation with the dead you call upon, you can command or request aid from them, either having them perform a task in some manner, granting them the ability to interact with the physical world to a degree, or channeling them to gain access to some of their knowledge and/or abilities. Channeling multiple spirits at once, especially if they do not like you, can be straining and have a variety of negative consequences, so do be careful with the spirits you channel."
200,The Gods Are Not Gone Yet,WHF: Tomb Kings,"Many of your fellows believe that the Gods of old Nehekhara have long since abandoned their people. Magic is left and the spirit world is still plainly visible to those who would look but the cynical eyes of some priests believe that they are just remnants left by an uncaring pantheon. You know differently. They are quieter perhaps, more wary in these times of Chaos, but the Gods of the desert stand aside its people as they ever have. When you call out to them, they notice and answer. Never will you be ignored or noticed and dismissed as irrelevant. So long as some form of deity is out there, you know how to contact them and how to get them to answer. This provides no assurance that they will not respond in anger or contempt, so be sure to bring many lavish sacrifices to appease them."
