,CP Cost,Name,Jumpchain,Chapter,Description
1,100,Family properties,Cradle V1,Domain,"You gain a series of properties that your family uses to train the whelps. Some are hunting grounds, some are foundries for sacred items, and some are places to contemplate your path. You gain 8 of them, split between any purposes your family used them for. You can travel to them instantly via the warehouse."
2,100,Spirit Farm,A Will Eternal,Domain,"What every good sect needs is an area that they can grow and raise the more domestic
variety of spiritual fauna and flora. Adventuring to gain rare resources is all well and good,
but they also need a stable income of cultivation material. This is your one. A moderately
large area of farmland. There is space for farming crops, though do try to look after the soil
for the results. There is also grassland for animals, complete with a chicken pen filled with a
plethora of spirit tailed chickens which are delicious to eat, helps with your cultivation, and
whose feathers can be burned to produce two-colour flames. Renovate this grassland as
you wish to take care of different farm animals."
3,100,A Hidden Manse,Generic Exalted,Domain,"Now we're talking. You get a Manse, the Manse of course
being a piece of land that is somehow magical in some fashion or another. They're aspected
towards a certain type of Essence, either elemental essence such as Wood, Water, Earth, Fire,
or Air or alternatively they're aspected towards the Celestial elements such as the Sun, Moon,
Stars, or even Infernal or Abyssal (which are quite rare normally). Aside from being a spot of
land that you now own (as long as you can protect it) a Manse also produces a Hearthstone.
Hearthstones, when socketed into certain weapons/armor/amulets, provide both unique magical
effects and act as channels of the Manse itself allowing for vastly improved regeneration of
Essence. Did I mention you also regenerate Essence faster while in the Manse? Yeah, you do.
Anyways there are far too many Manses to actually list here in this document so we'll just go by
price. For 50cp you can get a 1dot manse. For 100cp a 2dot. For 150cp a 3dot. For 300cp you
can get a 4dot. For 600cp you can get the most powerful manses at 5dots. You can choose any
Manse you want from the Core books or official supplement books for Exalted that you have
paid the appropriate cost for.
Of note is that while you can have more than one Manse only ones you purchase here will
follow you between jumps, inserting themselves flawlessly into new worlds (or as an addition to
your Warehouse, your choice either or). Additionally you will need at least one open hearthstone
socket for every hearthstone you have if you want to make use of them. Manse's can range
from the size of a small forest clearing to the size of a reasonably large nobles estate (call it 100
acres), you choose what size yours is, the more expensive the Manse you bought the bigger it
can be."
4,200,Treasure Halls        ,Cradle V1,Domain,"You gain 3 treasure halls from an average school in this world. The lesser treasure hall will make the average cultivator salivate, and the middle and greater treasure halls will be far greater than those. Doesn’t update but will refill with anything you use or break at the start of a new jump."
5,200,Gourmet Realm,Toriko,Domain,"With that perk Gourmet Cells act as a gateway to their own part of Realm where one could wait for an appropriate moment to emerge from it once more. That Realm has some unknown connection to the Realm of Souls. Also it will easily indicate growth of one's own strength, by becoming more complex."
6,200,Clock Tower,Saint Seiya : The Original Series,Domain,"A sizable clock tower with an aesthetic design of your
choosing, it will display nine flames - representing the life force of yourself and your
companions. The flames will shine brighter when one is in combat or a struggle of some kind, or
dim if they (or you) are in danger or on death’s door. Should you look into one of the flames, you
will see a hazy vision of where the person the flame represents is and what they’re doing. You
may attach this to any property you own or simply attach the clock by itself to your Warehouse."
7,200,Fancy Mansion,Saint Seiya : The Original Series,Domain,"A luxurious, three-story mansion fit for a king! Or
someone with way too much disposable income. It has all the basic amenities one could ask for,
as well as a household full of servants to maintain it and cater to whatever you happen to need.
These servants don’t follow you between jumps, but each new batch will have the same
knowledges as the previous ones - though they don’t do much besides housekeeping and
managing the mansion."
8,200,Vital Blood Fountain,A Will Eternal,Domain,"A strange, almost organic looking fountain in the shape of a large cracked finger the size of a
normal man. From the fissures of this fountain endlessly flows Undying Blood, the blood of
cultivators of the Undying Live Forever codex, within which powerful vital energy can be felt.
Surrounding this finger is a meter deep and meter wide basin into which the blood falls.
Absorbing this blood helps with the replenishment and cultivation of vital energy, a key
component in body cultivation. Utilising this fountain is sure to speed up body cultivation
several fold."
9,200,The Underhaus,Abyssals Exalted,Domain,"Your very own Underworld. Or at least, a slice of Underworld for yourself. For 200 cp, this
adds an Underworld layer to your cosmic warehouse, taking on the appearance of a dark
reflection of your existing warehouse, seen through the lens of death. Located ""below"" your
warehouse in the same way that the greater Underworld is below the living world of
Creation, you may designate parts of your warehouse to be small, enduring shadowlands to
access this Underhaus more easily. Here you may respire necrotic essence, interact with
ghosts and immaterial spirits, and store things that cannot bear the light of the sun.
Alternatively, if that isn’t enough, you may pay a full 600 cp and get something much more
expansive. Instead of merely receiving a dark mirror of your warehouse, each of the various
attachments, properties, and lands that follow you will have underworld reflections of their
own. These properties shall sit as anchors within the world and each of your properties, in
whole or in part, may be made into shadowlands to lead down into this greater Underhaus.
Connecting all of these disjointed underworld landmarks will be an underworld appropriate to
the world they stand in, a dark world that gains solidity and detail from the memories of the
dead. Where none have lived or died, the terrain is grey and nearly featureless phantasms.
But where many people have lived their lives and breathed their last, this underworld is filled
with dark reflections and remnants of what has been lost. Primeval forests that have since
been cut down and burnt for farmland, the remnants of cities lost to war and villages lost to
plague, and whatever else has been lost to the sands of time in the world you find yourself
in. The population of this underworld, aside from any followers you bring with you, would be
composed merely of plasmic creatures and echoes of the dead, not true ghosts of the
natives. However, once established below a world, the dead of that place may choose to
resist the call of whatever fate would normally remain for them past death, to linger within the
Underhaus as ghosts."
10,300,Mountaintop School,Desolate Era : The Three Realms,Domain,"Cultivators, like all other intelligent beings, tend to band
together in sects or schools. This property is a mountaintop compound capable of housing about
fifty thousand people, and can act as a school and area to set up a superpower like Snowdragon
Mountain. After this jump, the compound will follow you, either placing itself on a mountaintop of
your choosing or staying in a mountain-sized pocket dimension. You can remove it from this
pocket dimension and place it on a mountaintop whenever you wish."
