,CP Cost,Name,Jumpchain,Chapter,Description
1,50,Prince of Hell,Infernals Exalted,Destruction,"The Infernal Exalted are wicked princes, blindingly radiant in the awful glory of the Demon
Realm. In the Yozis’ names, they will wrest Creation from the usurper gods who stole it and
the caretaker Exalted who continue to squabble over it.
Fittingly then, you may focus your anger into projecting an aura of menace to shake your
enemies’ resolve. Alternatively, you choose to gain the ability to assume an air of graceful,
yet alien nobility to express your nature as a Prince of Hell. Or project an unnerving
wrongness that is palpable in your every movement and agitates those who look upon you,
akin to the alien wonder of the demon realm. You may buy this up to three times, gaining
ones of these auras per purchase."
2,100,Martyr,Kill 6 Billions Demons,Destruction,"So many people die without getting anywhere. Most people died expecting something great, only to be let down and alone in their last moments. But at least you can bring them down with you. If you were to die, you would kill the person who killed you. No matter what protection a person has, if you die, they die. However, this only works when you are killed by another sentient being: jumping off a cliff, nor slitting your own wrists, will work."
3,100,Hard Bitten,Kill 6 Billions Demons,Destruction,"One of the flaws of fighting with your own body is how fragile your form is, with the flesh ripping and bones breaking after a few strikes on the enemy. Not anymore. Now, you can no longer wound your own body by striking something too hard, or too often. This isn’t to say you are gonna survive your body being overloaded with energy, nor is it gonna protect against external attacks, but you no longer have to worry about hitting something too hard."
4,100,Rage,Kill 6 Billions Demons,Destruction,"Like any beast, you can go into a berserker rage. You feel no pain, can take much more punishment, and brutalize your enemies even more than usual. However, when you are out of this rage, all the pain and damage you ignored will come flooding in a single moment."
5,100,"Wasp’s Sting",Baki The Grappler,Destruction,"Like a bear trap, you can prepare your unconscious body to strike anything that gets too
close. If you’re suddenly knocked unconscious in battle, this will be a one-time lethal
attack using all your might. If you’re just sleeping normally, it’ll be a much weaker strike,
that’ll knock out just about anything that would try to touch you. Togglable. "
6,100,Chill of the Grave,Saint Seiya : The Original Series,Destruction,"Fear of death is not merely a sign of cowardice - it is
the way things should be. And no one embodies death better than the servants of Hades
himself. You are intimidating and imposing, able to inspire fear in weak hearts and wary caution
in the strong. You may even have an aura of gloom and icy cold air around you to emphasize
this, should you so wish it."
7,100,Slaughter Mode,Bleach,Destruction,"With a few modifications, even a normal child can be made into a deadly warrior. A few spiritual
alterations and a new state is unlocked, a mental mode that can come over you when hostilities
arise. Provided you don’t hold yourself back, you’ll enter a trance state that enables you to fight at
full efficiency. Fear, worry, kindness and any sort of risk erased from your mind as you are turned
into a perfect killing machine. Pain and damage won’t slow you down as your mind sharpens to the
best uses of what you have available, as well as to how best to cause damage to anyone in your way.
It’ll help you fight at the best you can without character flaws getting in the way but it can also make
you recklessly pursue foes until destruction, especially without an ally to pull you out early. Who
knows what Urahara was thinking, doing this sort of thing to kids."
8,100,Blood Reaper,Bleach,Destruction,"You kill, you die, you live, you kill, you die. The cycle continues forever and the only thing that’ll
remain the same is death. Why not have a little fun along the way? If you let it, the fight for life will
really start getting your blood going. It’s a whole lot easier to push yourself further and ignore the
pain when you’re having such an absolute blast butchering everything in front of you. This bloody
way of life you can let yourself indulge in heightens your instincts in combat, naturally guiding you to
cause more damage and fight on longer. The natural intent you can put into every blow can even
leak into your Reiatsu as it emits, shaping it into a fearsome shape. "
9,100,Stealth Efficiency,Naruto - Ōtsutsuki Clan Jump,Destruction,"The strong rules the weak, so how can the weak
defeat the strong? Like how two brilliant NEETs from another universe always say,
the weak’s weapons against the strong are their intelligence and strategy, not their
power. Apparently, you learned a different lesson from this ideology: no one,
regardless of their power, can prepare themselves from an attack they don’t know is
coming, including those stronger than you. Your attacks are twice as effective and
powerful when used against an unadvised opponent, but this power boost loses its
effect once they perceive your presence. This is perfect for a first surprise attack to
end a fight before it starts, letting even a weaker servant defeat a stronger master."
10,100,Finishing Move,Dragon Ball,Destruction,"Finishing moves also known as super moves are powerful techniques that draw out the
user's power. These techniques typically must be charged up, but they allow the user to
unleash power far beyond their limits. For example, some of the Z-Fighters super
moves could multiply their attack power by 300%. This perk allows you to supercharge
your techniques as well. This is mainly done by gathering energy to condense the skill.
Additionally, the longer you charge the attack the stronger it will grow. Though it may
become difficult to contain after a certain point."
11,100,Blood Demon,I Shall Seal The Heavens,Destruction,"You have the ruthless bloodthirst and sheer ferocity that would make you fit right in with the
Blood Demon Sect.
When you want to be, you’re an incarnation of slaughter and massacre given form, a
murdering, slaying demon who could kill hundreds or thousands without a hint of hesitation or
scruples. Going into this mode is a mental switch for you to flick, and even in the depth of your
madness you retain enough rationality to flick it back, but until you do... worlds beware.
As a direct effect, you also gain an aura that follows you, a subtle yet overwhelming air of
blood and death, inspiring terror and awe in all that behold you. The more you kill and maim,
the stronger this aura grows, until you could start subduing nations and ending wars just by
showing up."
12,100,Steel Loosing Hand,One finger Death Punch,Destruction,"Death Punch is an accurate art, even when using melee weapons in unconventional ways. You can
throw such unwieldy weapons as if they were perfectly balanced. Practice may even cause their
weapons to ricochet in deadly angles, axe heads, clubs and spears spinning in deadly trajectories."
13,100,Foe Weakening Focus,One finger Death Punch,Destruction,"Death Punch turns weak foes into chaff, and with focus you may find even experienced martial
artists vulnerable to your touch. This meditation requires significant exertion to activate."
14,200,Squash the Dog’s Back,Kill 6 Billions Demons,Destruction,"There must be something in you, because when you strike someone, you hit hard. Your attacks seem to have a gratuitous amount of gore and bloodiness to them, and it is even more painful than the attack would have been normally. While it also boosts the damage you do to people, it’s not by much."
