,CP Cost,Name,Jumpchain,Chapter,Description
1,Free,Combat Method,Street Fighter,Martial Art,"Almost everyone in you encounter in this world will have training in a
martial art, from normal styles like wrestling or karate to more esoteric styles like Turkish oil
wrestling. Think of this perk as evening out the playing field.
 You may select any one mundane martial art and gain moderate skill and training in the art of your
choice. Not true mastery though, for the road to mastery is a long and difficult one. For 100CP each,
you can get knowledge of another fighting style granted to you, but not the training, requiring you
do that on your own time."
2,Free,Basic Training,Saint Seiya Lost Canvas,Martial Art,"Either self-taught or trained for it, you have basic training with you armor, cosmo, martial and intellectual skills, special techniques and perks, whatever their level is. In addition, your sixth sense, a strange mix of supernatural sharp instinct and basic cosmo awareness, has been honed alongside your training.
In practice this counts as 2-3 year of dedicated training and a handful of real situation encounters prior to your jump start. "
3,Free,Fighter ,Tales Of Demons and Gods,Martial Art,"The fools at the top judged you had no talent,
this judgement was based solely on your Soul Realm color. You
get stuck with a Red Soul Realm. As such, you are enrolled as a
Fighter in the Holy Orchid Institute, provided you are in the age
range necessary. You, additionally, know a special martial art that
was taught to you by your family, it is not incredible, however.
Legend Rank Fighters have skin stronger than steel and can lift
over 1250 kilograms on each arm, but are still a far cry when
compared with Spiritualists."
4,Free,Mantis Style,One finger Death Punch,Martial Art,"Modelled from the movements of the aggressive praying mantis, created by legendary
Shaolin Monks. This style uses hooked hands and whip like deflections with momentum to strike
vital spots and nerve clusters. Speed and continuous attacks are paramount here."
5,Free,Drunken Fist,One finger Death Punch,Martial Art,"Descended from the legend of eight drunken immortals, this style resembles the
movements of a drunkard, with misdirection and feints forming the core. Masters fight tipsy to
loosen their movements and soften their muscles, increasing improvisation and unpredictability."
6,Free,Flying Crane,One finger Death Punch,Martial Art,"One of six Shaolin Boxing schools, it imitates the movements of a white crane. This
style emphasising standing kicks, evasive manoeuvres and exploiting weakness without the need for
great strength behind your blows."
7,Free,Eagle Style,One finger Death Punch,Martial Art,"Taught by Shaolin Monks to fight an invading army, this style imitates an eagle’s claw.
Forming a system around joint locks, pressure points and takedown strikes, this style also
incorporates long range strikes and high jumps."
8,Free,Tiger Style,One finger Death Punch,Martial Art,"One of six Shaolin Boxing schools, this school focuses on the aggressiveness and savagery
of a tiger. Based around striking, it makes use of extensive footwork, acrobatic stances and fist
strikes coupled with explosive power, strong muscles and physical prowess."
9,Free,Capoeira,One finger Death Punch,Martial Art,"Developed by Brazilian slaves in secret, disguised as a dance, Capoeira is a visual spectacle.
Very athletic, this form mixes acrobatic spins, kicks and leverage to deadly effect."
10,Free,Bajiquan,One finger Death Punch,Martial Art,"A legendary Chinese killing art, this school is famous among bodyguards and assassins.
Performing strikes with elbows, shoulders, hips and other extremities, explosive force renders most
foes incapable of reaction."
11,Free,Taekwondo,One finger Death Punch,Martial Art,"Korea’s kicking art, focussed almost entirely on the feet. Incorporating evasion,
footwork and aerial jumps, all to position for deadly spins, head strikes and fast kicks."
12,Free,Silat,One finger Death Punch,Martial Art,"Developed in South-East Asia, this speed focussed art includes weapons and music in training.
Low stances, dance-like movements and internal rhythm all contribute to the effectiveness of silat."
13,Free,Jeetkunedo,One finger Death Punch,Martial Art,"Founded in modern times, this hybrid school is a true everything-goes style. Using all
forms of strikes and bodily movements, practitioners seek formlessness and no limitations. It draws
inspiration from Wing Chun, Kickboxing and Fencing."
14,Free,One Finger Death Punch,One finger Death Punch,Martial Art,"Does not matter how fit or unfit you are, a lamb may lay low the lion with this technique. You can kill
or incapacitate the average man with a single blow, although it must land. Stronger and more
cunning opponents may dodge these attacks or require multiple strikes to fell. It is also a powerful
defensive technique, time seems to freeze a split second when the fighter is hit. Using weapons with
this technique untrained causes them to break under the strain, your body is unaffected thankfully."
15,Free,Stunt Master,Generic Exalted,Martial Art,"You are a master of stunting. Any time you try to do something
amazing the world will conspire to make your attempted stunt just that little bit more dramatic
and incredible. Maybe there just happens to be a rope to let you swing across the ballroom
dramatically as you make off with the nobles treasure, or maybe there's just the right amount of
handholds and footholds on two opposing walls, at just the right distance from each other, that
would allow you to dramatically wall jump your way up.
So long as you strive to do things in an amazing and/or over the top fashion you will be slightly
rewarded for doing so, Fate conspiring to make you that little bit better at whatever you're doing
because apparently Fate is really fond of over-the-top action sequences. You can still fail when
you're doing over the top stuff though, so don't get too out of hand, this just represents a
slight-to-moderate increase when you're purposely trying to be amazing."
16,50,First style,History's Strongest Disciple Kenichi,Martial Art,"All who enter this world know at the very least the basics of their chosen martial art as well as its various strengths and
weaknesses. The more styles you choose to study, the longer it will take to incorporate them
into a cohesive and usable whole. You may also choose any real­world martial art . You will however remain a novice in your style unless you can somehow obtain a master or worthy sparring partner."
17,50,Daoyin Massage Technique,Tales Of Demons and Gods,Martial Art,"This ancient technique
was forgotten by modern people. By focusing your Soul Force in
the palms of your hands, you can heal superficial wounds, and
heal damage done to a person's Soul Realm by a small amount.
Also works great for giving relaxing massages. Post-Jump this
gives you the ability to heal metaphysical injuries other beings
might suffer from, but the effectiveness diminishes for a given
injury the more you use this Perk"
18,100,Path of the Storm Lance,Cradle V1,Martial Art,"A path of storm and force madra that focuses entirely on striker and forger techniques to destroy the enemy before they can resist. There is no problem this path can’t solve with a giant explosion.

"
19,100,Path of the Void Blade,Cradle V1,Martial Art,"Users of this path of shadow and sword forge black swords of darkness and can affect both the real and spiritual world with their attacks. One technique is the nine blades of the underworld, where 9 black blades stab up in perfect circle to skewer an opponent from every direction. Gold sign is a spinning black halo that hovers around the head and cuts anything that gets near it. Pillows beware.

"
20,100,Path of the Sandviper ,Cradle V1,Martial Art,"Poison. The sand viper path imbues every strike they use with poison madra, corroding the bodies of those they attack. A path that uses bows and spears to attack and can multiply such strikes with forger techniques.

"
21,100,Path of the White Fox,Cradle V1,Martial Art,"Light and Dream Madra. This path is great for illusionists, as those who walk this path can confuse all 5 senses, create lifelike body doubles, and burn the mind with fox fires. Practiced by the Wei Clan

"
22,100,Path of the Flowing flame,Cradle V1,Martial Art,"Fire and Water. You make fire dance in ways it never normally would. Example techniques include making fire form into forged whips and jets to boost mobility. This is a tricky path taught to the orange dragons.

"
