,CP Cost,Name,Jumpchain,Chapter,Description
1,Free,Alchemist,Tales Of Demons and Gods,Mystic,"Alchemy has lost a lot of power, over the
years, the alchemical formulas have been lost, and knowledge
has been irreparably damaged.
You were born to a family that still saw value in alchemy and
as such trained from a young age in the secrets of medicine.
Maybe you plan to take upon yourself the duty of restoring
Alchemy to its prime?
Can choose any Soul Realm Color up until Yellow."
2,Free,Demon-Slaying Tunes,Demon Slayer,Mystic,"Every superhero needs their theme music...but you aren't a superhero. Instead, you're an epic swordsman or powerful demon, and as such, your music reflects that, as well as the power of anime music teams. You have a personal soundtrack, including your favourite Demon Slayer songs and some custom tracks in the same style, that you can toggle on and off at-will. Oh, you already have soundtrack perks, you say? Well, no problem - just add these tunes into your playlist whenever you want!"
3,100,Coat of Scars,Kill 6 Billions Demons,Mystic,"Some scars look cool. Some look ugly. But, regardless of what people think they look like, they are generally useless in a fight. At least, to other people. For you, the more scarred and damaged a place is, the more durable the area is."
4,100,Sphinx's Curse,Saint Seiya Lost Canvas,Mystic,"A cunning and wicked creature, one you share a trait with now. At will, you can emit an aura around you that slightly weakens everyone but you in a 10m or so (at first), enough to give you an edge in a tie. It however affects everyone, ally or enemy, and those with a pure heart (either 100% good or 100%  evil) are immune."
5,100,Elemental Proficiency,Saint Seiya Omega,Mystic,"In the wake of the cataclysmic clash between Athena and Mars thirteen years
ago, a profound shift occurred in the powers bestowed upon the Saints.
Henceforth, each Saint gained the ability to manipulate at least one element,
tapping into the primordial forces of nature with newfound mastery. Among the
elemental choices available, including fire, water, earth, lightning, wind, light, and
darkness.choses one."
6,100,Giant's Will,Saint Seiya Episode G,Mystic,"Much like the giants of old, you have a connection beyond the norm with an aspect of nature. Perhaps lightning, perhaps lava or perhaps the dirt or stone. Your chosen aspect is something that you are able to create and control through your cosmo, as well as to feed on that aspect in order to replenish your own energy, particularly given this manipulation of nature has no cost to you. Your powers over it will grow as your cosmo does and you may buy this multiple times to receive more than one such aspect. Taking this also gives you an intimate connection with nature around you, such that you are always far more aware than any human could possibly be of the natural life around you."
7,100,Painting the Battlefield,Demon Slayer,Mystic,"Let's be honest - the thing that makes Kimetsu no Yaiba such a masterpiece, at least in its anime incarnation, is the fight scenes. More specifically, watching the Demon Slayers at work, with their awesome visuals attached to their stylized Breath Techniques. This perk, provided free for the duration of this jump, not only lets you see this amazing stylization, but also lets you distinguish between different fighting styles with a moment's glance! So you know why the Fire and Insect Pillars are actually called those things and demonstrate the fundamental truth that you can look like you're swinging a sword the same way as your friend with a different style, and those swings are completely different. Besides, if you know an enemy's style, you can be better prepared to counter it, right? This may not work with gun-toting goons, but any character with a unique fighting style will be affected."
8,100,Ghosts in the Fog,Demon Slayer,Mystic,"Sometimes, you can talk to ghosts. The exact conditions are kind of vague, but the basics are determined by you when you take this perk, as the ghosts need a certain medium to be visible. So, you get three choices of ""places ghosts might show up to talk to me,"" and these can be asvague as ""pools of water"" to as specific as ""clouds of fog rolling through tall mountains while I'm training."" If you want, you can even have multiple choices be the same thing, because in and of itself, this perk doesn't toggle; if a ghost could show up, there's a 90% chance there will be a ghost there, and some might not stop following you once they realise you can see them..."
9,100,King of Flames,Gourmet Of Another World,Mystic,"You might not think that control over flames is necessary, but it actually is a critically important skill for chefs and many other professions. Chefs and alchemists need to master this to control the duration and temperature of the flames. Warriors need to do so to use more powerful skills and make their attacks more powerful. This perk grants you true mastery over flame control and heating. You will never lose control over a flame and you will be able to freely alter it to the smallest degree. This will aid everyone, allowing crafting professions to make superior products and combatants to become stronger. "
10,100,Image Training,Dragon Ball,Mystic,"Image training is a profound training method designed to transform the user’s ki. It does
this by tempering the user’s spirit, consciousness, and combat instincts. It typically
works by mentally visualizing an opponent and fighting against them in a simulated
battle. You can do this by entering into a meditative state and simulating any form of
combat you can imagine. This allows the user to effectively go through an unlimited
amount of life and death battles without concern about dying."
11,100,Mutation Infusion,A Will Eternal,Mystic,"Exposing normal mundane plants to your spiritual energies will slowly mutate them over the
months and years. The next generation of that plant will have slight spiritual properties.
Constant exposure over the generations of plant life will start to produce proper spiritual
plants, like the kind that sects partake in. A plant whose family has been exposed to your
energies for hundreds of generations would be truly impressive indeed. Post jump this can
also apply for other supernatural energies you may expose to the plants."
12,200,Swat at Flies,Kill 6 Billions Demons,Mystic,"Guns, in the world of today, are rare. Not extremely rare, but rare enough that you only occasionally see one. Regardless, they are potent, able to pierce most armor, especially the more advanced ones. You, however, can change. When attacked with a bullet, or other physical projectile the equal to or smaller than your hand, you can “swat” the bullet from the sky, stopping it from hitting you. You can do this 5 times a day.
"
13,200,Burning Finger,Kill 6 Billions Demons,Mystic,"When you touch someone, you may trigger extreme, unbearable pain in the area you are touching, and you may also cripple the limb you are touching. Useful for threatening, and “interrogation.”"
14,200,Healing!,Street Fighter,Mystic,"There are no timeouts in a street fight, enemies don't wait around while you rest up
between beating the crap out of them. There's never anyone tending to all your wounds and bruises
before you're right back in the fray.
 This perk, however, allows you to be self-sufficient to a degree. By calling out the command
""Healing!"" with a hand outstretched towards the sky, you will become showered in a ray of light that
slowly heals all your wounds and injuries as you stand in it.
 This power does need you to stand still which is an issue, and it can't help you recover from
anything too serious like missing body parts or crushed organs, but being able to recover at all when
you're real deep in a serious situation is priceless."
15,200,Siren’s Song,Saint Seiya : The Original Series,Mystic,"Legends tell of a beautiful creature that bewitches
unwary sea travelers with a voice that soothes the heart of the pure, and terrifies the hearts of
the wicked. Your ability to sing has gained an almost supernatural beauty behind it that carries a
similar property - your song can influence the minds of the weak-willed, or cause pain to those
who are wicked. Of course, you can have either effect occur to a person regardless of
disposition, if you prefer. You’ll also be a hit at concerts."
16,200,Legion of the Damned,Saint Seiya : The Original Series,Mystic,"The soldiers of Hades are no strangers to
the dead, likely having already been deceased themselves before becoming a true Specter. As
such, you may summon ghosts and mindless undead by focusing your Cosmos outward,
creating an army of the shades of the damned at your will. They will largely be disposable
cannon fodder, lacking the spark of Cosmo that the living or other Specters have...but you will
have no shortage of available minions this way"
17,200,Jamirian Training,Saint Seiya Omega,Mystic,"Maybe you are a disciple of the esteemed Gold Saint Kiki, you have honed your
skills in the ancient art of fixing Cloth and other divine artifacts. By utilizing
stardust sand, a mystical substance imbued with the essence of the stars
themselves. This celestial material possesses the power to mend Cloth and other
divine items with unparalleled precision and efficacy, harnessing the cosmic
energies of the universe to restore their divine essence."
18,200,Genro Maoken,Saint Seiya Episode G,Mystic,"You learned this secret technique of the mind from a cloaked man, who forced the information into you and then left without a word. It is a mind control technique, one done by pitting the force of your cosmo against the power and mental will of your target. If you can succeed, you'll be able to control their mind and alter it as you see fit. You see, the Genro Maoken is special. If you can manage to entirely defeat the opposition of your foe, the mind control will become permanent and irresistible. Regardless of their powers, if they fail once at entirely blocking it, they'll never be able to throw it off and will become an eternal thrall. Even a small amount of resistance remaining would allow this to be, well... resisted."
19,200,Next Gorgon,Saint Seiya Episode G,Mystic,"There's a fair bit of monster blood within you, specifically that of one of the Gorgon Sisters. Your eyes now gain the same magical properties that those snake women possessed, able to turn to stone any living thing that looks at your eyes. Those with great Cosmo, at least as strong as your own, can generally resist but even then they'll find that bits and pieces of their body start to turn to stone with each look into your eyes. Anyone more than a little weaker than you will be petrified with a single glance, much like the mythical battles of old would have it. You are however able to deactivate this effect, if you wish to protect your allies from it."
20,200,Weight of the World,Saint Seiya Episode G,Mystic,"It’s a very satisfying thing, to be able to make the sinners feel the true weight of their transgressions. You are able to turn the weight of sin upon any living being that you can see into pure gravity force that crushes down on them. The more sin, the greater the weight they suffer from and the greater your cosmo, the greater the effect of this ability. Even should he have deeply violated your moral beliefs, you are unlikely to make a Saint bow unless you are as strong as they are. But for those beneath you already, you could crush the life out of them en masse. This ability takes no energy from you to use."
21,200,Mantra,Feng Shen Ji,Mystic,"Mantra is the power of “Desire”, and much like how Desire can be without limit so too is the potential with Mantra. By using specific incantations/spells or setting up certain formations, one can cast a Mantra to magnify their will upon their world. From conjuring or manipulating elements, sealing a target’s movements, altering memories, enhancing one’s physicality, inhibiting a target’s healing factor, teleportation, etc... Mantra is basically a generalist spell casting-system that you now are proficient in using. You start with 2 minor Mantra of your choice and are able to learn more by watching other practitioners, perform trial and error for discovering new Mantras, or by being taught directly (the latter option being the safest option)! Though using Mantra does come at the cost of a portion of the conjurer’s soul or transcendent vigor per cast, which can be recovered with long periods of rest. Overexhaustion will result in the conjurer turning into a “Spirit of Corrosion” - an amorphous black balloon with large jaws, hand tentacles, and red eyes; a fate worse than death according to some (and will count as a Jump Failure for you). So be wary of what you wish for and always know that power comes at a price.
"
22,200,Triple Numbering 312 Skill : <White River Demonic Art>,Reincarnator,Mystic,"White River
Demonic Art is white and pure. It was a crazy demonic art that ate up all of one's
emotions that would get in the way of combat once it was activated. It turned one's

mind white. The user will become a crazy War God who causes destruction until they
wake. Until everything they had enmity against was erased. The fight would only end
if the enemy died or the user died.
A white-mana white-aura reinforcement skill that covers the user's entire body with
bright white flame. The iris of the user will get smaller and smaller as if it was getting
replaced by white. Deadly White Eyes. Something that happened when the whites of
the eyes covered the black parts entirely."
