0,,CP Cost,Name,Jumpdoc,Domain: Assitants,Description
1,,Free,Attendants ,Warhammer 40k - Adeptus Mechanicus,Domain: Assitants,"Choose: A dozen servoskulls, a five-servitor workforce, or a trio of personalized cherubs. All are dull but 
reliable servants, coming equipped for a variety of tasks. The patterns of each are easy to re-fit for more 
specialized work."
2,,Free,Companion Bracelet,World Seed,Domain: Assitants,"A bracelet housing an evolving AI; although Alliance policy is to hand them out to people only after 
they've gotten their class at level 10, an exception was made for you to get it a bit earlier. Although 
called a bracelet, there are different forms for different races. Slime people might be injected with a 
nanite swarm programmed with the same effect, for example. Once you have equipped the bracelet, the
AI will adapt itself to gain an ideal personality fitting your own. The AI of a loner might become their 
perfect friend, that of a rich girl always left alone might become a butler caring for her, and someone 
living a loveless life might find that their companion AI has all the qualities they'd want in their 
girlfriend.No matter how your companion AI will end up, they will always end up in your best interest. As
they have a photographic memory and see the world through your senses, they can highlight important 
objects or places you might have missed, jog your memory if you forget something important, or browse 
through the internet to find information a million times faster than somebody with a human brain 
would.There are also various upgrades that can add to the functionality of the companion bracelet, such 
as identifying software allowing your companion AI to scan the Aura of creatures or objects to determine
their ability, level, and other information, or even an upgrade to allow an instance of them to live in your 
brain and tap into your senses to control your body in dangerous situations, or just show the trajectories 
enemy projectiles will take so you can easily dodge them. For 50 CP each, you can apply one upgrade to 
your companion bracelet, with no limit on how many you can purchase."
3,,50CP,Stockpiles ,Girl's Frontline,Domain: Assitants,"We can't let you set off empty-handed; here's 5000 Ammo, Parts, Rations, and Manpower to get your 
army started (it takes 30 of each to make a baseline T-Doll, while the most consistently powerful Dolls 
cost something like 600/400/100/600 for a reliable chance of getting them). Each purchase gets you 
another 5k. * This is not just normal ammo, parts, rations and manpower, you can combine them to 
make T dolls which are AI-piloted android fire platforms for military operations."
4,,100CP,A Thinker of Your Own ,Hive Queen Quest,Domain: Assitants,"This adorable little guy is about 2 feet long and has all the autistic number crunching power of a 
supercomputer and a truly limitless attention span, if you set him to a research task he will sit and think 
about it until he finally makes a breakthrough. Whenever they finish a project he will psionically alert 
you ""WE FINISHED RESEARCH FOR QUEEN!"" or ""WE MADE THING FOR QUEEN!"" If you aren't a queen 
that's ok too, don't worry he still loves you and would do anything in his power to help you, which is a 
limited proposition since he is literally just a brain with basically useless legs and little to no motor skills."
5,,100CP,Butler ,Big O,Domain: Assitants,"As soon as you start the jump, an old man offers to be your butler. He is like Norman Burg in all aspects, 
capable of cooking delicious meals, repairing advanced technology, and helping you with day to day life. 
He also comes with an awesome motorcycle with a built in rocket launcher and a rifle strong enough to 
take out spider robots."
6,,100CP,Constructor Drone and AI Kernel ,Warhammer 40k: T'au Empire,Domain: Assitants,"This drone is an automated constructor unit, capable of building simple machines and buildings on its 
own and more complicated structures and technologies under your direct supervision, so long as it has 
materials to work with. Its tools can be easily customized or replaced with new or different technologies.
Moreover, its software includes a kernel that can be used to grow specialized AI and VI systems 
optimized for various computational substrates and tasks that are always loyal to you."
7,,100CP,Digital Ally | Dum-E and U ,Marvel Cinematic Universe Vol. 1,Domain: Assitants,"-Digital Ally (50CP) Ready and waiting! This A.I. is not truly sapient, but it is still capable of performing 
extremely complex tasks like controlling a small army of robots or managing the infrastructure of a 
technologically advanced base... at the same time as overseeing a battlefield and relaying tactical data to
you. You can design its personality and appearance to suit your needs, and even give it a classy accent! If 
you wish, you may import an A.I. or companion into this role.
-Dum-E and U (50CP) Okay these robots may not do much, but they've got spirit! ...whatever passes for 
spirit in robots. Taking the form of single robot arms on treads, they try to do their best to aid you 
around your home and fulfill your wishes. Along with excellent pattern recognition they're unusually 
good at assisting with fabrication and mechanical construction of electronics. Just be mindful that you 
need to word things properly."
8,,100CP,Engine-sister,Warhammer 40k - Adeptus Mechanicus,Domain: Assitants,"Voluminous red robes cannot hide the curves beneath to this woman's eternal embarrassment. Friendly 
and perky in conversation to both man and machine, she is torn between her desire to be closer to the 
machine and her attachment to humanity. The possibility of a harmonious union between the two has 
inspired her to follow you. She has all 100, 200, and 400cp engineer perks. She also has 'subtle bionics' 
'artisan' and one pick of 'magos designation.'"
9,,100CP,Je'Lu Pih'ar' the Pilgrim,Endless Space,Domain: Assitants,"Space... The final frontier. This old man of indeterminate race wants nothing more than to see each and 
every planet, star, and cosmic anomaly in the cosmos. He wants to see the entire life cycle of a star first 
handed, from birth to death, even if he must see a million different stars to see the full cycle. He is a very
spiritual man, and often spends days meditating on the glory of the cosmos
Plus: Deep spirituality helps lift morale
Plus: Extensive knowledge on galactic anomalies
Netural: Spiritual views sometimes cloud his judgement, but can sometimes explain the unexplainable
Minus: Have you heard about our lord and savior, the Endless Space?(Humming Intensifies)"
10,,100CP,Magos miscellaneous ,Warhammer 40k - Adeptus Mechanicus,Domain: Assitants,"This man's(?) flesh is hidden beneath extensive augmentation. He has been with the Mechanicus for 
centuries, and his interests are many. Less puritanical than most, the possibility of extending the quest 
for knowledge to dimensions unknown to the Cult appeals to him. He has all of the 100, 200, and 400cp 
magos errant perks, and three picks of Magos Designation."
11,,100CP,R2 Series Astromech Droid ,Star Wars Clone Wars,Domain: Assitants,"A small automated mechanic that can perform a variety of repair duties and serve as an additional 
navigational computer on a starfighter. Astromech droids can also connect to and operate the mainframes of large starships and space stations."
12,,100CP,Soma the Sophon,Endless Space,Domain: Assitants,"Make way, we got a mad scientist on our hands! Soma is an overly curious, hyperactive, far too smart for 
their own good, know-it-all that loves nothing more than to create new devices. Even if she doesn't know
exactly what it will do, she just LOVES to build things and experiment. She's a bit of an oddball for her 
kind, being surprisingly fit from all her years working in her shop, and loves to show off her physical and 
mental prowess at any opportunity
Plus: She be SWOLE, even if she is only 4'6
Plus: Her brain is her biggest muscle
Netural: Loves to experiment with her new gadgets. May accidentally cause a hull breach doing so, might
quintuple your ships reactor output for a few days.
Minus: Expect a LOT of lab accidents. Hope you have a good medic onboard.."
13,,200CP,Living Flower,Generic Hentai Fantasy,Domain: Assitants,"A lovely young woman who loves to wear flowers in her hair. And totally not a parasitic plant based 
lifeform that ate her brain. What a rude accusation. Anyways, she’s taken a shine to you, and is a master 
of the herbal arts. Aka making potions, poisons, and various other ‘herbal remedies’. For the immorally adventurous, swappable bodies."
14,,200CP,The Toymaker ,Generic Hentai Fantasy,Domain: Assitants,"Hey hey, it’s the Virgin Lolicubuss’s older sister! Well, one of them anyways. This one shares her younger 
sisters disdain for men, mostly because she likes women and toys better. As a result, she’s the one who 
made the collar designed to control her sister and with enough time and effort, she can also make these for other people. Or something more normal like her seemingly endless supply of sex toys, regular and ‘custom ordered’."
15,,200CP,Build-A-Minion Kit ,Lego Dimensions,Domain: Assitants,"A nice set of parts for building your very own robotic henchman. They are guaranteed to be absolutely 
loyal to you, with the ability to appear automatically at your side when you call for them. Though they 
are sapient, they won't count as a Companion unless you Import them into another setting. "
16,,200CP,Bond of Brotherhood ,Final Fantasy X,Domain: Assitants,"You may very well be only one of many Guardians defending your Summoner – and frankly, the more 
Guardians there are on the task, the less likely anyone is to fall. There’s safety in numbers after all. 
Travelling with a group of Guardians, it’s only natural that you’ll come to bond with them.
The longer you fight alongside the same companions, the more in sync you will be with those 
companions. Alongside these trusted companions, you’ll find that their abilities seem to boost yours, 
increasing the effects of your abilities by a small bit for each companion nearby."
