0,,CP Cost,Name,Jumpdoc,Chapter,Description
1,,50CP,Beniemiya ,Fate/Legends Japan Land of the Rising Sun,Domain: Crafting: Magical Items,"It might just be something in the water, both what you're drinking and what you serve to the guests that adore every meal you make. You're a savant when it comes to making meals, not just limited to Eastern dishes either. With a little experimentation, you can make almost anything into a mouth watering feast for both the taste buds and the eyes. The real problem isn't making a good meal but keeping all these greedy pigs from eating you out of house and home. Don't even try making hamburgers around any blonde ladies, it never ends well. Now, while cooking good food is a prize well worth it, you do also have a more useful aspect here. By channeling magical energy into your tools and ingredients as you work, you're able to 'enchant' the meal with a variety of useful effects. A hearty beef stew that lets a warrior heal their wounds much faster than normal, sugary sweets that give people the speed of the wind, a mighty hamburger that temporarily bulges the muscles to greater heights. Even negative effects are possible, if you want to taint your food that way. They only last for a temporary period and the effects tend to be fairly weak without a lot of mana put in but it makes your food all the more popular."
2,,100CP,Cult of the Gun ,Enter the Gungeon,Domain: Crafting: Magical Items,"What makes The Gungeon work? Magic. Duh. But, it's a specific type of magic: Gun magic, magic that makes objects more gun-like, or that accentuates the gun-like traits of non-gun objects. Unrestrained, it can turn a gun-like non-gun object, like a mailbox, into a gun, granting it a projectile and a firing method. The Gungeon does this passively, but you know how to direct this ability and use it to your advantage, taking any kind of object, and making it into a ""gun,"" complete with the same perks that any gun-like object might gain. It's still fairly uncontrolled, with little if any say on your part as to what kind of weapon you get. How else do you explain, ""guns,"" like a mailbox that fires letters and packages; a banana that fires explosive bananas; a bee hive that fires bees(duh); a camera that deals room-wide damage, knockback, and slowing; a guzheng that fires arrows when played; a pillow that fires zippers and stuns nearby enemies when reloaded; a crate that fires anvils; or a compressed air tank that fires homing sharks?"
3,,100CP,Magic Charms ,Touhou Forbidden Hermit,Domain: Crafting: Magical Items,"You can make ofuda with a variety of uses – sealing creatures away or just hurting youkai in general. Sealing ofuda can hold someone paralyzed in place or lock away spirits harmlessly inside inanimate objects. Ones designed to hurt youkai will sting quite a great deal and potentially destroy them with repeated applications. Though for all their utility, they’re still pieces of paper, and while creatures cannot normally damage ofuda that affect them unless they are very strong, ofuda are noticeably weak to wind and rain. In time you may learn how to craft others based off myths about shrine maidens."
4,,200CP,Advanced Materials ,XCOM 2,Domain: Crafting: Magical Items,"As you experiment the physics and rules of a world ideas for new materials come to you. Elements and compounds from different universes often follow the same rules after all, so it should be theoretically possible to mix them. While you are developing new materials for your projects you will instinctively know whether or not materials will be compatible with each other and roughly how strong they will be. You will not know the exact ratio or procedure you will need to perform to fabricate these exotic materials, and it's not guaranteed that every material will be compatible with each other, but development will be made a lot easier."
5,,200CP,Amulet Crafting ,World of Darkness - Mummy the Resurrection,Domain: Crafting: Magical Items,"Amulets, a more permanent form of magic, can also be enchanted by Mummies. Amulets can take many forms, from small pieces of jewelry to strips of paper. Making an amulet is a lengthy and expensive process, requiring much magical energy. Amulets can be crafted to ward against specific forms of damage, to improve one's attributes, or grant unique abilities such as cloud walking or invisibility."
6,,200CP,Artificer ,Masters of Magic,Domain: Crafting: Magical Items,"You begin the game already knowing the magics to create enchanted items (other wizards can eventually acquire them) and artifacts. Additionally, these items cost half as much for you to make, and take half the time. This allows you to equip heroes you hire in the early game. In future jumps, this will provide a slight boost to the creation time and a reduction to the creation cost of magical items."
7,,200CP,Eight-Fold Geomantic Mastery ,Generic Exalted,Domain: Crafting: Magical Items,"You possess the inherent understanding and skill with geomancy and the manipulation of natural energies such that you may now create manses in any area where such a thing could conceivably be created. The stronger the mystic or magical significance of a given place the more powerful the manse that can be built there, but even in the barest and most mystically barren areas you will still be capable of producing, given some time, a manse of the least (1-dot) power. The process of creating a Manse is tremendously faster for you than it would be for others, the necessary geomantic arrays and arrangements seeming to simply leap to your mind with a clarity of insight few if any could match. The Eight-Fold part of it is that you understand the methods for creating manses aspected towards all five of the elemental essences of fire, earth, wind, water, and wood as well as manses aspected towards solar, lunar, and stellar (sidereal) energies. Given time and effort you may discern methods for creating other types of manse, twisted mockeries of what nature intended, but such insights will take considerable effort, time, and resources to bear fruit. Taking this perk explicitly allows you to create manses even outside of Creation and, indeed, is the only way to create manses outside of Creation."
8,,200CP,Formations and Forging ,World of Cultivation,Domain: Crafting: Magical Items,"The basics of forging a new talisman lies in formations, by taking rare and powerful reagents and materials you can create powerful talismans to focus your power and grant you certain abilities. In its simplest form you could create such simple talismans as the earth turning hoe that ling farmers often purchase to help in their farming, while the highest levels are often dependent on the amount of time and the materials used by the forge. Such things as the earth turning sealing disc that creates the pressure of a thousand catties (1300 pounds) worth of weight upon another person for each spin of it, or the turtle style buddha ring formation which can protect an island from foes can be created. Many types of seal techniques are open to you now, it wall depends on what you are willing to do to master them."
9,,200CP,Grudge Forged ,Fate/Legends Japan Land of the Rising Sun,Domain: Crafting: Magical Items,"Ibaraki-douji created her favoured bone sword by tearing out the bones of many Oni and setting them into a forge of her own terrible flames for hundreds of days. A way of sword smithing only a demon could manage, a brutal and unrefined method that results in a brutal and unrefined sword. But that sword is powerful, near unbreakable and holds the furious grudges of the Oni sacrificed to make it, giving the weapon a deadly cursed aura. This sort of feat is much more applicable to your skills now, as you find it far easier to turn your own innate abilities to the work of crafting things. A dragon's fire improves the quality of things forged in it, rather than just destroying the entire workshop. Cooling a forged sword in your own Youkai poison will still cool it as if with water but also imbue powerful toxins into the metal itself. You are able to add your abilities in creative ways to your creations without compromising them. Better still, you're very good at focusing what you create to not harm yourself. Using the bones of hundreds of hate-filled demons to create a cursed sword would direct those curses at your enemies, not at the original wielder of the sword. No need to worry about life draining demon blades if you're at the source of them all."
10,,200CP,Innate Talent: Magic item creator ,Overlord - The Series,Domain: Crafting: Magical Items,"You possess the good fortune to have an Innate Talent. Innate Talents are abilities that people are born with, and usually only one in two hundred people will actually have one. They can run the gamut of all sorts of things, though there is no certainty people will be born with an ability they will actually be able to make use of. For example someone born with an innate talent for learning magic doesn't actually help them find a magic teacher, and thus some innate talents may go to waste. Thankfully for you you can choose what Innate Talent you have from the following list. You possess the unheard of ability to have more than one Innate Talent, assuming you purchase more than one.
You're really, unnaturally, good at making magic items. If you know how to make something then you can make it magical. Spoons, bowls, armor, books, weapons, toasters, anything. You actually have to know some magic in order to enchant items with a magical effect, and you don't gain any skills in actually making items, so if you want to make magic swords you'll have to learn some magic and then how to make regular swords first. You can copy down into scrolls any spell you know, which others can use to learn those spells (if they are capable of using that magic system and put in the time to study) or use them as one-use magic items. Additionally any magic item you create will be marginally better than it would have otherwise been, regardless of whatever abilities you might have brought with you from other worlds. You don't have to have this talent to make magic items or spell scrolls, but someone that does have this talent will always be much better than someone that doesn't."
