0,,CP Cost,Name,Jumpdoc,Chapter,Description
1,,50CP,Tentacles,Generic Hentai Tentacles,Domain: Knowledge: Abilities and Skills,"Your main appendage. Prehensile with genitals at the end. Ravishing your target with them feeds you.
Capable of grasping, pulling and pushing. May have to use several for pushing buttons. First purchase is
free. Each purchase after costs 50 cp. Each purchase grants you four tentacles."
2,,100CP,Download' Blueprints,Heat Signature,Domain: Knowledge: Abilities and Skills,"You know or obtain the general layout of any ship you enter. Applies to buildings too, radius 50m."
3,,100CP,A Humble Mushroom Farmer,Paper Mario,Domain: Knowledge: Abilities and Skills,"The Mushroom Kingdom is a land of many strange and mysterious items. Healing mushrooms, small
snowmen that call up blizzards, blocks labelled POW that shake the earth. These items have to come
from somewhere, and now you are a source of these objects. You know the arts behind the creation of
the various usable items from the paper mario series. Some of these must be grown, others built, and
still others prepared through more esoteric means. You also know how to create lil' oink eggs and use
them to produce certain items. The ingredients for many of these are rather common in that world, but
rarer elsewhere. I'd stock up if I were you."
4,,100CP,Analysis,Red Alert 3,Domain: Knowledge: Abilities and Skills,"You can immediately identify any defects in hardware upon casual observation. This is effective on
devices, Vehicles, and buildings."
5,,100CP,Bibliophile’s Discerning Eyes,Touhou Forbidden Hermit,Domain: Knowledge: Abilities and Skills,"You can read anything no matter what language it's written in. This does not come with the ability to write in that language, but you can read it if it's a language at all. Including dead and forgotten languages – an invaluable skill if you wish to do serious historical research – but not encoded texts.
FREE: Spell Cards - The Spell Card system was invented to ensure that youkai and humans could fight each other in a non-lethal way and on relatively even ground. Under a spell card duel, all attacks are toned down to non-lethal levels, and the ability to fire an aesthetically pleasing barrage of bullets inall directions is prized over creating unavoidable attacks or invulnerability (which are banned anyway). Accordingly, you too can tone any of your abilities down as low as simply performing pretty light shows, and as your artistic skills improve so will the beauty of your spell card attacks.
FREE: Flight: You can fly, a power that is nigh-universal in Gensokyo. Flying as fast as you can walk is simple, and you can push yourself to fly faster, up to how fast you can run, which will tire you proportionately.
FREE: Cute Girls - Nobody in these manga are anything but cute, and by taking this perk you share this same trait. For free, all minor traits that would detract from your appearance (including blemishes, bodily hair and especially armpit hair) are cleared up.
Spell cards added: Magic Sign ""Stardust Reverie"", Love Sign ""Master Spark"", Comet ""Blazing Star"", Magic Sign ""Milky Way"""
6,,100CP,By the Numbers,Satisfactory-Factorio Gauntlet,Domain: Knowledge: Abilities and Skills,"You know how much of any given resource your industries and organizations are producing, and how
much potential for production there is for each resource."
7,,100CP,Demonic Augmentation,Hellgate London,Domain: Knowledge: Abilities and Skills,"You can successfully graft demonic parts onto yourself to gain an increase in mana reserves as well as
gaining the ability to more easily cast certain spells based on the demon's type. You also learn to craft
demonic focus items that, while weaker than augmentations, also don't have to be grafted onto your
body."
8,,100CP,Empathy,Generic Hentai Superheroes,Domain: Knowledge: Abilities and Skills,"You can sense emotions. Even better, you can project them. Calm a scared child. Project awe towards the
people as you float in. Make them fear you. Make them lust for you
a. Basic: Telekinesis, teleportation. Precognition of up to a 15 minutes"
9,,100CP,Engineer,Megas XLR,Domain: Knowledge: Abilities and Skills,"You're a talented and knowledgeable multi discipline engineer, particularly skilled in everything you
could ever need to maintain Megas and similar war machines."
10,,100CP,Engineering Basics,Dead Space,Domain: Knowledge: Abilities and Skills,"You're a real Mr. Fix-It, y'know? Malfunctioning fuel intake? Easy. Faulty asteroid defense cannon? Turn it
off, then on again. Non-responsive communications array? Shuffle the working emitters around a bit so
they're symmetrical. Undead monstrosities? Depends on what you mean by, ""fix."" Does using a rivet gun
to blow them apart count? Yes? Then we're good."
