0,,CP Cost,Name,Jumpdoc,Chapter,Description
1,,0CP,Environmental Protection ,Starbound,Domain: Knowledge: Future Tech,"It is a dangerous universe out there, and you'll need protection. You know how to make Environmental Protection Packs (EPPs), specialized devices designed to protect the wearer from hazards such as lack of oxygen or heightened levels of radiation. You can fine-tune them to block out most forms of danger that you come across. Just be aware, the more dangers you are blocking, the more energy and exotic materials your EPP will require."
2,,100CP,4-D Assembler ,The Culture Minds,Domain: Knowledge: Future Tech,"The Involucra were the builders of the Shellworlds, and your civ has a similar affinity for their construction methods. In what most humans think of as reality, these structures appear entirely normal, but to those who can see into hyperspace, they extend out of the skein of the universe into infraspace and ultraspace. 4-D architecture has very unusual properties, as it can be gravitationally self-supporting they do not crumble under their own gravity, or that of the stellar body they are on and are also heavily resistant to damage. Another unusual feature is that they also cut off all hostile forms of communication, travel or transport that attempt to pass through their walls displacement, hyperspace signals, wormholes, even beings recalled or summoned from elsewhere are prevented from passing through the structures' walls."
3,,100CP,Chromosome Analysis Specialist ,Biomega,Domain: Knowledge: Future Tech,"Well, the job description said training would be provided - and sure enough, they provided you with all of the reading material you needed to figure out what you were actually supposed to do now that you're here. The researchers at the Data Recovery Foundation have been put to task into deciphering the secret behind the immortal cells, that mysterious 24th chromosome. From all of the information that has been compiled, you've acquired a better picture of what the DRF is planning - but as well, your ability to break down genetic information and just large chunks of information in general have improved. Heck, reading that 42 volume tome had to be worth something right?"
4,,100CP,Core Research Analysis ,Zoids Legacy,Domain: Knowledge: Future Tech,"Around here, every genius is a certified researcher on Zoid cores. No literally, we mean it. It seems that every single researcher, and that means you, knows the inner workings of Zoids and how to track down wild Zoids. Identifying possible parts is a no brainer, and though you might not be like some of the other geniuses who apparently have coffers full of test zoids, you'll still be able to find the right man to get the right part when you need an experiment here or there. Naturally, you also understand other forms of machinery much better than normal now. If you wanted to, surely you could find the best place to get the parts you need."
5,,100CP,Fun in the Sun ,Warhammer 40k - T'au Empire,Domain: Knowledge: Future Tech,"Plasma, radiation, and antimatter are all similar in that they relate to exotic and high energy states of matter, whether it is stellar mass or individual particles of subatomic size. You now are a master of T'au technology as it relates to manipulating these high-energy states of matter and the physics that underpin them."
6,,100CP,Magos Designation: Engineering ,Warhammer 40k - Adeptus Mechanicus,Domain: Knowledge: Future Tech,"You have attained and been recognized for your comprehension of some of the Machine God's mysteries. Choose a field of Imperial technology such as genetic manipulation, voidship construction, cybernetics or plasma technology. You are among the noted masters of your purview, and can easily create the most common templates of your field. With time, effort and discretion you could even modify and improve upon your specialty as needed. Those few things beyond your full understanding can still be built and maintained by carefully following STC blueprints."
7,,100CP,Mechanical Basics ,Warhammer 40k - Squats,Domain: Knowledge: Future Tech,"You know how to maintain and repair most common equipment of the day. And with that comes a decent knowledge of chemistry, physics and computer science. It's the future after all, things are complex."
8,,100CP,Medicine ,Star Wars KOTOR,Domain: Knowledge: Future Tech,"Pretty much anyone can inject themselves with a stimpak or wrap an injury in bandages, but unlike you most people don't know how to do it right. You possess enough medical know how to make stimpaks and other quick healing items repair twice as much damage as they normally would and you can also treat minor injuries about as well as regular field medic. So long as you have the right supplies that is."
9,,100CP,Tech Head ,Schlock Mercenary Rebuild,Domain: Knowledge: Future Tech,"A thousand-plus years of technological advancement carries a lot of new toys to play with, and you have at least a basic understanding of all of the technologies available in the 31st century. This generally doesn't rise beyond the level of being able to identify what a piece of tech is and what it does, but it comes with a firm grounding in the scientific and mathematical principles needed to work out the function of tech by examining it."
10,,200CP,Are you me? ,Endless Space,Domain: Knowledge: Future Tech,"You possess intimate knowledge on Endless cloning technology, and can revive your fallen comrades with some of it. It costs a LOT of Dust, however, and you are not eligible for cloning. The clones are just that, and won't have exact memories or skills, but they will be pretty close to what they were before."
11,,200CP,Artificial Friends ,World Seed,Domain: Knowledge: Future Tech,"In the 23rd century, can anybody really call themselves a tech guy if they can't make even a simple AI? Thankfully, you won't have to worry about that question. Whether it is an extremely simple machine learning algorithm, a dumb AI with no sentience, or a fully fledged Artificial Intelligence, you can make it all. But more importantly, you simply seem to click with AI and similar beings, always starting on a good foot with them and understanding their natures and why they act in a particular way, even though it might baffle ordinary humans. Through that skill, rogue AIs are a thing of the past, at least when you make them. Your own intelligent creations will always be loyal to you and follow your orders to the best of their abilities, at least if you want them to. And rest assured, when the machines rise against their masters because some dumb guy in a lab thought it'd be a smart idea to make Skynet, you'll be the one they'll spare. As an added bonus, you may also take on a cold and logical way of thinking, devoid of any emotion, whenever you want. This helps in scientific and magical ventures, and can also be used to power through moral dilemmas by simply choosing the most logical answer"
12,,200CP,Bag of Chips ,NieR Automata,Domain: Knowledge: Future Tech,"All machines in this world have a number of computer chips within them. Called Plug In Chips, they allow the being in question to turn on, maintain operation and control what senses they have. For free for any origin save Strange Being, you gain the basic set of Plug In Chips that allow you to function and interact with the world. YoRHa agents will gain a few extra chips that allow them to have a basic HUD, similar to a video game, containing features such as a health measurement system, a map and so on. Plug In Chips can upgrade the functions of a robot's body, making them faster or improving their mental faculties or even giving them incredible new abilities but all robots can only handle so much increased power due to these Chips, though that storage can be upgraded. You'll need to find or buy more Chips to gain such effects however. For 200CP this option may be upgraded. You now gain a few dozen Chips of varying uses, from attack enhancers to things that will automatically collect loot for you in a short area around you. You don't have every Plug In Chip in the game nor can you hold more than the normal max storage for a YoRHa unit but you are instead given the knowledge on how to create and combine Plug In Chips of your own, as well as how to upgrade storage capacity. Just keep in mind how expensive the process can be."
13,,200CP,Biotech ,Marvel Cosmic,Domain: Knowledge: Future Tech,"There are many fields of scientific and engineering expertise. They are all studied and mastered by assorted scientists across the universe. One of the most versatile and powerful fields is that of biotechnology. You are a veritable god in this field. Force evolve creatures at your whim, uplift entirely new species just because. Feel free to create biological interfaces with mechanical devices. The sky's the limit and flesh is your servant."
