0,,CP Cost,Name,Jumpdoc,Chapter,Description
1,,100CP,Artistic Architect ,Halo - Forerunner Saga,Domain: Quality: Design,"Forerunner structures are not simple. Even in the worst of times, there is a beauty to their layout. Patterns woven into walls, shining pillars reaching to the sky, and shimmering glass panes adjourning corridors. Forerunners don't just build big. They build artfully. Like so many other Builders, you have an eye, and a hand, for beauty in construction. From the most simple of floors, to the most terrifying of weapons, you can spruce them up so that they are breathtaking to behold."
2,,100CP,Customized Weapons ,XCOM,Domain: Quality: Design,"You know that efficiency is number one, because waste is a thief. You know how to make the best designs better, and will ensure that the equipment in use is ergonomic, streamlined, and efficient."
3,,100CP,Hull Architect ,Endless Space,Domain: Quality: Design,"You know how to design ships. From nose to engine, you could draft up a functional space worthy ship. On paper. Putting all the pieces together maybe beyond you, but anyone who puts it together will agree, it's a mighty fine ship"
4,,100CP,My Watch Doesn't Tell Time ,Honkai Impact Third,Domain: Quality: Design,"The further you stray from the intended use of a device's style or look the better a device it becomes by default. If you make a watch that can't tell time you could cram a ton of things into it despite it's relatively tiny size. The shape or style must be a recognized thing, like a watch or a phone in order to benefit from the boost."
5,,100CP,Survey ,Green Worldz,Domain: Quality: Design,"A simple little survey that, when filled out, reveals the ideal weapon parameters for any given individual. The default length is 239 questions, but the survey becomes longer and more comprehensive as your crafting skills and resources become more diverse. As long as a person fills out the survey truthfully (and they are compelled to do so when faced with this version), the resulting weapon will be a truly one-of-a-kind tool perfectly matched to their personality and fighting style."
6,,100CP,Weapon Modifications ,Archer,Domain: Quality: Design,"You design and modify weapons with flair, creativity, and skill."
7,,100CP,Wired Watchmaker ,Arcanum Of Steamworks And Magic Obscura,Domain: Quality: Design,"Long hours hunched over the machinery and books that define your profession have left you with a keen eye for detail. Your eyesight is excellent even in the occasionally poorly-lit workshops you frequent, and your mind has sharpened to the point you'll easily remember the details of any schematic you're trying to assemble. You can still wear that monocle of course, but this time, you'll wear it for style!"
8,,200CP,A Legacy of Innovation ,Final Fantasy X,Domain: Quality: Design,"The Al Bhed have a long history – spanning back to a time when their name was not even Al Bhed to begin with, but all throughout, they have been on the forefront of development, out of necessity rather than convenience. If there’s a task to be done, you can adapt Machina to do it – not that it’ll be effective for the job or efficient, but at least you’ll get an extra pair of helping hands. That has to count for something right? 
Ah, right, you do have to assemble it yourself, but no worries, you’ll get quicker at assembling Machina with all the practice you’ll get, of that I’m certain."
9,,200CP,ARTIFICER ,PREY,Domain: Quality: Design,"Any monkey with a wrench can look up the technical manual and do a repair. Well, maybe not any monkey, but you're certainly a cut above the rest. Any technology you come across that you understand the principles behind can be drastically improved. Either simplifying it to make it easier to fabricate or improving its durability or power output. Weapons, turrets, tools and vehicles can all be improved beyond their base specs."
10,,200CP,Lab Standards ,Starbound,Domain: Quality: Design,"You are comfortable around technology. You can deduce what complex machines do, at least as far as scientific principles go, and once you understand them, you can standardize them. Technology that you study can be converted into generic versions which may be weaker or less versatile but are easier to maintain and produce. You also can follow the most complicated techno-jargon as if it was plain English."
