0,,CP Cost,Name,Jumpdoc,Chapter,Description
1,,100CP,The Honed Edge ,Pocky & Rocky,Domain: Quality: Durability,"With just a bit of time and polish you can restore any blade to its true sharpness, as if it were just crafted. Rust and tarnish to away with ease as well. Your tools and weapons are always in the best shape. SOME effort does need to be put into this care of course."
2,,100CP,Whether There's Weather ,Satisfactory-Factorio Gauntlet,Domain: Quality: Durability,"If you built or designed it, it's weatherproof. What kind of weather? Yes. Snow, scorching heat, pouring rain, vacuum, hail, all sorts of weather. If a human could survive a while without a spacesuit, you tech will keep working. And maybe it'll keep working even if a human couldn't."
3,,200CP,Brush Guard ,Generic Zombie Apocalypse,Domain: Quality: Durability,Your equipment or vehicles will never be damaged or have its functionality impaired due to being used as a weapon against organic targets.
4,,200CP,Crude and Tough ,Warframe SB,Domain: Quality: Durability,"While Grineer technology is ugly and primitive compared to their rivals, they are undoubtedly effective, rugged and easily produced. The latter is true for creations of your craft. Anything you make is both durable and tough, able to take a beating and function in the harshest of environments while being viable for mass production."
5,,200CP,Designing for the Armageddon ,Empire from the Ashes,Domain: Quality: Durability,"Is a valuable skill, to those who understand such things. You have a certain gift, my friend. Whenever interacting with any kind of system, you have a preternatural understanding for designing things to be impossibly rugged and long-lasting. Be it computers, machines or even institutions, you always know the right redundancies, designs and methodologies to use, resulting in systems that can stand the test of time almost indefinitely. They might not rise very much further by themselves with just this, but anything you have a hand in creating will last for veritable aeons, practically indefinitely unless someone specifically and deliberately acts to destroy them, and even then they'd have excellent odds of surviving."
6,,200CP,ELDER TECHNOLOGY ,The Culture Minds,Domain: Quality: Durability,"Some civs just build to last, and it is not unusual for Sublimed civs to leave considerable artifacts behind. Any technological device, structure or vehicle that you create has an effectively unlimited usable lifespan. Not even organic matter that is a part of the device will decay, or even undergo effects like proton decay over the aeons. They will still need expendable reserves a gun still needs bullets, a laser still needs its power pack replaced or recharged but that gun's moving parts never wear out, and that rechargeable power pack can be reused for aeons and more without loss of performance."
7,,200CP,German Engineering ,Smash Up,Domain: Quality: Durability,"Everything you build seems just a bit more. More durable, more efficient, more precise. Call it a 10-20% difference across the board?"
8,,200CP,Mythril Coating ,Final Fantasy Dissidia,Domain: Quality: Durability,"In many realms throughout the rift, mythril has always been an element of reputable worth. With the powers of the rift however, this mythril coating has been charged somewhat. Able to be applied onto both weapons and armor, items coated with this will be constantly charged with magical energy. As a consequence of this, the affected item allows one to sustain energy draining forms for twice as long, and improves their power slightly."
9,,200CP,Reliable Invention ,Kim Possible,Domain: Quality: Durability,Anything you construct is only broken when used improperly or purposefully targeted with attacks. The items you create do not malfunction and are completely resistant to damage caused by regular usage.
10,,200CP,Technical Knock ,Warhammer 40k - Adeptus Mechanicus,Domain: Quality: Durability,"You have mastered the ancient technical rite of 'if it doesn't work, smack it with a wrench until it does.' Small problems like loose gears can be quickly and permanently fixed with one good whack. When a larger problem impedes a machine's function, continuous pounding and irate prayer can cajole it to miraculously perform one last, brief task, but no more. At that point, this rite will have no more effect until the device receives proper attention."
