0,,CP Cost,Name,Jumpdoc,Chapter,Description
1,,0CP,Magic Powers ,Generic Magical Girl,Domain: Skills: Magic,"For the most part, this ought to be left up to the imagination, but if you took one of the powered origins - Animal Mascot, Deadly Sin, Mahou Shoujo, or Monster - you now possess a small amount of magical power. 
As a Mahou Shoujo, you possess a transformation sequence, which grants strength and speed on par with an olympic athlete. While this is active, you also possess a handful of attacks and a wand weapon, as well as a weak magical shield. As a Deadly Sin, you do not technically possess a sequence, as you gain the power to keep it active 100% of the time. While active - which is always - you possess similar powers to the Mahou Shoujo, but you sacrifice practically all your defenses for increased firepower. 
As a Animal Mascot, you do not possess a sequence. In fact, you don’t have any direct offensive magic at all. You have a limited ability to heal, and a few ‘status effects’ spells, such as sleep or short term amnesia. The kind of thing that might be referred to as ‘white’ magic."
2,,100CP,Tantric Recharge | Carnal Artist ,Generic Hentai Superheroes,Domain: Skills: Magic,"Spells low on power? Running out of that mojo? A quick romp in the hay will fix that for you. Now, sex restores your mana, based on how powerful the person you had sex with is. This will lead them slightly drained. 
Basic: You can detect the magic inside of people and objects.Choose an element to manipulate through magic. It doesn’t have to be one of the four classic elements. 
Carnal Artist (World of Tentacles) (FREE)
Sex is a lot less fun when you don’t know what you’re doing, and that’s just as true for tentacle monsters as for anyone else. This perk gives you a built-in instinct for sex and eroticism and a mastery of related bedroom skills. Even if you were a blushing virgin before this jump, having this perk will give you an instinct and talent for pleasing your partners; whether you’re trying to bring a girl off by milking her tits or leave her hanging on the edge of orgasm for hours on end, you’ll be able to pull it off."
3,,100CP,Tentacles on Demand ,Submission Sailor Moon,Domain: Skills: Magic,"The perfect thing for when you need to tie up a struggling prisoner, this set of tentacles can be summoned out of most flat surfaces, allowing them to hang from the ceiling or rise up from the ground whenever you need a few extra pairs of limbs. The tentacles are about six to ten feet long and have all the strength and abilities that your own limbs do, like shapeshifting or spewing poison, but if they’re damaged or destroyed you’ll have to wait 24 hours to summon them again. You get six tentacles per purchase and can purchase this item multiple times to get additional tentacles, though Youma only get discounts on the first purchase. "
4,,100CP,The Magic Touch ,Evening Starter,Domain: Skills: Magic,"Guess what, Jumper, you’re a Wizard! Well — you can use magic, anyway. With the aid of tomes, sorcery emulators, or other foci, you can draw upon the powers both ancient and possibly dark in order to cast a variety of spells and curses. "
5,,100CP,Big And Shiny ,Fate/Horse Order,Domain: Skills: Magic,"Servants are such odd beings, are they not? The powers they are summoned with, the way they look, sometimes even their damn gender can be drawn not from what is true, but what people remember about them. Or even what they’d rather look like instead of what they were actually like. As such, you can now modify the appearances of anything you happen to summon, servant or otherwise. Something simple like ‘as drawn by a different artist’ would be the limits for the time being, but if you spend a great deal of time practicing you might be able to one day get their gender wrong on purpose. For now, your summons will simply have a tendency to come out a bit taller and curvier. "
6,,100CP,Magic and Mayhem ,World of Tentacles,Domain: Skills: Magic,"Even an untested demon princeling possesses a talent for magic but some learn to augment the power of their spells by fuelling them with their perverse desires. Any magical powers you have become noticeably more powerful and flexible when used for lewd ends. For instance a standard fireball spell could become half again as powerful as a normal one if you intend to incinerate a heroine’s clothing while also doing so without inflicting unwanted harm on the target herself. This applies to all sorts of magic: from summoning rituals that call forth tentacle monsters to molest your foes, to traps that seal enemies in leather and chain and latex, and even to healing spells that cleanse unpleasant illnesses and infections. "
7,,100CP,Magical... Boy? ,Generic Hentai Magical Girl,Domain: Skills: Magic,"So, while you might expect that the magic here only works on women, seeing as how 100% of the magical girls are, well, girls, that no longer applies to you. You can, in fact, be a magical boy. Spells and techniques that should only work on one gender work on you regardless, as do armor and weapons. Won’t let you walk into the girls locker room as a guy though, but you could make a cheerleader outfit look amazing. "
8,,100CP,Master of the Elements ,Lewd Magic Isekai,Domain: Skills: Magic,"Elemental magic is some of the most basic tools in a wizard’s arsenal, from fireballs and lightning bolts to gusts of wind and shields of earth. But for all that it’s very basic stuff, a skilled mage needs to learn how to contain the damage he causes, harming only the targets he intended and avoiding collateral damage. You have mastered the elements of earth, fire, wind, water, as well as similar elements like lightning and ice magic. Your skills in this field are impressive, not only ensuring that you can defend yourself in battle with all manner of elemental magics but being able to do so with such skill that your spells never inflict damage on anything you didn’t intend to hit. Your fireballs could sear the flesh off of a company of orcs without harming a hair on an innocent elf trapped in their midst, even if you didn’t know she was there. "
9,,100CP,Natural Aptitude ,eratohoK,Domain: Skills: Magic,"You have a natural skill with magic. This immediately opens up the mystical powers of the magic section (see the Abilities section for more detail). You may, with time and practice, possibly even enlighten someone else in the ways of magic. "
10,,100CP,The Potential ,Bible Black,Domain: Skills: Magic,"While anyone can learn how to use magic, you have a special talent in it. Magic just comes easy for you. In fact, it’s so easy that you already start out with your capabilities unlocked. Any magic you wish to learn in the future will be easier for you to both understand and perform (twice the average for that setting). "
