0,,CP Cost,Name,Jumpdoc,Chapter,Description
1,,100CP,Energy Crystal Generator,I have a mansion in the post apocalypse,Domain: Supplies: Mundane Large Scale,"Energy crystals are the currency of the future,stonelike, hard crystals that are capable of holding gigantic
amounts of energy of any and all kinds. They're used to fuel tanks, computers, powersuits, everything.
And now you have a machine for making them!
Simply by feeding this machine energy through any of the many input methods it has, you can create
charged up crystals, holding that energy in convenient, packet-sized forms that are entirely safe to hold
and use, no matter the kind of energy. You can generate these crystals through hooking the machine up
to a power outlet, or you can use more... 'exotic' means.
After all, in the Post Apocalypse full of mutants, the most plentiful source of energy are the mutants
themselves. They're harvested for the energy crystals that develop on them, full ofthe radioactive
energies that serve in various ways to fuel the industries of this world. Similarly, you can chuck basically
anything into this device and if there's any kind of unique or exotic energy to be extracted from it,this
machine will do it swiftly and easily."
2,,100CP,Fuel Production Facility,Starsector v1.2,Domain: Supplies: Mundane Large Scale,"A large facility dedicated to the production of fuel. By default, the production facility is configured to
produce antimatter fuel, but this can be changed to produce alternative variants of fuel at higher
volumes. A single facility is capable of producing enough antimatter every month to supply around 10
capital-hull ships without a problem, or around 3000 units of fuel."
3,,100CP,Nullspace Computer,Megas XLR,Domain: Supplies: Mundane Large Scale,"You have a computer tower you can summon from and banish to nullspace. allowing you to upgrade it
but otherwise keep it safe. You may summon a holographic interface for it at will.
* Massive upgradable supercomputer that can be kept safe by existing outside reality and
simultaneously be used due to its holographic interface making it an extremely useful item which
benefits from all abilities which improve its performance while being entirely tamper proof."
4,,100CP,Provider chest,Factorio,Domain: Supplies: Mundane Large Scale,"Whenever you open this space-bending chest, you'll find an assortment of the standard Factorio
resources, ready for processing. A variety of mundane wood and stone, pressed coal, iron and copper
ingots, uranium slugs in heavy lead containers, and barrels of oil and water. The chest stores about a
cubic meter of each material, and withdrawn resources replenish at different rates - you and your
companions will easily have enough water to live off of, a good-sized house could be built with a few
day's worth of stone and wood, while metals, particularly uranium, are replaced much more slowly."
5,,100CP,Resource Generator,Toaruverse,Domain: Supplies: Mundane Large Scale,"Buying materials and resource cost too much time and manpower especially if the materials or resources
that you need are limited or rare. You gain a warehouse full of materials and resources no matter how
common to how rare it is that you need to build any technology that you want. It replenishes used
materials every twenty-four hours after you take it out the warehouse, additionally it records and
replenishes any materials that you add in your warehouse. After the jump it would become a warehouse
add-on or be inserted near your starting location.
* Gives a rapidly restocking warehouse which contains large amounts of anything that falls under
materials and resources that is stored in your warehouse improving most perks that are listed under
supplies."
6,,200CP,Basic CR-Units,Date a Live,Domain: Supplies: Mundane Large Scale,"The bread and butter of the combatants in AST and DEM. CR-Units are well, they look like a very fit onepiece
swimsuit, but they possess an energy shield that protects the user when active, as well as a variety
of deployable weapons and extra armor. The first purchase gives you the 'basic' model, used by the
grunts around. You can buy this again to get a personalized version, with upgraded stats and more
versatility and firepower, and even once again to obtain one suit on pair with the most powerful around."
7,,200CP,Body Shop,Smash Up,Domain: Supplies: Mundane Large Scale,"A good scientist pushing the bounds of human knowledge always has a use for raw materials. Here is a
collection of preserved body parts from every species in the world, updating in future Jumps. Just never
ask where it all comes from.
* Extremely useful for any biological projects or research but perk text is slightly concerning if you take it
seriously."
8,,200CP,Mineral Rights,Diabolical,Domain: Supplies: Mundane Large Scale,"You have, through some underhanded but fully legal means, acquired a metric ton of rights to various
mines and harvesting operations the world over. In practical terms this means you will have a sufficient
amount of raw metals, ores, minerals, and other physical resources to build or construct whatever you
desire all without paying a dime for it. You can also sell the excess on the open or black market, or simply
stockpile it all for yourself. This will follow you to other Jumps, providing a steady stream of physical
resources and allowing you to live the life of a mining magnate, or always have sufficient resources for
your industrial ambitions.
* A rare perk in the celestial forge in that it gives direct ownership of something outside the warehouse
that isn't a single building or a business."
9,,200CP,Mountain of Blocks,Warhammer Fantasy - Tomb Kings,Domain: Supplies: Mundane Large Scale,"To make a tomb, you need stone. Lots of it even. Even an army of skilled workers can't make a castle
from sand. The logistics of getting all the stones out aren't easy either, sometimes taking weeks of
planning and travel to arrive, with any number of things that can go wrong. You need not go through the
whole trial like this, since you never run out of stone, rock and other such things. You're able to bring out
endless amounts of mundane stone or rock and though they will need hewing and cutting, the amount
you save in money and time will be immense.
* this just give us a bunch of regular mundane stones nothing magical or exotic might be best to remove
this
* Potentially useful in the construction of celestial bodies as it is infinite and there is no restocking time."
10,,200CP,Vibration/Oscillation warhead,Arpeggio of Blue Steel,Domain: Supplies: Mundane Large Scale,"Humanity's version of the Corrosive torpedo. Disintegrates the target at a molecular level by finding the
target's 'resonance frequency' and literally vibrating it apart. The Vibration torpedo can defeat any
armour made of normal matter nanomaterials or meter-thick steel, makes no difference, but can't punch
through Klein fields on its own. Superior to the corrosive torpedo, the Vibration warhead requires no
exotic matter or nanotech: it can be mass produced by any reasonably sophisticated factory. This is a full
load for your vessel, plus the schematics."
