0,,CP Cost,Name,Jumpdoc,Chapter,Description
1,,50CP,Pocket Watch ,Wonderland No More,Domain: Time,"An ornate silver watch with an hourglass engraved upon its casing. If you wind back the watch, you will gain enhanced speed/quickness until the watch finishes unwinding or an hour has passed. You can also immediately stop the watch's effect by snapping its case shut."
2,,50CP,Rapid Construction ,Blazing Saddles,Domain: Time,"You are not only a truly excellent carpenter, you are an exceptionally fast worker. Any form of construction or crafting will be completed in a tenth the time it would otherwise take, though your overall quality will suffer if you use this at full effect (times ten). At times two, you'll sacrifice none of the quality, but as you get closer to times ten, you'll sacrifice more and more of it."
3,,100CP,ACCIDENTALLY DROPPED MY GRAVITAS ,The Culture Minds,Domain: Time,"It's terribly serious business being a Ship, Mind or Hub, isn't it? Being responsible for your passengers, having to take care of Big Mind Business, handling all kinds of Ship-related emergencies that need reaction times down to the microsecond. Yet sometimes it's the simple things that make existence worth experiencing. You can always find time to really enjoy your hobbies or celebrations, no matter how trivialthey might seem, and the weight of the responsibility on your shoulders can't crush your joyful and 
pleasant mood if you chose to have one. You can also drop into a whimsical, almost nonsensical persona at the drop of a hat, all the better to annoy much more serious people and Minds."
4,,100CP,Don't Need A Team ,Ace Combat,Domain: Time,"Fighter planes are pretty complicated machines, and more often than not you need a whole crew to maintain them so that they don't break down in the middle of a fight and doom the pilot. You know yourplane well enough to circumvent this issue. You've got just the right idea on what needs tuning up and what needs fixing, along with having the speed to be able to fix a plane up by yourself without the need for a crew in a fraction of the time. Performance issues are a thing of the past for you."
5,,100CP,Fixer ,Smash Up,Domain: Time,You're really good. All your repairs seem to take half as much time as normal. A true miracle worker.
6,,100CP,I Can Whip Something Up ,My Life As A Teenage Robot,Domain: Time,"Working late nights and filling out strange requests is just another Tuesday for a Scientist of your calibre. This perk ensures that you'll never suffer burnout, grow overly bored, lose inspiration, or have your work suffer because of exhaustion. So long as your basic needs are at least barely being met you can keep happily churning out work day after day."
7,,100CP,Simple Scientific Solution ,Tenchi Muyo!,Domain: Time,"This perk grants two features that in universe depend on your setting, out of universe both work unless you desire otherwise.
Slice of Life: Science solves everything, even the little household problems. You can create supertech improvements to common tools and appliances, up to and including automobiles or similar works of engineering. Create dishwashers that can clean dishes in an instant, self heating plumbing or forcefield window panes that act as air conditioners.
SpaceOpera: Well established methodologies and an instinctive grasp of the same allow you to draw conclusions or produce results incredibly fast. You halve the time it takes to gather data, compose research on some subject, or devise a test to prove/disprove something handy for when you have to figure out an enemy fortresses' one weakness"
8,,100CP,Spark Of Genius ,Galactic Civilisations II,Domain: Time,"With the sheer amount and complexity of information involved in next-generation research, most scientific advances slowly progress in vast, city-sized research facilities. But every so often, there's a giantleap forward - a sudden flash of insight that ignores all perceived barriers to scientific advancement and leads to more progress in a few days than you might have otherwise seen in months. Now, you and your people are gifted with just this kind of creativity, experiencing the same kind of sudden technological breakthroughs on rare occasions. This might just make scientific progress a bit more difficult to predict in advance, but you'll always be pleasantly surprised when it happens."
9,,100CP,Gifted ,Milk Hunters,Domain: Time,"Nagisa is the star player of the lacrosse team, and Honoka is a bonafide genius. Now, you too have an incredible talent at a mundane skill. Maybe you’re an idol-grade singer, or you’re working on a best-selling novel, for example?"
10,,100CP,Noble Pursuits ,Kyonyuu Fantasy,Domain: Time,"Surely you don’t spend all your time on politics and courtly intrigue, right? You have to have some kind of hobby to pursue in your spare time, and this thing that you’re passionate about is something you’ve become uncommonly skilled at, not only for a noble but for people in general. Perhaps you’re secretly one of the best chefs in Eurodia, or a master sailor, or even a scholar of magical lore, though merely having knowledge of magic and being able to cast spells are two very different things. Whichever skill you choose, you are one of the best in Eurodia at that skill and can easily advance even further in your specialty should you find new things to learn about it in future jumps."
11,,200CP,Brute Forcing Science ,Hive Queen Quest,Domain: Time,"Science is an amazing thing, it is what brings a being from the caves to the stars and allows them to step beyond the bounds of what nature provides. However science is a never-ending road and the more you learn the more questions you have. Researching a problem takes time, lots of time, and lots of resources. Maybe you wish to take a little shortcut through this process? With the proper handling a well versed team of scientists can do far more than a horde of idiots any day, unfortunately you may not have access to well-trained help. Taking this allows you to get around that little problem, by throwing more people at a project you can actually increase the rate at which you learn and understand things making it much easier for your research to pay off. This quickly hits a limit though and more than 200 people working on a project will probably not net you much more of an increase than 100 (which will already increase your researching skills by a large amount) Obviously quality is better than quantity but sometimes quantity has a quality all of its own."
12,,200CP,Dedicated Research ,Stellaris,Domain: Time,"As a scientist, research is your blood and bone, it is what you do every single day that you work, it is your lifeblood, your passion! So obviously it would be a shame if this passion of yours was interrupted by something such as lack of sleep, or lack of nutrition. Now while researching none of those things will affect your performance allowing you to work at your peak for several days in a row. You may pass out later however."
13,,200CP,Fast Service ,Warhammer 40k - Squats,Domain: Time,"Some might wonder what place a mechanic has on the battlefield, but they clearly never saw a tank take a crippling hit. Fortunately, your skills are such that you can repair many vehicles and devices that would seem at first glance only good for parts, and in a fifth the normal time."
14,,200CP,Insightful ,Galactic Civilisations II,Domain: Time,"Science is, ultimately, the process by which the underlying rules of reality are determined, clarified, and understood. It should not be a surprise, then, that your people's talents at logic, analysis and experimentation provide a noticeable boon to the speed of your R&D efforts? Even better, your followersare highly adept at recognizing dead ends and false results - be they positive or negative. Consequently, your faction won't waste as much time and resources on scientific endeavors that eventually turn out to be 'duds', reducing overall costs of your research as well."
15,,200CP,Machinist ,Gargoyles,Domain: Time,"You are an expert mechanic. You can rebuild and improve a helicopter in 12 hours or create a functional motorcycle from spare parts. If honed, this ability will let you make nearly anything from incredibly advanced robots to nanite swarms in only a few months time."
16,,200CP,Schematics to Time ,Generic Video Game Developer,Domain: Time,"Wasted time is a serious problem for just about any company. And while most managers might think it's because John took an extra 5 minutes for lunch, the real time sink is the direction a project ends up going, as sometimes you go down a rabbit hole trying to fix a problem and take a while to get on the right track, such as looking for a bug in the wrong part of the code. But for you, it's different. For you, every time you settle down to work you get on the right track. From looking for bugs in the right section of code to researching the right function for a problem, your work is now more of a straight line, taking no detours and going down no rabbit holes. If you have a problem, you'll always start in the right place."
