0,,CP Cost,Name,Jumpdoc,Chapter,Description
1,,50CP,Art Set,A 'Happy' Harry Potter Fanfiction,Domain: Toolkits: Magical,"A full art kit stored in a small expanded carry case for all your drawing or painting needs. Comes with a small paint can that can change to different colored infinite paint, both indoor and outdoor options, never dries out if left open, and doesn't get contaminated by dirt or other colors left on the brush. Chalk, pencils, and crayons won't break, require sharpening, or be used up. Drawing pages or canvas can be changed to other types and will never run out with the finished picture being saved to your folder, and brushes will never degrade or get bent, broken bristles nor run out if they're lost or pulled.
The brushes come in a range of sizes from the wide indoor wall painter to the tiniest canvas detailer. Pencils, crayons, and chalk are much the same as are the colored varieties. A pack of special white erasers are included, ranging from small to large, that don't wear down or spread the erased material but can nevertheless undo any of your drawn or painted projects if necessary. The case and all its inventory can be found in your warehouse if lost, stolen, or destroyed."
2,,50CP,Transposing Kiln ,Dark Souls 3,Domain: Toolkits: Magical,"An old transposing kiln from Courland, crafted with stitched crystal lizard hide. This kiln can transpose twisted souls to craft special items with their concentrated essence. Deemed forbidden by those unable to make proper use of it."
3,,100CP,Armor-Shift Manufacture | Beast Change! Mode: Tiger | Martial Artist,Bloody Roar,Domain: Toolkits: Magical,"Armor-Shift Manufacture (100CP) A small machine - big enough to hold a massive pauldron or two - that gives any pieces of armor or clothing placed inside a specific quality: When their wearer changes form, the armor and clothing changes form with them.
Beast Change! Mode: Tiger (0CP) You can freely access your Zoanthrope form, becoming a monstrous humanoid that is a horrific combination of human and beast. Reptile, mammal, avian, amphibian, piscine, it does not matter what.
Martial Artist (0CP) Pick one martial art from Earth’s history & various cultures. You now know the basics of this art, as well as a few of the more advanced moves. More beneficially, you know how to apply this martial art to your Zoanthrope form - and combine the two into a deadly style of combat. Wrestling forms and dances are also accepted if they can be theoretically used in combat."
4,,100CP,Carving kit ,Diablo 1&2,Domain: Toolkits: Magical,"The tools within this leather satchel are of exceptional quality and have been ritually prepared for work with delicate magical reagents. Having these will make Gemcutting and runecarving much easier. A sheaf of paper in a waterproof scroll case notes useful details on several basic runes and the most common semi-precious gems, but it lacks details on multi-rune sequences and the rarest stones. Still, the papers make a good reference, and they will automatically update themselves when you discover new information through experimentation or research. If lost or destroyed, the kit will reappear in your possession the next day"
5,,100CP,Crafting Table ,Minecraft,Domain: Toolkits: Magical,"You can easily assemble a few planks into a crafting table, upon which you can, nigh instantly, produce almost anything, so long as you have all the parts and know the recipe. Items larger than a 1m3 cube, or which are not designed to be worn on your person or carried in your hand, may require more advanced crafting techniques, but you'll still find it easier to make the parts for it. Complex items usually require a bunch of subparts, and figuring out all the recipes for them can be difficult."
6,,100CP,Etching Pen ,A 'Happy' Harry Potter Fanfiction,Domain: Toolkits: Magical,"A specialized etching tool that can carve stone, wood, metal, or other hardened surfaces like a hot knife through butter or switch to a regular pen that can write on any softer surfaces such as rice paper. The tool is capable of erasing any damages it causes, reversing inked mistakes, and even absorbing certain fluids like blood, acid, ink, or venom to write with. The tool will always be sharp and never run out of whatever fluid it has currently Absorbed. FREE: Wand. FREE: Books: Ancient Runes Made Easy, Tales of Beedle the Bard, Runecrafting For Beginners by Mister Black."
7,,100CP,Griffon Quill Pen ,Monster Girl Encyclopedia,Domain: Toolkits: Magical,"A special pen made from the feather of the valiant Griffon, it embodies the beast’s prideful guardianship of treasures. You can use it to write runes on things and people you closely cherish, and enforce your assertion of ownership to protect your precious treasures from harm. The runes will cause the item to warn you whenever they sense desire or hostility towards it, while also making the affected item resist whoever is trying to take your treasure away."
8,,100CP,Magic Cooking Pot ,The Legend of Zelda Breath of the Wild - SB,Domain: Toolkits: Magical,"A simple iron pan, that can magically light a fire underneath itself when set up. Even when off of a fire, it will heat items placed in it to the desired temperature. All meals and elixirs cooked on it will receive a boost in quality, and can provide a variety of beneficial effects, depending on the ingredients used. Magically provides a comfortable temperature nearby when in use."
9,,100CP,Tools of the Trade ,Nexus 2.0,Domain: Toolkits: Magical,"A worker isn't much without their tools, and so, you have a wide array of tools and equipment usable to make whatever you might wish to make. This includes a rather large work space connected to your warehouse.
* This setting is magical in nature so these are tools to make magical gear."
10,,100CP,Unique Uniques ,Modded Skyrim,Domain: Toolkits: Magical,"You know, is there really a point to making haxcalibur if it looks the same as any other broadsword? That's just a waste. Thats where this thing comes in! It's a small ring with a black stone embedded. Wearing it will allow you to visually reskin any customized, special, unique, or otherwise non ordinary weapon, armor, or item you can get your hands on. Your choice if said change is retroactive."
11,,100CP,Traveling Toolkit ,Girl Genius SB,Domain: Toolkits: Magical,"And an excellent set, too! This is a full set of incredibly high quality, very much portable tools suited for just about any purposes you may need them for, especially for repurposing existing or enemy works! Just the thing any scientist would need for Sparking on the go!"
