0,,CP Cost,Name,Jumpdoc,Chapter,Description
1,,50CP,Diagnostic Tools ,Outlaw Star,Domain: Toolkits: Mundane,"A small data display with numerous connectors and scanners, capable of letting you know what is wrong with simple technology and what advanced technology that has been programmed into it.
* Portable, can detect what's wrong with simple tech and do the same for advanced tech that you program into it.
* Keep in mind 'simple' is a lot lot higher than modern tech for this scanner, it's from a space fiction."
2,,50CP,Habitat Constructor ,Subnautica,Domain: Toolkits: Mundane,"As long as the materials are present in your subspace inventory, the Habitat Constructor is capable of creating robust outposts and domiciles. Due to complex structural requirements, the constructor is unable to build anything that isn't anchored to the ground.
* ""Complex structural requirements"" implies that with sufficient technical abilities this limitation can be overcome."
3,,50CP,Holotable ,Marvel Cinematic Universe Vol. 1,Domain: Toolkits: Mundane,"A device in the shape of a table used to create holographic models that allow the study, analysis and reconstruction of a vast array of items, weapons and events. Comes in any color of holograms you like and each hologram is capable of being interacted with. Naturally this performs better with additional data."
4,,50CP,Micromanipulators ,A Certain Scientific Railgun,Domain: Toolkits: Mundane,"These delicate gloves were meant for scientific purposes. They're reinforced with small motors and electrically contracting artificial muscles to allow you to perform delicate work on the scale of a micron. While they're definitely more suited to scientific experiments, they can be put to use in any situation that requires steady hands like aiming a rifle, conducting brain surgery, cooking, defusing a bomb, or even bypassing some redirection and shielding abilities. * Micron scale control"
5,,50CP,Tool Chest ,Satisfactory-factorio Gauntlet,Domain: Toolkits: Mundane,"You receive a variant of the normal personal chest. This has more slots to fit more varieties of items, but only a few slots are full-sized. It's ideal for storing a variety of tools, or the small amounts of various gubbins you find around drop pods. In addition, you receive a blueprint to make copies. All copies of the Tool Chest share inventory - while the copies will not give additional space, that inventory can be accessed from anywhere. As long as at least one copy of the Tool Chest is placed in the world, any items stored in it will continue to exist"
6,,100CP,Box Of Hammers ,Lego Dimensions,Domain: Toolkits: Mundane,"You can buy this box of hammers instead. This box comes with a dozen or so hammers, each of which grants the one holding it a copy of the Builder Power
* Builder: You can build a mountain, if you do it brick by brick. Given all of the relevant pieces, and some sort of instructions on what to make, you can build almost any object quickly and efficiently by slotting the various pieces together. IKEA instructions are no match for your building might."
7,,100CP,Chemical Synthesizer ,Hive Queen Quest,Domain: Toolkits: Mundane,"This microwave sized machine is truly a wonder of modern science, able to synthesize any non-magical chemical known to man in up to 12 oz batches. Synthesizing a chemical takes roughly an hour and works via a small Tablet interface.
* A bit underpriced for any matter creator, even with the small volume and time needed, born from lacking knowledge that ever matter falls under chemical."
8,,100CP,Cranial implants ,Warhammer 40k: Adeptus Mechanicus,Domain: Toolkits: Mundane,"The brain of every magos undergoes extensive modification over time, but you have put great care into preparing your mind for the Machine God's mysteries. Beyond the gene-alterations and bionic sub-systems that have boosted your intelligence, regulated neuro-chemistry reduces the influence that hunger, pain, fear and other flesh-distractions can have upon your thoughts. Your ability to enjoy these things are not impeded. Further neurological modifications will be faster and easier to adapt to with less worry of rejection."
9,,100CP,Data Access ,Endless Pantheon,Domain: Toolkits: Mundane,"Having knowledge isn't always good enough, seeing as it can be quite the hassle to actually access it if you don't have the proper setup. You do, thankfully. This is one device of your choosing, which allows you to perfectly access any and all books, scrolls or databanks you have, putting all of the knowledge you have gathered at your fingertips at all times. It can also change forms, but is always something digital. Try not to stand too close to the wizard."
10,,100CP,Deep pockets ,Endless Pantheon,Domain: Toolkits: Mundane,"A small bag filled with some absolute essential things, this is the sort of thing that can save your life. It's tiny, and enchanted so it can't be detected with any supernatural means. What it does is provide you with a tiny portal to your warehouse, big enough to draw out anything an ordinary man can lift with one hand."
11,,100CP,Exo-Womb ,Freefall,Domain: Toolkits: Mundane,"The first generation of Bowman's Wolves were gestated in dogs with genetically modified red wolf DNA. Now you can have your future generations be developed in a more controlled environment. Simply insert one or more viable biological samples that are no smaller than a single drop of blood into the receptacle and this will provide a perfect and indestructible environment for the child. If you are one of the donors, any perks relating to children and inheritance may apply. It takes the typical amount of time and only works with organisms of the same species unless you have perks to alter that."
12,,100CP,Jewelry Set ,Timespinner,Domain: Toolkits: Mundane,"A set of tools for crafting jewelry or rings, as well as a small amount of material for making them, such as gold, silver, or gemstones. The provided material will replenish once a month if used."
13,,100CP,Magic Hammer ,The Legend of Zelda Breath of the Wild - SB,Domain: Toolkits: Mundane,"A large unadorned metal hammer, any item struck by this hammer will experience an increase in durability and item condition. This effect can't push them past the condition they were in when new, but it does scale with the force behind the hammer blow, with small taps removing minor dents, while powerful blows can fix major cracks in a single go."
14,,100CP,Matter Manipulator ,Starbound,Domain: Toolkits: Mundane,"Manipulates anything that matters. Well,solids, at least. It basically allows for the collection of any and all materials. For an extra 100 CP, it can collect liquid, and also mines 4 times faster, 4 times as much at once and twice as far away. It can also paint stuff as wire things. If you don't purchase this, you'll have to get the upgrades yourself with manipulator modules.
* This is the 4chan version, the SB version is a whole chapter."
15,,100CP,Satisfactorio Builder | Craft Bench Card | Pattern Extension Chip,Satisfactory-factorio Gauntlet,Domain: Toolkits: Mundane,"-Satisfactorio Builder (0CP) The buildy gun from Satisfactory. It can place down buildings and other artificial structures, either from parts or premade. It can deconstruct buildings and other artificial objects, either breaking them down or storing them whole. It can give orders to logistic or construction systems that you are authorized on (including the ones from this Gauntlet.) It can configure the settings of machines. It has an internal inventory that can be upgraded (to a limited extent until you leave the Gauntlet). Always fully charged, can be upgraded in other ways, automatically imports into similar handheld stuff, and syncs up with other inventory/storage Perks, Items, and items. If lost, stolen, or broken, it will respawn in an appropriate and safe place immediately, even during the Gauntlet.
-Craft Bench Card (50CP) This card, when installed in the Satisfactorio Builder, lets it craft any recipe that you can craft at any crafting station internally, though slower than you could at a dedicated station.
-Pattern Extension Chip (50CP) This card, when installed in the Builder, grants it the ability to create ad-hoc blueprints based on existing machines, and then fill those blueprints in. You can use it to quickly and easily extend groups of belts, or lines of machines. It will faithfully execute patterns that change as they iterate. It also allows doing multiple patterns, such as two production lines for different products and the foundations at once, even if those patterns don't line up or have different lengths."
16,,100CP,The Right Tools For The Job ,Freefall,Domain: Toolkits: Mundane,"Every job requires tools, be they a socket wrench, measuring tape, a hand saw, or mop. So long as it is either mundanely accessible without background checks or you already have it, you can summon a copy of any tool you need. This only applies to when you're cleaning, fixing, building, or other material-based preparation. You can't directly use it in combat and you can't use the material of the tool itself.
* In case it is not clear, free summon of any tool you own to your hand at will."
17,,100CP,The Toolkit ,Sabaton,Domain: Toolkits: Mundane,"When wielding this toolkit, you can repair devices most would think broken beyond salvation. You could find two twisted armor plates and a couple of treads and before you know it, you have a tank that's as good as new.
* Extremely op portable repair kit
* Arguably reality warping or influences the wielder as text gives no mention of the users own skills"
18,,100CP,Tool box ,Generic Factory,Domain: Toolkits: Mundane,"This Tool Box can store any number of hand held tools, and will never get too heavy to carry. Always contains a set of basic tools that can be called on without notice and in any number like hammers, saws and blowtorches. Specialized tools you will have to place inside this box ahead of time."
19,,150CP,PDA | Scanner | Upgraded scanner | Habitat Constructor ,Subnautica,Domain: Toolkits: Mundane,"-PDA (0CP) Loaded with an emergency intelligence and more data capacity than you could ever use, this is a survivor's second most powerful tool (after his or her brain.) The AI may get a bit . . . quirky . . . over long deployments. Your version is basically indestructible. Contains basic construction blueprints.
-Habitat Constructor (50CP) As long as the materials are present in your subspace inventory, the Habitat Constructor is capable of creating robust outposts and domiciles. Due to complex structural requirements, the constructor is unable to build anything that isn't anchored to the ground.
* ""Complex structural requirements"" implies that with sufficient technical abilities this limitation can be overcome.
-Scanner (50CP) The scanner uses the PDA artificial intelligence to analyze an object, often finding weaknesses or uses not immediately apparent to the user. If one of your fabricators is capable of constructing the scanned object, a blueprint is created. Scanning time varies with size and complexity.
-Upgraded scanner (50CP) For those who don't want to get too close to the Reaper Leviathan, but just really want that scan, this upgrade quadruples the scanning distance and speed."
