0,,CP Cost,Name,Jumpdoc,Chapter,Description
1,,Free,Character Sheet,Baldur's Gate 3,Lore,"You get a multiple page journal that is in the format of D&D 5e character sheets that is in any style of design you want. This sheet is magical, and it displays all your stats, skills, abilities and your personal information in an easy-to-read manner. It updates with any new powers you gain over the courses of your adventure, and it even records your significant deeds. Only people you get permission can access this character sheet."
2,,Free,Combat Basics,Anima Ark Of Sinners,Lore,"As the city is filled with hostile shadows it would be no good for you to be unable to defend yourself. This grants an expert level of skill in a weapon type of your choice such as swords, spears, bows, etc... along with skill at unarmed combat. You are good enough to handle the mid bosses around here."
3,,Free,All communication,Final Fantasy XVI,Lore,"Isn’t it odd that regardless of where you go in this world everyone seems to be speaking the same language ? Well with this perk you get to benefit from that in both this jump and future jumps. From now on, you will be fully fluent in all of a setting’s language and capable of communicating with anyone regardless of nationality."
4,,Free,Fighting basics ,Final Fantasy XVI,Lore,"Valishtea is a very dangerous place with anything from soldiers,monsters and rampaging behemoths prowling the Land. As such, you have been granted proficiency in a weapon type of your choice such as swords, spears, daggers, the cannons used by some imperial soldiers, unarmed combat etc.. as well as physical conditioning fit for military service. This also makes you grow stronger from battle and slightly increases your rate of growth in areas related to combat. The abilities that you gain can indeed correspond to a past final fantasy job such as monk, dark knight, dragoon etc..."
5,,Free,Soft Echo,Final Fantasy XIV,Lore,"The blessing of the mother crystal, the power of the echo shows up from time to time in different individuals all over Hydaelyn. Many see this as a “gift”, as the powers of the Echo are very distinctive even in a world with such vibrant magic. However, there are those who view the bearers of the Echo as abominations. The Garlean Empire is an example of one such society where the Echo is not tolerated.

In this initial state, should you choose to take it, the Echo’s strength will allow you to understand the basic fundamentals of foreign languages, and with time, you’ll be able to pick up those languages faster as well. As a side effect of bearing the Echo, you grow more resistant to the effects of Tempering and similar mind control."
6,,Free,Language Comprehension ,Mushoku Tensei ~ Jobless Reincarnation ~,Lore,"The Six-Faced World has many languages and going from one continent to another without learning the language there would make you unable to communicate with other people. This grants you an ability to understand, speak and read any language that you heard people speak and seen its words in hours. When speaking to someone with a different language that you didn’t learn, you can instinctively guess the general meaning of their words and slowly piece them together to form words allowing you to speak the said language down to their accent with enough time. Seeing written words of an unknown language constant exposure or trying would allow you to slowly piece it together allowing you to read the written words with enough time. This also allows you to invent your language or decryption to prevent others from knowing your secrets that you wrote in books that you don’t want others to find out about."
7,,Free,Primarch Mentality,Horus Heresy: The Primarchs,Lore,"Your mind is every bit as honed as your body. Your towering intellect would be considered genius among the greatest of men, though naturally inferior to the Emperor Himself. At the least, you have perfect eidetic memory (though there are ways to make you forget) and can memorise vast quantities of information far faster than any living human has or ever will. Furthermore, all Primarchs seem remarkably resistant to Chaos corruption and possession; short of directly clutching a Daemon weapon, being wounded by a specific weapon meant to corrupt you personally, or willingly letting the power of Chaos into you, you do not fear the gradual insanity and corruption into darkness lesser men might face. A Primarch naturally has the kind of towering willpower to resist Chaos in general, even the Ruinous Powers must put some serious effort and elaborate plans into luring one over to their side. "
8,,Free,General Class Potential,Akame ga Kill!,Lore,"Without considering your choices below, you’ll usually start as strong as the average captain, as well as already having a similar level of skill with one weapon type in particular. However, despite your initial strength, you also possess a deep well of untapped potential, enough to allow you to reach the level of physical and spiritual ability needed to become one of the generals of the Empire as long as you put in the necessary effort in training and fulfilling your potential, as well as gaining enough experience to fight at their level. Of course, while this perk alone does not grant you the potential on par with the most powerful people in this world, such as the likes of Esdeath and the Great General for example, it can still bring you to a level of power where they can't instantly and effortlessly kill you."
9,,Free,Contemplate Eternity,Marvel: Age of Krakoa,Lore,"Eternals and Sentinels don’t age. Mutants and Post-Humans are effectively immortal due to their access to easy resurrection, and humans and Deviants sometimes stumble into eternal youth due to mutation. Even without considering your potential as a Jumper, coming to this world gives you the capacity to live for a long, long time. Given what happened with the Eternal Sprite a few years ago, it’s a bit prudent to give you some immortality insurance: First, you gain perfect, fully retroactive memory with total recall, perfect indexing, protection from harmful memories or external tampering, and the ability to repress and restore unwanted memories at will. When memory is repressed it has no effect on your conscious mind but any important effects on your subconscious that influence your identity are retained. You always remember that you repressed a memory and why you repressed it. Additionally, you are immune to ennui. No matter how many times you experience something it will never become stale and you will never become too jaded, too traumatized, too experienced, too powerful, or simply too old to relate to others. Conversely, you will never go insane or suffer degradation of mental or social faculties or other negative effects from prolonged isolation and do not suffer from loneliness. Finally, you have the patience to last an eternity and complete immunity to boredom and demotivation."
10,,Free,Cuh-Ray-Zee!,Devil May Cry,Lore,"The moment you step into the world of Devil May Cry, you, and anyone you brought with you, will have the innate potential to do incredibly amazing stuff all day long, pal. However, it will take great skill and effort to pull off anything like blocking attacks with the back of your hand, or playing an air guitar that actually produces audible sound for others to hear. But never fear, if you train hard enough, and git gud enough, you too will be able to deflect bullets with other bullets, destroy buildings by spouting out innuendos, and become a worthy disciple of my ways. And yes, you totally get to see your rank whenever you're doing anything."
11,,Free,Scholar,Final Fantasy XI,Lore,"During the Crystal War, these military tacticians often served as high-ranking officers in allied forces across Vana'diel. Extensive knowledge of ancient martial theory granted Scholars the ability to wield dual schools of magic, between which they would alternate depending on the situation at hand."
12,,Free,Common tongue,The Song of the Nibelungs,Lore,"Wherever you are in Europe or the world at large and wherever you travel you will have no problem speaking with the locals. This may be because all of you speak an unidentified lingua franca, a common language, or because you instinctively know all the different languages spoken around the continent by heart. In future worlds you may be able to understand and speak most common languages you may come in contact with."
13,,Free,Divinity,Dark Souls: War of the Ancients,Lore,"It was the light of Flame that drew those hollow beings in, giving them the opportunity to become something great enough to challenge the everlasting. Your soul was bound to light, marking you as one of the gods who follow the Great Lord Gwyn. Not only is your form as captivating as light itself is, rarely muddied or marred, but your mind has been illuminated, allowing you to learn and master whatever skill you desire faster than most."
14,,Free,Words of Magic,Marvel Midnight Suns,Lore,"Magic is the catch all term for energies that specific people can manipulate. This is usually done through spells and phrases that have mystical meaning. Now as a child of Lilith who can be conferred was a powerful witch before being corrupted you can use magic. There is a wide range of spells but you don’t have the expertise and specialty of other users like Doctor Strange or Magik.

Magic users have a niche of abilities and yours through this perk is Witchcraft. Witchcraft is heavily connected to the energies of the earth and usually comes from the goddess of Witchcraft but yours is fate-backed."
15,,Free,Magic        ,Dr Strange Multiverse of Madness,Lore,Given how important Dr. Strange and the other practitioners of the mystical arts are here it would be a shame if you couldn’t learn magic. This perk will grant you an average affinity with the various types of magic used here and skill equal to the average member of Kamar-Taj.
16,,Free,The Basics,Generic Alchemist ,Lore,"You have the minimum knowledge to be considered an alchemist. You know how to perform the seven alchemical processes (Calcination, Dissolution, Separation, Conjunction, Fermentation, Distillation, and Coagulation), what the five elements are (Air, Earth, Fire, Water, and Aether), and you know the three reagents (Mercury, Sulfur, and Salt). You also know the interplay of Mind, Spirit, and Body."
17,,Free,Beginner's spellbooks,Generic Dungeon Crawler,Lore,You receive a satchel of books that hold the simplest spells for each of the three spellcasting classes. They are very straightforward in application and offer little outside combat applications. 
18,,Free,Eureka Moment,Bloodborne,Lore,"“It seems to occur so often, a sudden breakthrough that comes from agonizing work and failure. It’s never quite the way you expect, just a dawning realization, a new way of looking things. For some, it comes much too late, hopefully that’s not the case for you. 

As you work on perfecting some new scientific procedure, replicating a phenomenon from the world around you, or discover some hidden truth, signs seem to crop up around you. These signs can come in any form, but always inspire sudden awareness or point you in the right direction to hasten progress.”"
19,,Free,Basic Deck ,MtG - Shandalar,Lore,"All mages start with the basics, no matter how... lacking in spectacle they might be. You receive a collection of moderately useful spells suitable for your magical specialization and purchases in this jump. Including a variety of summoned creatures, enchantments, sorceries and other such temporary effects, as well as a number of mana bonds to lands rich in mana, it’s everything you need to get started and sufficient to have at least a beginner’s chance in any mage-duels you might find yourself in. That said, you may wish to look for better spells and other improvements, as this collection on its own won’t be enough to excel."
20,,Free,IS MAITH SIN! ,Wolfwalkers,Lore,"You are fluent in Irish Gaelige, and in future Jumps in all languages present in the setting. It’s flippin’ great."
21,,Free,Fairy Fluent ,Peter Pan,Lore,"You can naturally understand the tinkling, bell-like language of fairies, and also know how to teach people to understand the language. It is the most wonderful of tongues, sounding like the sweetest, most innocent bells whether you are professing love and rudely insulting somebody. However, unless you are a Fairy, you cannot speak it in turn, unless you pay 100 CP extra.
"
22,,Free,Elementary Thaumaturgy,Lord El-Melloi Case Files,Lore,"You know the most basic levels of magecraft. You can
use the most basic forms of Structural Analysis, Gradation Air, Reinforcement, and
Alteration. You have the beginnings of an understanding of the laws of magic in general,
but don’t expect to outclass anyone but Shirou Emiya. Some of the more haughty mages
will resent referring to you as a mage at all."
23,,Free,Family Research,Lord El-Melloi Case Files,Lore,"Every magus lineage has some focus, some subject they’re
studying, such as the biology of a specific Phantasmal Species, mystical archeology, the
human genome, the interaction between Paracalus’s alchemy and the Periodic Table,
astronomy, or the inner workings of Mystic Eyes. Whether you inherited it or stole it, you may pick one such focus here, and gain a vast well of knowledge pertaining to it -
enough to rival an accredited doctor if there is such a thing. At base there is little
mystical benefit to this knowledge, but as your magical skills improve it will grant you
access to numerous mysteries that are either unusually powerful or extremely difficult to
replicate using modern thaumaturgy. Some of those shall be the fruit of your family’s
research, some will be the tools necessary to continue it. It’s nowhere near enough to
reach the Root, but maybe someday, if you keep at it. Additionally, some Thaumaturgic
Attribute - probably one that resonates with your family research - has been passed
down your bloodline, like any magus lineage, which adds “meaning” to elemental
magecraft, making it many times more effective and versatile, and may even open up
otherwise-impossible options, though you cannot claim the most impressive canonical
examples such as Tradition Carriers and Wish-granting with this perk alone. Like
elements, these can be changed, but never casually. Known attributes include swords,
sisters, opening wounds, the flow and transfer of power, and absorption, so you can pick
just about anything you can imagine. Just remember that having “almighty” as your
Sorcery Trait won’t actually make you almighty, though the Queen of the Clocktower
might have something to say on the subject."
