0,,CP Cost,Name,Jumpdoc,Chapter,Description
1,,Free,Rogue,Baldur's Gate 3,Illusion,"You are the ultimate embodiment of skill, stealth and opportunity. You strike your foes vulnerability, while being elusive yourself. You know all the tricks in the book, when it comes to fighting dirty and streetwise smarts (you may even add some yourself too). When you put your mind and wit to it, there is nothing you can do rogue."
2,,Free,Twinkling of an Eye,Changeling The Dreaming,Illusion,"Should someone take their eye off you, even if only for a moment, you can disappear into the nearest cover so quickly that its impossible for anyone to find him or her. They can affect this trick even if being grasped by someone, but not if they themselves are blind-folded or otherwise unable to see, or if bound with iron. You also have a great sense for what the most appropriate response in a social situation is. Your Frailty, however, is that you have a terrible time resisting alcohol, and whenever it does pass your lips you tend to sing sad songs and morose stories."
3,,Free,I am the Storm that is approaching,DMC 5,Illusion,"You now possess a mental music player capable of replaying any of the music and themes from DMC 5. You can also make the sound appear in reality as well, allowing others to hear the awesome tracks. It also contains all the music you have ever heard. You can access all of this with a mental interface."
4,,Free,Smooth Tunes,Persona 5 Royal,Illusion,"What is it with the Music of Persona? There are several great tracks here. ‘I’ll Face Myself’, ‘Rivers in the Dessert’, ‘I Believe’ and so many more. Want to keep listening to it on your off time or enjoy it while fighting? You can now. Whenever you will, you can listen to one of the many great tracks that have appeared in a Persona game. You can also decide for certain situations to trigger certain songs and decide who is all else able to hear it. Time to Dance in Starlight!"
5,,Free,Soundtrack,Final Fantasy XV Royal Edition,Illusion,"You can listen to any of the soundtracks from the Final Fantasy series whenever you want, either through devices like the radio, or coming from absolutely nowhere. Yes you read that correctly, “series”."
6,,Free,What’s a Dress Code,Generic TCG Anime,Illusion,"Let’s be honest - whether you’re a sorceress, a twelve-foot-tall stone statue, or just another Duelist-in-training, there’s no way you’re dressing like a pedestrian. For the duration of this jump, you can dress however you want, and nobody will give you shit about it; in future jumps, whatever you want to wear will be considered “suitable attire” whenever such things matter. Wear that fur bikini over a chainmail one-piece if you want, even if it chafes like sandpaper, to your brother’s-wife’s-niece’s wedding..."
7,,Free,Iconic Music Set,Final Fantasy XI,Illusion,The soundtrack from the FFXI games will play for you whenever you choose and if you wish you can allow other people to hear it too.
8,,Free,The Most Remixable Song,Fate/Stay Night,Illusion,"Everyone gets one, sooner or later. You’re able to play your very own personal version of the Emiya theme song. Remixed using any of the existing versions as a base, it’s a surprisingly epic yet fitting theme for you. If you want, your opponents and allies will also be able to hear the song, though it won’t be loud enough to be very distracting. It’ll definitely help get you guys hyped up though."
9,,Free,Mist: Phobia,Final Fantasy IX,Illusion,"The Mist, much feared by those who fail to understand it, has propagated for ages over the Continents to varying degrees – so much so that it is now considered a fixture of Gaia rather than an oddity. You can manipulate Mist to a limited degree, inflicting upon those who are immersed in it a crippling sensation of panic.

Without Mist around, you can naturally conjure a small amount of Mist by converting it from magical power, cloaking yourself in it like a shroud. In areas of high Mist concentration or after burning a large amount of magic, those affected by the Mist will start seeing images of their phobias."
10,,Free,HD Remake,Final Fantasy VII: Remake,Illusion,"Give the world the Square Enix treatment! With this perk active, each setting you visit will come alive. Your environments will seem more detailed while light and shadow stand in greater contrast. Even people look better while this perk is toggled. You also gain a glorious soundtrack to accompany you on your adventures, one worthy of Hamauzu himself. You may decide to apply these enhanced aesthetics to future worlds, as well as whether your accompaniment plays out loud or just in your head. Enjoy those next-generation graphics, Jumper!"
