0,,CP Cost,Name,Jumpdoc,Chapter,Description
1,,Free,Artificier,Baldur's Gate 3,Making,"Your kind didn’t make the cut in the original game, but the artificiers of the realms certainly exists. You combine technology and magic in a perfect harmony. Being a master of invention, you can use magic and ingenuity to unlock the potential within objects. You are not as strong as a pure wizard, but you are just as (if not more) versatile in your abilities. You are a talented combatant and a decent spellcaster that uses their tools as focus."
2,,Free,Custom Weapon,Xenoblade Chronicles 2,Making,"All Blades and artificial Blades are able to conjure a unique weapon out of the ether which is an extension of their own selves. From swords and scythes to clubs and cannons these weapons can be almost any sort of handheld weapon, even ones of unreasonably large size. On their own these weapons don’t have any special abilities apart from being able to be summoned and dismissed from the ether at will, but as a Jumper you may have a special weapon of your own in mind for this role. You may import a weapon from a previous jump into this role."
3,,Free,Statues ,Anima Ark Of Sinners,Making,"There are no consumable items in this game,instead you can find statues. When these statues are destroyed they will drop a large number of green and blue orbs at least enough to heal you back to full health. You will find similar statues in future jumps that will also drop orbs that can heal you and refill your supernatural energies."
4,,Free,Magic Pen,Twisted-Wonderland ,Making,"A tool to use local magic and track Blot levels. Tipped with a magical crystal in the color of your Dorm, this pen does not need to be refilled ever!"
5,,Free,Inkcaster/Great Illuminary,Disney Lorcana,Making,"Your own custom staff, that is also a pen. A few have even more functions, like a lute. The Inkcaster is what Imagineers use to animate Glimmers from the storybooks of the Great Illuminary. In future Jumps, you can use this to bring literary figures to life, as well as Dreamborn variations. Yours never runs out of Ink so there’s a big issue down, but your choice of colors may influence the Glimmers you create down the line. Your Inkcaster can be combined with any other staff, cane or wand-like object.

When you leave, take a copy of the Illuminary. It’s a great place to store the tales of your adventures, the powerful relics you find. It also will continue to refine magical stardust to animate fictional characters."
6,,Free,Fix It Faerie,Changeling The Dreaming,Making,"Nockers are masters with machines, and everyone knows it. A few well chosen words or well-timed threats can intimidate a malfunctioning machine into working properly. Additionally, even aside from the Art of Infusion, you are capable of creating simple, non-living chimera, requiring raw chimerical materials and an appropriate set-up. Your Frailty, however, is that you are a perfectionist, always seeing ways to make things work better but can never achieve your ideals."
7,,Free,Resources,Mobius Final Fantasy,Making,"In Mobius there are many activities that require you to have specific items and materials on hand in order to participate. With this, you'll no longer have to worry about grinding out materials in order to get to the content you want. In future Jumps, this will make it so that you always have just enough resources in order to complete any ongoing projects you are currently working on no matter how big or important they are. Does not give you infinite money or resources, just enough to complete what you're currently working on."
8,,Free,Staff,A Mage Of Sorothustra,Making,"The lion’s share of adult Sorothustrans possess a magical staff, an object which is soul-bound to them, and which can serve as a mighty focuser for their magic. While Sorothustrans do not need their staff or any other implement to be able to use magic, a Sorothustrans staff can have a number of properties that make them powerful armaments in a Sorothustran’s toolbelt. At their base, before taking into account additional enchantments, a Sorothustran’s staff enhances their planeswalking abilities, facilitating much easier travel through space, allows them to instantly travel to and from Sorothustra instantly from virtually any place in the multiverse (and once per jump can resurrect you from death/save you from a fate worse than death such as being trapped forever in a cursed location strong enough to overcome your magic resistance).

One’s staff also has numerous powerful passive protections such as a powerful force field that can tank planet-busting hits, providing you with various passive enhancements to your physique, and providing you with the ability to access a pocket-space inventory. A Sorothustran’s staff is also a powerful focus for their spellcasting and their rituals, empowering various facets of spellcasting, such as one’s scale, precision, and even their joint-casting abilities (their ability to do spellcasting in concert with other Sorothustrans). Every staff is a type of staff, with additional abilities decided by the Sorothustran who owns the staff at the time of its creation (which is usually when the Sorothustran in question is approaching the day when they must join in on the ritual that protects Sorothustra from ascendant invasion and overt ascendant influence and becomes considered a full adult in Sorothustran society). Please select one of the following types of staff to determine your staff’s final qualities.

Inevitable: Defenses meant to gainsay the arcane falter and weaken when exposed to the corrosive magics of your staff. This covers all sorts of defenses, from armor to anything else that would be between your target and the spell you hit them with. This empowers your native ability to overcome enemy defenses, and also eases the costs of magic by lowering things like the focus you need to use your magic and weakens the impact of negative environmental factors when considering the costs you pay while maintaining your magic.

Indomitable: This staff is a somewhat more offensive version of the Inevitable staff, meant to overcome anti-magic specifically. Sorothustran magic can be overcome by skilled enough mages working in conjunction, or powerful enough individuals, most particularly by using anti-magic charms and wards, but if a Sorothustran is using this kind of staff than such measures are very likely to be completely nullified. What’s worse, for your foes, is that the processes by which an Indomitable staff is made instill the maker with knowledge of how to dispel magic and counterspells, which make them powerful in battle against other mages.

Unbound: An Unbound staff is a free, uncontainable staff. This object is powerfully, conceptually attuned to freedom and tremendously skyrockets your skill at planeswalking, the ability to utilize your magic to step from dimension to dimension and to step between and through universes. This item also powerfully bolsters your resistance to imprisonment of any sort, working with your soul and reality to either subtly or not-so-subtly give you opportunities to break free from and out of all sorts of prisons.

Might: This staff is a simple thing but an unbelievably powerful one. This ability has enhanced enchantments compared to the other staffs and also amplifies the power of the wielder. This isn’t enough to elevate your magic to star-level, but it’s not considerably weaker than that and if you happen to be a Wild Dreamer then that trait and this item stack.

Silence: This staff makes it easier than ever to cast spells, removing the need for audible utterances even when you are utilizing planetary-scale magic. Going beyond that, however, this staff also allows you to be as perceivable or imperceivable as you wish to be, and with it you can establish telepathic connections between yourself and others in the same solar system as you. What’s more, once you’ve established a telepathic connection with someone you can have telepathic conversations with them across almost any distance but the most extreme, and of course barring something like deliberate, powerful magic interference."
9,,Free,Starter Equipment,Stranger Of Paradise - Final Fantasy Origins,Making,"Starting sets of equipments for all your basic jobs as well as one for your abilities prior to entering the jump. They give you some affinity for the jobs but you will quickly find better equipment. Still, it makes for a decent start."
10,,Free,Shop,Stranger Of Paradise - Final Fantasy Origins,Making,There is so much gear and so many items you can find in this world so much so that you would have quite a bit of trouble collecting them all not to mention all the grind required to get the best gear. This may help you as you can now bring up a shop in a window UI where you can browse through various items such as consumable and even powerful upgrade items like rat tails and anima crystals as gears of various levels of power. You can pay for them using currency from your current jump or past jumps as well as various tokens obtained from missions with the paid items appearing in your inventor. The shop can allow you to buy any gear and items that may exist within the setting provided you have the currency to pay for it. This shop updates its inventory with the gear and items of future jumps while still keeping the gear and items of past jumps.
11,,Free,Livelihood crystals,Final Fantasy XVI,Making,"On the continent of Valishtea,crystals are used for many things in daily life. They are used to fuel lanters, to serve water, to light up pipes etc... This grants you a replenishing stock of 100 crystals filled with similar livelihood magicks. (Think basic DnD cantrips)."
12,,Free,Devil Sword Jumper,DMC 5,Making,"What you have here is your very own Devil Sword. It is a powerful weapon of your own design, and must not necessarily be a Sword. The weapon also allows the wielder (to an extent) to bring out their true potential, and shares your will. You are capable of summoning it out of thin air at will, manifesting from a cluster of energy into the wielder's grip, as well as storing it away whenever you want. You may merge this with any other Devil Arm and weapon you have, granting you access to the power and abilities of those alongside the inherent ones of this. How this merge is done, is up to you, whether it causes a change in appearance and whatnot."
13,,Free,Devil Arm Creation,Devil May Cry,Making,"Here you can customize your very own Devil Arm to start out with.

Devil Arms are the essence of a Demon given shape in the form of a weapon, and you recieve one after defeating a powerful Demon. Having a Devil Arm equipped grants you the ability to go into Devil Trigger, but maintaining that form takes it out of you like crazy, so I recommend only using it in short bursts. Do keep in mind that Devil Arms you don't create are their own sentient, independent beings. They'll be obedient to you, since you were the one who kicked their asses, but if they get fed up with your crap, they'll try to get rid of you and make a physical body for themselves.

Note: Devil Arm Build in Associated Jump Document. You have 1000 Proud Souls to Spends"
14,,Free,THE INSCRYBER,Inscryption,Making,"Like the other four scrybes, you have access to a unique tool for the creation of cards. With the Canon Replacement drawback, you have the same tool as the Scrybe you’ve replaced. Otherwise, you have one of your own to customize as you will. As far as level of power, these tools should be about equal to those wielded by the original Scrybes themselves. That said, these tools are fairly complicated, so let’s go over their components one at a time, along with two example creations. (These examples are usable ones, if you’re short on ideas.)

First off is the method of inscryption. P03 had a particle scanner that converted robots into cards. Magnificus created paintings of his pupils. How do you capture the essence of your subject? A valkyrie’s blade to be pointed at its target? A telescope that captures what lies within its view? The details are up to you. Bear in mind, however, that this process captures something vital–once you create a card, the subject will exist in the card alone, not outside it. Next, what sort of entity does your tool capture? Often this will relate to the point above. The Valkyrie Blade might capture specifically the spirits of warriors in battle. The Telescope might collect figures wrought from the constellations within its view, the stars themselves remaining but the connection between them lost.

So now you have your cards, and the time has come to play them. Much as Leshy’s beasts require sacrifice, and Grimora’s undead require bones, you must decide what resource your cards require. The einherjar harvested by the Valkyrie’s Blade might require you to gather honor from slaying enemies, and expend that honor in returning them to the battlefield. The constellations from the Telescope may require starlight, a substance that is ever-present, but limited in the number and size of constellations it can support at once. On this note, you may also obtain a single, simple type of card that bypasses this requirement; examples include Leshy’s squirrels, Grimora’s basic skeletons, Valkyrie’s faceless spirits, or Astronomer’s motes of light.

Finally, your inscryber can be wielded in battle directly. As Magnificus’s brush allows him to repaint cards with new abilities, and P03’s scanner allowed him to duplicate an enemy’s cards for his own use, so too does your tool have a use in the midst of a round of Inscryption. Perhaps the Valkyrie’s Blade allows them to dictate, each turn, one unit that is fated to die at that turn’s end, or the Astronomer’s telescope can ‘magnify’ a single card, multiplying their strength but forcing them to fight alone. Again, the details should relate to the form of the inscryber you chose at the beginning.

Requires Inscryption to Purchase"
15,,Free,Sticker Album,Super Smash Bros. Brawl,Making,"Journeying around the world, you are bound to pick up all sorts of the special Stickers that are
floating around. Here is a nice album to keep them all in one place.

This strange book has a pink cover, adorned with the image of a sticker-like star. It is filled with empty pages of paper. Too add a sticker to the album, simply stick it to one of the pages. Adding or removing a sticker will never cause the sticker to tear, be damaged, or lose their adhesive properties. Stickers can be removed from a page easily, but will not fall out of the album accidentally, and will not degrade as long as they remain inside the album.

The album will be able to expand indefinitely, without appearing any bigger externally or getting any heavier. You will always be able to find whichever page it is you are looking for right away. You can also sort any stickers housed inside in any order you like, just by holding the album and willing it so. Should you have multiples of the same sticker, you may decide whether they appear as separate stickers, or whether the sticker has a nearby number to let you know just how many of it you have.

Finally, if a sticker stored here is one of the special Stickers found in this world, upon touching it whilst it is placed in the album you will be automatically given the knowledge of the Sticker’s name, along with the effect they would have if applied to your Trophy Base.

Should the album be lost or destroyed, a replacement will appear in your Warehouse after 24 hours. Any stickers that were stored in the album when it was lost or destroyed will also be replaced as they were."
16,,Free,Unique Weapon,Final Fantasy VII,Making,"The Buster Sword, Masamune, even just a pair of steel knuckles...you have a weapon that just screams 'you', one that feels as light as a feather in your hands. This is the primary weapon you start with free of charge, complete with its own Materia Slots free of charge. While this bit of starting equipment is reliable but not especially powerful starting out, you may freely choose to 'reskin' any similar weapon into a copy of its appearance, letting you keep your style while also keeping your more powerful equipment down the line.

You may import a single weapon into the Unique Weapon slot, or if you buy the Fusion Weapon variant, you may import up to five weapons of a similar 'type' into it, combining them into one."
17,,Free,Sharply Dressed ,Library of Ruina: HamHamPangPang,Making,"Most groups in the City have some kind of uniform, and many of them happen to be some form of suit, even for those who don’t have suits or precise uniforms like the Musicians of Bremen or small Fixer offices, they still have a type of consistent style across their members. With this, you get an outfit fitting that aesthetic, and as a bonus, if you pick a suit with a coat like the uniforms of the Thumb or Hana Association the coat just happens to never fall off regardless of if you aren’t using the sleeves while doing something that would normally throw a coat clean off you. Your outfit of choice also stays in perfect condition, cleans, and resizes itself automatically, and if you aren’t a part of an established organization then you can give it a custom design."
18,,Free,Mysterious Getup,Fate/Legends - Servant Universe,Making,"A classic and cute Saber outfit. Rich golds and blue decorate the apparel, a hat and scarf alongside a comfortable hoodie and shorts combination. They’re pretty good at hiding your identity, even if people can totally see your glowing blond hair and dashing blue eyes, they’ll only be able to think that that’s some kind of Saber and not you specifically. Optionally, you can change out these super mysterious clothes for a sensible set of plate armor, which offers decent magical protection at the cost of being really noticeable and not stealthy or mysterious at all. Either choice can be freely manifested and dismissed at will via magic. "
19,,Free,Dime Store Weapons        ,Library of Ruina,Making,"Unless lucky enough to live in a Nest, no one in their right mind would walk around without some form of protection, and the insane here tend to seek out means of dealing out violence regardless. As protection is very helpful, and it’s already very easy to get your hands on weaponry in the City, you might as well start with something. While far from the highest peaks of craftsmanship, you have a set of melee weapons ranging from simple daggers and axes to a small chainsaw. You won’t inspire envy with these alone, but they’re serviceable. Really that’s all that matters."
20,,Free,An Iconic Accessory ,Final Fantasy III,Making,"Every warrior of light has one. Whether it is a pendant, a silver belt buckle, a cross-shaped brooch, or three buckles worn across the chest. It is a simple piece of gear with no special effects that finds a way to integrate with any form or equipment you have. Think of it as a signature."
