0,,CP Cost,Name,Jumpdoc,Chapter,Description
1,,Free,Scholar,Final Fantasy XI,Lore,"During the Crystal War, these military tacticians often served as high-ranking officers in allied forces across Vana'diel. Extensive knowledge of ancient martial theory granted Scholars the ability to wield dual schools of magic, between which they would alternate depending on the situation at hand."
2,,Free,Habitual Intruder,The Old Republic,Lore,"You have a habit and talent for getting into places, files, and situations you're not wanted. You're an Expert
slicer, opening locked doors with ease and extracting sensitive files from heavily-encrypted computers
without leaving a trace, provided you can secure hardware access. That access is easier than ever, as well,
given your knack for finding convenient shortcuts through vents, waste chutes, and unused spaces, or
targeting the human element and conning your way past unsuspecting security officers; you're a
Proficient liar, mechanic, and saboteur. As a final bonus, you're more likely than normal to arrive just in
time to hear, see, or interfere with things your enemies would have preferred you missed.
You've also been around long enough to know that sometimes, things don't go smooth. If all else fails,
you're an Expert with Vibroknives and holdout weapons. You're also Proficient with all non-weapon
equipment you bought with CP this Jump, regardless of whether it was discounted or not."
3,,Free,Veteran Field Medic,The Old Republic,Lore,"Whether you're a soldier killing for a cause or a hunter killing for money, you've chosen a dangerous life.
What better way to make sure you come out on top than knowing how to put you and yours back together
again? While not exactly a family doctor, you're an Expert at battlefield medicine and triage, and can
evaluate patients and render aid twice as fast as normal, no matter how chaotic the environment or how
advanced or primitive the supplies available to you.
Speaking of supplies, you're able to stretch whatever you have on hand farther
than should be possible. When applying any form of aid or healing, you
consume only one quarter as much of any limited resource for the same
amount of benefit, whether it be practical items like gauze and antiseptic,
magical items like healing potions, or metaphysical resources like 'mana'"
4,,Free,The New Chess,Medaka Box Abnormal Jumpchain,Lore,"Never worry about finding yourself and your friends on a bored afternoon again. You’re a genius at
creating games to amuse or challenge yourself or others, through almost any medium imaginable. Physical sport games, card games, games linked to the supernatural powers that you or others have. They’ll be well made, with fair rules without loopholes or easy cheats unless you desire them to be
and most of all, they’ll actually be pretty fun to play even on your own. Good Style practice too if you
go for the word games. "
5,,Free,Thinker (Multitask),Worm CYOA v17,Lore,"You can give your full focus to several things at the same time without difficulty. The amount of things you are able to focus on varies depending on how mentally taxing each task is, so you might be able to hold only 2 or 3 conversations at once but you could do a dozen minor tasks simultaneously. You are still limited by your physical capability to do multiple things at once; you only have so many hands after all."
6,,Free,Lore Mastery,The Witcher Novels,Lore,"You possess an adaptive understanding of most customs, with only the most obscure or alternative eluding your grasp without sufficient knowledge. While it’s not a big loss if you don’t take this, it would be all too sad for you to lose your head only because you forgot to bow to a king, or being burned at stake for asking a priest for a buff, or being beaten by local dryads for dirty jokes. Thankfully you now have a little bit of local common sense: knowledge of customs and traditions, an overview of history, and an understanding of how to act without provoking the locals. "
7,,Free,Woodscraft,The Witcher Novels,Lore,"You have skills in almost anything that pertains to the​ woods​ or forest, especially in making one's way through the​ woods​ or in hunting, trapping, etc. Expect to be more than capable of making your way through environments that may be especially hostile, so if you’ve got a Monster or some other manner of beast lurking around you’ll be sure to know long before it catches your scent. 
"
8,,Free,Horsemanship,The Witcher Novels,Lore,"Unlike what video games may tell you horses are not medieval cars, riding all day at maximum speed and putting them the in the ​garage​ stable is a good way to lose your steed and they cost a lot, sometimes so much so that your own life is cheaper. However, you’ll now find that possess the skills to care for and ride these magnificent beasts, and somehow being capable of always taking care of them, even if at bare minimum. "
9,,Free,Common tongue,The Song of the Nibelungs,Lore,"Wherever you are in Europe or the world at large and wherever you travel you will have no problem speaking with the locals. This may be because all of you speak an unidentified lingua franca, a common language, or because you instinctively know all the different languages spoken around the continent by heart. In future worlds you may be able to understand and speak most common languages you may come in contact with."
10,,Free,Divinity,Dark Souls: War of the Ancients,Lore,"It was the light of Flame that drew those hollow beings in, giving them the opportunity to become something great enough to challenge the everlasting. Your soul was bound to light, marking you as one of the gods who follow the Great Lord Gwyn. Not only is your form as captivating as light itself is, rarely muddied or marred, but your mind has been illuminated, allowing you to learn and master whatever skill you desire faster than most."
