0,,CP Cost,Name,Jumpdoc,Chapter,Description
1,,Free,New World Online Character         ,Bofuri,Modus,"New World Online (NWO) is an MMORPG played by many people. Including you. However, your abilities and items you gain inside the game are able to be used outside the game. This includes the inventory and items, the levels and stats, the interface, and all the skills. 

At least, once the Jump duration is up. Right now your NWO stuff stays in the game.

If you die in real life, you do not immediately truly die as long as one other member of the Jumpchain party has a resurrection ability. You will instead only die or require the usage of a one-up once the time limit for that resurrection ability expires. We’ve only seen one example of that in NWO, though.

Your perks and powers will work inside videogames you play. (Though you may toggle this if you want to play fair.) When using these powers inside a game, they will not originate from your actual body. No need to worry about accidentally destroying your stuff if you need to get video-game slimes off yourself, for example.

(Note: abilities and perks that operate autonomously to protect your body will still do so in the real world.)"
2,,Free,Artificer,Baldur's Gate 3,Benevolence,"Your kind didn’t make the cut in the original game, but the artificiers of the
realms certainly exists. You combine technology and magic in a perfect harmony. Being a
master of invention, you can use magic and ingenuity to unlock the potential within objects.
You are not as strong as a pure wizard, but you are just as (if not more) versatile in your abilities.
You are a talented combatant and a decent spellcaster that uses their tools as focus. Note that all stats and abilities start at 0 without supplemental perks."
3,,Free,Barbarian,Baldur's Gate 3,Benevolence,"Your power comes from the fire of primal rage burning within you. Your
source of rage may vary, but the important part is that you are angry and will SMASH any
opponents that stand in your way. You are the most durable class there is and your hurts pack
quite a punch as well. Raise your weapon barbarian and break anyone who dares obstruct you. Note that all stats and abilities start at 0 without supplemental perks."
4,,Free,Bard,Baldur's Gate 3,Benevolence,"Scholars, skalds or scoundrels, you have a way with words so that you can even
bend reality to your whims. Your talent in manipulating the Weave comes from rhythms, words,
songs or even dances. You can inspire your allies, manipulate your foes and pretty much do
anything a magic user can accomplish. Not only that, but your skill repertoire is also quite vast
too. You are the most versatile class there is, a jack of all trades truly. Note that all stats and abilities start at 0 without supplemental perks."
5,,Free,Cleric,Baldur's Gate 3,Benevolence,"Gods are forbidden from meddling in mortal affairs. But that is where you come
into play. You are a devoted of a certain deity which you must pick, when you first select this
class. The god or goddess you serve grants you power through your faith and beliefs, allowing
you to perform miracles of any kind. You are truly the embodiment of divine magic. Note that all stats and abilities start at 0 without supplemental perks."
6,,Free,Druid,Baldur's Gate 3,Benevolence,"You claim no mastery over nature, rather you are an extension of its will. You
can call pure force nature to command elemental forces, summon aid, heal wounds and even
shapeshift into bestial forms. You are nature’s guardian and fury both. You are probably a tree
hugger though. Note that all stats and abilities start at 0 without supplemental perks."
7,,Free,Fighter,Baldur's Gate 3,Benevolence,"Some say fighters are the most basic of all classes. They cannot be more wrong
as no other class may hold the pure mastery of combat itself that fighters possess. You are a
master all weapons, armor and all forms of fighting. Both ranged and melee, there is no one
better than you. Just in case be ready for the ridicule, if you are planning on picking human as
a race. Note that all stats and abilities start at 0 without supplemental perks."
8,,Free,Monk,Baldur's Gate 3,Benevolence,"You are able to tap into your inner ki, and with this your body itself has become
your weapon. When channeling your ki, few can match your combat prowess, defense ability,
speed, deftness and subtlety. Be careful of how you spend your ki reserves though, your prowess
drops heavily without access to it. Note that all stats and abilities start at 0 without supplemental perks."
9,,Free,Paladin,Baldur's Gate 3,Benevolence,"You swore an oath. This oath binds you to follow a certain path of life and
tenets. But if you are able to keep to your word, few can match your divine power combined
with your already great martial prowess. Though be mindful of your oath’s tenets. If you break
them, you may lose access to your divine abilities unless you restore your oath back. Or you
could go down a darker path for more power. You may choose to devote yourself to service of
a god or you could just use your oath as a source of your power. Note that all stats and abilities start at 0 without supplemental perks."
10,,Free,Ranger,Baldur's Gate 3,Benevolence,"You are the perfect tracker, hunter, and protector that keeps civilizations safe
from threats both within and outside. Whatever your preferred ground for prowling is, you are
a master of it and can take the meaning of ‘use environment to your advantage’ saying to the
next level. Few can match your pace in the wilds and difficult terrains, and in terms of subtlety
and expertism, only rogues and bards may exceed you in sheer versatility. Note that all stats and abilities start at 0 without supplemental perks."
11,,Free,Rogue,Baldur's Gate 3,Benevolence,"You are the ultimate embodiment of skill, stealth and opportunity. You strike
your foes vulnerability, while being elusive yourself. You know all the tricks in the book, when
it comes to fighting dirty and streetwise smarts (you may even add some yourself too). When
you put your mind and wit to it, there is nothing you can do rogue. Note that all stats and abilities start at 0 without supplemental perks."
12,,Free,Sorceror,Baldur's Gate 3,Benevolence,"Let those wizards study their books and clerics pray to their deities for meagre
pittance of magical might. Yours is the purest form of the Weave sorcerer, as you draw your
power from deep within. Your blood or ancestry (up to your choice) grants you prodigious
amounts of magical potential. Although you lack the versatility and wide range of abilities of
wizards and the like, none can match your sheer might in arcane prowess. Also, you are the
only class who can manipulate the nature of the very spells you cast. Note that all stats and abilities start at 0 without supplemental perks."
13,,Free,Warlock,Baldur's Gate 3,Benevolence,"At your core, you are a seeker of knowledge... or power if you prefer, it leads
all leads to the same road at the end. Through pacts made with otherworldly and powerful
beings, you gained access to an arcane might few can even dream of achieving. Nature of your
pact and patron may be determined by you, as well as the severity of your pact and your
relationship with your patron (you don’t need to sell your soul for power basically, although
you may be into that, I won’t judge). Your patron may sometimes require favors and the like,
but it won’t be anything debilitating unless you choose the relevant drawbacks. Note that all stats and abilities start at 0 without supplemental perks."
14,,Free,Wizard,Baldur's Gate 3,Benevolence,"Wizard, you alone have the potential to reach the pinnacle of all creation with
your shrewd mind and arcane potential. No one can even become as half good as you are, when
it comes to matters of the arcane. Although some may call you frail or weak, in time you may
compensate for all your weaknesses with the appropriate spell or ritual. Temper your ambition
with wisdom though, this path has been the doom of many wizards. Just ask poor Karsus. Note that all stats and abilities start at 0 without supplemental perks."
